date,open,high,low,close,volume
2015-12-01,103.49,103.81,102.59,103.44,1165221
2015-12-02,103.60,103.70,102.63,102.90,1054972
2015-12-03,103.13,103.35,101.09,101.36,1980457
2015-12-04,101.69,104.05,101.48,104.02,928468
2015-12-07,103.05,104.23,103.00,104.05,2069501
2015-12-08,102.98,103.58,101.37,101.49,1200774
2015-12-09,100.97,102.32,99.24,99.34,1283307
2015-12-10,99.70,100.25,99.38,99.53,670922
2015-12-11,98.25,98.95,95.22,95.73,2050094
2015-12-14,96.01,97.00,95.37,96.78,1439288
2015-12-15,97.87,99.89,97.19,98.66,2099376
2015-12-16,99.38,100.32,98.06,99.32,1517816
2015-12-17,99.58,100.39,97.82,97.88,923067
2015-12-18,97.19,98.16,96.70,97.46,1829398
2015-12-21,98.17,99.58,98.07,99.21,1266726
2015-12-22,99.53,99.53,98.00,99.03,640539
2015-12-23,99.30,100.31,98.93,99.85,576493
2015-12-24,99.40,100.66,99.24,100.11,240221
2015-12-28,99.96,100.74,99.46,100.66,465988
2015-12-29,101.32,101.69,100.17,101.56,545317
2015-12-30,101.45,102.13,101.07,101.11,517261
2015-12-31,100.80,101.86,100.32,100.34,595988
2016-01-04,98.44,98.70,96.16,97.22,1688326
2016-01-05,97.51,99.09,97.20,98.57,1525188
2016-01-06,96.90,97.59,96.00,96.81,1294204
2016-01-07,94.07,94.61,92.10,92.72,2793005
2016-01-08,93.20,93.61,89.98,90.08,2660100
2016-01-11,90.92,91.31,89.69,90.86,2065866
2016-01-12,91.81,91.86,90.06,91.17,1938019
2016-01-13,91.72,91.89,86.65,87.11,2799818
2016-01-14,87.61,88.80,86.37,88.12,3387274
2016-01-15,86.02,86.71,84.55,85.99,2836096
2016-01-19,87.14,87.98,85.58,86.43,1906852
2016-01-20,84.86,87.05,82.09,86.13,2578577
2016-01-21,86.57,87.61,85.59,85.80,1295204
2016-01-22,87.29,88.46,86.92,88.42,1116123
2016-01-25,88.42,88.93,86.61,86.75,1245550
2016-01-26,86.85,88.53,86.64,88.33,916158
2016-01-27,88.15,89.52,87.59,88.01,2064549
2016-01-28,88.77,89.10,86.79,87.13,1357920
2016-01-29,88.09,89.25,87.11,89.14,2451698
2016-02-01,88.87,89.20,87.56,88.01,1302669
2016-02-02,87.06,87.06,85.11,85.63,1414377
2016-02-03,86.18,86.52,83.21,85.59,1323684
2016-02-04,85.44,87.50,85.44,87.11,2635131
2016-02-05,88.50,88.50,82.27,83.70,2489328
2016-02-08,81.68,81.75,78.51,79.38,2781079
2016-02-09,78.45,80.58,78.01,80.03,1702614
2016-02-10,80.92,82.84,79.99,80.07,1199467
2016-02-11,78.23,79.87,77.76,78.45,2259204
2016-02-12,79.80,82.35,79.26,82.31,1816151
2016-02-16,83.84,84.90,82.32,83.72,1548660
2016-02-17,84.17,85.93,83.68,85.72,1360959
2016-02-18,85.65,86.20,84.64,85.73,1155925
2016-02-19,85.45,85.97,84.67,85.66,1011082
2016-02-22,86.47,88.22,86.24,88.12,1104902
2016-02-23,87.53,88.63,86.67,86.95,1309599
2016-02-24,85.90,87.10,83.71,86.65,1300728
2016-02-25,86.72,88.67,86.72,88.64,1239163
2016-02-26,88.35,89.38,88.14,88.60,915512
2016-02-29,88.18,89.84,87.94,88.80,1460026
2016-03-01,89.57,93.23,89.57,91.54,3205939
2016-03-02,90.88,92.54,90.82,92.30,1450056
2016-03-03,91.99,95.02,90.91,94.86,2190824
2016-03-04,94.98,95.75,94.08,95.40,1462932
2016-03-07,94.48,94.81,93.60,94.46,1284931
2016-03-08,93.27,93.62,92.62,92.78,1084271
2016-03-09,93.58,93.62,92.25,93.06,812057
2016-03-10,93.14,94.79,92.24,93.13,1555293
2016-03-11,93.81,94.90,93.61,94.50,1700244
2016-03-14,93.93,94.49,93.08,93.68,1019987
2016-03-15,93.09,93.83,92.56,93.60,762132
2016-03-16,93.00,94.94,92.98,94.72,634214
2016-03-17,94.74,98.34,94.74,97.50,1984838
2016-03-18,97.64,98.56,96.81,97.06,2122580
2016-03-21,96.90,97.00,95.41,95.94,1109090
2016-03-22,94.75,96.46,94.66,95.91,1482877
2016-03-23,95.51,96.24,94.15,94.26,1514396
2016-03-24,93.52,93.52,91.93,92.95,1804770
2016-03-28,93.15,93.70,92.39,92.98,1078053
2016-03-29,92.89,95.53,92.89,95.52,1010222
2016-03-30,95.86,96.33,95.50,95.86,938625
2016-03-31,95.72,96.78,95.39,96.56,1015349
2016-04-01,95.64,97.79,95.58,97.56,1297337
2016-04-04,97.69,98.11,96.20,96.25,788157
2016-04-05,94.95,95.37,93.59,93.77,1227147
2016-04-06,93.78,94.70,93.25,94.44,1394247
2016-04-07,93.09,94.42,92.61,92.86,1166095
2016-04-08,93.71,94.58,92.88,93.31,733277
2016-04-11,93.80,95.19,93.39,93.97,1140567
2016-04-12,94.30,95.54,94.02,95.32,841251
2016-04-13,96.04,98.43,96.04,97.96,1162418
2016-04-14,97.86,98.31,97.41,97.99,957326
2016-04-15,97.99,98.25,97.04,97.79,825052
2016-04-18,97.54,98.98,97.06,98.64,637836
2016-04-19,99.15,100.08,98.94,99.59,867919
2016-04-20,99.55,100.97,99.15,100.77,1016157
