date,open,high,low,close,volume
2015-12-01,75.84,76.59,75.38,76.51,5715470
2015-12-02,76.39,76.45,75.62,76.11,7931136
2015-12-03,76.69,78.61,76.41,76.67,11676750
2015-12-04,76.99,78.34,76.91,78.14,8904305
2015-12-07,78.28,78.50,77.27,77.95,5386391
2015-12-08,77.60,78.22,77.41,78.08,6717025
2015-12-09,77.89,78.78,77.10,77.56,5438941
2015-12-10,77.72,78.28,77.19,77.44,4995169
2015-12-11,76.50,77.13,76.13,76.65,6108536
2015-12-14,76.64,77.19,75.59,76.65,5471868
2015-12-15,77.21,78.04,76.81,77.10,6226118
2015-12-16,77.85,78.64,76.98,78.57,5204235
2015-12-17,78.50,78.92,77.87,77.90,4991587
2015-12-18,77.44,77.50,76.31,76.31,13094387
2015-12-21,77.02,77.26,76.05,76.68,3533151
2015-12-22,76.78,77.34,76.24,77.32,2953908
2015-12-23,77.70,77.97,77.40,77.65,3171430
2015-12-24,77.51,78.07,77.51,77.63,1481616
2015-12-28,77.37,77.50,76.97,77.18,2959429
2015-12-29,77.62,78.03,77.25,77.85,3280245
2015-12-30,77.85,78.06,77.36,77.53,2538114
2015-12-31,77.06,77.67,76.84,76.92,2967387
2016-01-04,75.83,76.12,75.11,75.77,6006662
2016-01-05,75.77,76.25,75.64,75.99,4456583
2016-01-06,74.80,76.29,74.78,76.20,6199001
2016-01-07,74.63,75.64,74.36,74.41,6243672
2016-01-08,74.68,75.29,73.57,73.78,7235322
2016-01-11,74.01,74.52,72.31,73.00,6595759
2016-01-12,73.87,76.74,73.67,76.44,7579018
2016-01-13,76.97,77.88,74.49,74.65,8406250
2016-01-14,74.83,75.77,74.29,74.79,8373801
2016-01-15,73.05,74.68,72.92,73.92,8823752
2016-01-19,74.40,75.13,73.82,74.58,6132221
2016-01-20,73.74,74.99,72.28,74.57,9574914
2016-01-21,74.77,75.63,73.60,74.60,7603139
2016-01-22,75.38,75.95,75.31,75.92,6112659
2016-01-25,75.90,76.54,75.61,75.70,5936165
2016-01-26,75.67,76.24,75.12,75.59,5197495
2016-01-27,75.59,76.36,74.86,75.49,6805027
2016-01-28,75.96,76.17,73.62,73.91,6627499
2016-01-29,74.36,76.16,74.30,75.92,9184519
2016-02-01,74.51,77.25,74.27,76.85,6628748
2016-02-02,76.03,76.99,75.92,76.51,5238392
2016-02-03,77.35,77.60,74.99,76.15,6785658
2016-02-04,76.10,76.26,75.01,76.20,5398747
2016-02-05,76.04,76.14,74.09,74.46,4672411
2016-02-08,73.53,73.95,71.36,72.63,6543426
2016-02-09,71.27,73.69,71.03,73.08,6525280
2016-02-10,73.86,75.37,73.61,74.16,4677259
2016-02-11,73.21,73.71,72.12,72.62,5578230
2016-02-12,72.98,73.49,72.28,73.40,6367906
2016-02-16,73.99,75.05,73.68,74.74,5862055
2016-02-17,75.32,75.80,74.47,75.60,7592458
2016-02-18,75.53,75.92,74.79,74.97,4359001
2016-02-19,74.95,75.68,74.65,75.38,5348564
2016-02-22,75.87,76.70,75.64,76.68,4191232
2016-02-23,76.24,76.69,75.73,75.80,3809709
2016-02-24,75.05,76.49,74.89,76.43,4696018
2016-02-25,76.68,77.70,76.31,77.66,4595350
2016-02-26,77.74,78.03,77.23,77.29,5270158
2016-02-29,77.46,78.25,77.31,77.39,8629009
2016-03-01,74.29,74.47,73.06,74.18,19393525
2016-03-02,74.45,75.22,73.82,74.59,8084236
2016-03-03,74.34,74.97,73.64,74.92,5536108
2016-03-04,74.72,75.84,74.54,75.61,5303959
2016-03-07,75.27,76.12,75.23,76.01,5261784
2016-03-08,75.74,75.88,75.30,75.44,4705901
2016-03-09,75.92,76.00,75.02,75.55,4071462
2016-03-10,75.41,76.80,75.36,76.27,3955718
2016-03-11,76.65,77.40,76.55,77.35,4635406
2016-03-14,76.86,77.92,76.80,77.53,4465600
2016-03-15,76.97,77.26,76.37,76.85,4164837
2016-03-16,76.85,77.05,76.06,76.65,3738239
2016-03-17,76.91,77.06,74.85,75.50,6738549
2016-03-18,75.66,76.65,75.12,76.26,10069221
2016-03-21,76.12,76.25,75.14,75.21,5149556
2016-03-22,74.66,75.34,74.10,74.94,8397588
2016-03-23,74.76,75.19,74.38,74.50,7755333
2016-03-24,74.02,74.23,73.47,73.97,3885448
2016-03-28,74.07,74.24,73.76,73.98,3838255
2016-03-29,73.69,75.63,73.39,75.48,5223914
2016-03-30,75.73,75.91,75.28,75.42,3431516
2016-03-31,75.42,75.55,74.83,75.00,4527954
2016-04-01,74.56,75.51,74.35,75.37,4062341
2016-04-04,75.92,76.94,75.69,76.30,7715376
2016-04-05,75.49,75.95,74.63,75.49,7164668
2016-04-06,75.24,77.48,75.18,77.31,7790979
2016-04-07,77.31,77.46,75.75,76.14,4974070
2016-04-08,76.44,76.80,76.05,76.37,3579940
2016-04-11,76.37,76.67,75.59,75.66,3927384
2016-04-12,75.80,76.77,75.75,76.62,3813192
2016-04-13,77.00,77.41,76.83,77.34,3723410
2016-04-14,77.50,77.79,77.02,77.37,3620649
2016-04-15,77.28,77.65,76.50,77.10,4233494
2016-04-18,77.07,77.78,76.83,77.63,3519014
2016-04-19,77.86,78.11,77.65,78.11,3653959
2016-04-20,78.23,79.11,77.95,78.68,4443385
2016-04-21,78.58,79.00,78.05,78.52,4213448
2016-04-22,78.65,79.31,78.26,78.99,3652162
2016-04-25,78.78,79.75,78.68,79.39,4650260
2016-04-26,79.55,79.85,78.56,78.72,4979964
2016-04-27,78.97,79.69,78.66,79.45,7863919
2016-04-28,78.97,80.74,78.86,79.78,7266964
2016-04-29,79.41,79.68,78.77,79.15,7610083
2016-05-02,78.91,80.01,78.79,79.35,5582228
2016-05-03,79.17,79.80,79.01,79.44,3713626
2016-05-04,78.91,79.42,78.63,78.82,5154109
2016-05-05,79.14,79.91,79.10,79.50,5923016
2016-05-06,79.38,79.87,78.85,79.74,4054944
2016-05-09,79.83,80.70,79.83,80.33,4005210
2016-05-10,80.78,81.23,80.41,81.23,3766804
2016-05-11,81.25,81.56,80.96,81.11,3965696
2016-05-12,81.17,81.67,80.82,81.34,4720062
2016-05-13,81.00,81.50,80.55,80.71,4422520
2016-05-16,80.66,82.00,80.65,81.89,4278275
2016-05-17,81.50,81.82,80.48,80.81,4481932
2016-05-18,80.64,81.21,80.08,80.60,5374889
2016-05-19,80.43,80.67,79.64,80.00,5106445
2016-05-20,80.44,80.92,80.18,80.52,5196220
2016-05-23,80.57,80.67,80.24,80.30,3279851
2016-05-24,80.84,81.66,80.47,80.94,4869114
2016-05-25,81.08,81.46,80.94,81.08,4487238
2016-05-26,81.01,81.40,80.90,81.18,4011519
2016-05-27,81.00,81.69,80.97,81.69,5326621
2016-05-31,81.39,81.43,79.77,80.48,9514752
2016-06-01,80.11,80.80,79.89,80.52,5327193
2016-06-02,80.51,83.29,80.36,82.99,8854479
2016-06-03,82.99,83.21,82.35,82.94,5343829
2016-06-06,82.70,83.43,82.69,83.32,5424530
2016-06-07,83.33,84.13,83.24,83.72,5737994
2016-06-08,83.72,84.86,83.58,84.79,6077110
2016-06-09,84.50,85.87,84.47,85.78,7088795
2016-06-10,85.50,85.86,85.32,85.70,4211134
2016-06-13,85.42,86.31,85.42,85.70,5398466
2016-06-14,85.45,85.65,85.08,85.49,3786355
2016-06-15,85.87,85.92,84.15,84.23,6250035
2016-06-16,84.23,84.75,83.59,84.59,4014238
2016-06-17,84.58,84.60,83.45,84.14,5518212
2016-06-20,85.00,85.34,84.35,84.47,4919914
2016-06-21,84.84,84.98,83.93,84.59,4925047
2016-06-22,84.55,85.14,84.23,84.26,5578177
2016-06-23,85.10,85.77,84.65,85.77,5672501
2016-06-24,83.77,84.81,83.05,83.26,7511919
2016-06-27,81.27,82.65,80.52,82.38,6733362
2016-06-28,82.83,84.29,82.76,84.14,6027035
2016-06-29,84.34,85.73,84.34,85.45,5121235
2016-06-30,85.75,86.91,85.71,86.77,6356111
2016-07-01,86.87,87.38,86.56,87.03,4243482
2016-07-05,86.81,87.99,86.79,87.05,5601081
2016-07-06,86.47,87.55,86.36,87.45,5076526
2016-07-07,87.17,88.10,87.13,87.49,4697510
2016-07-08,87.87,88.56,87.52,88.36,4399398
2016-07-11,88.36,88.91,88.22,88.51,3680843
2016-07-12,88.81,89.25,88.50,88.92,4280010
2016-07-13,88.92,89.23,88.46,88.75,5534308
2016-07-14,89.19,89.24,88.66,88.83,3675967
2016-07-15,89.25,89.27,88.08,88.36,4743395
2016-07-18,88.43,88.69,88.00,88.19,3277101
2016-07-19,88.07,88.58,88.00,88.38,2989798
2016-07-20,87.86,89.01,87.86,88.75,2988815
2016-07-21,88.42,88.66,87.84,87.94,4003074
2016-07-22,87.83,87.83,86.25,87.10,8887907
2016-07-25,87.20,87.27,86.39,86.92,3299191
2016-07-26,86.57,88.35,86.55,88.25,4562045
2016-07-27,88.14,88.30,86.90,87.48,4742790
2016-07-28,87.42,88.18,86.96,87.42,2941265
2016-07-29,87.11,88.18,87.08,87.63,3464909
2016-08-01,87.41,88.26,87.14,88.06,4328563
2016-08-02,87.99,88.20,87.10,87.64,3197733
2016-08-03,87.57,87.62,86.46,86.67,3977089
2016-08-04,86.57,86.95,86.16,86.76,3560925
2016-08-05,86.83,87.14,86.74,87.09,3031406
2016-08-08,87.29,87.40,86.58,86.96,2871412
2016-08-09,87.15,88.07,86.97,87.74,3226340
2016-08-10,87.70,87.70,86.99,87.29,2869743
2016-08-11,87.32,87.94,87.11,87.80,2928792
2016-08-12,87.75,87.91,87.33,87.54,2418837
2016-08-15,87.43,88.17,87.18,87.91,3164903
2016-08-16,87.49,87.83,87.25,87.27,2593391
2016-08-17,87.27,87.72,86.37,87.13,4448237
2016-08-18,87.00,87.22,86.38,87.08,4131994
2016-08-19,86.77,87.32,86.44,87.04,5405005
2016-08-22,87.17,87.73,87.00,87.32,4130290
2016-08-23,87.78,88.65,87.62,87.80,3389799
2016-08-24,87.61,87.88,86.56,86.65,5312214
2016-08-25,85.99,86.32,84.28,85.39,7285270
2016-08-26,85.62,86.85,85.60,86.60,6181557
2016-08-29,86.77,87.66,86.50,87.46,3740184
2016-08-30,87.35,87.63,86.71,86.85,3089070
2016-08-31,86.88,87.40,86.04,87.03,5500745
2016-09-01,87.09,87.21,86.32,86.98,3116760
2016-09-02,87.22,87.86,87.18,87.32,3325299
2016-09-06,87.50,87.62,86.63,87.17,4149564
2016-09-07,86.89,87.10,85.99,86.15,4760730
2016-09-08,85.77,86.63,85.77,86.26,4187541
2016-09-09,85.91,85.91,84.85,84.87,5647975
2016-09-12,84.45,86.38,84.39,86.20,4529768
2016-09-13,85.60,86.01,84.66,84.84,5121154
2016-09-14,84.77,85.31,84.38,84.68,4111566
2016-09-15,84.66,86.00,84.38,85.66,4703058
2016-09-16,85.76,86.08,85.55,86.01,7781975
2016-09-19,86.02,86.77,85.93,85.99,4008456
2016-09-20,86.48,86.89,86.22,86.36,3874848
2016-09-21,86.44,87.36,86.09,87.14,3492488
2016-09-22,87.52,88.05,87.40,87.82,4351137
2016-09-23,87.61,88.00,87.43,87.71,3509067
2016-09-26,87.28,87.46,86.29,86.56,3729632
2016-09-27,86.16,86.78,85.73,86.67,3722731
2016-09-28,86.56,86.89,86.16,86.74,3209443
2016-09-29,86.86,87.46,85.06,85.40,4139006
2016-09-30,85.66,86.68,85.55,86.40,5116746
2016-10-03,86.00,86.44,85.71,86.39,3205333
2016-10-04,86.51,86.62,85.83,86.11,4092654
2016-10-05,86.12,86.62,86.04,86.30,2656435
2016-10-06,86.18,86.26,85.63,85.95,3057269
2016-10-07,86.22,86.50,85.59,85.96,3217174
2016-10-10,86.18,86.75,85.96,86.17,2815924
2016-10-11,85.96,85.99,82.27,83.20,9865199
2016-10-12,83.42,84.03,83.20,83.68,3861544
2016-10-13,83.37,83.85,82.86,83.31,4941254
2016-10-14,83.43,83.78,82.70,82.71,4042241
2016-10-17,82.53,82.78,82.40,82.57,3986835
2016-10-18,83.09,83.86,82.70,83.55,3510342
2016-10-19,83.77,84.03,83.45,83.67,3485890
2016-10-20,83.66,84.31,83.31,84.02,4438643
2016-10-21,83.32,84.03,83.21,83.91,4415015
2016-10-24,84.39,84.64,83.29,83.30,3777341
2016-10-25,83.34,83.42,82.29,82.47,3866554
2016-10-26,81.89,81.90,80.70,81.12,4626374
2016-10-27,81.30,81.69,80.83,81.13,3309122
2016-10-28,81.04,82.33,80.91,81.93,5281306
2016-10-31,80.95,82.12,80.88,82.02,6285420
2016-11-01,82.02,82.40,80.45,80.92,5663856
2016-11-02,81.04,81.78,80.94,81.09,4613146
2016-11-03,81.39,81.68,81.19,81.60,5526131
2016-11-04,81.69,83.02,81.64,82.14,5733241
2016-11-07,83.28,84.17,82.97,83.97,4537213
2016-11-08,83.85,85.09,83.50,84.34,4805474
2016-11-09,82.67,84.07,81.65,83.10,10004381
2016-11-10,83.59,83.59,82.35,82.72,6401748
2016-11-11,82.18,82.61,81.73,82.07,5199245
2016-11-14,82.22,82.22,76.39,78.75,12327788
2016-11-15,79.40,80.59,79.29,80.27,6878996
2016-11-16,80.25,81.05,79.75,80.89,4281885
2016-11-17,81.10,81.81,81.01,81.80,3792798
2016-11-18,81.71,81.91,80.82,80.93,4674186
2016-11-21,81.22,81.69,80.51,80.58,7387535
2016-11-22,74.25,75.36,72.03,73.60,31140321
2016-11-23,73.26,76.10,73.19,75.78,14397357
2016-11-25,76.41,76.44,75.08,75.52,3045998
2016-11-28,75.45,75.61,73.88,73.99,7525125
2016-11-29,74.40,74.71,72.77,73.42,6761028
2016-11-30,73.71,73.98,72.35,73.01,11613719
2016-12-01,73.01,73.24,71.03,71.88,9619233
2016-12-02,72.55,72.64,71.79,72.01,6521687
2016-12-05,72.56,72.66,71.53,71.67,8078168
2016-12-06,72.06,72.43,71.58,72.11,6504743
2016-12-07,71.90,72.30,71.05,72.22,7482162
2016-12-08,72.11,72.20,71.42,72.07,9466263
2016-12-09,72.25,73.41,72.07,73.35,7160431
2016-12-12,73.36,74.09,73.31,73.71,6144790
2016-12-13,73.92,74.31,73.07,73.37,6630678
2016-12-14,73.49,73.81,72.84,73.30,5439418
2016-12-15,73.33,73.98,72.93,73.44,6240281
2016-12-16,73.63,74.26,73.32,73.46,9969735
2016-12-19,73.52,73.78,73.01,73.10,4690755
2016-12-20,73.08,73.37,72.32,72.44,6851461
2016-12-21,72.12,72.32,71.22,71.58,7625308
2016-12-22,71.50,72.07,71.13,71.74,5846714
2016-12-23,71.76,72.24,71.53,71.95,3124965
2016-12-27,72.03,72.29,71.69,71.77,3256597
2016-12-28,71.87,72.49,71.72,71.81,5586882
2016-12-29,71.73,71.98,71.33,71.54,3893469
2016-12-30,71.79,72.00,71.08,71.23,5631289
2017-01-03,70.25,71.03,69.35,70.61,11166086
2017-01-04,70.90,71.66,70.82,71.27,7806858
2017-01-05,71.48,71.51,70.59,70.83,6217295
2017-01-06,71.14,72.88,71.11,72.87,8985597
2017-01-09,73.30,74.11,73.20,73.82,9671972
2017-01-10,74.27,75.27,74.12,74.90,7681728
2017-01-11,75.10,75.12,73.38,74.44,7475395
2017-01-12,74.06,75.23,73.74,75.11,6462636
2017-01-13,75.00,75.30,74.66,75.09,5455763
2017-01-17,75.06,75.95,74.37,75.82,7084447
2017-01-18,76.27,76.27,75.21,75.67,5834131
2017-01-19,75.30,75.72,74.94,75.30,6753866
2017-01-20,75.51,75.68,74.72,74.99,8898612
2017-01-23,74.72,75.14,74.36,74.77,4523412
2017-01-24,74.64,74.73,73.59,73.83,6430275
2017-01-25,73.99,74.61,73.59,74.49,6175363
2017-01-26,74.49,74.58,73.89,74.04,3699426
2017-01-27,74.54,75.23,74.47,74.95,4903098
2017-01-30,74.65,74.94,74.32,74.67,4386169
2017-01-31,74.59,76.23,74.27,76.02,7828178
2017-02-01,75.28,76.04,75.23,76.00,5625901
2017-02-02,75.59,76.29,75.44,75.92,5357470
2017-02-03,76.13,76.50,75.67,76.34,4985915
2017-02-06,76.32,76.34,75.52,75.98,3857424
2017-02-07,75.87,76.16,75.52,76.12,3898535
2017-02-08,76.07,76.14,75.52,75.60,3668198
2017-02-09,75.77,75.88,75.44,75.71,4367642
2017-02-10,75.86,76.26,75.71,76.15,3429243
2017-02-13,76.27,76.93,76.15,76.92,4081591
2017-02-14,77.00,77.30,76.46,77.05,3782240
2017-02-15,76.64,77.89,76.57,77.70,4244399
2017-02-16,77.72,78.00,77.16,77.99,4152633
2017-02-17,77.86,78.98,77.80,78.88,9954648
2017-02-21,80.00,80.98,79.80,80.56,7313051
2017-02-22,80.25,80.47,79.24,79.62,5509541
2017-02-23,80.25,80.93,79.95,80.74,4552670
2017-02-24,80.54,81.05,80.44,81.03,4489059
2017-02-27,81.03,81.16,80.65,80.75,3589002
2017-02-28,80.51,81.13,80.46,80.91,3749326
2017-03-01,81.31,82.28,80.96,82.07,4995977
2017-03-02,81.90,82.47,81.49,81.99,4069138
2017-03-03,81.62,82.00,81.34,81.86,2775683
2017-03-06,81.42,81.86,81.28,81.54,2681761
2017-03-07,81.18,81.72,81.10,81.40,2594882
2017-03-08,81.40,82.40,81.27,82.22,4018613
2017-03-09,82.15,82.88,81.89,82.79,3478828
2017-03-10,83.00,83.19,82.58,83.04,4034472
2017-03-13,82.99,83.19,82.44,82.89,3134236
2017-03-14,82.66,84.00,82.14,82.52,3591993
2017-03-15,82.60,83.45,82.57,83.30,3267104
2017-03-16,83.24,83.47,81.61,81.83,6347398
2017-03-17,81.81,82.34,81.70,82.23,11360911
2017-03-20,82.16,82.24,81.28,81.42,4423782
2017-03-21,81.80,81.90,80.72,81.12,5344814
2017-03-22,80.70,81.19,80.36,81.00,4419781
2017-03-23,80.74,81.35,80.68,80.86,4194914
2017-03-24,80.85,81.47,80.85,81.00,3010258
2017-03-27,80.70,81.16,80.39,81.03,5272212
2017-03-28,80.92,81.05,80.62,80.74,7442253
2017-03-29,80.83,81.33,80.45,81.14,5686691
2017-03-30,81.04,81.22,80.50,80.99,2425213
2017-03-31,80.75,81.11,80.55,80.56,3789950
2017-04-03,80.87,81.16,80.21,81.03,3250242
2017-04-04,81.00,81.07,80.48,80.62,3097911
2017-04-05,80.92,81.09,80.21,80.24,3620585
2017-04-06,80.68,80.68,79.82,80.22,3930636
2017-04-07,80.25,80.65,80.14,80.37,2515187
2017-04-10,80.30,80.61,80.12,80.30,2666891
2017-04-11,80.11,80.35,79.79,80.15,2642725
2017-04-12,79.77,80.16,79.65,80.10,3551357
2017-04-13,80.00,80.50,79.88,80.01,3440864
2017-04-17,80.17,80.41,79.91,80.36,2695306
2017-04-18,80.68,80.68,80.12,80.33,4543196
2017-04-19,80.75,80.75,80.27,80.32,3781707
2017-04-20,80.20,81.24,79.91,81.02,5324431
2017-04-21,80.99,81.07,80.29,80.48,3582332
2017-04-24,81.36,81.54,80.60,80.65,4153896
2017-04-25,80.76,82.21,80.75,81.76,4351083
2017-04-26,82.24,82.97,81.76,82.14,4451251
2017-04-27,82.22,83.50,82.12,83.13,4878111
2017-04-28,83.04,83.11,82.66,83.09,3915398
2017-05-01,83.01,84.06,83.01,83.74,4325896
2017-05-02,83.65,84.79,83.65,84.75,5266145
2017-05-03,84.71,84.71,83.91,84.09,3226126
2017-05-04,84.10,84.41,83.84,83.91,3669589
2017-05-05,84.15,84.21,83.79,84.00,4030096
2017-05-08,83.98,83.98,83.09,83.30,3913173
2017-05-09,83.33,83.77,83.19,83.34,3819867
2017-05-10,83.24,83.24,82.58,82.89,4942597
2017-05-11,82.45,83.02,82.20,83.01,3801137
2017-05-12,82.87,83.88,82.81,83.42,3019640
2017-05-15,83.41,84.25,83.13,84.14,3571950
2017-05-16,84.09,84.33,83.46,83.94,4635296
2017-05-17,82.89,83.51,82.59,82.66,5894014
2017-05-18,81.59,82.90,81.50,82.40,5226193
2017-05-19,82.45,83.51,82.23,83.23,4780448
2017-05-22,83.26,84.35,83.26,83.99,3912587
2017-05-23,84.10,84.92,83.94,84.61,4385962
2017-05-24,84.80,85.20,84.08,84.70,6669043
2017-05-25,85.21,86.00,83.86,85.58,7210686
2017-05-26,85.58,85.82,84.59,85.09,4796850
2017-05-30,85.11,85.33,84.50,84.86,4131612
2017-05-31,84.99,85.40,83.78,84.28,7442941
2017-06-01,84.61,86.08,84.37,86.08,7535314
2017-06-02,86.12,86.72,85.54,85.82,6162465
2017-06-05,85.59,86.02,85.41,85.95,3243898
2017-06-06,85.88,86.55,85.68,86.00,3627102
2017-06-07,86.37,86.46,85.84,85.98,3291880
