date,open,high,low,close,volume
2015-12-01,22.95,23.33,22.81,23.28,4241215
2015-12-02,23.20,23.78,23.11,23.43,5795733
2015-12-03,23.58,23.60,22.29,22.39,6325945
2015-12-04,22.37,22.71,22.19,22.63,3944215
2015-12-07,22.63,22.69,22.18,22.32,3129634
2015-12-08,21.83,22.21,21.34,21.91,6003640
2015-12-09,22.27,22.64,21.61,22.06,7775945
2015-12-10,22.13,22.35,21.73,22.06,6631751
2015-12-11,21.71,21.80,20.99,21.05,8137325
2015-12-14,20.97,21.12,20.18,20.81,9369341
2015-12-15,21.01,21.41,20.94,21.15,5937786
2015-12-16,21.44,22.18,21.30,22.08,6294850
2015-12-17,22.23,22.24,21.44,21.45,3276210
2015-12-18,21.39,21.73,21.14,21.17,4918836
2015-12-21,21.18,21.64,21.05,21.62,3748894
2015-12-22,21.68,21.87,21.37,21.74,2475035
2015-12-23,21.98,22.62,21.68,22.50,3113366
2015-12-24,22.42,22.58,22.30,22.51,950725
2015-12-28,22.33,22.74,22.16,22.63,2684543
2015-12-29,22.79,23.05,22.60,22.94,2581016
2015-12-30,22.81,23.00,22.50,22.52,2916464
2015-12-31,22.43,23.04,22.40,22.72,2406214
2016-01-04,22.06,22.29,21.75,22.25,7473606
2016-01-05,22.40,22.97,22.21,22.75,8259672
2016-01-06,22.23,22.61,22.01,22.39,6746191
2016-01-07,21.72,21.80,20.35,20.62,12776148
2016-01-08,20.83,21.21,20.35,20.49,8428641
2016-01-11,20.78,21.09,20.41,20.83,6309062
2016-01-12,21.09,21.71,20.62,21.13,7450684
2016-01-13,21.35,21.50,19.91,20.02,7829283
2016-01-14,20.02,20.57,19.51,20.27,7324875
2016-01-15,19.98,20.46,19.46,19.86,11495977
2016-01-19,20.30,20.30,19.26,19.63,7816311
2016-01-20,19.14,19.50,17.55,19.11,14078939
2016-01-21,19.16,19.37,18.66,19.02,6800400
2016-01-22,19.50,19.77,18.45,19.34,6068046
2016-01-25,19.40,19.75,18.86,18.89,4981199
2016-01-26,18.94,19.16,18.57,19.11,5806462
2016-01-27,19.22,19.79,19.13,19.47,7830975
2016-01-28,19.92,20.34,19.12,19.28,12525327
2016-01-29,19.45,20.17,19.44,20.08,8811566
2016-02-01,20.03,20.25,19.50,20.05,6854152
2016-02-02,19.81,19.87,18.96,19.09,7877391
2016-02-03,19.32,19.36,17.89,18.55,9291774
2016-02-04,18.63,19.18,18.47,18.77,7514575
2016-02-05,18.76,18.76,17.62,17.88,10225975
2016-02-08,17.70,17.77,16.36,16.87,13193324
2016-02-09,16.50,17.21,16.18,16.56,9303271
2016-02-10,16.75,17.80,16.75,17.17,9199646
2016-02-11,16.76,17.15,16.50,16.93,8621870
2016-02-12,17.34,18.23,17.33,18.11,11436780
2016-02-16,18.60,19.19,18.50,19.15,10125179
2016-02-17,19.27,20.14,19.27,20.07,13946189
2016-02-18,19.38,19.42,18.19,18.40,26319951
2016-02-19,18.23,18.23,17.34,18.06,15891417
2016-02-22,18.89,19.08,18.60,18.76,10291330
2016-02-23,18.65,18.81,18.14,18.22,6894508
2016-02-24,17.98,18.30,17.48,18.25,6525512
2016-02-25,18.30,18.46,17.74,18.34,7037252
2016-02-26,18.69,19.00,18.50,18.87,6832429
2016-02-29,18.87,19.18,18.74,18.93,5794495
2016-03-01,19.35,20.13,19.09,19.93,9277520
2016-03-02,20.09,20.46,19.77,20.27,7338842
2016-03-03,20.11,20.38,19.67,20.33,7424329
2016-03-04,20.38,20.39,19.56,19.81,10203265
2016-03-07,19.51,20.01,19.49,19.82,6153405
2016-03-08,19.52,19.84,19.28,19.33,8082187
2016-03-09,19.68,20.18,19.55,20.05,9833891
2016-03-10,20.20,20.49,20.02,20.34,6494230
2016-03-11,20.51,20.83,20.50,20.81,4859817
2016-03-14,20.71,21.19,20.70,20.94,4929403
2016-03-15,21.17,21.43,20.47,20.67,5183000
2016-03-16,20.66,21.30,20.63,21.20,6577474
2016-03-17,21.20,21.58,20.87,20.95,8799940
2016-03-18,21.45,21.75,21.05,21.42,11794696
2016-03-21,21.40,21.45,20.82,20.97,6711475
2016-03-22,20.82,21.26,20.80,21.24,4605454
2016-03-23,21.10,21.11,20.68,20.76,3596000
2016-03-24,20.51,20.72,20.20,20.52,7017697
2016-03-28,20.52,20.64,20.14,20.45,5422510
2016-03-29,20.59,21.52,20.25,21.22,8629017
2016-03-30,21.48,21.68,21.14,21.29,7181479
2016-03-31,21.26,21.56,21.09,21.44,4851402
2016-04-01,21.16,22.00,21.02,21.92,6238410
2016-04-04,21.82,22.10,21.49,21.62,5648850
2016-04-05,21.31,21.55,21.23,21.27,5079603
2016-04-06,20.99,21.39,20.59,21.36,8746507
2016-04-07,21.49,22.27,21.39,21.67,9710399
2016-04-08,22.02,22.52,21.92,22.39,12677588
2016-04-11,22.60,22.68,22.04,22.06,7688137
2016-04-12,22.07,22.75,22.01,22.65,6212465
2016-04-13,22.90,23.16,22.71,23.10,6524000
2016-04-14,23.23,23.29,22.58,22.81,6437373
2016-04-15,22.82,22.89,22.64,22.79,2723192
2016-04-18,22.57,22.93,22.49,22.87,5098425
2016-04-19,23.09,23.34,22.67,23.03,8552866
2016-04-20,23.05,23.25,22.63,22.79,8980536
2016-04-21,22.38,22.60,21.90,22.29,7889198
2016-04-22,22.22,22.58,21.94,22.17,5316366
2016-04-25,22.17,22.18,21.68,21.76,4144997
2016-04-26,21.81,22.05,21.63,21.84,3837609
2016-04-27,21.70,22.02,21.55,21.93,3947713
2016-04-28,21.78,21.92,21.33,21.35,4408171
2016-04-29,21.37,21.55,21.17,21.30,4878488
2016-05-02,21.57,21.89,21.54,21.67,4147162
2016-05-03,21.43,21.57,21.20,21.44,4000578
2016-05-04,21.14,21.51,21.12,21.47,8044910
2016-05-05,21.60,22.27,21.27,21.87,14302886
2016-05-06,21.80,22.39,21.68,22.01,7152595
2016-05-09,21.82,22.13,21.66,21.85,5272586
2016-05-10,21.91,22.66,21.90,22.58,5457738
2016-05-11,22.47,22.56,22.00,22.01,5640410
2016-05-12,22.07,22.31,21.67,21.94,4816407
2016-05-13,21.80,22.16,21.60,21.63,4295741
2016-05-16,21.79,22.16,21.69,22.08,3590736
2016-05-17,22.06,22.34,21.89,21.98,4288889
