date,open,high,low,close,volume
2015-12-01,158.24,160.18,156.85,159.34,722579
2015-12-02,159.98,160.73,157.31,157.96,814331
2015-12-03,158.06,159.88,152.30,153.64,774366
2015-12-04,154.72,156.01,151.76,155.27,507190
2015-12-07,154.12,154.73,146.69,147.31,1143397
2015-12-08,145.56,150.67,144.76,148.56,728438
2015-12-09,148.41,149.78,143.04,144.46,730666
2015-12-10,143.87,146.40,141.25,143.65,1083505
2015-12-11,141.52,144.37,141.41,142.09,666563
2015-12-14,142.47,143.46,140.05,142.62,642550
2015-12-15,143.62,146.86,143.09,145.10,466457
2015-12-16,146.18,148.33,143.80,147.67,591079
2015-12-17,148.05,148.05,142.64,142.74,596110
2015-12-18,142.25,142.41,139.56,139.91,1078372
2015-12-21,140.36,141.36,139.30,141.00,546023
2015-12-22,141.42,142.15,139.07,139.84,776613
2015-12-23,141.39,143.92,139.65,142.96,931354
2015-12-24,142.96,143.46,142.04,142.33,105697
2015-12-28,141.86,142.51,138.36,139.81,451185
2015-12-29,141.00,142.15,139.00,140.66,518880
2015-12-30,140.62,141.06,137.09,137.29,509458
2015-12-31,136.91,139.10,136.20,136.58,603368
2016-01-04,134.59,136.01,132.34,135.81,1200840
2016-01-05,136.19,136.63,132.91,133.18,945863
2016-01-06,130.59,132.79,129.26,129.83,822998
2016-01-07,127.60,133.74,126.37,129.56,1356205
2016-01-08,130.01,130.39,125.62,126.13,891051
2016-01-11,126.75,127.56,123.95,124.73,1197309
2016-01-12,125.95,129.53,125.01,127.96,981457
2016-01-13,128.17,128.92,121.97,122.88,1247670
2016-01-14,123.29,125.20,121.57,123.61,903750
2016-01-15,120.88,125.69,119.58,124.69,872693
2016-01-19,125.97,126.48,117.95,119.19,1379820
2016-01-20,117.47,118.27,113.49,117.00,1599776
2016-01-21,117.44,119.34,115.61,118.37,1579168
2016-01-22,120.58,126.16,120.58,123.60,1032204
2016-01-25,122.78,123.38,116.66,117.36,880110
2016-01-26,118.53,119.80,116.36,119.63,952079
2016-01-27,119.75,122.30,118.14,120.00,659766
2016-01-28,121.41,122.78,117.70,118.46,503258
2016-01-29,119.17,126.59,117.79,125.58,1248567
2016-02-01,124.39,126.05,123.43,123.72,875148
2016-02-02,121.95,122.76,117.58,121.19,1105112
2016-02-03,122.89,123.44,118.00,121.31,965954
2016-02-04,122.04,126.56,122.04,124.41,1428592
2016-02-05,124.24,125.21,121.31,123.05,947711
2016-02-08,121.74,122.19,115.84,117.85,1146816
2016-02-09,113.08,133.58,108.31,128.88,3226989
2016-02-10,130.76,138.00,128.83,131.38,1915405
2016-02-11,128.19,133.47,126.69,129.40,1588759
2016-02-12,131.83,136.23,129.31,132.86,1141501
2016-02-16,134.31,136.39,131.25,135.41,942211
2016-02-17,136.38,142.57,134.40,138.91,990979
2016-02-18,138.92,141.90,134.92,136.06,643555
2016-02-19,135.57,138.92,133.62,135.98,683894
2016-02-22,137.32,140.77,137.32,140.05,710124
2016-02-23,138.75,141.12,137.42,138.39,680848
2016-02-24,136.61,143.20,135.93,142.74,763275
2016-02-25,142.71,145.37,140.44,143.50,735652
2016-02-26,144.17,144.80,140.80,142.20,588749
2016-02-29,142.72,144.67,142.07,142.62,647458
2016-03-01,144.49,149.00,142.30,146.76,891727
2016-03-02,145.77,147.91,144.04,147.56,740760
2016-03-03,148.52,149.52,145.98,148.43,877889
2016-03-04,147.93,150.10,146.04,147.85,955191
2016-03-07,149.00,155.92,148.25,154.64,1375202
2016-03-08,153.22,154.62,151.04,152.20,889994
