date,open,high,low,close,volume
2015-12-01,57.66,57.96,57.27,57.89,4852124
2015-12-02,57.89,58.40,57.75,57.84,5269450
2015-12-03,57.70,58.00,56.86,57.09,5164952
2015-12-04,57.46,58.57,57.43,58.51,7450858
2015-12-07,58.59,58.91,58.07,58.27,4262020
2015-12-08,58.18,58.36,57.76,58.23,3227285
2015-12-09,58.02,58.47,57.05,57.33,5486540
2015-12-10,57.48,57.66,56.83,57.18,4717780
2015-12-11,56.72,57.09,56.24,56.46,5311341
2015-12-14,56.39,57.59,56.17,57.52,6497346
2015-12-15,57.78,58.24,57.16,57.34,6042869
2015-12-16,57.72,59.15,57.40,58.95,6865146
2015-12-17,58.79,58.95,58.34,58.43,5165739
2015-12-18,58.13,58.19,57.11,57.13,11699072
2015-12-21,57.43,57.72,56.64,57.44,7882081
2015-12-22,57.17,57.89,56.75,57.77,6713743
2015-12-23,57.94,58.49,57.68,58.43,4149378
2015-12-24,58.32,58.58,58.25,58.29,1785163
2015-12-28,58.11,58.44,57.83,58.27,3376916
2015-12-29,58.59,58.99,58.35,58.92,3813345
2015-12-30,58.98,59.13,58.62,58.80,3236752
2015-12-31,58.51,58.70,58.10,58.21,3652152
2016-01-04,57.54,57.58,56.56,57.39,6800576
2016-01-05,57.48,58.74,57.42,58.55,6408068
2016-01-06,58.05,59.47,58.00,59.17,7686571
2016-01-07,57.92,59.30,57.83,58.14,7314290
2016-01-08,58.32,59.23,58.03,58.24,7059510
2016-01-11,58.68,59.74,58.68,59.46,8229159
2016-01-12,59.96,60.08,58.92,59.38,5629080
2016-01-13,59.35,59.35,57.70,57.78,7714763
2016-01-14,57.70,58.70,57.51,58.22,6739111
2016-01-15,57.05,58.15,56.83,57.20,9785905
2016-01-19,57.78,58.65,57.69,58.40,7911477
2016-01-20,57.60,58.14,56.15,57.22,9566699
2016-01-21,57.48,57.74,56.76,57.45,6151584
2016-01-22,58.15,58.41,57.52,58.28,6450061
2016-01-25,58.49,59.14,58.27,58.40,6677752
2016-01-26,58.71,59.70,58.35,58.96,8361150
2016-01-27,58.99,60.12,58.51,58.96,8297161
2016-01-28,58.11,59.89,58.02,59.63,7445913
2016-01-29,60.22,61.18,60.02,61.11,10240160
2016-02-01,60.73,61.38,60.70,60.94,6026775
2016-02-02,60.44,60.80,60.05,60.49,6585033
2016-02-03,60.50,61.02,59.13,59.84,7979945
2016-02-04,59.35,59.96,58.87,59.48,6367481
2016-02-05,59.80,60.00,58.84,59.80,7506666
2016-02-08,59.11,60.42,59.00,60.12,7922853
2016-02-09,60.15,61.13,59.73,60.45,7670848
2016-02-10,60.61,61.08,59.91,60.05,6137484
2016-02-11,59.57,60.30,59.18,59.99,5866209
2016-02-12,60.33,60.64,59.51,59.97,6719716
2016-02-16,60.26,60.54,59.73,60.30,6590893
2016-02-17,60.47,60.75,59.85,60.40,5311747
2016-02-18,60.32,60.70,60.23,60.62,5524670
2016-02-19,60.62,60.93,60.03,60.56,4982402
2016-02-22,61.02,61.36,60.71,61.21,4593926
2016-02-23,61.22,61.77,61.04,61.52,4686091
2016-02-24,61.20,61.42,60.63,61.36,4186882
2016-02-25,61.50,62.45,61.38,62.38,5207280
2016-02-26,62.53,62.53,61.28,61.54,5543565
2016-02-29,61.49,62.24,61.27,61.57,6266366
2016-03-01,62.13,62.29,61.32,61.73,7102561
2016-03-02,61.48,61.69,61.03,61.50,5623093
2016-03-03,61.50,62.28,61.16,62.23,5119081
2016-03-04,62.15,63.06,61.88,62.98,5930922
2016-03-07,62.86,63.08,61.60,61.81,9980310
2016-03-08,61.77,62.39,61.45,62.30,5841992
2016-03-09,62.64,62.89,62.40,62.81,5932812
2016-03-10,62.91,63.15,62.42,63.00,6126096
2016-03-11,62.80,62.86,61.73,62.01,7469775
2016-03-14,62.14,62.30,61.57,62.01,4755081
2016-03-15,61.69,62.06,61.67,61.86,5815236
2016-03-16,61.83,62.22,61.28,62.07,5282311
2016-03-17,62.07,62.68,62.01,62.33,7363872
2016-03-18,62.39,62.44,61.39,61.54,16651969
2016-03-21,61.45,62.00,61.06,61.72,4124719
2016-03-22,61.45,61.66,60.77,61.00,5198884
2016-03-23,60.86,61.78,60.33,61.41,6229325
2016-03-24,60.81,61.29,60.51,60.88,5652718
2016-03-28,60.87,61.85,60.85,61.63,4468520
2016-03-29,61.86,62.58,61.48,62.03,8973299
2016-03-30,62.16,62.80,62.03,62.58,6623081
2016-03-31,62.58,62.99,62.37,62.66,6442821
2016-04-01,62.35,63.15,62.11,63.06,5848650
2016-04-04,63.03,63.30,62.67,63.23,5093085
2016-04-05,63.04,63.27,62.79,62.93,4729070
2016-04-06,63.00,63.64,62.92,63.56,5581468
2016-04-07,63.22,63.71,62.83,63.41,5600245
2016-04-08,63.42,63.96,63.42,63.80,5044955
2016-04-11,64.11,64.16,63.22,63.31,6001550
2016-04-12,63.60,63.98,63.33,63.82,4980593
2016-04-13,64.11,64.11,61.03,62.07,14748219
2016-04-14,62.19,62.66,61.50,61.59,7386693
2016-04-15,61.71,61.75,60.85,61.68,6738709
2016-04-18,61.63,62.42,61.58,62.17,4345213
2016-04-19,61.99,62.09,61.13,61.71,4966505
2016-04-20,61.57,61.92,61.21,61.48,4636948
2016-04-21,61.35,61.42,60.09,60.18,6611960
2016-04-22,60.24,60.56,59.48,60.52,6978641
2016-04-25,60.50,61.23,60.19,61.22,4786290
2016-04-26,61.27,61.53,60.79,61.35,5619443
2016-04-27,61.44,61.98,60.98,61.55,6247210
2016-04-28,61.60,62.59,61.56,62.19,5573437
2016-04-29,62.28,63.13,62.25,62.71,6470326
2016-05-02,62.83,63.42,62.60,63.12,4740404
2016-05-03,63.05,63.46,62.78,63.20,5197982
2016-05-04,62.94,63.59,62.69,63.23,5470690
2016-05-05,62.67,63.58,62.59,62.84,8835634
2016-05-06,62.72,63.21,62.66,62.93,7225684
2016-05-09,63.16,63.78,62.92,63.66,6759274
2016-05-10,63.98,64.65,63.71,64.60,6489199
2016-05-11,64.53,64.87,64.32,64.61,4776418
2016-05-12,64.66,65.24,64.35,65.02,5652841
2016-05-13,64.70,65.53,64.37,64.58,5643829
2016-05-16,64.30,64.93,63.66,64.76,4823735
2016-05-17,64.45,64.49,63.50,63.88,6949454
2016-05-18,63.71,63.74,62.65,62.99,6277100
2016-05-19,62.88,63.38,62.57,63.35,4379774
2016-05-20,63.59,63.70,62.76,62.96,4815445
2016-05-23,62.99,63.35,62.81,63.24,3709788
2016-05-24,63.59,64.12,63.51,63.79,5209705
2016-05-25,63.79,64.15,63.64,63.92,4266053
2016-05-26,63.85,64.09,63.65,64.00,3732753
2016-05-27,64.06,64.27,63.67,63.96,3255749
2016-05-31,64.12,64.29,63.24,63.64,6923006
2016-06-01,63.68,64.50,63.66,64.35,5993478
2016-06-02,64.26,64.36,63.92,64.31,3673047
2016-06-03,64.50,65.50,64.39,65.30,6829563
2016-06-06,65.46,65.65,64.88,65.20,4813985
2016-06-07,65.22,65.44,64.97,65.10,4177240
2016-06-08,65.02,65.68,64.87,65.62,5437662
2016-06-09,65.50,66.00,65.25,65.86,4638060
2016-06-10,65.56,66.19,65.52,66.13,5216630
2016-06-13,65.50,65.90,64.81,64.84,7765225
2016-06-14,64.97,65.39,64.52,65.30,7870386
2016-06-15,65.43,65.72,64.83,65.33,5361508
2016-06-16,65.33,66.00,65.06,65.95,5788450
2016-06-17,65.85,65.93,64.94,65.40,7311746
2016-06-20,65.77,66.18,65.57,65.88,5787250
2016-06-21,66.29,66.75,66.16,66.18,4710797
2016-06-22,66.36,66.60,66.09,66.15,4919448
2016-06-23,66.49,66.57,65.96,66.31,5041975
2016-06-24,65.14,68.00,65.07,67.02,17092037
2016-06-27,67.07,67.98,66.95,67.93,11198743
