date,open,high,low,close,volume
2015-12-01,31.50,32.25,31.28,31.82,5679144
2015-12-02,31.81,31.85,30.43,30.71,4906310
2015-12-03,30.94,31.15,30.54,31.03,5467063
2015-12-04,31.00,31.05,30.09,30.88,6470666
2015-12-07,30.72,32.26,30.37,32.05,9706163
2015-12-08,31.82,31.93,30.00,30.02,8153987
2015-12-09,30.23,30.99,30.19,30.84,5394222
2015-12-10,30.82,31.45,30.02,30.07,4687172
2015-12-11,29.86,29.94,29.28,29.37,4180056
2015-12-14,29.36,29.49,28.27,28.70,5010623
2015-12-15,28.84,29.62,28.84,29.47,4210906
2015-12-16,29.68,30.13,28.94,30.09,4558834
2015-12-17,30.03,30.14,28.82,28.84,4880750
2015-12-18,28.73,29.38,28.50,28.54,12515385
2015-12-21,28.71,28.80,26.96,27.24,8913415
2015-12-22,27.40,28.95,27.37,28.70,6796767
2015-12-23,28.96,30.50,28.90,30.01,6161353
2015-12-24,30.09,30.45,29.63,29.75,1668902
2015-12-28,29.60,29.63,28.62,28.98,3238082
2015-12-29,29.17,29.35,28.52,28.87,3260919
2015-12-30,28.91,29.08,28.17,28.35,3015958
2015-12-31,28.06,28.30,27.53,27.59,4235834
2016-01-04,27.31,28.43,27.22,28.42,7316363
2016-01-05,28.66,28.67,27.87,28.30,4995749
2016-01-06,27.83,27.85,26.27,26.44,5965357
2016-01-07,26.17,26.34,25.34,25.53,5565189
2016-01-08,25.50,25.60,24.77,24.91,5372340
2016-01-11,25.00,25.07,23.52,23.80,7972666
2016-01-12,24.30,24.77,23.65,24.56,8549868
2016-01-13,24.75,25.17,24.03,24.14,6384269
2016-01-14,24.08,25.38,23.76,25.06,7342210
2016-01-15,24.44,25.68,24.23,25.47,9118903
2016-01-19,25.76,25.95,24.25,24.83,7747056
2016-01-20,24.38,24.40,22.69,23.93,8875762
2016-01-21,24.11,24.97,23.79,24.62,5979173
2016-01-22,25.25,26.23,23.36,23.85,9015752
2016-01-25,23.22,23.22,22.16,22.40,7811417
2016-01-26,22.43,23.09,22.40,22.85,5044073
2016-01-27,22.81,23.20,22.16,22.57,5721879
2016-01-28,22.49,23.18,22.05,23.00,5406316
2016-01-29,23.45,24.10,22.79,24.10,7734413
2016-02-01,23.95,24.07,23.02,23.92,5736439
2016-02-02,23.63,23.63,22.02,22.10,6300482
2016-02-03,22.44,23.94,22.43,23.93,5728357
2016-02-04,23.96,25.37,23.96,24.80,8350076
2016-02-05,24.70,25.46,24.21,24.86,4653965
