date,open,high,low,close,volume
2015-12-01,58.82,59.54,58.03,59.34,4668010
2015-12-02,59.11,59.99,57.53,58.01,5086581
2015-12-03,58.24,58.52,54.32,54.44,9487577
2015-12-04,54.83,56.31,54.40,55.63,7325169
2015-12-07,54.88,55.55,52.56,53.69,7262492
2015-12-08,52.82,53.53,52.52,52.73,4990872
2015-12-09,52.54,53.05,50.77,51.98,7150906
2015-12-10,52.24,53.23,51.63,52.35,4236083
2015-12-11,51.49,51.78,49.43,49.62,6665421
2015-12-14,49.29,49.42,47.58,47.99,9474171
2015-12-15,48.96,49.74,48.35,49.16,9240229
2015-12-16,49.16,49.98,48.81,49.70,6943519
2015-12-17,49.93,51.90,49.87,51.32,6734108
2015-12-18,51.35,51.64,50.27,50.35,8334121
2015-12-21,50.58,51.42,50.23,51.40,5264584
2015-12-22,51.79,52.45,51.27,51.60,4619219
2015-12-23,52.02,52.73,51.53,52.71,4457698
2015-12-24,52.45,53.08,51.93,52.64,1372138
2015-12-28,52.09,52.25,51.11,51.60,2325778
2015-12-29,52.34,52.51,51.80,52.16,1927807
2015-12-30,51.93,53.18,51.85,52.30,2757735
2015-12-31,51.99,52.56,51.36,51.84,2567899
2016-01-04,51.68,52.83,50.66,51.24,5497256
2016-01-05,51.40,52.22,50.04,50.60,5485119
2016-01-06,49.30,49.79,47.93,48.72,7328538
2016-01-07,47.84,48.86,47.29,47.99,7563519
2016-01-08,48.34,48.55,46.14,46.19,5025970
2016-01-11,46.44,46.97,44.28,45.72,7508740
2016-01-12,46.21,47.08,45.12,46.39,4931889
2016-01-13,46.71,46.77,41.85,42.28,9902160
2016-01-14,42.56,44.19,41.13,43.66,9076027
2016-01-15,41.86,42.75,41.04,41.42,7876147
2016-01-19,42.40,42.97,40.45,41.20,5665017
2016-01-20,40.17,41.14,38.95,40.50,7634249
2016-01-21,40.03,40.75,39.12,39.61,7611511
2016-01-22,40.69,43.98,40.50,42.83,9569587
2016-01-25,42.17,43.23,40.67,40.77,5850202
2016-01-26,41.08,41.58,40.37,41.56,5022212
2016-01-27,41.57,41.86,39.53,39.86,8433155
2016-01-28,41.14,41.48,39.50,40.22,4811048
2016-01-29,40.56,41.79,39.85,41.79,7007564
