date,open,high,low,close,volume
2015-12-01,68.48,69.17,67.87,68.88,306380
2015-12-02,68.92,69.25,67.09,67.29,320573
2015-12-03,67.51,68.16,66.34,66.56,247153
2015-12-04,66.54,67.53,66.32,67.17,362510
2015-12-07,67.15,67.25,66.45,66.68,220969
2015-12-08,66.02,66.61,65.52,66.22,144818
2015-12-09,66.12,66.12,64.44,64.55,276365
2015-12-10,64.50,64.74,63.83,64.50,248440
2015-12-11,63.62,64.37,63.08,63.38,200986
2015-12-14,63.30,65.46,62.53,62.90,236496
2015-12-15,63.35,64.33,62.05,64.06,222798
2015-12-16,64.26,64.68,63.05,63.78,169432
2015-12-17,64.12,64.76,63.21,63.22,141235
2015-12-18,62.83,63.88,62.11,63.15,491755
2015-12-21,63.46,64.42,63.40,64.39,115223
2015-12-22,64.52,64.63,63.22,64.53,124784
2015-12-23,64.80,64.81,63.97,64.45,119307
2015-12-24,64.45,65.06,64.14,64.57,61104
2015-12-28,64.33,64.63,63.37,64.27,94257
2015-12-29,64.55,65.45,64.12,65.13,160796
2015-12-30,65.13,65.44,64.72,64.78,174739
2015-12-31,64.54,64.87,63.53,63.71,269608
2016-01-04,62.45,62.58,60.59,60.97,351627
2016-01-05,60.93,61.53,59.37,59.90,362193
2016-01-06,59.00,59.60,58.54,58.91,282236
2016-01-07,57.97,59.20,56.90,57.21,380734
2016-01-08,57.36,58.82,57.20,57.35,416064
2016-01-11,57.57,58.93,56.93,58.43,204858
2016-01-12,59.14,59.35,58.04,59.09,264665
2016-01-13,59.17,59.68,57.78,58.19,251177
2016-01-14,58.61,60.07,58.15,59.81,318752
2016-01-15,57.85,58.38,56.33,57.42,394925
2016-01-19,57.97,58.68,56.24,57.30,352077
2016-01-20,56.61,59.03,55.81,58.24,394212
2016-01-21,58.65,60.66,57.02,60.04,455946
2016-01-22,61.04,61.95,60.52,61.59,325458
2016-01-25,61.07,62.46,61.05,61.36,400175
2016-01-26,61.61,61.95,61.00,61.32,258110
2016-01-27,60.91,61.19,59.50,59.66,170829
2016-01-28,60.44,60.68,60.05,60.38,184101
2016-01-29,60.90,62.70,60.73,62.57,418069
2016-02-01,62.47,62.82,60.32,62.30,231454
2016-02-02,61.48,61.94,58.14,58.98,426086
2016-02-03,59.48,59.75,57.54,58.26,384634
2016-02-04,58.00,58.51,57.12,58.26,839385
2016-02-05,61.20,62.49,59.16,60.01,858766
2016-02-08,58.99,60.69,55.42,56.36,1035115
2016-02-09,55.91,57.20,55.21,56.21,415878
2016-02-10,56.37,58.21,56.20,56.50,415269
2016-02-11,55.45,56.77,55.21,56.26,182445
2016-02-12,56.76,57.26,55.34,56.76,171798
2016-02-16,57.73,58.50,56.88,58.09,199596
2016-02-17,58.36,59.23,57.68,58.83,197348
2016-02-18,59.00,59.50,57.94,58.12,222605
2016-02-19,58.21,58.82,57.12,58.39,255660
2016-02-22,58.91,59.50,58.42,58.77,245716
2016-02-23,58.60,59.79,57.80,58.22,209469
2016-02-24,57.47,57.63,55.69,57.29,365170
2016-02-25,57.50,57.95,55.05,57.85,327079
2016-02-26,58.15,58.76,58.15,58.74,227839
2016-02-29,58.39,59.49,58.39,59.06,328786
2016-03-01,58.60,60.30,58.29,60.26,297658
2016-03-02,60.00,60.90,59.60,60.51,215112
2016-03-03,60.50,60.82,59.48,60.46,210143
2016-03-04,60.79,61.94,59.77,61.80,347583
2016-03-07,61.28,62.37,60.98,61.51,272789
2016-03-08,61.17,61.25,58.60,58.86,204863
2016-03-09,59.15,59.81,58.01,59.77,178445
2016-03-10,60.14,60.93,58.84,59.65,159077
2016-03-11,60.11,61.16,59.29,61.08,196891
2016-03-14,61.21,61.32,59.84,60.33,149804
2016-03-15,59.89,60.01,59.00,59.68,375201
2016-03-16,59.38,60.65,58.73,60.42,158125
2016-03-17,60.27,60.69,59.41,60.59,227248
2016-03-18,60.89,62.56,59.88,62.54,459007
2016-03-21,62.37,62.45,61.24,61.45,169216
2016-03-22,61.06,61.74,60.92,61.53,233224
2016-03-23,61.52,61.89,60.90,60.93,205877
2016-03-24,60.54,61.24,59.31,61.21,131534
2016-03-28,61.57,61.81,60.66,60.92,169740
2016-03-29,60.55,62.31,60.25,62.17,306268
2016-03-30,62.71,63.21,62.05,62.55,166503
2016-03-31,62.39,64.12,61.94,63.64,366926
2016-04-01,63.03,64.69,62.68,64.45,228480
2016-04-04,64.72,65.26,63.45,63.47,238348
2016-04-05,62.97,63.35,62.50,62.84,209830
2016-04-06,62.79,64.08,62.71,63.89,229349
2016-04-07,63.64,63.98,62.52,63.47,357053
2016-04-08,63.81,64.25,63.40,63.65,199950
2016-04-11,64.06,64.40,63.40,63.52,166718
2016-04-12,63.68,64.17,62.95,63.54,197627
2016-04-13,63.95,66.02,63.68,65.89,305276
2016-04-14,65.89,66.00,64.32,65.26,246691
2016-04-15,64.98,65.74,64.48,64.69,221384
2016-04-18,64.18,65.21,64.18,64.92,202624
2016-04-19,65.13,65.13,63.41,63.94,287101
2016-04-20,63.70,65.32,63.54,63.76,218092
2016-04-21,63.58,64.02,63.01,63.41,240160
2016-04-22,63.17,64.73,63.17,64.19,247105
2016-04-25,63.53,64.55,63.35,63.70,203549
2016-04-26,64.02,65.54,63.81,64.94,212831
2016-04-27,64.68,66.24,63.67,65.36,204886
2016-04-28,65.03,65.46,63.95,64.19,204687
2016-04-29,64.28,64.35,61.92,62.42,310342
2016-05-02,61.09,63.72,61.09,63.51,412728
2016-05-03,65.50,65.50,62.41,64.45,582696
2016-05-04,63.63,63.80,62.16,62.26,404715
2016-05-05,62.27,62.65,61.47,61.68,325768
2016-05-06,61.05,62.51,61.00,62.51,254364
2016-05-09,62.51,63.87,61.78,61.85,256244
2016-05-10,61.94,62.52,61.09,62.40,178733
2016-05-11,62.25,63.20,61.75,62.33,213208
2016-05-12,62.50,62.50,60.06,60.93,234082
2016-05-13,60.56,61.84,60.56,61.45,222521
2016-05-16,61.67,63.59,61.67,62.86,297657
2016-05-17,62.97,63.41,61.92,62.09,367757
2016-05-18,61.70,63.88,60.02,63.01,187714
2016-05-19,62.75,63.60,61.25,62.12,297743
2016-05-20,62.65,64.16,62.65,64.12,309609
2016-05-23,64.18,66.48,64.18,65.37,557794
2016-05-24,65.87,67.54,65.71,66.89,676305
2016-05-25,67.52,67.85,66.54,66.89,254375
2016-05-26,66.91,67.98,66.91,67.86,299500
2016-05-27,67.66,68.66,67.46,68.52,406905
2016-05-31,68.60,68.98,67.95,68.33,294561
2016-06-01,67.56,68.93,67.56,68.72,198838
2016-06-02,68.58,68.77,68.04,68.69,251024
2016-06-03,68.85,68.86,68.01,68.70,165904
2016-06-06,68.80,69.20,68.42,68.77,141645
2016-06-07,69.19,70.33,68.89,70.22,299467
2016-06-08,70.40,71.05,69.60,70.63,218865
2016-06-09,70.03,70.82,69.50,70.75,217480
2016-06-10,69.78,70.09,68.82,69.07,210320
2016-06-13,68.33,69.53,67.88,68.60,212415
2016-06-14,68.60,69.06,68.11,68.75,246472
2016-06-15,69.15,69.76,68.67,68.96,209276
2016-06-16,68.43,68.98,67.64,68.91,146981
2016-06-17,69.08,69.08,67.02,67.90,397492
2016-06-20,68.51,69.52,68.29,68.38,204661
2016-06-21,68.61,68.99,67.71,68.23,228216
2016-06-22,68.33,68.71,67.76,68.17,232966
2016-06-23,68.95,69.92,68.48,69.89,279847
2016-06-24,66.40,68.22,65.57,66.20,484119
2016-06-27,65.42,65.42,62.38,63.30,439431
2016-06-28,63.91,66.51,63.71,66.35,567609
2016-06-29,67.22,68.69,66.48,66.92,289377
2016-06-30,66.81,68.34,65.63,68.32,337061
2016-07-01,68.18,68.35,67.37,67.60,187014
2016-07-05,67.26,67.91,65.89,66.11,256638
2016-07-06,65.45,66.80,65.11,66.52,206168
2016-07-07,66.97,68.50,66.87,67.43,249427
2016-07-08,68.10,69.25,67.78,68.83,232535
2016-07-11,69.25,69.88,68.94,69.81,233519
2016-07-12,70.34,71.05,69.98,70.71,201502
2016-07-13,70.89,71.31,70.07,70.33,260713
2016-07-14,71.10,71.25,70.11,70.61,208235
2016-07-15,70.96,71.14,70.01,70.92,146455
2016-07-18,71.39,71.68,70.78,70.85,194060
2016-07-19,70.85,71.36,70.63,70.98,124638
2016-07-20,71.47,72.96,71.08,72.31,330726
2016-07-21,72.42,72.72,71.29,71.54,235561
2016-07-22,71.42,72.59,70.77,72.08,178494
2016-07-25,71.59,73.36,71.59,73.21,461223
2016-07-26,73.08,73.97,71.03,73.79,959119
2016-07-27,74.33,74.84,73.47,73.94,392197
2016-07-28,73.79,74.08,72.91,73.27,249713
2016-07-29,73.28,73.58,72.07,72.72,430012
2016-08-01,72.67,73.38,72.44,72.83,164313
2016-08-02,72.79,72.95,70.76,71.20,348927
2016-08-03,70.90,72.00,70.00,71.81,323632
2016-08-04,71.86,72.53,71.68,72.28,157171
2016-08-05,72.81,73.20,71.84,72.98,172206
2016-08-08,73.20,73.39,72.21,72.86,163990
2016-08-09,72.76,74.21,72.76,73.71,188802
2016-08-10,73.66,73.66,72.71,73.28,140459
2016-08-11,73.58,73.80,71.09,73.37,113668
2016-08-12,73.11,73.60,72.95,73.55,85189
2016-08-15,73.58,74.78,72.94,74.62,187761
2016-08-16,74.26,74.26,73.43,73.76,192999
2016-08-17,73.48,74.03,72.13,73.76,178695
2016-08-18,73.52,74.40,73.52,74.29,93083
2016-08-19,74.22,75.65,74.22,75.01,261351
2016-08-22,74.86,75.64,74.62,75.60,110350
2016-08-23,76.16,76.53,75.03,75.91,141837
2016-08-24,75.85,76.03,74.83,75.02,278812
2016-08-25,75.06,75.88,74.79,75.29,104004
2016-08-26,75.80,76.77,75.60,76.69,320331
2016-08-29,76.63,77.10,76.09,76.17,238975
