date,open,high,low,close,volume
2015-12-01,54.41,55.23,54.30,55.22,39952779
2015-12-02,55.32,55.96,55.06,55.21,47274879
2015-12-03,55.49,55.77,53.93,54.20,38627835
2015-12-04,54.12,56.23,54.10,55.91,43963662
2015-12-07,55.79,55.97,55.29,55.81,30709765
2015-12-08,55.47,56.10,54.99,55.79,32878026
2015-12-09,55.37,55.87,54.51,54.98,36353909
2015-12-10,55.39,55.66,55.01,55.27,31775826
2015-12-11,54.71,55.10,54.01,54.06,39549497
2015-12-14,54.33,55.21,53.68,55.14,47006491
2015-12-15,55.66,55.90,55.09,55.20,39842998
2015-12-16,55.54,56.24,54.76,56.13,37503300
2015-12-17,56.36,56.79,55.53,55.70,41280907
2015-12-18,55.77,56.00,54.03,54.13,83884164
2015-12-21,54.88,55.35,54.23,54.83,37246325
2015-12-22,54.99,55.48,54.50,55.35,28322241
2015-12-23,55.70,55.88,55.44,55.82,27279832
2015-12-24,55.86,55.96,55.43,55.67,9570002
2015-12-28,55.35,55.95,54.98,55.95,22458293
2015-12-29,56.29,56.85,56.06,56.55,27731403
2015-12-30,56.47,56.78,56.29,56.31,21704505
2015-12-31,56.04,56.19,55.42,55.48,27334061
2016-01-04,54.32,54.80,53.39,54.80,53777963
2016-01-05,54.93,55.39,54.54,55.05,34079674
2016-01-06,54.32,54.40,53.64,54.05,39518863
2016-01-07,52.70,53.48,52.07,52.17,56564852
2016-01-08,52.37,53.28,52.15,52.33,48753969
2016-01-11,52.51,52.85,51.46,52.30,36905256
2016-01-12,52.76,53.10,52.06,52.78,36095539
2016-01-13,53.80,54.07,51.30,51.64,66883571
2016-01-14,52.00,53.42,51.57,53.11,52381918
2016-01-15,51.31,51.97,50.34,50.99,71820697
2016-01-19,51.48,51.68,50.06,50.56,43564538
2016-01-20,49.98,51.38,49.10,50.79,63272993
2016-01-21,51.00,51.58,50.30,50.48,40191157
2016-01-22,51.41,52.33,51.26,52.29,37555789
2016-01-25,51.94,52.65,51.65,51.79,34707717
2016-01-26,51.79,52.44,51.55,52.17,28900820
2016-01-27,52.01,52.20,51.02,51.22,36775194
2016-01-28,51.85,52.21,51.25,52.05,62513789
2016-01-29,54.69,55.09,54.00,55.09,83611686
2016-02-01,54.88,55.09,54.49,54.71,44208542
2016-02-02,54.17,54.26,52.65,53.00,54803834
2016-02-03,53.25,53.39,51.26,52.16,57540614
2016-02-04,52.10,52.81,51.37,52.00,46987123
2016-02-05,51.94,52.00,49.56,50.16,62008994
2016-02-08,49.55,49.57,48.19,49.41,59290497
2016-02-09,49.02,50.24,48.67,49.28,46740474
2016-02-10,49.89,50.39,49.52,49.71,38236954
2016-02-11,48.68,50.11,48.51,49.69,48878571
2016-02-12,50.25,50.68,49.75,50.50,34243324
2016-02-16,50.90,51.09,50.13,51.09,37291207
2016-02-17,51.49,52.77,51.45,52.42,40788968
2016-02-18,52.33,52.95,52.10,52.19,27176035
2016-02-19,51.97,52.28,51.53,51.82,33559073
2016-02-22,52.28,53.00,52.28,52.65,25008291
2016-02-23,52.34,52.37,50.98,51.18,28895274
2016-02-24,50.69,51.50,50.20,51.36,33014457
2016-02-25,51.73,52.10,50.61,52.10,26939467
2016-02-26,52.60,52.68,51.10,51.30,35975925
2016-02-29,51.35,51.65,50.66,50.88,31654036
2016-03-01,50.97,52.59,50.92,52.58,33024535
2016-03-02,52.41,52.96,52.16,52.95,29289884
2016-03-03,52.97,52.97,51.78,52.35,24427813
2016-03-04,52.40,52.45,51.71,52.03,33034150
2016-03-07,51.54,51.80,50.58,51.03,38428816
2016-03-08,50.80,52.13,50.59,51.65,33835119
2016-03-09,51.89,52.85,51.85,52.84,28251588
2016-03-10,52.93,52.94,51.16,52.05,38387804
2016-03-11,53.00,53.07,52.38,53.07,32275677
2016-03-14,52.71,53.59,52.63,53.17,24083616
2016-03-15,52.75,53.59,52.74,53.59,21104763
2016-03-16,53.45,54.60,53.40,54.35,31632242
2016-03-17,54.21,55.00,54.00,54.66,28223947
2016-03-18,54.92,54.97,53.45,53.49,67625518
2016-03-21,53.25,53.93,52.93,53.86,23925716
2016-03-22,53.61,54.25,53.46,54.07,23124143
2016-03-23,54.11,54.24,53.74,53.97,20129015
2016-03-24,53.84,54.33,53.73,54.21,19949972
2016-03-28,54.21,54.29,53.33,53.54,17025050
2016-03-29,53.66,54.86,53.45,54.71,23924329
2016-03-30,54.93,55.64,54.90,55.05,22972560
2016-03-31,54.95,55.59,54.86,55.23,26359895
2016-04-01,55.05,55.61,54.57,55.57,24399193
2016-04-04,55.43,55.66,55.00,55.43,18928810
2016-04-05,55.19,55.30,54.46,54.56,19272255
2016-04-06,54.36,55.20,54.21,55.12,21188682
2016-04-07,54.87,54.91,54.23,54.46,19225092
2016-04-08,54.67,55.28,54.32,54.42,22167223
2016-04-11,54.49,55.15,54.30,54.31,21414227
2016-04-12,54.37,54.78,53.76,54.65,24944288
2016-04-13,55.12,55.44,54.89,55.35,20817961
2016-04-14,55.22,55.58,55.07,55.36,20877108
2016-04-15,55.30,55.92,55.11,55.65,28793753
2016-04-18,55.49,56.59,55.21,56.46,23785950
2016-04-19,56.63,56.77,55.68,56.39,29596827
2016-04-20,56.29,56.50,55.48,55.59,36195714
2016-04-21,55.80,56.23,55.41,55.78,38909096
2016-04-22,51.91,52.43,50.77,51.78,126834089
2016-04-25,51.78,52.13,51.63,52.11,33226948
2016-04-26,52.26,52.35,51.09,51.44,33532636
2016-04-27,51.48,51.50,50.55,50.94,43369256
2016-04-28,50.62,50.77,49.56,49.90,43134846
2016-04-29,49.35,50.25,49.35,49.87,48411684
2016-05-02,50.00,50.75,49.78,50.61,33114539
2016-05-03,50.34,50.41,49.60,49.78,26460244
2016-05-04,49.84,50.06,49.46,49.87,24257556
2016-05-05,49.87,50.30,49.73,49.94,25390718
2016-05-06,49.76,50.39,49.66,50.39,24787301
2016-05-09,50.49,50.59,50.00,50.07,17951598
2016-05-10,50.33,51.10,50.19,51.02,22890966
2016-05-11,51.13,51.78,51.00,51.05,24039140
2016-05-12,51.20,51.81,50.92,51.51,24102781
2016-05-13,51.44,51.90,51.04,51.08,22592342
2016-05-16,50.80,51.96,50.75,51.83,20032017
2016-05-17,51.72,51.73,50.36,50.51,27803514
2016-05-18,50.48,51.14,50.30,50.81,24907532
2016-05-19,50.47,50.62,49.82,50.32,23842318
2016-05-20,50.48,51.22,50.40,50.62,23905769
2016-05-23,50.60,50.68,49.98,50.03,26118720
2016-05-24,50.70,51.71,50.40,51.59,34757744
2016-05-25,51.92,52.49,51.79,52.12,24204566
2016-05-26,51.93,51.98,51.36,51.89,24335173
2016-05-27,51.92,52.32,51.77,52.32,17721438
2016-05-31,52.21,53.00,52.08,53.00,37653081
2016-06-01,52.44,52.95,52.44,52.85,25324828
2016-06-02,52.64,52.74,51.84,52.48,22840779
2016-06-03,52.38,52.42,51.60,51.79,23368291
2016-06-06,51.99,52.35,51.89,52.13,18243271
2016-06-07,52.24,52.73,52.10,52.10,20866770
2016-06-08,52.02,52.44,51.87,52.04,21149438
2016-06-09,52.00,52.00,51.49,51.62,20305664
2016-06-10,51.05,52.05,51.04,51.48,25833151
2016-06-13,49.58,50.72,49.06,50.14,83217844
2016-06-14,49.90,50.10,49.57,49.83,42576638
2016-06-15,49.78,50.12,49.69,49.69,33757639
2016-06-16,49.52,50.47,49.51,50.39,31188605
2016-06-17,50.41,50.43,49.82,50.13,45710516
2016-06-20,50.64,50.83,50.03,50.07,35607946
2016-06-21,50.20,51.43,50.16,51.19,34097825
2016-06-22,51.08,51.46,50.95,50.99,28816747
2016-06-23,51.28,52.06,51.15,51.91,29028833
2016-06-24,49.81,50.94,49.52,49.83,133502135
2016-06-27,49.10,49.15,48.03,48.43,50576699
2016-06-28,48.92,49.47,48.67,49.44,38140658
2016-06-29,49.91,50.72,49.80,50.54,31304021
2016-06-30,50.72,51.30,50.50,51.17,28527781
2016-07-01,51.13,51.72,51.07,51.16,21400392
2016-07-05,50.83,51.28,50.74,51.17,24806351
2016-07-06,50.78,51.54,50.39,51.38,28167461
2016-07-07,51.42,51.61,51.07,51.38,19585194
2016-07-08,51.73,52.36,51.55,52.30,28391026
2016-07-11,52.50,52.83,52.47,52.59,22269203
2016-07-12,52.94,53.40,52.78,53.21,27317555
2016-07-13,53.56,53.86,53.18,53.51,25356841
2016-07-14,53.84,53.99,53.58,53.74,24545520
2016-07-15,53.95,54.00,53.21,53.70,32024385
2016-07-18,53.70,54.34,53.55,53.96,31433864
2016-07-19,53.71,53.90,52.93,53.09,53336533
2016-07-20,56.15,56.84,55.53,55.91,89893301
2016-07-21,55.98,56.23,55.76,55.80,32776588
2016-07-22,56.08,56.63,55.78,56.57,32157167
2016-07-25,56.47,56.74,56.26,56.73,25610587
2016-07-26,56.52,57.29,56.51,56.76,28078995
2016-07-27,56.61,56.80,56.11,56.19,32327477
2016-07-28,56.00,56.37,55.72,56.21,37550379
2016-07-29,56.26,56.76,56.05,56.68,30558718
2016-08-01,56.60,56.75,56.14,56.58,26003419
2016-08-02,56.85,56.90,56.31,56.58,35121958
2016-08-03,56.68,57.11,56.49,56.97,22075616
2016-08-04,56.80,57.52,56.67,57.39,26587731
2016-08-05,57.65,58.21,57.45,57.96,29060971
2016-08-08,58.05,58.09,57.78,58.06,19473499
2016-08-09,58.17,58.50,58.02,58.20,16920721
2016-08-10,58.16,58.32,57.82,58.02,15756913
2016-08-11,58.03,58.45,58.03,58.30,18162301
2016-08-12,58.03,58.19,57.62,57.94,21655061
2016-08-15,58.01,58.50,57.96,58.12,19283902
2016-08-16,57.61,57.62,57.27,57.44,20523493
2016-08-17,57.54,57.68,57.23,57.56,18856423
2016-08-18,57.42,57.70,57.27,57.60,14214341
2016-08-19,57.43,57.73,57.20,57.62,17271044
2016-08-22,57.60,57.75,57.26,57.67,15221922
2016-08-23,57.90,58.18,57.85,57.89,18732373
2016-08-24,57.80,58.04,57.72,57.95,18151506
2016-08-25,57.88,58.29,57.78,58.17,18552579
2016-08-26,58.28,58.70,57.69,58.03,20941949
2016-08-29,58.18,58.60,58.10,58.10,16417207
2016-08-30,57.98,58.19,57.61,57.89,16930185
2016-08-31,57.65,57.80,57.30,57.46,20860269
2016-09-01,57.01,57.82,57.01,57.59,26075363
2016-09-02,57.67,58.19,57.42,57.67,18900489
2016-09-06,57.78,57.80,57.21,57.61,16278416
2016-09-07,57.47,57.84,57.41,57.66,17493359
2016-09-08,57.63,57.79,57.18,57.43,20146083
2016-09-09,56.80,57.52,56.21,56.21,35113833
2016-09-12,56.00,57.20,55.61,57.05,29302962
2016-09-13,56.50,56.65,56.05,56.53,30130213
2016-09-14,56.39,56.63,56.03,56.26,24274273
2016-09-15,56.15,57.35,55.98,57.19,27062614
