date,open,high,low,close,volume
2015-12-01,126.13,126.73,124.89,126.15,552893
2015-12-02,126.32,126.68,124.81,125.07,678064
2015-12-03,125.52,125.88,122.44,122.79,946256
2015-12-04,123.66,126.43,123.13,126.06,1147462
2015-12-07,125.61,126.00,124.42,125.59,831236
2015-12-08,124.37,124.99,123.28,123.56,842199
2015-12-09,123.01,123.79,120.19,120.98,989543
2015-12-10,121.28,123.93,120.69,122.65,873372
2015-12-11,120.61,121.27,119.50,120.41,836439
2015-12-14,121.03,121.58,118.64,120.87,1158144
2015-12-15,122.28,124.87,121.65,124.26,900200
2015-12-16,124.99,126.74,123.39,126.42,1036015
2015-12-17,126.99,127.39,124.66,124.74,1063094
2015-12-18,124.17,124.22,119.98,120.03,3568893
2015-12-21,121.21,122.16,119.37,120.64,726883
2015-12-22,121.06,122.03,119.95,121.77,592306
2015-12-23,122.31,123.37,121.70,123.25,406210
2015-12-24,122.89,124.00,122.57,123.33,510743
2015-12-28,122.62,122.72,121.08,122.66,419879
2015-12-29,123.19,124.23,122.90,124.00,409884
2015-12-30,123.85,123.99,122.60,122.64,310647
2015-12-31,121.80,122.90,121.18,121.18,797079
2016-01-04,119.24,119.24,116.23,117.48,1143611
2016-01-05,117.87,118.99,117.08,118.13,650066
2016-01-06,116.35,117.23,115.28,115.74,859735
2016-01-07,113.98,114.57,111.90,112.48,982437
2016-01-08,113.54,113.59,109.96,110.17,865651
2016-01-11,110.09,111.26,108.32,109.13,1260295
2016-01-12,110.38,110.74,109.02,110.49,1317806
2016-01-13,110.98,111.16,106.49,106.72,1595236
2016-01-14,107.05,107.98,105.42,107.21,1148775
2016-01-15,105.82,105.88,102.72,104.49,1711976
2016-01-19,105.69,108.23,104.42,106.35,1698126
2016-01-20,104.12,106.08,101.91,104.73,2039497
2016-01-21,104.72,104.95,101.83,102.24,1675455
2016-01-22,103.74,105.32,102.19,104.58,1778765
2016-01-25,104.17,104.46,101.51,101.79,1607126
2016-01-26,102.26,105.90,101.98,105.68,2693425
2016-01-27,105.31,109.34,104.65,107.55,2061424
2016-01-28,107.93,109.60,106.91,108.20,1678324
2016-01-29,109.04,110.23,108.59,110.18,1821489
2016-02-01,109.78,110.17,107.16,108.16,1308972
2016-02-02,106.57,106.57,104.78,105.56,1181287
2016-02-03,105.93,106.26,103.17,106.17,1245858
2016-02-04,105.90,109.56,105.88,108.19,1011514
