date,open,high,low,close,volume
2015-12-01,58.89,59.19,58.30,58.72,892085
2015-12-02,58.93,59.03,58.34,58.51,846286
2015-12-03,58.71,58.71,56.29,56.98,1367247
2015-12-04,56.98,59.09,56.96,58.94,949362
2015-12-07,58.70,58.94,57.31,58.28,865383
2015-12-08,57.04,58.10,56.76,57.92,1453838
2015-12-09,58.07,58.13,56.23,56.46,1068447
2015-12-10,56.26,56.56,55.74,55.96,1140674
2015-12-11,55.11,55.67,54.62,54.86,1618287
2015-12-14,54.93,56.12,54.80,56.08,1632588
2015-12-15,56.56,57.21,56.54,56.77,1180392
2015-12-16,57.10,57.29,56.19,56.89,1254504
2015-12-17,56.81,57.39,55.84,56.08,866283
2015-12-18,56.05,56.16,55.61,55.93,2283954
2015-12-21,56.49,57.27,55.99,56.47,910472
2015-12-22,56.85,58.13,56.26,58.01,1450977
2015-12-23,58.34,58.46,57.83,57.98,934933
2015-12-24,58.05,58.17,57.74,57.99,368041
2015-12-28,58.03,59.20,57.80,59.11,1279705
2015-12-29,59.54,60.11,59.18,59.38,1009449
2015-12-30,59.29,59.95,58.76,59.02,743323
2015-12-31,58.77,59.06,58.17,58.17,807922
2016-01-04,56.90,57.15,56.01,56.54,1299393
2016-01-05,56.59,57.53,56.52,57.40,1257373
2016-01-06,56.69,57.74,56.42,57.23,747902
2016-01-07,56.37,57.88,56.32,57.10,2842226
2016-01-08,57.47,57.51,55.72,55.81,1372917
2016-01-11,56.53,57.59,56.12,57.28,1509189
2016-01-12,57.89,57.96,57.28,57.58,1278599
2016-01-13,57.77,57.91,55.46,55.73,1448923
2016-01-14,56.09,57.99,55.79,57.49,1546334
2016-01-15,55.83,57.50,55.83,56.49,1438860
2016-01-19,57.21,58.14,57.08,57.47,1287409
2016-01-20,56.49,56.97,55.27,56.30,1245779
2016-01-21,56.35,57.29,55.74,55.78,1150558
2016-01-22,56.66,57.93,55.46,57.73,999363
2016-01-25,57.54,57.99,56.56,56.60,1075409
2016-01-26,57.09,58.62,56.76,58.53,1382065
2016-01-27,58.74,59.96,57.97,58.30,1714799
2016-01-28,57.98,59.85,56.25,58.89,1903699
2016-01-29,59.45,62.36,58.71,62.00,2291637
2016-02-01,61.96,62.11,60.39,61.74,2113828
2016-02-02,61.00,62.53,60.75,62.32,2162601
2016-02-03,62.54,62.77,60.40,61.60,2097379
2016-02-04,61.73,62.21,58.69,59.85,2508701
2016-02-05,60.28,60.65,58.53,59.40,1970608
2016-02-08,58.65,60.58,57.85,60.21,2041641
2016-02-09,59.97,62.20,59.95,61.49,1425924
2016-02-10,61.93,62.58,60.58,60.88,993620
2016-02-11,59.33,60.47,58.93,59.97,1044781
2016-02-12,61.46,61.54,60.08,61.31,783015
2016-02-16,62.55,62.61,60.94,61.66,883394
2016-02-17,61.89,63.21,61.83,62.96,986371
2016-02-18,63.19,63.53,62.69,62.88,1002091
2016-02-19,62.53,63.16,62.23,62.93,899554
2016-02-22,64.17,64.34,63.24,63.55,1145657
2016-02-23,64.47,64.95,63.08,63.14,1343774
2016-02-24,62.25,63.82,62.25,63.66,1011283
2016-02-25,63.88,64.53,63.36,64.51,1194181
2016-02-26,64.73,65.10,63.81,63.85,791086
2016-02-29,63.96,64.39,62.79,63.29,1375220
2016-03-01,63.82,64.42,63.17,64.27,1157300
2016-03-02,64.99,64.99,63.58,64.49,1778788
2016-03-03,64.56,65.24,63.86,65.20,880682
2016-03-04,65.25,65.49,64.08,64.94,1176889
2016-03-07,64.77,64.90,63.96,64.24,761014
