date,open,high,low,close,volume
2015-12-01,187.09,189.37,186.60,187.31,1036028
2015-12-02,186.92,187.82,185.42,185.69,750071
2015-12-03,185.97,186.38,182.01,183.06,1186656
2015-12-04,183.48,188.20,183.39,187.95,892156
2015-12-07,187.97,188.44,186.77,187.99,707731
2015-12-08,186.56,188.92,185.96,188.00,1213908
2015-12-09,187.16,188.57,185.08,186.55,1429776
2015-12-10,186.73,188.24,186.68,187.46,1568690
2015-12-11,185.60,187.11,185.06,186.02,1594205
2015-12-14,186.62,188.50,185.24,187.07,1257598
2015-12-15,188.03,189.75,187.61,187.84,1935551
2015-12-16,189.79,191.00,187.31,189.75,1423374
2015-12-17,189.91,190.50,188.29,188.31,2444722
2015-12-18,187.51,187.51,184.41,184.86,2907978
2015-12-21,186.00,189.07,185.50,189.01,1368102
2015-12-22,189.92,190.67,187.70,189.37,876616
2015-12-23,190.41,190.41,189.36,190.00,490421
2015-12-24,189.40,190.98,189.27,190.11,230218
2015-12-28,189.94,190.28,188.64,189.98,419082
2015-12-29,190.82,191.82,190.56,191.48,616199
2015-12-30,191.40,191.87,189.81,190.08,470855
2015-12-31,189.46,190.65,187.55,188.81,550575
2016-01-04,185.98,187.60,185.31,187.51,1476123
2016-01-05,187.85,192.86,187.85,192.39,2302181
2016-01-06,190.16,193.20,190.00,190.47,1879674
2016-01-07,187.90,189.68,186.01,188.11,2136078
2016-01-08,188.79,189.74,185.90,186.07,1503322
2016-01-11,187.48,188.71,185.51,188.11,1773845
2016-01-12,189.06,189.47,187.53,188.92,1010457
2016-01-13,189.00,189.44,184.57,184.86,1099210
2016-01-14,184.86,186.51,182.87,185.55,1062092
2016-01-15,181.00,185.10,180.32,184.21,1532791
2016-01-19,186.37,187.28,183.56,186.75,2210292
2016-01-20,183.84,185.17,178.98,182.56,1841500
2016-01-21,183.47,184.13,180.96,181.22,1031576
2016-01-22,183.23,184.45,182.01,184.11,857629
2016-01-25,184.09,184.60,181.62,181.83,993034
2016-01-26,181.47,182.74,178.87,182.50,1473428
2016-01-27,181.43,182.49,177.83,178.19,1613529
2016-01-28,176.40,181.19,175.00,180.15,2078998
2016-01-29,181.43,185.34,180.03,185.06,1832437
2016-02-01,186.38,189.75,184.62,188.64,1426396
2016-02-02,186.93,189.18,186.45,187.44,1123718
2016-02-03,188.61,190.05,186.86,189.77,1317316
2016-02-04,188.80,189.90,185.31,186.35,1550390
2016-02-05,186.72,188.59,185.34,186.49,1814874
2016-02-08,184.74,187.93,184.00,185.62,1693659
2016-02-09,184.17,188.39,184.01,187.32,1287939
2016-02-10,187.74,189.52,187.22,188.33,1013390
2016-02-11,185.12,186.57,180.10,183.91,1491514
2016-02-12,184.56,185.57,180.46,181.25,1594752
2016-02-16,182.40,185.89,180.15,184.22,2165516
