date,open,high,low,close,volume
2015-12-01,37.39,38.04,36.98,37.72,4851925
2015-12-02,36.90,37.91,36.90,37.08,5973439
2015-12-03,37.23,37.72,36.86,37.05,7340419
2015-12-04,36.49,37.53,36.16,36.59,9669992
2015-12-07,35.56,35.57,34.40,34.64,9045767
2015-12-08,33.97,34.47,33.44,33.50,8161191
2015-12-09,33.82,35.29,33.47,33.85,7078304
2015-12-10,33.63,34.40,33.51,33.80,4494801
2015-12-11,33.62,33.70,33.10,33.29,5988905
2015-12-14,33.31,33.68,32.89,33.56,6839583
2015-12-15,33.99,35.27,33.93,34.66,7144308
2015-12-16,34.41,35.04,33.85,34.32,5073489
2015-12-17,34.23,34.42,33.29,33.67,5322043
2015-12-18,33.54,33.78,33.22,33.27,9883861
2015-12-21,33.30,34.05,33.22,33.90,5926040
2015-12-22,33.89,34.51,33.81,34.34,3668951
2015-12-23,35.14,35.42,34.87,35.33,5536673
2015-12-24,35.34,35.39,34.77,34.80,2311725
2015-12-28,34.15,34.51,34.00,34.15,4181644
2015-12-29,34.71,34.73,34.01,34.24,4081496
2015-12-30,33.67,34.45,33.63,33.74,3224817
2015-12-31,33.55,33.93,33.17,33.49,4008121
2016-01-04,33.51,34.61,33.36,34.61,6573194
2016-01-05,34.01,34.22,33.09,33.62,5106206
2016-01-06,32.77,32.78,31.14,31.34,6500249
2016-01-07,30.68,31.48,30.26,30.74,7140387
2016-01-08,30.85,30.93,29.68,29.94,8322913
2016-01-11,30.01,30.15,29.55,29.95,7407099
2016-01-12,30.39,30.61,29.75,30.43,7235202
2016-01-13,30.82,31.01,29.01,29.08,8858373
2016-01-14,29.35,30.67,28.51,30.51,8102293
2016-01-15,29.13,29.98,29.04,29.95,8370118
2016-01-19,30.18,30.23,28.91,29.53,5937834
2016-01-20,28.80,30.23,28.54,29.72,8220253
2016-01-21,29.54,31.20,29.36,30.67,5519361
2016-01-22,31.58,31.96,30.44,31.23,7005823
2016-01-25,30.62,30.91,29.66,29.69,5904036
2016-01-26,30.12,30.86,29.88,30.43,5597630
2016-01-27,30.36,31.97,29.96,31.10,8121668
2016-01-28,32.04,32.63,30.85,31.06,8691015
2016-01-29,31.26,32.65,31.14,32.54,6403035
2016-02-01,31.93,32.35,31.07,31.99,5569919
2016-02-02,31.21,31.30,30.40,30.67,6609957
2016-02-03,28.13,28.19,26.10,28.00,29172993
2016-02-04,28.04,28.84,27.75,28.58,13847762
2016-02-05,28.27,28.92,27.96,28.47,10274500
2016-02-08,27.83,28.52,27.22,28.40,6807236
2016-02-09,28.24,28.25,27.02,27.56,8103190
2016-02-10,27.41,28.16,26.65,26.69,6189467
2016-02-11,26.18,26.70,25.74,26.34,8504350
2016-02-12,26.69,27.74,26.55,27.55,5811234
2016-02-16,28.05,28.20,27.34,28.06,5138435
2016-02-17,28.41,29.16,28.34,29.11,7315153
2016-02-18,29.42,29.49,28.67,29.35,5677053
2016-02-19,28.96,29.30,28.71,29.30,3857735
2016-02-22,30.02,30.13,29.37,29.40,5883253
2016-02-23,29.35,29.80,28.62,28.65,4649261
2016-02-24,27.94,28.30,27.27,28.24,5835781
2016-02-25,28.35,28.42,27.06,27.66,5656689
2016-02-26,28.37,29.31,28.29,28.81,5673973
2016-02-29,29.10,29.60,28.87,29.27,5920284
2016-03-01,29.64,30.00,29.14,29.51,7819637
2016-03-02,29.37,30.60,28.87,30.50,7331579
2016-03-03,30.62,31.99,30.47,31.76,10116160
2016-03-04,31.98,32.68,31.66,32.50,11051101
2016-03-07,32.28,35.20,32.21,34.93,17904466
2016-03-08,34.61,34.76,31.48,31.50,8552285
2016-03-09,31.37,32.15,30.60,31.38,6617924
2016-03-10,31.20,31.58,30.66,31.50,4549691
2016-03-11,32.17,33.54,32.04,33.39,5769921
2016-03-14,32.88,33.84,32.70,33.44,6166338
2016-03-15,32.95,33.17,32.05,33.11,4020306
2016-03-16,33.33,33.60,32.83,33.06,6428662
2016-03-17,33.42,34.53,33.08,33.99,7256581
2016-03-18,34.32,34.34,32.21,32.58,16760769
2016-03-21,32.22,32.61,31.66,32.57,5084323
2016-03-22,32.38,32.77,30.35,32.02,5459581
2016-03-23,31.89,32.32,31.21,31.38,5342985
2016-03-24,30.60,31.15,30.01,31.15,4877841
2016-03-28,31.34,31.64,30.91,31.49,4153375
2016-03-29,31.07,31.38,30.03,31.32,5294117
2016-03-30,31.69,31.89,30.81,31.10,3927126
2016-03-31,31.07,31.55,30.99,31.10,5424991
2016-04-01,30.36,30.51,29.13,29.53,6499118
2016-04-04,29.59,29.95,29.18,29.59,3949853
2016-04-05,29.42,29.58,28.70,29.03,4771974
2016-04-06,29.37,29.89,28.69,29.22,3892887
2016-04-07,29.11,29.34,28.21,28.57,5080244
2016-04-08,29.18,29.50,28.88,29.11,3441939
2016-04-11,28.25,28.40,27.08,27.32,12124458
2016-04-12,27.48,28.06,26.92,27.83,11332647
2016-04-13,27.99,29.27,27.77,29.21,9897279
2016-04-14,29.41,29.41,28.37,28.81,6854221
2016-04-15,28.42,28.45,27.50,27.68,8103196
2016-04-18,27.06,28.69,26.86,28.26,7283292
2016-04-19,28.53,29.48,28.31,29.22,7627985
2016-04-20,28.82,28.93,28.16,28.70,6835425
2016-04-21,28.85,29.04,28.53,28.55,4536984
2016-04-22,28.54,29.79,28.54,29.27,5064479
2016-04-25,29.06,29.78,28.96,29.32,6268455
2016-04-26,29.50,29.69,29.21,29.37,7176705
2016-04-27,30.47,32.23,30.46,31.70,10264697
2016-04-28,31.12,33.92,29.77,33.10,16778538
2016-04-29,33.33,36.49,33.28,36.04,13923952
2016-05-02,35.95,36.28,34.56,34.77,13885552
2016-05-03,34.19,34.90,33.29,34.82,7803870
2016-05-04,34.57,35.30,33.31,33.47,7110452
2016-05-05,34.10,34.25,32.79,33.29,5024958
2016-05-06,33.04,34.34,32.92,33.46,4018054
2016-05-09,33.10,33.27,31.39,31.42,7545262
2016-05-10,31.59,32.02,31.15,31.76,5026732
2016-05-11,31.65,32.69,31.20,32.36,5591406
2016-05-12,32.86,33.19,31.56,31.95,4443879
2016-05-13,31.63,32.08,31.11,31.16,3519186
2016-05-16,31.81,32.57,31.62,32.24,4159747
2016-05-17,32.24,33.15,32.07,32.82,6574040
2016-05-18,32.45,32.95,31.25,31.45,5284185
2016-05-19,31.06,31.65,30.91,31.09,6966343
2016-05-20,31.12,31.98,31.12,31.83,4106984
2016-05-23,31.53,31.84,31.34,31.56,3480728
2016-05-24,31.89,31.93,31.20,31.49,2936498
2016-05-25,31.82,32.78,31.73,32.67,3970946
2016-05-26,33.00,33.36,32.55,32.58,3729921
2016-05-27,32.58,32.69,32.18,32.62,2941973
2016-05-31,32.58,33.29,32.51,32.95,4846776
2016-06-01,32.33,32.58,31.52,32.10,4056442
2016-06-02,31.77,32.08,31.25,32.00,3010620
2016-06-03,32.11,32.55,31.75,32.09,2698397
2016-06-06,32.49,35.13,32.49,34.87,6680554
2016-06-07,35.21,36.53,35.17,36.25,5680108
2016-06-08,36.57,37.49,36.57,36.98,4682158
2016-06-09,36.14,36.59,35.85,36.34,4217385
2016-06-10,35.75,36.04,34.98,35.03,3952957
2016-06-13,34.32,35.18,34.24,34.59,3384711
