date,open,high,low,close,volume
2015-12-01,87.27,87.42,86.13,86.47,1424970
2015-12-02,87.00,88.90,86.80,87.53,1857186
2015-12-03,88.32,90.54,87.56,88.09,2277887
2015-12-04,88.10,91.28,88.10,89.99,1821500
2015-12-07,89.53,89.91,87.63,87.98,1237233
2015-12-08,87.07,88.47,85.65,87.72,1385633
2015-12-09,87.28,87.66,85.72,86.10,1167220
2015-12-10,86.07,87.88,85.97,86.94,1115371
2015-12-11,85.97,87.00,83.17,83.49,1901425
2015-12-14,83.47,84.25,82.12,83.57,1643461
2015-12-15,84.09,86.29,84.03,85.60,1422616
2015-12-16,85.99,87.60,84.94,87.39,1566858
2015-12-17,87.51,88.22,85.69,87.27,1570496
2015-12-18,87.18,87.82,85.72,85.73,3043639
2015-12-21,86.93,87.10,86.12,87.02,1457278
2015-12-22,87.50,87.55,86.07,86.48,1032726
2015-12-23,86.97,87.63,86.40,86.89,920030
2015-12-24,86.80,87.36,86.59,86.96,251290
2015-12-28,86.64,87.26,86.29,86.89,471582
2015-12-29,87.47,88.56,87.36,88.12,1121871
2015-12-30,88.20,88.36,87.13,87.38,691955
2015-12-31,87.38,87.61,85.99,86.56,708470
2016-01-04,84.98,85.67,83.17,84.07,1273607
2016-01-05,84.51,85.55,83.47,84.00,1328675
2016-01-06,82.88,83.06,80.70,81.42,1418179
2016-01-07,79.68,81.65,78.93,79.64,1553068
2016-01-08,80.11,80.65,77.89,78.12,1219886
2016-01-11,78.72,79.06,77.20,78.53,1113587
2016-01-12,79.73,81.49,79.73,80.99,1665225
2016-01-13,81.09,81.79,75.49,76.79,1889662
2016-01-14,77.23,78.50,73.91,78.21,1542661
2016-01-15,76.12,77.26,74.72,76.34,1773817
2016-01-19,77.16,77.79,73.67,74.32,1993130
2016-01-20,73.25,75.32,70.14,74.31,2111975
2016-01-21,74.74,76.11,73.62,74.41,1921763
2016-01-22,75.58,76.76,75.58,76.67,1271014
2016-01-25,76.44,77.16,75.06,76.10,1841791
2016-01-26,76.12,78.19,75.27,77.96,2496782
2016-01-27,77.12,77.60,74.53,75.37,4272158
2016-01-28,57.82,64.38,57.67,63.57,19775150
2016-01-29,63.99,65.51,60.71,62.21,7291095
2016-02-01,61.60,62.83,61.44,61.96,2667255
2016-02-02,61.48,61.64,56.83,57.25,4725443
2016-02-03,57.57,59.44,56.67,59.30,3651725
2016-02-04,58.85,60.25,58.39,58.62,3647449
2016-02-05,54.12,55.47,49.46,52.31,7257300
2016-02-08,50.92,51.12,45.99,47.14,6546836
2016-02-09,46.60,49.33,46.12,48.52,5618672
2016-02-10,48.67,51.80,48.67,49.99,3096428
2016-02-11,49.28,49.64,47.31,49.03,2912991
2016-02-12,49.48,50.29,48.11,50.08,2099523
2016-02-16,50.59,52.26,49.95,52.04,2719487
2016-02-17,52.50,55.55,52.31,55.26,5309261
2016-02-18,55.53,55.84,54.22,54.26,3307744
2016-02-19,54.22,55.62,54.06,54.74,2840101
2016-02-22,55.10,56.35,54.25,54.69,2461055
2016-02-23,54.24,54.39,51.45,53.01,2872701
2016-02-24,52.02,52.75,50.00,52.55,2689742
2016-02-25,53.11,55.00,52.77,54.16,2703506
2016-02-26,54.58,56.20,54.27,55.51,2586441
2016-02-29,55.25,56.23,54.94,54.99,1967299
2016-03-01,55.84,57.85,55.36,57.85,3652317
2016-03-02,57.50,58.11,56.62,57.66,2063739
2016-03-03,57.36,58.40,56.74,58.36,2307961
2016-03-04,58.87,59.56,58.13,58.50,1906091
2016-03-07,57.99,58.80,56.58,58.22,1394242
2016-03-08,58.41,61.05,58.15,60.34,3140083
2016-03-09,60.54,60.58,59.25,60.49,2225627
2016-03-10,61.40,62.32,59.76,60.72,2295696
2016-03-11,61.10,63.67,60.94,63.35,2121435
2016-03-14,62.84,63.11,61.86,62.35,1795573
2016-03-15,61.89,62.07,60.75,61.65,1523265
2016-03-16,61.35,62.64,60.97,62.37,1193106
2016-03-17,62.33,62.76,60.15,60.80,2468105
2016-03-18,61.05,61.34,59.94,60.15,2735886
2016-03-21,60.25,61.32,59.91,61.05,1377751
2016-03-22,60.36,62.82,60.25,62.32,1623040
2016-03-23,62.20,63.12,61.99,62.25,2035886
2016-03-24,61.53,61.72,60.83,61.69,1052252
2016-03-28,61.64,61.67,59.77,60.34,1616840
2016-03-29,60.24,61.37,59.93,61.14,1557474
2016-03-30,61.50,62.43,61.02,61.07,1661909
2016-03-31,60.90,61.41,59.93,61.18,2388317
2016-04-01,61.13,62.25,60.05,62.03,1536951
2016-04-04,62.07,64.37,61.96,64.28,2272130
2016-04-05,63.47,64.41,63.11,63.65,1670900
2016-04-06,63.74,64.11,62.91,63.84,1775709
2016-04-07,63.59,64.82,63.32,64.02,1302291
2016-04-08,64.36,65.03,63.79,64.50,1236110
2016-04-11,64.87,65.33,63.18,63.31,1348227
2016-04-12,62.99,63.32,61.55,61.75,2461802
2016-04-13,62.47,63.93,61.43,63.77,1775642
2016-04-14,63.08,63.50,61.90,63.00,3443582
2016-04-15,63.18,63.42,62.46,63.28,1188625
2016-04-18,63.20,64.90,63.02,64.47,2259238
2016-04-19,64.47,64.74,62.55,63.67,2091683
2016-04-20,64.18,65.50,63.88,65.11,2802519
2016-04-21,74.60,76.84,73.21,74.27,8395545
2016-04-22,73.44,73.75,71.80,73.11,3253622
2016-04-25,73.35,74.57,73.00,73.41,2525077
2016-04-26,73.42,73.49,72.07,72.66,1409279
2016-04-27,72.25,73.81,72.25,73.15,1523076
