date,open,high,low,close,volume
2015-12-01,12.18,12.65,12.04,12.35,6513444
2015-12-02,12.21,12.21,10.52,10.79,14984770
2015-12-03,11.01,11.65,10.71,10.97,17098200
2015-12-04,10.94,10.95,8.80,9.00,28919494
2015-12-07,8.91,9.71,8.80,9.55,14567089
2015-12-08,9.45,10.38,9.20,10.09,17914169
2015-12-09,10.09,10.66,9.95,10.55,11716173
2015-12-10,10.50,10.85,10.35,10.47,7127511
2015-12-11,10.33,10.41,10.09,10.14,8512751
2015-12-14,10.12,10.27,9.12,9.20,10894453
2015-12-15,9.26,9.68,9.22,9.28,9406870
2015-12-16,9.35,9.73,9.24,9.64,9996932
2015-12-17,9.63,9.72,9.22,9.52,6540659
2015-12-18,9.43,10.41,9.43,10.37,21494254
2015-12-21,10.22,11.20,10.04,11.07,12196537
2015-12-22,10.98,11.25,10.73,10.90,6320826
2015-12-23,11.00,11.76,10.96,11.54,6631536
2015-12-24,11.52,11.71,11.37,11.50,4220032
2015-12-28,11.50,11.58,11.06,11.37,4710872
2015-12-29,11.44,11.71,11.02,11.55,5219906
2015-12-30,11.36,11.66,11.08,11.09,3956255
2015-12-31,11.12,11.94,11.10,11.77,4772044
2016-01-04,11.57,11.88,11.24,11.53,6279777
2016-01-05,11.57,12.04,11.12,11.97,6550378
2016-01-06,11.72,11.79,10.94,11.03,8211445
2016-01-07,10.83,11.66,10.73,11.26,6546403
2016-01-08,11.36,11.73,11.05,11.34,6938022
2016-01-11,11.33,11.37,10.18,10.23,10061260
2016-01-12,10.31,10.66,9.79,9.90,9426843
2016-01-13,10.04,10.27,9.58,9.82,8335260
2016-01-14,9.87,10.60,9.64,10.48,8482270
2016-01-15,10.14,10.24,9.52,10.11,6972941
2016-01-19,10.22,10.40,9.86,10.03,7006927
2016-01-20,9.71,9.79,8.92,9.58,9379488
2016-01-21,9.60,10.48,9.57,9.89,9008149
2016-01-22,10.04,10.24,9.73,9.93,8075590
2016-01-25,9.68,9.76,8.93,8.98,7453252
2016-01-26,9.14,9.73,8.96,9.67,5084221
2016-01-27,9.68,10.29,9.46,9.89,7390419
2016-01-28,9.82,10.15,9.64,10.10,6482804
2016-01-29,10.30,10.79,10.30,10.64,7807870
2016-02-01,10.63,10.76,10.11,10.67,6163029
2016-02-02,10.57,10.75,10.20,10.71,5038502
2016-02-03,10.84,11.68,10.82,11.38,8692500
2016-02-04,11.24,12.14,11.19,11.68,11622842
2016-02-05,11.60,11.81,11.16,11.57,11192480
2016-02-08,11.42,11.92,10.95,11.14,9316340
2016-02-09,10.90,11.01,10.60,10.84,5342924
2016-02-10,10.77,10.97,10.17,10.70,5084355
2016-02-11,10.44,10.57,9.53,9.59,5993087
2016-02-12,9.70,9.73,9.03,9.58,6319614
2016-02-16,9.57,9.80,9.50,9.70,4103212
2016-02-17,9.81,10.75,9.78,10.20,6842953
2016-02-18,10.20,10.53,10.06,10.43,7247195
2016-02-19,10.28,10.29,9.76,10.01,5761641
2016-02-22,10.15,10.58,10.12,10.57,6496801
2016-02-23,10.45,10.55,10.14,10.32,4410881
2016-02-24,10.18,10.95,9.97,10.83,6341469
2016-02-25,10.86,11.37,10.66,10.90,3836775
2016-02-26,10.96,11.32,10.93,11.08,5193408
2016-02-29,10.35,10.98,10.11,10.78,10349547
2016-03-01,10.87,11.28,10.66,11.26,6735603
2016-03-02,11.13,12.19,11.05,12.16,5908701
2016-03-03,12.11,12.77,12.07,12.52,7250596
2016-03-04,12.49,13.30,12.44,13.07,8034263
2016-03-07,13.06,14.16,13.03,13.64,9338882
2016-03-08,13.59,13.65,12.45,12.51,9361384
2016-03-09,12.57,12.84,12.00,12.36,15573499
2016-03-10,12.44,13.01,12.25,12.89,7738824
2016-03-11,13.13,13.87,13.12,13.74,8501924
2016-03-14,13.73,13.94,13.51,13.67,6334890
2016-03-15,13.54,13.57,12.84,13.30,5352160
2016-03-16,13.35,13.90,13.24,13.85,5218928
2016-03-17,14.06,14.37,13.59,13.96,5091972
2016-03-18,13.97,14.47,13.64,13.70,8065742
2016-03-21,13.67,14.00,13.49,13.56,4556774
2016-03-22,13.50,13.92,13.38,13.77,3819145
2016-03-23,13.69,13.72,12.98,12.99,4170445
2016-03-24,12.86,13.18,12.35,13.14,5809790
2016-03-28,13.20,13.24,12.66,12.89,3114930
2016-03-29,12.78,13.23,12.10,13.22,7557965
2016-03-30,13.35,13.56,12.93,12.94,5551600
2016-03-31,12.94,13.20,12.82,13.01,5116800
2016-04-01,12.98,12.99,12.33,12.77,7094836
2016-04-04,12.77,13.27,12.62,12.81,6554289
2016-04-05,12.70,12.75,12.20,12.21,12557929
2016-04-06,12.29,12.35,11.69,12.03,10375661
2016-04-07,12.02,12.49,11.97,12.24,8468741
2016-04-08,12.47,13.00,12.47,12.67,5634647
2016-04-11,12.77,13.36,12.70,13.11,5292755
2016-04-12,13.14,13.38,12.84,13.28,4739286
2016-04-13,13.31,13.65,13.07,13.43,4157507
2016-04-14,13.43,13.55,13.24,13.31,3609042
2016-04-15,13.22,13.80,13.15,13.65,4331304
2016-04-18,13.29,13.92,13.12,13.78,5437549
2016-04-19,13.91,14.33,13.73,14.31,7431344
2016-04-20,14.30,14.30,13.90,14.08,6106817
2016-04-21,14.11,14.37,13.85,13.99,6258465
2016-04-22,14.08,14.57,14.01,14.20,5664452
2016-04-25,14.10,14.32,13.97,14.18,5069169
2016-04-26,14.21,14.56,14.20,14.55,5349662
2016-04-27,14.64,15.26,14.62,14.98,8405548
2016-04-28,14.85,15.33,14.67,15.00,6284978
2016-04-29,15.10,15.25,14.85,15.10,5496983
2016-05-02,15.01,15.08,14.76,14.90,7783614
2016-05-03,14.75,14.78,13.92,14.03,5892443
2016-05-04,14.13,14.69,14.11,14.62,7506623
2016-05-05,14.92,15.68,14.77,14.86,7549511
2016-05-06,14.88,15.59,14.84,15.52,6041800
2016-05-09,15.66,15.77,15.25,15.65,5664050
2016-05-10,15.75,15.97,15.56,15.95,4599139
2016-05-11,15.95,16.15,15.60,15.77,5384422
2016-05-12,15.89,16.03,15.52,15.63,4777012
2016-05-13,15.58,15.80,15.38,15.45,4175490
2016-05-16,15.50,15.96,15.44,15.76,5917075
2016-05-17,15.73,16.16,15.57,15.79,4639953
2016-05-18,15.64,15.86,15.18,15.31,4153991
2016-05-19,15.17,15.70,15.08,15.49,3255722
2016-05-20,15.57,15.81,15.49,15.73,3025179
2016-05-23,15.69,16.14,15.66,15.90,3280215
2016-05-24,16.01,16.21,15.70,16.02,3819459
2016-05-25,15.62,15.95,15.43,15.85,6265699
2016-05-26,15.93,16.09,15.56,15.65,7175641
2016-05-27,15.66,16.26,15.66,16.19,3843613
2016-05-31,16.24,16.75,16.19,16.38,5780283
2016-06-01,16.34,16.93,16.30,16.85,6392186
2016-06-02,16.75,17.35,16.75,17.15,4419859
2016-06-03,17.30,17.57,17.06,17.39,6667953
2016-06-06,17.50,17.90,17.44,17.87,6683409
2016-06-07,17.81,18.00,17.57,17.90,6320116
2016-06-08,18.07,18.32,17.73,17.78,4577636
2016-06-09,16.91,16.91,16.05,16.59,10766865
2016-06-10,16.36,16.36,14.86,14.90,9009710
2016-06-13,14.85,15.18,14.66,14.88,5682124
2016-06-14,14.80,14.89,14.09,14.23,7032791
2016-06-15,14.12,14.34,13.76,13.95,6757426
2016-06-16,13.84,14.21,13.62,13.97,8548511
2016-06-17,14.02,14.71,14.02,14.39,6458225
2016-06-20,14.44,14.72,14.24,14.25,3950390
2016-06-21,14.26,14.46,14.07,14.33,3314261
2016-06-22,14.30,14.36,13.88,14.14,4076544
2016-06-23,14.27,14.55,14.21,14.53,3186628
2016-06-24,14.17,14.35,13.87,13.99,7272645
2016-06-27,13.81,13.98,13.22,13.32,5504944
2016-06-28,13.59,14.27,13.59,14.19,6338680
2016-06-29,14.37,14.84,14.36,14.71,5609852
2016-06-30,14.75,15.01,14.31,14.99,5481739
2016-07-01,15.03,15.41,14.96,15.02,4415500
2016-07-05,14.85,14.93,14.20,14.50,3326880
2016-07-06,14.40,14.71,14.32,14.63,2517870
2016-07-07,14.65,14.94,14.36,14.56,3597869
2016-07-08,14.69,15.07,14.68,15.07,3921463
