date,open,high,low,close,volume
2015-12-01,49.99,50.68,49.79,50.62,2307110
2015-12-02,50.19,50.47,49.54,49.61,2102705
2015-12-03,49.42,49.64,48.62,48.78,2538611
2015-12-04,49.07,50.08,49.00,50.01,2045125
2015-12-07,49.99,50.46,49.81,50.27,2007474
2015-12-08,50.19,50.49,50.01,50.14,2861678
2015-12-09,49.74,50.11,49.34,49.62,1673312
2015-12-10,49.57,49.92,48.92,48.94,1928365
2015-12-11,48.63,49.02,48.37,48.65,2328586
2015-12-14,48.57,49.38,48.51,49.34,2071128
2015-12-15,49.78,50.38,49.63,49.94,2213680
2015-12-16,50.20,51.26,50.10,51.23,2309485
2015-12-17,51.21,51.28,50.85,51.00,2508701
2015-12-18,50.91,51.81,50.75,51.08,5280070
2015-12-21,51.58,51.58,50.75,51.08,1521090
2015-12-22,51.37,51.78,51.16,51.18,1364078
2015-12-23,51.25,51.55,51.17,51.51,1776960
2015-12-24,51.43,51.51,51.12,51.30,662569
2015-12-28,51.26,51.76,51.08,51.75,1094633
2015-12-29,51.92,52.25,51.73,52.18,1517884
2015-12-30,52.08,52.41,51.85,51.92,1290431
2015-12-31,52.00,52.15,51.54,51.63,1242807
2016-01-04,51.14,51.42,50.47,51.18,2030684
2016-01-05,51.39,52.43,51.21,52.29,1944218
2016-01-06,51.86,52.60,51.86,52.60,1769017
2016-01-07,51.68,52.49,50.64,51.69,2145952
2016-01-08,51.75,52.13,51.10,51.17,1581869
2016-01-11,51.39,52.54,51.30,52.27,2261085
2016-01-12,52.52,52.59,51.76,52.43,2794892
2016-01-13,52.45,53.16,51.70,51.84,2608699
2016-01-14,51.98,52.78,51.65,52.25,2713424
2016-01-15,51.66,52.29,51.09,52.19,3405973
2016-01-19,52.51,53.28,52.30,53.01,1986730
2016-01-20,52.71,52.84,50.96,51.87,2865638
2016-01-21,52.29,53.30,51.72,52.52,1897595
2016-01-22,52.99,54.20,52.88,54.04,1816632
2016-01-25,54.12,54.72,53.61,53.89,2039114
