date,open,high,low,close,volume
2015-12-01,264.96,267.19,261.02,262.33,1022429
2015-12-02,262.45,263.58,261.25,261.70,930174
2015-12-03,261.73,263.23,252.63,253.37,1300158
2015-12-04,253.48,259.01,253.42,258.61,1110446
2015-12-07,258.91,259.68,255.45,256.90,775943
2015-12-08,253.76,259.67,253.36,258.75,974800
2015-12-09,256.76,262.27,255.90,257.72,993896
2015-12-10,257.44,259.99,256.04,256.43,758271
2015-12-11,253.33,255.29,248.40,248.93,1051022
2015-12-14,249.65,252.23,246.88,251.73,1029622
2015-12-15,253.50,253.81,247.45,250.77,1314492
2015-12-16,252.47,258.39,251.90,257.64,957616
2015-12-17,259.88,259.88,254.28,254.35,752611
2015-12-18,253.41,253.74,250.16,251.38,2673588
2015-12-21,252.30,254.66,250.92,253.73,675625
2015-12-22,254.83,255.65,252.37,253.75,483799
2015-12-23,253.82,254.51,252.01,254.15,442953
2015-12-24,254.08,254.77,252.96,253.42,218651
2015-12-28,252.56,256.00,251.99,255.94,516234
2015-12-29,257.26,260.44,256.44,258.50,449458
2015-12-30,258.41,259.60,257.18,257.66,383318
2015-12-31,255.95,257.41,253.42,253.42,413466
2016-01-04,248.45,250.96,243.71,246.11,1195038
2016-01-05,246.86,249.49,245.25,247.96,823253
2016-01-06,243.63,244.54,238.57,241.07,974008
2016-01-07,237.10,244.30,236.00,240.17,1053397
2016-01-08,239.75,241.50,234.00,234.66,880040
2016-01-11,235.77,239.71,234.51,237.94,824187
2016-01-12,237.94,243.87,236.09,243.13,788619
2016-01-13,244.62,244.75,235.14,235.68,840881
2016-01-14,235.49,238.34,233.29,235.99,760630
2016-01-15,229.50,235.91,225.12,232.16,952010
2016-01-19,235.91,236.90,232.31,235.69,957846
2016-01-20,232.33,239.90,228.01,236.63,1364817
2016-01-21,236.43,239.47,233.48,236.71,951331
2016-01-22,239.55,240.54,236.90,239.44,589454
2016-01-25,243.68,247.00,240.39,243.89,1393044
2016-01-26,244.75,250.11,244.64,249.85,941790
2016-01-27,250.25,251.86,244.65,246.42,885234
2016-01-28,248.07,257.75,246.39,256.34,1655442
2016-01-29,257.59,261.27,255.40,260.90,1433130
2016-02-01,260.32,266.19,258.43,265.25,1143796
2016-02-02,263.60,266.23,254.77,259.49,1147181
2016-02-03,261.27,261.51,250.50,253.62,946110
2016-02-04,253.24,253.60,247.05,250.88,1002280
2016-02-05,250.88,251.44,241.05,242.07,1381092
2016-02-08,238.91,239.37,226.51,233.53,1919673
2016-02-09,231.90,240.00,230.17,236.29,1574530
2016-02-10,240.01,242.93,235.86,236.70,1781859
2016-02-11,242.00,253.49,238.48,249.53,2630297
