date,open,high,low,close,volume
2015-12-01,75.68,76.75,75.01,76.69,4666602
2015-12-02,76.00,77.17,75.00,75.31,6622359
2015-12-03,75.71,75.83,71.93,72.43,6962144
2015-12-04,71.41,72.61,69.64,71.72,8910397
2015-12-07,69.94,70.64,68.28,69.32,7661614
2015-12-08,66.60,67.92,65.93,67.30,7669139
2015-12-09,67.41,69.22,67.28,67.95,5029424
2015-12-10,67.66,69.32,67.35,68.42,5003785
2015-12-11,67.31,67.46,65.64,66.03,6358461
2015-12-14,65.50,66.77,64.89,66.65,6615373
2015-12-15,67.44,68.82,67.31,68.44,5330582
2015-12-16,68.44,69.62,67.52,68.87,5563722
2015-12-17,68.23,68.60,65.65,66.42,5748233
2015-12-18,66.42,67.02,65.83,65.96,7027655
2015-12-21,66.34,66.94,65.22,66.14,4534425
2015-12-22,66.23,68.15,65.74,66.98,5755295
2015-12-23,68.28,69.34,67.89,69.21,5647959
2015-12-24,69.21,69.63,68.65,69.20,2206395
2015-12-28,67.83,68.47,67.47,67.99,3520340
2015-12-29,69.28,69.50,67.65,68.19,3503425
2015-12-30,67.26,68.51,66.88,67.02,3137124
2015-12-31,66.42,68.00,66.42,67.61,4618026
2016-01-04,67.09,67.88,66.37,67.41,4777618
2016-01-05,67.18,68.71,66.78,68.53,4468055
2016-01-06,66.75,67.11,64.76,65.44,6740484
2016-01-07,64.11,65.68,63.69,64.26,6562615
2016-01-08,64.76,64.95,62.94,63.17,6203032
2016-01-11,62.96,63.42,59.97,61.22,9126177
2016-01-12,61.42,61.88,58.82,60.97,7996876
2016-01-13,61.75,62.80,60.02,60.40,7836353
2016-01-14,60.75,64.81,60.19,64.00,9582273
2016-01-15,61.29,63.05,60.96,62.79,7414493
2016-01-19,63.50,63.65,60.34,61.46,7852015
2016-01-20,60.26,60.87,58.24,59.62,9785212
2016-01-21,59.11,61.17,58.76,60.85,7201507
2016-01-22,63.53,64.39,61.44,63.80,7595633
2016-01-25,63.01,64.30,61.73,61.79,5637474
2016-01-26,63.09,63.61,62.14,63.23,5580941
2016-01-27,62.80,65.87,62.28,64.16,6212392
2016-01-28,66.15,66.75,64.08,65.87,7598531
2016-01-29,65.99,68.83,65.88,68.83,10015506
2016-02-01,67.54,67.78,65.83,66.56,6053990
2016-02-02,64.34,66.30,64.03,65.48,5621411
2016-02-03,66.59,68.19,64.75,68.13,6419586
2016-02-04,68.90,70.49,66.78,66.98,9274760
2016-02-05,66.40,66.65,64.75,65.47,6392817
2016-02-08,63.68,66.70,63.24,66.19,6595953
2016-02-09,65.13,66.17,64.05,65.22,4970495
2016-02-10,65.13,67.00,64.28,65.66,7296964
2016-02-11,64.39,66.52,64.12,66.20,6039267
2016-02-12,67.00,67.78,66.44,67.06,5024932
2016-02-16,68.25,68.32,67.15,68.01,6296607
2016-02-17,69.34,71.30,68.71,70.63,6539832
2016-02-18,71.33,71.46,69.81,70.29,4878554
2016-02-19,69.84,70.37,68.93,70.26,5546984
2016-02-22,71.90,72.19,71.10,71.68,4689009
2016-02-23,71.48,71.77,68.58,69.00,4214663
2016-02-24,67.71,69.61,67.40,69.47,3447371
2016-02-25,69.55,69.93,68.47,69.65,2522903
2016-02-26,71.23,71.23,69.75,69.80,3349474
2016-02-29,70.31,70.53,68.52,68.82,4650975
2016-03-01,69.25,70.60,68.57,70.45,4472145
2016-03-02,70.08,71.66,69.57,71.61,4522414
