date,open,high,low,close,volume
2015-12-01,54.24,54.78,53.89,54.15,2096837
2015-12-02,53.91,54.39,53.76,53.91,2699475
2015-12-03,53.97,53.99,52.50,52.65,3371227
2015-12-04,52.90,53.77,52.74,53.71,2501414
2015-12-07,53.71,53.81,53.17,53.51,1295920
2015-12-08,53.21,53.63,52.97,53.48,1628022
2015-12-09,53.24,53.83,52.78,52.99,1832635
2015-12-10,53.07,53.48,52.78,53.11,1697216
2015-12-11,53.43,53.43,52.08,52.25,2447108
2015-12-14,52.50,53.00,52.28,52.78,1865034
2015-12-15,53.25,53.43,52.80,53.08,2550499
2015-12-16,53.50,54.17,53.21,54.06,2087082
2015-12-17,54.12,54.30,53.35,53.35,2234955
2015-12-18,53.25,53.25,52.38,52.45,5866991
2015-12-21,52.89,53.00,52.12,52.60,3609460
2015-12-22,52.99,53.00,51.11,52.71,3861553
2015-12-23,52.81,54.08,52.78,53.95,2244149
2015-12-24,54.04,54.10,53.54,53.82,833573
2015-12-28,53.57,53.85,53.36,53.79,1273630
2015-12-29,54.00,54.54,53.93,54.26,1622235
2015-12-30,54.30,54.50,53.77,53.78,1346443
2015-12-31,53.55,53.74,52.62,52.89,1984834
2016-01-04,52.00,52.11,51.03,51.55,3016018
2016-01-05,51.88,52.02,51.25,51.51,2923013
2016-01-06,50.89,51.17,50.69,50.78,2524105
2016-01-07,48.44,49.36,47.77,48.43,7593833
2016-01-08,48.52,48.77,47.45,47.56,5430975
2016-01-11,47.86,47.92,46.93,47.42,5280686
2016-01-12,47.66,47.67,46.79,47.46,5207055
2016-01-13,47.73,47.74,46.34,46.38,3974762
2016-01-14,46.66,47.68,46.48,47.32,2887902
2016-01-15,46.07,46.81,46.05,46.70,3381690
2016-01-19,47.39,47.64,46.98,47.50,4061515
2016-01-20,46.88,47.23,45.76,46.65,4216901
2016-01-21,46.65,47.81,46.24,47.39,4442889
2016-01-22,48.19,48.84,47.86,48.19,4049831
2016-01-25,48.04,48.15,47.30,47.41,2094653
2016-01-26,47.73,48.01,47.43,47.71,1989075
2016-01-27,47.71,48.01,46.77,47.01,2579735
2016-01-28,47.19,47.19,46.20,46.42,2836546
2016-01-29,46.82,47.86,46.66,47.86,4151826
2016-02-01,47.73,48.45,47.41,48.35,3464808
2016-02-02,47.79,48.37,47.30,48.35,6839628
2016-02-03,48.48,48.66,47.40,48.10,4934364
2016-02-04,47.77,48.50,47.35,47.94,3019257
2016-02-05,47.97,48.17,46.73,47.04,3699406
2016-02-08,46.33,46.94,45.83,46.81,3938992
2016-02-09,46.38,47.13,46.35,46.66,3261967
2016-02-10,47.24,47.79,46.83,46.97,2651299
2016-02-11,46.09,48.14,46.08,47.74,5241333
2016-02-12,48.33,49.13,47.92,48.94,3150525
2016-02-16,48.63,50.07,48.63,49.99,2847217
2016-02-17,50.05,50.75,50.05,50.61,2492616
2016-02-18,50.36,51.02,50.25,50.85,2522757
2016-02-19,50.67,51.30,50.45,51.25,2383471
2016-02-22,51.56,51.94,51.35,51.92,2608214
2016-02-23,51.52,52.06,51.36,51.42,1722158
2016-02-24,51.00,51.67,50.66,51.63,1601261
2016-02-25,51.70,52.16,51.39,52.14,1412976
2016-02-26,52.49,52.50,51.55,51.68,1668088
2016-02-29,51.64,52.08,51.37,51.39,2119236
