date,open,high,low,close,volume
2015-12-01,51.21,51.68,50.91,51.59,3114372
2015-12-02,51.52,51.97,51.17,51.25,2600226
2015-12-03,49.89,49.89,48.27,48.79,6468806
2015-12-04,48.86,50.31,48.63,49.78,4978535
2015-12-07,49.59,49.69,48.74,49.02,2449785
2015-12-08,48.64,48.90,47.99,48.45,3250095
2015-12-09,48.38,49.69,48.23,48.84,3053812
2015-12-10,48.70,49.30,48.55,48.88,1799096
2015-12-11,47.96,49.00,46.91,47.25,2700560
2015-12-14,47.51,47.92,46.80,47.51,2530146
2015-12-15,47.74,48.48,47.71,47.88,2376049
2015-12-16,47.20,47.48,45.99,46.72,2735669
2015-12-17,46.72,46.84,45.42,45.44,2893374
2015-12-18,45.15,45.61,45.04,45.16,5239439
2015-12-21,45.55,46.22,45.36,45.77,2947712
2015-12-22,46.11,47.78,46.09,47.49,2727134
2015-12-23,47.83,48.75,47.83,48.65,2415822
2015-12-24,48.58,48.88,48.31,48.45,723456
2015-12-28,48.40,48.55,47.62,48.00,1386437
2015-12-29,48.33,48.61,47.87,48.38,1363385
2015-12-30,48.32,48.73,47.98,48.02,1068619
2015-12-31,47.78,48.05,47.39,47.40,1329696
2016-01-04,46.50,47.39,45.87,47.16,2878962
2016-01-05,47.40,47.56,46.47,47.17,2157130
2016-01-06,46.64,47.84,46.52,47.18,2856936
2016-01-07,45.79,46.52,45.57,45.75,2955882
2016-01-08,46.08,46.44,45.07,45.23,2798373
2016-01-11,45.59,45.76,44.57,45.23,2619207
2016-01-12,45.54,46.02,44.51,45.19,1644914
2016-01-13,45.27,45.66,44.12,44.30,2652369
2016-01-14,44.69,46.02,43.78,45.71,3136556
2016-01-15,45.23,45.49,43.94,45.31,3230133
2016-01-19,45.81,45.84,44.30,45.03,2389089
2016-01-20,44.28,45.88,43.46,45.33,4069609
2016-01-21,45.53,46.42,44.95,45.81,2995689
2016-01-22,46.68,47.53,46.18,46.53,2810334
2016-01-25,46.41,46.41,45.61,45.71,2193137
2016-01-26,46.12,47.58,46.08,47.55,2359422
2016-01-27,47.65,47.99,46.58,46.91,2381513
2016-01-28,47.69,47.99,46.01,47.36,3144789
2016-01-29,45.24,49.57,45.01,49.07,5947043
2016-02-01,48.46,48.88,47.36,48.54,3796391
2016-02-02,47.84,48.07,47.28,47.53,2406919
2016-02-03,47.77,48.09,45.92,47.79,3358809
2016-02-04,47.92,50.21,47.81,50.00,3522869
2016-02-05,50.00,51.37,49.60,50.11,2843691
2016-02-08,49.69,50.32,49.10,49.89,3070839
2016-02-09,49.22,50.53,49.22,49.84,2711602
2016-02-10,49.77,50.31,48.55,48.73,2553452
2016-02-11,47.87,49.10,47.53,48.29,1826989
2016-02-12,48.83,50.09,48.34,50.00,2142061
2016-02-16,50.55,51.38,50.00,51.36,1953680
2016-02-17,51.72,53.21,51.13,52.05,2745990
2016-02-18,51.90,52.35,50.70,51.28,2446653
2016-02-19,51.07,51.20,50.32,50.90,1999593
2016-02-22,51.55,52.31,51.55,52.24,1649777
2016-02-23,51.87,52.27,51.21,51.50,2141860
2016-02-24,50.87,51.31,49.40,51.17,2301298
2016-02-25,51.53,51.82,50.73,51.82,1925254
2016-02-26,52.32,52.67,51.12,51.95,1851660
2016-02-29,51.92,52.23,51.46,51.50,1944977
2016-03-01,52.09,52.74,51.49,52.71,2092348
2016-03-02,52.58,52.75,51.93,52.27,2219035
2016-03-03,52.17,54.16,52.09,54.06,3819454
2016-03-04,54.10,54.23,53.06,53.42,2913726
2016-03-07,53.03,53.94,53.01,53.65,2240316
2016-03-08,53.15,53.49,52.15,52.32,2909173
2016-03-09,52.63,53.00,52.03,52.22,2294447
2016-03-10,52.56,52.68,51.26,51.78,2064678
2016-03-11,52.43,52.83,51.30,52.73,1988116
2016-03-14,52.48,53.85,52.37,53.72,2903764
2016-03-15,53.40,53.41,52.87,53.41,1650365
2016-03-16,53.19,54.27,52.99,54.02,1911219
2016-03-17,54.11,55.35,53.95,54.94,2302653
2016-03-18,55.13,55.60,54.48,55.18,7565241
2016-03-21,55.13,55.26,54.39,54.93,1867652
2016-03-22,54.50,54.83,54.17,54.46,1292799
2016-03-23,54.45,54.45,53.60,53.68,1560343
2016-03-24,53.01,53.46,51.93,53.45,1503276
2016-03-28,53.48,54.09,53.35,53.78,1463857
2016-03-29,53.49,54.78,53.01,54.76,1871802
2016-03-30,55.04,55.24,54.28,54.57,1434479
2016-03-31,54.66,54.80,54.14,54.69,2050836
2016-04-01,54.41,54.41,53.13,54.21,2073209
2016-04-04,54.11,54.21,53.58,53.67,1670196
2016-04-05,53.21,53.28,52.55,52.83,2333047
2016-04-06,52.88,53.19,51.99,53.14,2174157
2016-04-07,52.71,53.00,52.21,52.42,1616466
2016-04-08,52.94,53.76,52.45,52.65,1567077
2016-04-11,52.46,53.58,52.44,52.72,2168261
2016-04-12,53.06,53.82,52.67,53.65,2070924
2016-04-13,54.11,55.61,53.50,55.56,2001162
2016-04-14,55.80,56.03,55.10,55.81,1903145
2016-04-15,56.01,56.08,55.64,55.78,1548670
2016-04-18,55.65,56.08,55.44,55.92,2521760
2016-04-19,56.22,56.77,55.73,56.12,2498314
2016-04-20,56.36,57.09,56.01,56.43,2617337
2016-04-21,56.57,56.72,55.81,55.91,1436158
2016-04-22,55.99,56.80,55.77,56.49,2315875
2016-04-25,56.47,56.49,55.77,56.05,2485887
2016-04-26,57.98,59.12,56.32,58.93,4825708
2016-04-27,59.96,60.86,59.27,60.23,4410610
2016-04-28,59.91,60.64,59.34,59.58,2200480
2016-04-29,59.11,60.00,58.59,58.91,2335012
2016-05-02,59.17,59.36,58.39,58.67,2327138
2016-05-03,58.10,58.22,57.45,57.86,2056399
2016-05-04,57.40,57.40,55.47,55.89,3389057
2016-05-05,55.98,56.43,55.33,55.61,1928679
2016-05-06,55.18,55.73,54.75,55.54,2644316
2016-05-09,57.48,57.50,55.72,55.84,2436581
