date,open,high,low,close,volume
2015-12-01,35.78,36.30,35.69,36.13,3914687
2015-12-02,35.96,36.32,35.46,35.53,4213967
2015-12-03,35.46,35.58,34.96,35.09,6664350
2015-12-04,35.34,35.98,35.20,35.78,4121401
2015-12-07,35.70,36.20,35.51,36.14,3715536
2015-12-08,36.02,36.62,36.00,36.28,3386455
2015-12-09,36.03,36.49,35.66,35.95,3085314
2015-12-10,35.98,36.06,35.18,35.20,3502725
2015-12-11,34.95,35.65,34.94,35.59,3707879
2015-12-14,35.46,35.93,35.29,35.88,4438698
2015-12-15,36.09,36.47,36.05,36.25,4337665
2015-12-16,36.40,37.20,36.26,37.15,4940169
2015-12-17,37.19,37.57,36.78,37.24,4860743
2015-12-18,37.10,37.24,36.28,36.28,7869512
2015-12-21,36.65,36.85,36.40,36.76,2651213
2015-12-22,36.88,37.46,36.77,37.04,2641283
2015-12-23,37.08,37.74,37.08,37.72,2132386
2015-12-24,37.74,37.97,37.60,37.82,930869
2015-12-28,37.74,38.27,37.55,38.21,2241343
2015-12-29,38.28,38.78,38.22,38.61,2583265
2015-12-30,38.64,38.91,38.51,38.65,1772508
2015-12-31,38.69,38.82,38.24,38.24,2852691
2016-01-04,37.60,38.26,37.37,38.23,3628304
2016-01-05,38.26,39.25,38.21,39.06,2852306
2016-01-06,38.14,38.53,37.19,37.49,11658308
2016-01-07,36.80,37.26,36.32,36.49,9349906
2016-01-08,36.60,37.00,36.32,36.39,3540112
2016-01-11,36.65,37.19,36.61,36.96,4266501
2016-01-12,36.72,37.00,36.29,36.85,4415217
2016-01-13,36.90,37.29,36.15,36.20,3288371
2016-01-14,36.28,36.45,35.88,35.96,3592631
2016-01-15,35.57,36.31,35.13,36.24,3499899
2016-01-19,36.43,36.95,36.38,36.56,3391632
2016-01-20,36.30,36.55,34.54,34.97,5195605
2016-01-21,35.47,36.24,34.86,35.63,3379048
2016-01-22,36.09,37.21,36.03,36.96,3113907
2016-01-25,36.96,37.15,36.36,36.64,3345924
2016-01-26,36.70,37.34,36.56,37.05,4490200
2016-01-27,36.81,36.97,34.71,35.21,5436718
2016-01-28,35.39,35.52,34.91,35.00,3513551
2016-01-29,35.63,36.32,35.03,35.94,5754048
2016-02-01,35.79,36.57,35.42,36.23,3343889
2016-02-02,35.87,36.13,35.33,35.84,3091965
2016-02-03,36.12,36.86,35.94,36.64,4390844
2016-02-04,36.24,36.35,35.38,35.82,3004276
2016-02-05,35.68,35.89,35.22,35.60,3693886
2016-02-08,35.48,35.66,32.98,33.99,6381387
