date,open,high,low,close,volume
2015-12-01,33.00,33.73,32.80,33.62,49301003
2015-12-02,33.67,33.83,32.79,32.90,31828652
2015-12-03,32.92,33.00,32.36,32.39,47356913
2015-12-04,32.49,32.89,32.41,32.80,31613799
2015-12-07,32.74,32.88,32.45,32.66,21067116
2015-12-08,32.35,32.74,32.29,32.53,25735024
2015-12-09,32.42,32.65,32.12,32.29,39777025
2015-12-10,32.43,32.72,32.24,32.36,52746848
2015-12-11,32.11,32.23,31.97,32.06,40275420
2015-12-14,31.99,32.21,31.84,32.18,38376449
2015-12-15,32.62,32.82,32.16,32.26,47339613
2015-12-16,32.43,32.67,31.99,32.58,44432334
2015-12-17,32.57,32.67,32.30,32.33,39457077
2015-12-18,32.25,32.45,31.95,31.99,66616172
2015-12-21,32.17,32.46,32.01,32.46,30624106
2015-12-22,32.62,32.62,32.36,32.52,25504927
2015-12-23,32.58,32.74,32.53,32.56,20987014
2015-12-24,32.50,32.72,32.50,32.62,7927728
2015-12-28,32.60,32.65,32.37,32.42,26335651
2015-12-29,32.57,32.91,32.53,32.83,17036222
2015-12-30,32.74,32.89,32.65,32.75,16504930
2015-12-31,32.47,32.58,32.27,32.28,21103955
2016-01-04,31.85,32.03,31.57,31.95,37363849
2016-01-05,32.18,32.24,31.93,32.18,27454300
2016-01-06,31.73,31.89,31.42,31.61,25847452
2016-01-07,31.16,31.81,31.14,31.40,37252616
2016-01-08,31.55,31.62,30.92,31.00,33064356
2016-01-11,31.15,31.20,30.64,31.07,38632121
2016-01-12,31.38,31.50,30.72,31.00,38830189
2016-01-13,31.09,31.28,30.27,30.37,40572297
2016-01-14,30.39,31.42,30.39,31.11,38523649
2016-01-15,30.22,30.82,30.20,30.81,46773503
2016-01-19,31.12,31.23,30.33,30.69,32740469
2016-01-20,30.21,31.07,30.06,30.66,50272828
2016-01-21,30.61,30.90,30.51,30.58,36554638
2016-01-22,31.00,31.25,30.67,30.71,31508813
2016-01-25,30.83,30.91,30.42,30.50,28760238
2016-01-26,30.53,30.75,30.34,30.67,25959033
2016-01-27,30.71,31.01,30.32,30.52,28519118
2016-01-28,30.70,30.71,29.59,30.20,48710792
2016-01-29,30.38,30.49,29.92,30.49,56730809
2016-02-01,30.34,30.40,29.81,30.17,47473256
2016-02-02,29.60,30.34,29.55,30.14,47214025
2016-02-03,29.91,30.07,29.14,29.67,44977414
2016-02-04,29.49,29.59,28.74,29.00,56934604
2016-02-05,29.02,29.41,28.84,29.03,38931602
2016-02-08,28.68,28.98,28.25,28.56,47516490
2016-02-09,28.47,29.20,28.34,29.10,57129774
2016-02-10,29.33,29.90,29.31,29.49,44807153
2016-02-11,29.01,29.34,28.89,29.13,39640350
2016-02-12,29.25,29.38,28.98,29.36,32543471
2016-02-16,29.55,29.84,29.45,29.81,32570629
2016-02-17,30.00,30.07,29.59,29.63,39112238
2016-02-18,29.82,30.04,29.46,29.55,48186895
2016-02-19,29.60,29.65,29.18,29.49,39724859
2016-02-22,29.75,30.07,29.65,30.05,39584413
2016-02-23,30.06,30.38,29.95,29.96,31971361
2016-02-24,29.81,30.08,29.52,30.02,31705008
2016-02-25,30.10,30.69,30.02,30.59,53642385
2016-02-26,30.78,30.90,30.02,30.23,43152449
2016-02-29,30.09,30.18,29.57,29.67,35192130
2016-03-01,29.79,30.09,29.62,30.04,31417662
2016-03-02,30.11,30.16,29.75,29.98,34288226
2016-03-03,29.88,30.00,29.58,29.89,36948003
2016-03-04,29.85,29.94,29.53,29.71,36839492
2016-03-07,29.55,29.81,29.32,29.79,32218904
2016-03-08,29.75,29.75,29.36,29.36,32941889
2016-03-09,29.72,29.85,29.42,29.74,76902076
2016-03-10,29.90,29.92,29.53,29.59,58125687
2016-03-11,29.78,30.50,29.73,30.50,60378171
2016-03-14,30.27,30.34,29.95,30.10,46764934
2016-03-15,29.88,29.93,29.30,29.54,54670155
2016-03-16,29.52,29.52,28.86,29.04,91225370
2016-03-17,29.12,29.57,28.74,29.34,66872413
2016-03-18,29.50,29.65,29.17,29.45,82830247
2016-03-21,29.45,30.12,29.44,30.07,35222787
2016-03-22,30.03,30.56,29.89,30.38,40684781
2016-03-23,30.43,30.61,30.10,30.19,40783743
2016-03-24,30.12,30.27,29.88,30.08,31944691
2016-03-28,30.09,30.22,29.74,29.78,31167480
2016-03-29,29.82,30.19,29.71,30.05,34596245
2016-03-30,30.15,30.21,30.01,30.07,32091605
2016-03-31,30.06,30.17,29.51,29.64,56794971
2016-04-01,29.44,30.17,29.41,30.04,48424880
2016-04-04,30.09,30.75,30.06,30.72,51960344
2016-04-05,31.21,31.75,30.57,31.36,285436657
2016-04-06,31.54,33.00,31.53,32.93,150616105
2016-04-07,32.55,33.08,32.50,32.76,61377971
2016-04-08,32.83,32.90,32.28,32.50,52949840
2016-04-11,32.52,32.56,31.87,31.89,83240779
2016-04-12,31.90,32.14,31.80,31.96,42964382
2016-04-13,32.06,32.61,31.97,32.54,37465442
2016-04-14,32.48,32.78,32.33,32.65,31956813
2016-04-15,32.65,32.78,32.30,32.50,35274322
2016-04-18,32.32,32.86,32.29,32.61,36999390
2016-04-19,32.80,33.20,32.74,32.89,28420627
2016-04-20,32.85,33.40,32.85,33.23,35088084
2016-04-21,33.06,33.48,33.04,33.24,34180338
2016-04-22,33.25,33.50,33.07,33.27,26137444
2016-04-25,33.13,33.27,33.00,33.21,24259539
2016-04-26,33.20,33.33,32.92,33.05,28741271
2016-04-27,32.98,33.21,32.90,33.00,26304478
2016-04-28,32.97,33.18,32.75,32.91,33124821
2016-04-29,32.87,32.95,32.43,32.71,34213618
2016-05-02,32.56,33.00,32.50,32.80,38716813
2016-05-03,33.65,33.97,33.25,33.70,71535733
2016-05-04,33.67,33.90,33.33,33.40,36074291
2016-05-05,33.37,33.73,33.30,33.57,23764534
2016-05-06,33.38,33.59,33.20,33.58,23170974
2016-05-09,33.54,33.95,33.52,33.82,31482720
2016-05-10,33.83,33.87,33.48,33.80,24787046
2016-05-11,33.46,33.56,33.15,33.16,30396058
2016-05-12,33.22,33.28,32.92,33.19,25376443
2016-05-13,33.33,33.45,33.13,33.19,20546039
2016-05-16,32.93,33.43,32.81,33.38,22089234
