date,open,high,low,close,volume
2015-12-01,104.78,105.23,102.68,103.50,1373391
2015-12-02,103.50,103.67,101.71,101.95,1057450
2015-12-03,102.36,102.82,100.26,101.31,1636663
2015-12-04,101.38,102.81,100.96,102.44,1670467
2015-12-07,101.72,102.17,99.91,100.23,1126322
2015-12-08,99.04,99.35,97.52,97.75,1404534
2015-12-09,96.89,99.06,96.89,97.68,991380
2015-12-10,97.58,98.90,97.50,98.00,1104695
2015-12-11,96.51,96.72,95.43,95.56,1446477
2015-12-14,95.60,96.37,94.34,95.49,1231416
2015-12-15,94.92,95.79,93.55,95.69,2100313
2015-12-16,96.10,98.88,95.41,98.72,1714862
2015-12-17,98.59,98.63,95.16,95.19,1522283
2015-12-18,94.57,95.74,93.62,93.62,1947543
2015-12-21,94.42,94.92,93.62,94.18,1056263
2015-12-22,94.63,96.98,94.43,96.49,977906
2015-12-23,97.45,100.06,97.37,99.48,1102673
2015-12-24,99.22,100.12,99.09,99.85,522769
2015-12-28,99.48,100.05,98.33,98.63,659944
2015-12-29,99.28,99.84,98.48,99.52,666639
2015-12-30,99.21,99.73,98.24,98.34,637699
2015-12-31,97.76,98.40,96.98,96.98,932248
2016-01-04,95.20,96.81,94.29,96.66,1445869
2016-01-05,97.27,97.29,94.65,95.06,1318762
2016-01-06,93.71,94.62,92.98,93.80,1355557
2016-01-07,92.21,93.47,91.61,92.21,1192118
2016-01-08,92.92,93.44,90.33,90.55,1595187
2016-01-11,91.03,91.27,89.43,90.37,1322992
2016-01-12,91.31,91.61,88.86,90.51,1230541
2016-01-13,90.98,91.60,89.51,89.72,1433709
2016-01-14,89.89,92.43,88.33,90.65,2077219
2016-01-15,87.99,89.11,87.39,87.99,2451512
2016-01-19,89.43,89.50,87.15,87.87,1282634
2016-01-20,86.41,87.69,83.32,86.51,2575111
2016-01-21,86.66,89.61,85.90,87.95,1282030
2016-01-22,89.63,91.54,88.69,89.82,1550608
2016-01-25,88.85,89.93,87.82,88.12,1954398
2016-01-26,93.39,94.80,88.08,91.77,5208657
2016-01-27,91.50,93.39,90.23,91.69,1656756
2016-01-28,92.66,94.54,92.64,94.08,1933908
2016-01-29,94.57,97.16,94.37,97.16,2204503
2016-02-01,96.05,96.96,95.02,96.37,1735058
2016-02-02,95.39,95.85,94.16,95.33,2043549
2016-02-03,96.42,97.90,93.46,97.73,2831688
2016-02-04,97.69,102.77,97.57,101.13,2952124
2016-02-05,100.92,102.49,99.90,101.51,2304879
2016-02-08,100.09,101.39,99.11,101.09,1905708
2016-02-09,99.89,100.80,98.83,99.73,1601595
2016-02-10,99.62,99.62,95.68,96.07,2361785
2016-02-11,94.54,97.28,94.44,96.89,2020641
2016-02-12,97.89,98.94,96.85,97.25,3171661
2016-02-16,98.97,99.87,97.61,99.65,1135262
2016-02-17,100.39,102.62,100.39,101.03,1190746
2016-02-18,101.12,102.23,100.22,100.76,1279776
2016-02-19,100.18,100.54,98.46,99.89,1372917
2016-02-22,101.30,102.87,100.71,102.77,1335041
2016-02-23,102.25,103.63,100.71,100.77,1046999
2016-02-24,99.48,101.30,98.47,101.17,981889
2016-02-25,101.69,101.95,100.01,101.63,654562
