date,open,high,low,close,volume
2015-12-01,56.96,57.71,56.42,57.08,1693247
2015-12-02,56.81,57.03,55.79,56.01,1752589
2015-12-03,55.68,56.26,55.40,55.83,2229828
2015-12-04,55.90,56.44,55.39,55.83,2450001
2015-12-07,55.55,55.75,54.78,54.98,975580
2015-12-08,54.23,54.60,52.40,52.62,1643439
2015-12-09,52.31,53.29,52.07,52.50,831077
2015-12-10,52.71,53.76,52.39,53.27,1193797
2015-12-11,52.50,52.54,51.50,51.73,1484961
2015-12-14,51.63,52.30,51.14,52.25,1645717
2015-12-15,52.61,52.76,50.78,50.84,1591813
2015-12-16,51.36,52.06,51.02,51.78,1322832
2015-12-17,51.80,52.28,49.58,49.58,2230778
2015-12-18,49.16,49.55,48.14,48.21,3066411
2015-12-21,48.53,49.31,48.22,48.64,3282862
2015-12-22,48.79,49.37,48.36,49.26,1812116
2015-12-23,49.56,50.52,49.43,50.39,2012396
2015-12-24,50.36,50.67,50.12,50.28,396765
2015-12-28,50.02,50.21,49.42,49.60,586653
2015-12-29,50.00,50.63,49.67,50.48,1336400
2015-12-30,50.16,50.67,49.86,50.00,810157
2015-12-31,49.72,50.04,49.48,49.53,723558
2016-01-04,48.63,49.35,48.18,49.28,1826340
2016-01-05,49.18,49.56,48.23,48.86,787601
2016-01-06,47.87,48.53,47.19,47.74,1123801
2016-01-07,46.67,47.26,46.27,46.48,1642035
2016-01-08,46.77,46.99,45.58,45.64,2436553
2016-01-11,46.17,46.28,44.83,45.50,1910615
2016-01-12,46.14,46.26,45.08,46.12,1695727
2016-01-13,46.34,47.00,44.97,45.07,1617772
2016-01-14,45.30,46.00,44.50,45.51,1679188
2016-01-15,44.27,45.05,43.99,44.62,2038399
2016-01-19,45.33,45.76,43.54,44.08,1089056
2016-01-20,43.26,43.52,42.00,42.99,2255720
2016-01-21,43.22,43.69,42.52,43.38,2348040
2016-01-22,44.26,45.27,43.36,44.10,2003501
2016-01-25,43.99,44.40,43.51,43.58,1944588
2016-01-26,44.10,45.54,43.78,45.31,1641445
2016-01-27,44.69,46.27,44.65,45.12,1641613
2016-01-28,46.10,46.32,44.66,45.47,1750988
2016-01-29,45.71,47.13,45.47,47.12,2168370
2016-02-01,46.57,46.95,45.95,46.63,1525259
2016-02-02,45.52,46.24,44.03,44.60,2643303
2016-02-03,45.23,45.54,43.70,45.45,2017527
2016-02-04,45.52,48.10,45.52,46.81,3015705
2016-02-05,46.56,46.98,45.77,46.25,1924203
2016-02-08,45.73,46.05,44.78,45.63,2895799
2016-02-09,45.00,46.17,44.88,45.20,2823431
2016-02-10,44.84,44.98,42.87,42.88,2573494
2016-02-11,42.19,43.55,41.57,43.08,1844869
2016-02-12,43.72,45.00,43.34,44.40,1050093
2016-02-16,44.90,45.97,44.56,45.74,2717375
2016-02-17,46.59,47.62,45.92,47.49,1281240
2016-02-18,47.38,48.52,47.12,48.27,2304522
2016-02-19,47.87,48.29,47.51,48.01,2085270
2016-02-22,48.80,49.59,48.73,49.13,834887
2016-02-23,48.85,49.48,47.69,47.74,898731
2016-02-24,47.23,47.96,46.51,47.88,1367958
2016-02-25,47.86,48.27,46.60,47.90,1354115
2016-02-26,48.22,48.87,47.94,48.54,1054008
2016-02-29,48.73,48.93,47.71,47.71,885794
2016-03-01,48.27,49.30,47.82,49.16,1251470
2016-03-02,48.99,50.64,48.77,50.61,1732980
2016-03-03,50.60,51.11,50.24,50.88,1284700
2016-03-04,50.81,51.25,50.23,50.54,2076535
2016-03-07,50.33,52.06,50.25,51.88,995723
2016-03-08,51.17,51.42,49.81,49.93,1089041
2016-03-09,50.22,50.54,49.79,50.20,1039200
2016-03-10,50.30,50.87,48.87,49.48,1443177
2016-03-11,50.14,50.79,49.65,50.40,1394892
