date,open,high,low,close,volume
2015-12-01,106.39,106.87,105.82,106.76,1008405
2015-12-02,106.20,106.74,105.08,105.34,996033
2015-12-03,105.40,105.99,103.92,104.30,1131973
2015-12-04,104.51,106.37,104.37,105.96,1079812
2015-12-07,105.27,105.86,104.28,104.99,1001557
2015-12-08,103.92,104.53,102.66,102.75,1568163
2015-12-09,102.75,103.58,100.59,101.55,2035920
2015-12-10,101.33,101.74,100.51,100.88,1651976
2015-12-11,99.67,99.96,98.41,98.73,1797325
2015-12-14,98.56,98.96,96.88,97.73,2216286
2015-12-15,98.72,99.42,98.47,98.55,1258076
2015-12-16,99.18,100.33,98.53,100.22,1585775
2015-12-17,100.53,100.66,98.17,98.24,1584000
2015-12-18,97.99,98.20,96.25,96.29,1807988
2015-12-21,96.92,97.37,96.49,97.23,1202643
2015-12-22,97.90,99.16,97.56,98.76,887329
2015-12-23,99.38,100.52,99.24,100.24,827978
2015-12-24,99.94,100.79,99.94,100.39,371802
2015-12-28,100.20,100.33,99.42,99.90,680729
2015-12-29,100.82,100.94,99.95,100.58,676587
2015-12-30,100.33,100.71,99.71,99.77,730411
2015-12-31,99.38,100.00,98.79,98.82,895356
2016-01-04,97.27,97.99,96.06,97.96,1636433
2016-01-05,98.63,99.32,97.47,98.31,1401553
2016-01-06,96.35,97.20,95.93,96.47,1809335
2016-01-07,95.07,97.14,94.68,95.25,2597603
2016-01-08,95.68,96.64,94.17,94.49,1979363
2016-01-11,94.84,95.72,93.73,94.45,2187220
2016-01-12,95.33,95.56,93.79,95.12,1320681
2016-01-13,95.98,96.24,93.01,93.05,2119863
2016-01-14,93.29,94.12,91.60,93.57,2300297
2016-01-15,91.64,92.35,90.34,91.90,2052762
2016-01-19,92.80,93.25,89.90,91.60,3317956
2016-01-20,90.45,94.69,90.02,93.52,4935210
2016-01-21,93.00,94.67,90.61,91.92,4310680
2016-01-22,92.79,94.81,92.33,93.16,1864403
2016-01-25,92.81,93.32,90.93,91.11,1642638
2016-01-26,91.48,93.29,91.11,92.58,1236814
2016-01-27,92.43,94.24,91.90,92.80,1887428
2016-01-28,93.29,94.04,91.98,92.09,2347271
2016-01-29,92.72,95.14,92.28,95.12,2365796
2016-02-01,93.71,95.90,93.25,95.59,1748378
2016-02-02,94.97,94.97,92.66,93.04,1620671
2016-02-03,94.29,95.15,91.87,95.11,1831811
2016-02-04,95.33,96.31,94.60,95.70,1457465
2016-02-05,95.31,95.83,92.71,92.87,1544365
2016-02-08,92.21,92.28,88.86,89.65,1926814
2016-02-09,88.62,91.68,88.37,90.99,1567212
2016-02-10,91.67,93.21,91.04,91.34,1242759
2016-02-11,89.35,90.73,88.47,89.27,1796456
2016-02-12,90.06,92.14,89.62,91.78,1438716
2016-02-16,93.06,93.77,91.78,93.62,1198946
2016-02-17,94.31,95.45,93.01,95.00,1850168
2016-02-18,95.20,95.58,94.14,94.69,1506434
2016-02-19,94.66,95.74,93.68,95.63,1592329
2016-02-22,96.87,98.00,95.86,96.72,1291571
2016-02-23,96.54,96.66,94.70,94.87,1260295
2016-02-24,93.61,95.81,92.95,95.68,815227
2016-02-25,96.11,97.06,94.56,97.01,1036816
2016-02-26,97.73,98.45,97.36,98.16,1080128
2016-02-29,97.97,98.84,96.49,96.53,1430920
2016-03-01,97.55,100.49,96.92,99.58,1503966
2016-03-02,99.22,99.74,98.43,99.33,945054
2016-03-03,98.96,100.75,98.23,100.30,1921725
2016-03-04,100.67,102.93,100.31,102.49,2073315
2016-03-07,101.84,103.45,101.64,103.37,1649993
2016-03-08,102.38,102.65,101.35,101.51,1280035
2016-03-09,102.20,102.70,101.38,102.28,1147527
2016-03-10,102.60,104.22,101.84,102.91,902023
2016-03-11,104.15,105.23,103.78,105.01,1479582
2016-03-14,104.34,105.10,104.00,104.74,878714
2016-03-15,103.95,104.95,103.62,104.76,819325
2016-03-16,104.22,106.67,104.13,106.61,1122636
2016-03-17,106.90,109.71,106.90,109.40,1789771
2016-03-18,109.62,110.58,108.05,108.90,2628422
2016-03-21,109.62,110.53,108.28,108.89,2170274
2016-03-22,108.80,110.20,108.56,109.84,1663271
2016-03-23,108.91,109.68,108.13,109.14,1222284
2016-03-24,108.20,109.06,107.38,108.95,1386202
2016-03-28,109.39,109.61,108.74,109.40,1043780
2016-03-29,108.80,110.59,108.61,110.57,1026264
2016-03-30,111.00,112.10,110.73,111.90,1636866
2016-03-31,111.90,112.08,111.13,111.49,1438901
2016-04-01,110.52,113.29,110.22,113.11,1467010
2016-04-04,113.15,113.23,111.63,112.19,1390534
2016-04-05,111.49,112.03,110.91,111.43,1319226
2016-04-06,111.44,112.20,110.64,112.08,812145
2016-04-07,111.35,111.83,110.08,110.61,921245
2016-04-08,111.03,112.14,111.03,111.83,712063
2016-04-11,112.07,112.84,111.59,111.68,887120
2016-04-12,111.92,113.17,111.36,112.94,871345
2016-04-13,113.42,114.29,112.74,114.23,1062905
2016-04-14,113.74,114.59,113.74,114.51,1070934
2016-04-15,114.69,115.40,114.39,115.35,1284875
2016-04-18,115.00,115.93,114.64,115.75,1543522
2016-04-19,116.24,116.80,115.77,116.55,1466605
2016-04-20,116.85,117.00,115.55,116.07,1593694
2016-04-21,111.70,113.00,110.10,110.26,3641273
2016-04-22,111.35,113.39,110.78,113.19,2145526
2016-04-25,113.00,113.30,111.97,112.60,951003
2016-04-26,113.37,113.91,113.01,113.55,1525897
2016-04-27,113.89,114.65,112.59,112.99,1246896
2016-04-28,111.89,113.40,111.53,112.77,1622099
2016-04-29,112.40,112.73,109.75,110.39,2308459
2016-05-02,110.18,111.25,109.04,111.24,1390051
2016-05-03,110.09,110.22,109.02,109.50,1303298
2016-05-04,108.51,109.36,108.00,108.59,1062215
2016-05-05,109.04,109.53,108.23,108.58,810173
2016-05-06,107.70,108.31,107.18,108.31,1172291
2016-05-09,108.14,108.23,107.29,107.44,1046673
2016-05-10,107.80,108.83,107.26,108.73,817535
2016-05-11,108.74,109.20,107.38,107.42,1623257
2016-05-12,108.23,108.55,106.36,107.49,1130257
2016-05-13,107.57,108.07,106.47,106.70,1550870
2016-05-16,107.19,108.64,107.09,108.16,1491355
2016-05-17,107.82,108.27,106.69,107.01,1226987
2016-05-18,106.93,107.79,106.07,106.39,1996244
2016-05-19,106.00,106.65,104.96,105.64,1153855
2016-05-20,106.38,107.03,105.92,106.21,906316
2016-05-23,106.19,106.83,105.80,106.43,1485412
2016-05-24,106.57,108.15,106.46,107.76,1084848
2016-05-25,108.26,108.73,107.70,108.32,800585
2016-05-26,108.35,109.00,107.59,107.70,685735
2016-05-27,107.96,108.71,107.30,108.60,732422
2016-05-31,108.65,108.87,107.20,107.68,1807466
2016-06-01,107.31,108.21,106.49,107.98,999141
2016-06-02,107.36,108.20,106.89,108.20,759921
2016-06-03,108.07,108.17,106.86,107.67,1340254
2016-06-06,108.10,108.87,107.68,108.12,935929
2016-06-07,108.15,108.36,107.37,107.77,1238473
2016-06-08,108.06,111.26,107.51,110.95,1908107
2016-06-09,110.21,110.49,109.52,110.43,2689507
2016-06-10,109.77,109.86,108.77,109.24,1255754
2016-06-13,108.94,109.25,107.61,107.69,1344455
2016-06-14,107.31,107.85,106.43,107.08,1221823
2016-06-15,107.30,107.64,106.50,106.62,1056485
2016-06-16,105.62,107.01,105.06,106.96,843422
2016-06-17,107.00,108.26,106.63,108.18,1807062
2016-06-20,109.28,109.73,108.32,108.42,1227922
2016-06-21,108.65,108.65,107.83,108.06,1346303
2016-06-22,108.40,108.40,107.66,107.81,1219510
2016-06-23,109.67,111.26,109.44,111.22,2078270
2016-06-24,108.09,108.09,102.21,102.73,3838160
2016-06-27,101.41,101.47,98.08,98.69,3631061
2016-06-28,99.95,100.56,98.42,100.56,1942099
2016-06-29,101.94,102.72,101.57,102.49,1622584
2016-06-30,102.57,104.15,101.99,104.15,2193505
2016-07-01,104.32,105.49,104.07,104.52,1334334
2016-07-05,103.92,103.93,101.80,102.65,1898755
2016-07-06,102.20,103.02,101.72,102.97,1451890
2016-07-07,103.28,103.78,102.53,103.03,1547875
2016-07-08,104.10,106.61,103.98,106.32,1640164
2016-07-11,106.63,107.04,106.42,106.61,892797
2016-07-12,107.55,109.50,107.31,108.70,1404235
2016-07-13,109.10,109.55,107.96,109.47,1238503
2016-07-14,109.81,109.99,108.35,108.63,1359368
2016-07-15,109.02,109.48,108.14,109.27,1341275
2016-07-18,109.00,109.50,108.61,109.30,870149
2016-07-19,108.64,108.98,107.77,108.38,1424275
2016-07-20,108.79,110.14,108.48,110.03,2361134
2016-07-21,109.00,110.13,107.56,108.59,2139928
2016-07-22,108.59,108.59,107.31,107.65,1708845
2016-07-25,107.23,107.34,106.40,106.59,1670791
2016-07-26,107.07,107.07,106.18,106.76,2285250
2016-07-27,106.87,106.87,105.76,106.09,1627391
2016-07-28,105.72,106.32,104.82,105.48,2163041
2016-07-29,104.99,105.23,103.74,104.71,2124579
2016-08-01,104.10,105.06,103.74,104.67,1641907
2016-08-02,104.88,104.88,103.35,103.69,1473514
2016-08-03,104.13,104.38,102.87,104.33,2415786
2016-08-04,104.30,104.82,103.85,104.10,1282197
2016-08-05,104.61,104.98,104.35,104.43,1063659
2016-08-08,104.45,104.70,104.05,104.48,1211867
2016-08-09,104.35,105.20,104.19,104.37,1044980
2016-08-10,104.69,105.07,104.09,104.69,1102365
2016-08-11,104.82,105.38,104.43,104.74,1096106
2016-08-12,104.61,104.87,103.71,103.99,977582
2016-08-15,104.13,104.75,104.02,104.46,1037262
2016-08-16,104.51,105.36,103.65,103.65,1287115
2016-08-17,103.66,104.03,102.90,103.59,1243021
2016-08-18,103.59,103.96,103.36,103.77,1036944
2016-08-19,103.22,104.86,103.22,104.73,1090001
2016-08-22,104.43,105.28,104.00,105.21,1148549
2016-08-23,105.87,106.77,105.60,106.44,1341749
2016-08-24,106.28,107.12,106.00,106.39,1808389
2016-08-25,106.10,107.19,106.05,106.75,914054
2016-08-26,106.97,107.65,105.41,105.75,930187
2016-08-29,105.91,107.89,105.91,107.60,1301714
2016-08-30,107.35,107.70,106.67,107.28,1036536
2016-08-31,107.08,107.08,105.43,105.88,1392684
2016-09-01,106.02,106.30,105.09,105.98,929606
2016-09-02,106.74,107.07,106.32,107.04,662667
2016-09-06,107.37,107.97,107.01,107.62,1321192
2016-09-07,107.24,107.79,106.42,106.73,1337902
2016-09-08,106.54,106.88,105.28,105.30,1042443
2016-09-09,104.58,104.58,100.76,100.86,2339450
2016-09-12,100.48,102.98,100.42,102.76,1597182
2016-09-13,101.71,101.95,100.58,101.16,1428318
