date,open,high,low,close,volume
2015-12-01,34.20,34.34,33.82,34.20,7239042
2015-12-02,34.04,34.15,33.09,33.18,5805838
2015-12-03,33.02,33.18,32.85,33.01,5777218
2015-12-04,33.14,33.80,33.14,33.74,5229244
2015-12-07,33.62,33.80,33.27,33.57,6527120
2015-12-08,33.12,33.22,32.95,33.11,4660115
2015-12-09,32.97,33.68,32.94,33.43,4937034
2015-12-10,33.36,33.41,32.87,32.93,3079920
2015-12-11,32.73,33.02,32.57,32.71,3855330
2015-12-14,32.65,32.89,32.36,32.77,4005874
2015-12-15,32.87,33.35,32.81,33.26,3952696
2015-12-16,33.39,33.91,33.35,33.83,5380130
2015-12-17,33.81,34.10,33.55,33.92,3339317
2015-12-18,33.83,33.86,33.24,33.64,6779605
2015-12-21,33.73,33.84,33.27,33.38,3737429
2015-12-22,33.48,33.91,33.15,33.81,4702863
2015-12-23,33.97,34.40,33.95,34.24,3840121
2015-12-24,34.16,34.42,34.10,34.26,1269091
2015-12-28,34.11,34.30,34.02,34.14,2733703
2015-12-29,34.34,34.48,34.24,34.44,2857917
2015-12-30,34.45,34.47,34.16,34.34,2568092
2015-12-31,34.39,34.39,33.75,34.13,3044711
2016-01-04,33.90,33.93,33.37,33.68,5092491
2016-01-05,33.69,34.10,33.23,34.04,5068846
2016-01-06,33.77,34.13,33.64,33.93,4119091
2016-01-07,33.67,33.83,33.42,33.54,3897710
2016-01-08,33.57,33.82,33.33,33.39,5717778
2016-01-11,33.59,34.01,33.45,33.89,5937826
2016-01-12,33.99,33.99,33.26,33.55,5806414
2016-01-13,33.62,33.84,33.40,33.50,4977456
2016-01-14,33.55,34.41,33.23,34.16,6295928
2016-01-15,33.61,33.99,32.97,33.29,6194438
2016-01-19,33.55,33.76,33.26,33.63,6161454
2016-01-20,33.40,33.55,32.18,32.80,8371482
2016-01-21,32.90,33.31,32.62,33.23,5109618
2016-01-22,33.46,34.10,33.24,34.01,4789717
2016-01-25,33.98,34.17,33.71,33.76,4359765
2016-01-26,33.80,34.29,33.66,33.83,4058270
2016-01-27,33.71,34.11,33.54,33.84,3902186
2016-01-28,33.84,34.55,33.60,34.32,3880864
2016-01-29,34.69,35.15,34.50,35.06,5249064
2016-02-01,35.15,36.10,35.08,35.92,10278207
2016-02-02,35.57,36.57,35.52,36.37,8383948
2016-02-03,36.47,37.05,36.36,36.69,7882013
2016-02-04,36.37,37.23,35.90,36.66,8225155
2016-02-05,36.32,36.55,35.85,36.16,7619954
2016-02-08,35.77,36.41,35.62,35.99,5847797
2016-02-09,35.86,36.55,35.75,36.13,5202883
2016-02-10,36.02,36.47,35.61,36.27,4498215
2016-02-11,36.10,36.35,35.81,35.90,4447596
2016-02-12,35.95,36.05,35.53,35.74,4590845
2016-02-16,35.91,36.25,35.60,36.03,4805456
2016-02-17,36.10,36.20,35.79,35.99,3542333
2016-02-18,36.06,36.65,35.93,36.52,3729218
2016-02-19,36.51,36.53,36.06,36.26,5287347
2016-02-22,36.28,36.35,35.50,36.00,6808641
2016-02-23,36.00,36.36,35.90,36.07,3031267
2016-02-24,36.00,36.17,35.42,35.93,6799877
2016-02-25,36.07,36.37,35.76,36.35,5827714
2016-02-26,36.17,36.30,34.75,34.82,9262628
2016-02-29,34.82,35.59,34.64,34.99,6843859
2016-03-01,35.22,35.32,34.61,34.83,6173683
2016-03-02,34.70,34.94,34.00,34.92,5463672
2016-03-03,35.03,35.27,34.57,35.26,4235573
2016-03-04,35.01,35.91,34.82,35.67,4531915
2016-03-07,35.67,36.18,35.51,36.06,5444950
2016-03-08,35.67,36.07,35.51,35.96,3934054
2016-03-09,36.00,36.60,36.00,36.46,4374065
2016-03-10,36.45,36.59,36.14,36.55,4777685
2016-03-11,36.58,36.77,36.39,36.56,3440639
2016-03-14,36.45,36.67,36.19,36.36,2701062
2016-03-15,36.22,36.63,36.19,36.51,2629930
2016-03-16,36.51,36.98,36.13,36.93,3361605
2016-03-17,36.90,37.68,36.78,37.57,5114906
2016-03-18,37.44,37.67,37.03,37.06,7565899
2016-03-21,37.17,37.43,36.80,37.19,3285486
2016-03-22,37.25,37.36,36.95,37.01,4799698
2016-03-23,36.97,37.24,36.73,37.06,4762897
2016-03-24,37.06,37.30,36.88,37.19,2370875
2016-03-28,37.26,37.44,36.95,37.17,1648748
2016-03-29,37.28,37.61,37.11,37.60,3051946
2016-03-30,37.73,37.85,37.46,37.70,2158104
2016-03-31,37.66,38.09,37.57,38.07,4788893
2016-04-01,38.10,38.23,37.63,38.19,3584535
2016-04-04,38.24,38.30,37.78,38.03,2377098
2016-04-05,37.92,37.99,37.20,37.33,4191702
2016-04-06,37.28,37.61,36.92,37.56,3917557
2016-04-07,37.53,37.71,37.24,37.36,2960642
2016-04-08,37.54,37.73,37.29,37.40,2644870
2016-04-11,37.34,37.68,37.17,37.19,2136425
2016-04-12,37.22,37.54,37.10,37.46,2252846
2016-04-13,37.47,37.47,36.85,37.11,3346715
2016-04-14,36.98,37.25,36.95,37.05,1763484
2016-04-15,37.08,37.59,36.98,37.54,3350044
2016-04-18,37.64,37.79,37.34,37.73,2540592
2016-04-19,37.80,37.92,37.49,37.80,3349009
2016-04-20,37.77,37.85,37.01,37.05,4407039
2016-04-21,37.03,37.05,36.14,36.27,6576989
2016-04-22,36.27,36.58,36.27,36.51,2863105
2016-04-25,36.50,36.62,36.35,36.55,3261348
2016-04-26,36.57,36.65,36.28,36.46,6044632
2016-04-27,36.62,37.15,36.46,36.86,5312617
2016-04-28,36.57,37.29,36.42,37.27,4021946
2016-04-29,37.29,37.75,36.98,37.64,5431022
2016-05-02,37.64,38.58,37.64,38.35,6228189
2016-05-03,38.27,38.46,37.90,38.08,4723390
2016-05-04,38.01,38.60,37.85,38.37,3741234
2016-05-05,38.28,38.78,38.17,38.32,4598224
2016-05-06,38.31,38.35,37.87,38.30,3081572
2016-05-09,38.36,38.58,38.28,38.44,3210077
2016-05-10,38.66,38.71,38.33,38.47,4009974
2016-05-11,38.57,38.75,38.32,38.71,3430346
2016-05-12,38.65,39.08,38.51,38.91,3079792
2016-05-13,38.81,38.99,38.61,38.89,4388920
2016-05-16,38.75,38.86,38.53,38.81,5019314
2016-05-17,38.74,38.78,38.07,38.30,3958395
2016-05-18,38.08,38.20,37.21,37.48,6576306
2016-05-19,37.28,37.93,37.10,37.90,3854236
2016-05-20,38.04,38.08,37.76,37.96,3891283
2016-05-23,37.98,38.05,37.43,37.45,4228700
2016-05-24,37.63,38.15,37.51,38.06,4609527
2016-05-25,37.83,38.10,37.66,38.00,2796323
2016-05-26,38.04,38.58,37.92,38.55,3537163
