date,open,high,low,close,volume
2015-12-01,241.90,243.14,240.45,243.11,690340
2015-12-02,242.00,244.19,239.95,240.15,818944
2015-12-03,239.38,242.07,235.42,236.83,1246444
2015-12-04,238.16,242.86,238.16,241.90,1056779
2015-12-07,242.49,243.87,241.56,243.15,685529
2015-12-08,242.87,246.75,240.91,246.20,1302588
2015-12-09,246.82,246.82,242.02,242.76,830317
2015-12-10,243.18,244.33,240.64,240.90,755583
2015-12-11,239.00,242.09,237.82,241.97,913793
2015-12-14,241.71,249.56,241.71,249.09,1148521
2015-12-15,250.85,251.74,246.66,246.81,953730
2015-12-16,247.91,250.72,247.21,249.84,1051711
2015-12-17,248.38,249.88,246.69,247.56,901136
2015-12-18,247.02,249.74,245.66,248.74,1734969
2015-12-21,250.51,251.46,249.25,250.64,722733
2015-12-22,251.70,252.86,248.21,248.49,1020561
2015-12-23,248.88,249.95,246.74,248.63,819535
2015-12-24,249.17,249.53,247.38,248.25,310759
2015-12-28,247.80,251.80,247.02,251.17,509596
2015-12-29,252.73,253.93,251.13,252.21,689809
2015-12-30,252.19,252.45,249.91,250.46,517057
2015-12-31,250.46,250.84,247.66,247.70,517948
2016-01-04,244.09,246.48,242.15,244.37,1220865
2016-01-05,244.80,252.27,244.36,251.27,776010
2016-01-06,250.00,253.80,249.64,251.67,589834
2016-01-07,248.48,251.88,248.39,249.05,633728
2016-01-08,250.20,251.38,246.80,247.23,600602
2016-01-11,248.20,251.47,248.09,249.67,818528
2016-01-12,250.12,251.27,248.00,250.17,856033
2016-01-13,250.49,254.66,248.91,249.35,849417
2016-01-14,249.77,251.66,246.43,249.73,1070375
2016-01-15,247.74,253.38,246.30,248.55,1273939
2016-01-19,250.12,252.78,247.82,250.44,901615
2016-01-20,248.74,249.91,239.51,240.29,1336457
2016-01-21,241.21,244.67,240.13,241.06,748737
2016-01-22,242.79,249.22,242.60,247.73,778489
2016-01-25,247.98,251.49,246.38,247.51,918042
2016-01-26,246.85,253.54,246.38,253.47,983648
2016-01-27,253.02,253.91,246.97,248.18,979656
2016-01-28,248.91,252.53,247.48,249.06,736818
2016-01-29,251.79,255.97,249.07,253.56,978899
2016-02-01,253.14,256.46,251.63,254.08,676196
