date,open,high,low,close,volume
2015-12-01,92.33,92.95,91.21,92.67,2583754
2015-12-02,92.16,93.00,90.08,90.44,3024720
2015-12-03,91.00,91.28,88.20,88.57,2834604
2015-12-04,90.35,90.67,88.69,90.20,3154184
2015-12-07,88.62,89.46,85.72,86.69,5272080
2015-12-08,85.57,87.43,85.11,86.45,3427267
2015-12-09,86.51,87.85,85.20,86.09,2966793
2015-12-10,86.48,87.55,85.68,86.75,2694878
2015-12-11,85.46,85.91,82.52,82.78,4232934
2015-12-14,82.32,82.83,80.28,81.40,5113538
2015-12-15,82.42,83.30,81.42,81.78,5233067
2015-12-16,81.55,83.40,81.55,83.06,3981761
2015-12-17,83.00,83.34,81.76,81.78,3147685
2015-12-18,81.50,81.78,79.68,80.56,6246576
2015-12-21,81.02,81.27,79.47,80.62,2809418
2015-12-22,80.77,82.28,80.67,81.70,2623061
2015-12-23,82.71,84.85,82.14,84.80,3114111
2015-12-24,84.53,84.98,83.81,84.36,1054240
2015-12-28,83.18,83.56,81.91,82.46,1690520
2015-12-29,83.72,83.87,82.58,82.77,1906174
2015-12-30,82.31,83.41,81.87,82.01,1527677
2015-12-31,81.50,82.41,81.21,81.80,2095784
2016-01-04,81.21,81.89,79.36,80.08,3251429
2016-01-05,80.37,81.19,80.05,81.00,2850004
2016-01-06,79.12,80.00,77.60,78.03,4273268
2016-01-07,76.67,78.11,75.95,76.45,6357978
2016-01-08,76.92,77.18,75.15,75.21,6009952
2016-01-11,75.86,77.51,74.37,76.18,4355962
2016-01-12,76.71,78.38,76.00,77.82,5370143
2016-01-13,78.91,78.93,74.54,75.25,6500193
2016-01-14,75.93,80.08,74.32,79.28,5363508
2016-01-15,76.92,78.60,76.61,78.47,5343195
2016-01-19,80.38,80.64,77.48,78.67,4574336
2016-01-20,76.90,78.21,75.37,76.93,5170364
2016-01-21,76.71,77.23,75.29,76.04,4360681
2016-01-22,78.45,80.90,77.60,80.03,4041466
2016-01-25,79.07,79.74,76.17,76.23,4279179
2016-01-26,76.91,77.80,76.19,77.76,3177606
2016-01-27,77.14,79.77,76.42,77.73,4782135
2016-01-28,79.24,80.00,77.00,78.70,5160954
2016-01-29,78.10,80.23,75.80,80.15,7448393
2016-02-01,79.68,80.66,77.82,79.48,4487703
2016-02-02,78.58,79.44,77.80,78.50,4206885
2016-02-03,79.51,79.94,76.76,79.10,7337489
2016-02-04,79.09,80.92,78.60,79.88,5657732
2016-02-05,79.63,80.48,77.92,78.33,4650378
2016-02-08,78.33,78.33,73.30,76.28,7979823
2016-02-09,75.77,76.62,74.67,75.44,4348610
2016-02-10,76.02,77.10,74.67,75.29,5813361
2016-02-11,73.53,75.04,71.74,72.90,7720776
2016-02-12,74.00,75.32,73.84,75.20,4217831
2016-02-16,76.76,78.28,75.86,78.25,5690427
2016-02-17,79.09,80.89,78.88,80.59,4465360
2016-02-18,81.34,81.75,78.89,79.44,4608951
