date,open,high,low,close,volume
2015-12-01,145.98,149.40,145.98,149.25,2077439
2015-12-02,148.17,148.62,142.84,143.82,2020692
2015-12-03,145.25,147.28,143.82,145.18,1716743
2015-12-04,142.96,147.32,141.28,146.10,2154689
2015-12-07,141.50,141.50,133.08,137.51,4409003
2015-12-08,133.74,141.04,132.17,140.35,3886730
2015-12-09,141.27,146.71,140.05,143.10,3242084
2015-12-10,142.31,149.69,141.47,145.39,3411546
2015-12-11,143.14,143.24,139.87,139.99,2466691
2015-12-14,138.75,142.92,138.17,141.11,2890033
2015-12-15,143.63,145.24,140.94,144.58,1951233
2015-12-16,144.89,145.05,134.01,134.40,3398345
2015-12-17,134.51,135.44,126.11,130.51,4790850
2015-12-18,130.51,130.97,121.26,121.28,4875229
2015-12-21,121.28,121.28,114.40,115.71,5069818
2015-12-22,115.70,119.69,115.16,116.55,3799084
2015-12-23,119.96,126.11,119.56,125.84,3236475
2015-12-24,125.90,126.20,123.04,125.02,873033
2015-12-28,122.50,122.99,120.55,121.58,1250701
2015-12-29,123.75,125.07,121.55,124.46,1619883
2015-12-30,121.90,125.28,121.90,124.47,1333706
2015-12-31,123.42,126.49,123.31,125.38,1739917
2016-01-04,125.19,127.09,122.04,124.35,1778917
2016-01-05,124.35,126.09,122.84,125.17,1448859
2016-01-06,115.29,117.46,114.97,116.15,14057995
2016-01-07,115.54,118.51,115.00,116.42,5316368
2016-01-08,117.25,117.67,115.35,115.84,3143162
2016-01-11,116.89,117.17,112.02,113.51,4995962
2016-01-12,115.94,116.64,108.46,113.24,4005210
2016-01-13,114.99,117.21,111.92,114.20,3518043
2016-01-14,115.12,118.79,113.45,115.96,4342655
2016-01-15,109.21,113.97,108.50,113.14,4769328
2016-01-19,114.55,115.00,109.04,111.62,2824363
2016-01-20,109.37,110.99,103.50,109.04,5242523
2016-01-21,108.92,115.00,106.73,111.80,4018926
2016-01-22,117.30,117.90,112.43,113.50,4164352
2016-01-25,110.45,113.33,107.60,107.75,2604469
2016-01-26,110.36,114.29,107.97,113.54,2395987
2016-01-27,112.85,117.27,111.73,113.90,2798080
2016-01-28,119.10,120.69,116.35,120.01,5263187
2016-01-29,121.00,124.10,119.83,123.95,3692283
2016-02-01,121.79,123.49,120.00,122.29,2367506
2016-02-02,118.26,123.97,117.84,121.52,2247328
2016-02-03,123.66,127.39,119.44,127.32,2565679
2016-02-04,129.33,133.79,123.82,124.49,3717189
2016-02-05,123.21,123.27,118.00,118.80,3508280
2016-02-08,117.19,117.44,112.04,115.19,4252032
2016-02-09,113.01,115.86,108.65,111.29,4309910
2016-02-10,109.58,113.60,108.27,108.79,3419591
2016-02-11,107.33,114.45,105.22,110.75,7244876
2016-02-12,113.60,117.25,111.86,115.36,3708384
2016-02-16,116.54,117.80,115.03,115.45,2936038
2016-02-17,117.70,125.08,116.14,124.55,3868186
2016-02-18,124.86,126.54,120.85,121.36,2913286
2016-02-19,119.08,123.06,117.51,122.99,2778208
2016-02-22,126.00,126.54,123.87,125.01,2230473
2016-02-23,123.51,124.88,119.50,119.57,2093552
2016-02-24,117.67,120.57,116.54,119.33,2387029
2016-02-25,119.38,121.94,115.17,120.49,1965939
2016-02-26,123.54,126.70,122.09,123.37,2061740
2016-02-29,123.87,124.01,120.32,120.53,1856122
2016-03-01,121.57,128.16,120.08,128.10,3471357
2016-03-02,127.36,131.34,125.03,131.25,3137400
2016-03-03,130.99,133.23,126.89,128.27,3731213
2016-03-04,130.00,133.30,126.28,128.80,3939955
2016-03-07,128.16,131.73,122.08,130.64,5134135
