date,open,high,low,close,volume
2015-12-01,10.21,10.28,10.12,10.25,14032810
2015-12-02,10.28,10.28,10.08,10.10,13473188
2015-12-03,10.15,10.17,9.93,9.97,15801615
2015-12-04,10.00,10.28,9.91,10.26,19157354
2015-12-07,10.21,10.23,9.98,10.03,15008908
2015-12-08,9.94,9.96,9.60,9.64,24117737
2015-12-09,9.58,9.66,9.34,9.45,26127320
2015-12-10,9.46,9.74,9.37,9.61,16280945
2015-12-11,9.44,9.50,9.30,9.37,17851214
2015-12-14,9.47,9.52,9.20,9.36,20950368
2015-12-15,9.52,9.86,9.51,9.77,21971922
2015-12-16,9.86,9.98,9.64,9.94,30767517
2015-12-17,9.98,10.02,9.73,9.73,21232803
2015-12-18,9.52,9.61,9.31,9.35,55937812
2015-12-21,9.39,9.42,9.25,9.39,14228266
2015-12-22,9.49,9.51,9.30,9.50,13100705
2015-12-23,9.57,9.70,9.53,9.69,10674074
2015-12-24,9.68,9.78,9.66,9.71,3692442
2015-12-28,9.66,9.68,9.48,9.63,8696136
2015-12-29,9.69,9.79,9.68,9.76,8090498
2015-12-30,9.74,9.74,9.61,9.65,6842693
2015-12-31,9.58,9.73,9.54,9.60,9616292
2016-01-04,9.35,9.48,9.30,9.44,17833973
2016-01-05,9.45,9.51,9.33,9.42,16058481
2016-01-06,9.26,9.34,9.18,9.26,17107872
2016-01-07,9.05,9.17,8.96,8.96,27113583
2016-01-08,9.04,9.10,8.73,8.76,23234611
2016-01-11,8.84,8.90,8.57,8.68,19568600
2016-01-12,8.78,8.82,8.52,8.74,18781174
2016-01-13,8.81,8.83,8.28,8.33,27971637
2016-01-14,8.38,8.48,8.17,8.36,43912995
2016-01-15,7.18,8.26,7.08,8.20,37304268
2016-01-19,8.31,8.40,8.00,8.08,29177937
2016-01-20,7.86,8.03,7.60,7.90,34519381
2016-01-21,7.86,8.08,7.78,7.83,31909035
2016-01-22,7.96,8.10,7.91,7.93,17985400
2016-01-25,7.87,7.91,7.55,7.57,18528429
2016-01-26,7.63,7.93,7.63,7.82,22821137
2016-01-27,7.81,8.18,7.75,7.95,28181572
2016-01-28,8.08,8.26,7.98,8.01,29477973
2016-01-29,8.02,8.15,7.96,8.12,26117455
2016-02-01,8.13,8.15,7.88,7.94,24594047
2016-02-02,7.78,7.78,7.56,7.63,26566161
2016-02-03,7.70,7.87,7.34,7.82,34311685
2016-02-04,7.76,8.10,7.74,7.90,22205162
2016-02-05,7.95,8.04,7.78,7.80,20024475
2016-02-08,7.67,7.68,7.37,7.53,26654505
2016-02-09,7.37,7.70,7.34,7.65,26034289
2016-02-10,7.70,7.79,7.51,7.51,23601273
2016-02-11,7.25,7.30,7.00,7.08,28325588
2016-02-12,7.24,7.63,7.21,7.60,32594948
2016-02-16,7.77,7.93,7.62,7.84,24383687
2016-02-17,7.94,8.02,7.76,7.82,20674906
2016-02-18,7.90,7.90,7.51,7.62,24288052
2016-02-19,7.59,7.75,7.49,7.65,20062407
2016-02-22,7.79,7.91,7.77,7.90,16755872
2016-02-23,7.86,7.90,7.50,7.57,19334731
2016-02-24,7.40,7.45,7.21,7.42,22039567
2016-02-25,7.43,7.55,7.35,7.51,15091151
2016-02-26,7.64,7.87,7.56,7.75,19080141
2016-02-29,7.71,7.74,7.52,7.52,17443393
2016-03-01,7.61,7.99,7.58,7.98,17608792
2016-03-02,8.00,8.17,7.96,8.12,16713295
2016-03-03,8.11,8.30,8.08,8.28,20972514
2016-03-04,8.37,8.57,8.29,8.39,26469161
2016-03-07,8.27,8.43,8.25,8.38,14914355
2016-03-08,8.28,8.30,7.95,8.05,29012433
2016-03-09,8.09,8.12,7.83,7.87,22308204
2016-03-10,8.00,8.09,7.82,7.97,23258539
2016-03-11,8.07,8.26,8.05,8.24,14643722
2016-03-14,8.24,8.28,8.10,8.21,16257447
2016-03-15,8.13,8.13,8.01,8.11,13348036
2016-03-16,8.13,8.28,7.90,8.02,19985825
2016-03-17,7.99,8.13,7.82,8.12,18022309
2016-03-18,8.21,8.32,8.10,8.23,30536589
2016-03-21,8.23,8.34,8.11,8.21,15639292
2016-03-22,8.06,8.25,8.04,8.18,15599593
2016-03-23,8.15,8.18,8.06,8.08,13052123
2016-03-24,8.02,8.07,7.82,8.06,11388402
2016-03-28,8.08,8.12,7.96,8.05,9217991
2016-03-29,7.95,7.95,7.75,7.90,22267982
2016-03-30,7.94,8.06,7.86,7.90,17122598
2016-03-31,7.86,7.95,7.79,7.85,15297606
2016-04-01,7.77,7.89,7.67,7.89,15286656
2016-04-04,7.87,7.97,7.80,7.87,12083414
2016-04-05,7.76,7.82,7.66,7.66,14743262
2016-04-06,7.67,7.82,7.61,7.81,19375630
2016-04-07,7.69,7.75,7.53,7.60,16828914
2016-04-08,7.71,7.81,7.63,7.67,18383464
2016-04-11,7.70,7.88,7.68,7.76,23444644
2016-04-12,7.83,8.00,7.79,7.97,15865841
2016-04-13,8.06,8.43,8.04,8.40,32141637
2016-04-14,8.39,8.63,8.36,8.48,35699719
2016-04-15,8.89,8.90,8.55,8.74,42654727
2016-04-18,8.66,8.84,8.57,8.76,19793254
2016-04-19,8.88,9.00,8.79,8.98,27380713
2016-04-20,9.00,9.19,8.95,9.16,28551242
2016-04-21,9.21,9.26,9.12,9.17,17334255
2016-04-22,9.20,9.42,9.17,9.34,22043722
2016-04-25,9.28,9.35,9.17,9.30,16553811
2016-04-26,9.30,9.43,9.23,9.40,17023298
2016-04-27,9.41,9.63,9.34,9.59,31436836
2016-04-28,9.47,9.62,9.38,9.42,21422116
2016-04-29,9.38,9.45,9.26,9.38,23878095
2016-05-02,9.45,9.48,9.28,9.45,18427871
2016-05-03,9.30,9.32,9.10,9.24,23707315
2016-05-04,9.09,9.21,8.92,9.04,25300371
2016-05-05,9.08,9.15,8.98,9.04,16834356
2016-05-06,8.95,9.09,8.92,9.08,20046729
2016-05-09,9.06,9.14,8.98,9.05,13770922
2016-05-10,9.10,9.26,9.08,9.23,13378613
2016-05-11,9.18,9.39,9.18,9.22,14905134
2016-05-12,9.27,9.36,9.06,9.13,17652720
2016-05-13,9.13,9.26,8.89,8.99,16600943
2016-05-16,8.94,9.09,8.92,9.05,12436220
2016-05-17,9.01,9.31,8.95,9.17,26396880
2016-05-18,9.15,9.66,9.14,9.64,36225626
2016-05-19,9.52,9.70,9.34,9.47,19345740
2016-05-20,9.52,9.62,9.45,9.51,14868982
2016-05-23,9.49,9.55,9.36,9.47,14037805
2016-05-24,9.53,9.68,9.52,9.65,14449998
2016-05-25,9.73,9.90,9.72,9.85,17412576
2016-05-26,9.85,9.86,9.68,9.73,13385414
2016-05-27,9.80,9.87,9.71,9.87,13115319
2016-05-31,9.90,9.99,9.77,9.83,24980023
2016-06-01,9.67,9.96,9.60,9.93,20465454
2016-06-02,9.88,10.00,9.82,10.00,11752885
2016-06-03,9.71,9.77,9.50,9.73,20472225
2016-06-06,9.82,10.00,9.77,9.95,14497510
2016-06-07,9.95,9.97,9.82,9.83,12400094
2016-06-08,9.76,9.88,9.75,9.82,16659875
2016-06-09,9.71,9.73,9.54,9.70,13663194
2016-06-10,9.53,9.55,9.45,9.52,16682670
2016-06-13,9.46,9.57,9.36,9.36,17883193
2016-06-14,9.32,9.42,9.02,9.09,20247011
2016-06-15,9.15,9.36,9.06,9.10,29858719
2016-06-16,9.01,9.04,8.79,8.97,44565119
2016-06-17,8.97,9.13,8.95,9.09,20699005
2016-06-20,9.31,9.41,9.16,9.17,12534901
2016-06-21,9.20,9.25,9.06,9.17,13159236
2016-06-22,9.19,9.31,9.11,9.12,14676121
2016-06-23,9.26,9.45,9.24,9.45,12912837
2016-06-24,8.89,9.00,8.52,8.53,31857036
2016-06-27,8.37,8.37,7.86,7.91,30332377
2016-06-28,8.14,8.26,8.01,8.23,26924361
2016-06-29,8.25,8.43,8.22,8.42,20291677
2016-06-30,8.49,8.51,8.34,8.51,26527947
2016-07-01,8.44,8.49,8.29,8.36,15101232
2016-07-05,8.24,8.25,7.96,8.02,17939427
2016-07-06,7.95,8.20,7.80,8.19,26898467
2016-07-07,8.18,8.40,8.17,8.25,21554021
2016-07-08,8.39,8.53,8.37,8.44,23638611
2016-07-11,8.54,8.62,8.50,8.57,18731983
2016-07-12,8.68,8.86,8.68,8.83,21033438
2016-07-13,8.80,8.87,8.73,8.86,18219772
2016-07-14,9.06,9.12,9.01,9.08,20403434
2016-07-15,9.13,9.18,9.02,9.12,21362607
2016-07-18,9.12,9.24,9.09,9.16,21831229
2016-07-19,9.00,9.10,8.85,8.88,33691915
2016-07-20,8.93,8.97,8.80,8.92,26129509
2016-07-21,8.95,9.09,8.91,8.94,21094840
2016-07-22,8.95,9.09,8.91,9.03,19156862
2016-07-25,9.01,9.05,8.95,8.97,11725219
2016-07-26,8.98,9.17,8.95,9.15,20471630
2016-07-27,9.18,9.29,9.05,9.10,23562438
2016-07-28,9.06,9.19,9.00,9.16,13576490
2016-07-29,9.10,9.32,9.10,9.17,28575356
2016-08-01,9.21,9.24,9.00,9.02,19576455
2016-08-02,9.01,9.04,8.82,8.90,20249286
2016-08-03,8.91,9.11,8.88,9.04,18022474
2016-08-04,9.06,9.11,9.02,9.04,12049578
2016-08-05,9.22,9.45,9.20,9.39,16707649
2016-08-08,9.40,9.46,9.36,9.39,11365154
2016-08-09,9.40,9.46,9.35,9.37,10501266
2016-08-10,9.37,9.39,9.24,9.26,18158976
2016-08-11,9.26,9.34,9.22,9.30,11666423
2016-08-12,9.21,9.23,9.14,9.23,9984182
2016-08-15,9.29,9.58,9.28,9.56,18672224
2016-08-16,9.50,9.62,9.45,9.54,17488039
2016-08-17,9.54,9.58,9.48,9.55,16724794
2016-08-18,9.56,9.63,9.52,9.63,12426253
2016-08-19,9.62,9.69,9.54,9.69,11066767
2016-08-22,9.63,9.72,9.59,9.66,14818922
2016-08-23,9.69,9.74,9.67,9.67,11186266
2016-08-24,9.68,9.75,9.62,9.63,14044735
2016-08-25,9.63,9.74,9.63,9.65,15908752
2016-08-26,9.68,9.87,9.65,9.79,18289044
2016-08-29,9.81,9.97,9.80,9.86,12043658
2016-08-30,9.90,9.98,9.85,9.97,13300903
2016-08-31,9.97,10.00,9.80,9.97,14360361
2016-09-01,9.99,10.03,9.75,9.85,15272606
2016-09-02,9.90,9.98,9.77,9.93,14590185
2016-09-06,9.96,10.00,9.83,9.89,25577992
