date,open,high,low,close,volume
2015-12-01,194.31,194.98,190.13,191.68,609763
2015-12-02,191.05,192.48,187.31,188.10,616071
2015-12-03,188.38,189.26,185.82,187.62,592252
2015-12-04,187.98,189.97,186.42,189.48,588973
2015-12-07,189.12,189.47,187.31,188.26,344735
2015-12-08,186.81,187.40,185.35,186.28,395154
2015-12-09,185.97,188.02,184.33,185.45,377471
2015-12-10,185.11,187.64,184.38,186.52,286450
2015-12-11,184.84,185.85,182.45,183.27,304265
2015-12-14,183.75,184.49,182.53,184.12,310579
2015-12-15,185.72,185.87,182.09,183.14,378921
2015-12-16,182.98,186.83,182.75,186.42,364546
2015-12-17,186.46,188.32,183.40,184.60,649221
2015-12-18,184.25,185.49,183.22,183.32,855367
2015-12-21,184.57,185.53,183.39,185.16,245434
2015-12-22,185.74,187.74,184.95,187.22,265206
2015-12-23,188.16,190.36,188.07,190.08,291202
2015-12-24,189.54,190.35,189.14,189.84,117615
2015-12-28,188.73,190.52,188.28,190.18,194100
2015-12-29,191.32,193.32,191.18,192.62,263493
2015-12-30,192.50,192.98,190.41,190.58,185220
2015-12-31,190.07,191.16,189.50,189.79,248284
2016-01-04,186.38,187.24,184.25,186.51,514261
2016-01-05,186.40,188.08,184.52,187.56,350240
2016-01-06,184.53,187.56,182.98,183.37,471056
2016-01-07,179.83,181.25,177.49,177.89,444893
2016-01-08,179.23,179.85,175.24,175.62,489375
2016-01-11,176.51,177.93,171.66,173.47,724272
2016-01-12,175.18,176.88,173.24,176.06,553140
2016-01-13,177.24,178.56,170.56,170.76,483648
2016-01-14,170.95,172.36,168.80,170.84,834103
2016-01-15,167.97,171.06,166.05,169.43,902125
2016-01-19,171.98,172.30,168.37,169.52,493121
2016-01-20,167.04,168.94,164.73,167.62,686083
2016-01-21,167.69,168.88,165.22,166.40,584646
2016-01-22,171.28,172.23,167.58,168.52,532925
2016-01-25,168.28,168.68,165.94,166.09,525883
2016-01-26,166.95,169.33,166.22,169.28,425097
2016-01-27,169.27,171.97,167.37,168.26,303081
2016-01-28,170.09,171.24,168.13,169.72,415370
2016-01-29,170.30,175.81,169.24,175.67,961805
2016-02-01,157.34,164.94,157.31,163.73,2355611
2016-02-02,161.90,161.90,145.01,158.89,1078121
2016-02-03,160.81,162.14,157.18,162.11,667420
2016-02-04,162.04,168.10,160.49,166.97,722962
2016-02-05,165.82,165.82,161.02,163.12,839761
2016-02-08,161.75,162.86,159.54,161.87,465968
2016-02-09,160.60,163.69,160.19,161.83,596566
2016-02-10,161.22,163.29,159.92,160.25,534097
2016-02-11,157.60,161.11,157.18,159.97,470733
2016-02-12,160.67,164.61,157.75,163.59,396664
2016-02-16,165.06,167.88,163.39,167.29,602496
2016-02-17,168.18,170.18,168.18,169.71,550604
2016-02-18,169.60,172.36,168.88,170.50,633962
2016-02-19,170.66,172.14,168.95,170.34,647973
2016-02-22,171.36,173.68,171.04,173.01,555425
2016-02-23,172.40,174.44,170.30,171.26,440650
2016-02-24,170.01,170.87,168.59,170.22,401372
2016-02-25,171.22,172.20,169.25,171.00,507895
2016-02-26,171.94,172.08,170.24,170.34,685572
2016-02-29,170.02,170.50,166.87,167.93,690704
2016-03-01,169.00,172.56,168.58,171.88,491493
2016-03-02,171.01,172.38,170.30,171.43,398949
2016-03-03,171.21,172.47,170.63,172.38,346442
2016-03-04,171.96,172.90,170.07,172.50,503858
2016-03-07,171.68,173.48,171.68,173.44,363400
2016-03-08,171.66,172.44,170.38,170.78,348949
2016-03-09,171.69,172.51,170.08,170.61,378514
2016-03-10,170.58,171.51,168.79,170.46,358422
2016-03-11,171.85,174.03,170.90,173.81,439090
2016-03-14,173.75,176.48,173.53,175.50,448960
2016-03-15,173.95,176.93,173.95,175.80,305722
2016-03-16,175.67,177.59,175.14,177.43,432364
2016-03-17,177.69,180.69,177.52,179.78,542753
2016-03-18,180.31,182.55,179.72,181.85,757208
2016-03-21,181.15,181.66,180.62,181.32,331356
2016-03-22,181.21,182.62,180.80,182.02,362435
2016-03-23,182.15,182.62,179.28,179.96,409026
2016-03-24,179.05,180.67,178.86,180.53,363128
2016-03-28,180.71,182.19,180.41,182.00,366678
2016-03-29,181.98,183.03,180.75,182.52,377304
2016-03-30,183.74,184.42,181.66,182.01,370993
2016-03-31,181.84,183.69,181.14,182.77,362255
2016-04-01,181.24,185.14,180.62,184.66,507018
2016-04-04,184.59,184.59,179.40,180.40,576858
2016-04-05,179.02,179.55,178.43,178.72,454421
2016-04-06,178.62,179.33,176.19,178.94,409139
2016-04-07,178.00,178.86,176.01,176.56,555582
2016-04-08,178.03,178.46,177.07,177.95,381390
2016-04-11,178.09,178.54,176.30,176.68,317145
