date,open,high,low,close,volume
2015-12-01,53.46,53.69,53.01,53.66,510077
2015-12-02,53.52,53.66,52.49,52.56,472243
2015-12-03,51.41,51.91,50.58,50.89,756730
2015-12-04,51.05,52.29,51.05,52.25,606699
2015-12-07,52.03,52.22,51.19,51.41,580312
2015-12-08,49.67,51.01,49.40,50.69,1102949
2015-12-09,50.45,51.05,49.99,50.25,658975
2015-12-10,50.11,50.58,49.88,50.38,604727
2015-12-11,49.73,50.60,49.50,50.28,656697
2015-12-14,50.32,51.05,50.27,51.01,930211
2015-12-15,51.50,51.80,51.30,51.39,1022383
2015-12-16,51.75,52.80,51.60,52.62,851229
2015-12-17,52.65,52.81,51.93,51.94,568679
2015-12-18,51.69,51.69,50.70,50.87,2082499
2015-12-21,51.47,52.02,51.30,51.55,719038
2015-12-22,51.81,52.85,51.54,52.63,455375
2015-12-23,52.82,53.19,52.57,53.06,336779
2015-12-24,53.05,53.56,53.03,53.44,159429
2015-12-28,53.30,53.56,52.95,53.54,259888
2015-12-29,53.75,54.52,53.74,54.36,367018
2015-12-30,54.25,54.30,53.92,53.93,353001
2015-12-31,53.78,54.26,53.56,53.57,499429
2016-01-04,52.79,52.81,51.72,52.43,911502
2016-01-05,52.72,53.26,52.49,53.01,726181
2016-01-06,52.10,52.86,52.02,52.25,2087767
2016-01-07,51.00,51.41,49.85,50.06,848553
2016-01-08,50.27,50.75,49.27,49.32,866734
2016-01-11,49.55,49.76,47.25,47.75,1677393
2016-01-12,48.17,48.68,47.75,48.55,733373
2016-01-13,48.67,48.76,46.84,47.09,538634
2016-01-14,47.36,48.49,47.04,48.10,768060
2016-01-15,46.78,47.50,46.78,47.41,881124
2016-01-19,48.12,48.12,46.92,47.77,622796
2016-01-20,47.00,48.68,46.57,48.16,1034660
2016-01-21,48.21,48.24,47.27,47.52,639006
2016-01-22,48.12,49.15,47.75,49.13,718991
2016-01-25,48.85,49.13,48.24,48.39,464560
2016-01-26,48.51,48.97,47.80,48.93,613276
2016-01-27,48.85,49.65,48.22,48.61,873250
2016-01-28,48.59,48.59,46.60,46.97,1033314
2016-01-29,47.17,48.34,47.06,48.32,1193711
2016-02-01,48.10,48.51,47.28,48.23,1583559
2016-02-02,47.68,47.93,47.18,47.53,742826
2016-02-03,47.71,47.71,45.75,46.80,1043860
2016-02-04,46.71,47.43,46.18,46.58,1119423
2016-02-05,42.47,45.20,39.50,43.26,3343661
2016-02-08,42.65,42.98,41.02,41.45,1330447
2016-02-09,40.91,43.19,40.41,42.47,1377328
2016-02-10,42.85,44.97,42.67,43.99,1335839
2016-02-11,43.18,43.68,42.81,43.41,1517773
2016-02-12,44.40,44.59,43.59,44.41,1273003
2016-02-16,44.98,46.09,44.81,45.67,1185905
2016-02-17,45.90,46.26,45.59,45.70,1240886
2016-02-18,45.69,46.57,45.49,45.68,891536
2016-02-19,45.57,47.04,45.43,46.97,2935437
2016-02-22,47.40,47.99,47.03,47.79,1200473
