date,open,high,low,close,volume
2015-12-01,105.49,109.53,105.49,109.45,1507548
2015-12-02,108.63,111.16,107.93,108.13,1262640
2015-12-03,108.77,108.89,106.09,106.90,1090381
2015-12-04,106.76,108.77,106.55,108.53,1056310
2015-12-07,108.08,109.13,107.56,109.03,630709
2015-12-08,108.06,108.92,107.44,107.90,783245
2015-12-09,107.90,108.08,104.80,105.01,811257
2015-12-10,105.10,105.39,104.07,104.65,1121391
2015-12-11,102.82,103.46,100.12,101.08,2061038
2015-12-14,101.27,103.90,100.67,101.76,1336793
2015-12-15,102.53,103.41,102.15,102.59,886133
2015-12-16,103.42,104.44,102.69,103.89,1077116
2015-12-17,104.48,104.84,100.99,101.01,1806641
2015-12-18,100.39,101.31,100.19,100.42,1927069
2015-12-21,101.66,101.66,100.34,101.39,811012
2015-12-22,101.90,102.03,100.90,101.67,714570
2015-12-23,101.91,103.40,101.91,103.38,1115744
2015-12-24,103.56,104.54,103.22,104.04,267987
2015-12-28,103.43,105.03,102.61,104.93,483735
2015-12-29,105.39,106.21,105.04,106.20,534859
2015-12-30,105.74,106.58,104.98,105.10,476470
2015-12-31,104.67,106.19,103.48,105.07,689379
2016-01-04,104.62,105.78,103.44,105.76,1191231
2016-01-05,105.98,107.44,104.04,107.15,906886
2016-01-06,106.04,107.28,105.44,106.17,504018
2016-01-07,104.45,104.87,102.33,102.59,725060
2016-01-08,102.99,104.61,100.53,101.64,1004983
2016-01-11,103.06,104.41,101.63,103.87,832465
2016-01-12,104.54,104.88,100.59,100.83,1013016
2016-01-13,101.57,102.28,97.52,97.72,1345883
2016-01-14,97.91,100.22,95.82,99.48,1494840
2016-01-15,96.96,98.37,89.50,91.96,3163752
2016-01-19,93.42,94.56,90.27,90.82,2898094
2016-01-20,89.11,89.55,84.19,88.56,2814533
2016-01-21,89.12,90.32,85.77,87.49,2436817
2016-01-22,88.90,94.34,88.90,94.02,2725609
2016-01-25,93.85,96.33,92.69,93.71,2158953
2016-01-26,95.99,99.57,95.77,97.04,1733548
2016-01-27,96.42,97.17,93.87,95.25,1061336
2016-01-28,96.05,96.38,94.28,95.07,1498229
2016-01-29,95.78,99.35,95.39,99.28,1597348
2016-02-01,98.58,98.70,96.54,98.14,1786438
2016-02-02,96.87,96.87,95.46,96.41,1375237
2016-02-03,96.80,96.82,92.83,95.78,2097165
2016-02-04,96.00,98.00,94.77,95.90,1023731
2016-02-05,96.29,96.29,91.86,93.40,1835443
2016-02-08,91.87,91.90,84.28,86.85,3507142
2016-02-09,85.35,86.54,83.82,85.74,2300053
2016-02-10,86.30,87.66,84.87,86.34,1967237
2016-02-11,84.51,86.20,82.80,84.96,2354028
2016-02-12,85.87,89.61,85.14,88.79,1415565
2016-02-16,90.10,92.80,89.57,90.53,1108497
2016-02-17,91.51,91.98,90.49,91.66,1092891
2016-02-18,91.64,92.40,90.87,91.57,948782
2016-02-19,90.75,90.75,88.95,89.64,1247821
2016-02-22,90.97,94.12,90.64,93.02,1441074
2016-02-23,92.32,93.36,91.83,92.76,1080814
2016-02-24,91.59,95.93,91.28,95.70,1362849
2016-02-25,96.36,97.49,94.95,96.60,1340389
2016-02-26,94.10,95.63,89.11,94.66,2953691
2016-02-29,94.00,97.36,93.01,94.89,1561671
2016-03-01,95.74,97.16,95.39,96.33,1376399
2016-03-02,96.47,96.81,94.71,96.00,1067931
2016-03-03,95.71,97.28,94.52,96.82,1636077
2016-03-04,94.96,97.63,94.22,96.58,1412038
2016-03-07,95.50,96.48,94.01,96.46,1499986
2016-03-08,96.12,96.54,93.33,93.53,1134447
2016-03-09,93.85,94.94,91.06,91.76,2141309
2016-03-10,92.22,93.26,91.24,91.87,1299616
2016-03-11,92.91,94.61,92.29,94.55,1205443
2016-03-14,93.91,94.55,92.62,94.37,1023771
2016-03-15,93.60,95.54,93.50,95.07,1022232
2016-03-16,94.54,95.83,93.88,95.57,702480
2016-03-17,95.55,100.56,95.55,99.31,1700456
2016-03-18,99.73,100.75,98.22,99.17,1176454
2016-03-21,98.63,99.67,97.53,98.43,609558
2016-03-22,97.81,98.39,97.16,97.74,780174
2016-03-23,97.97,98.31,96.89,96.95,640368
2016-03-24,96.78,98.11,96.44,97.91,859303
2016-03-28,98.13,98.28,96.74,97.73,399897
2016-03-29,97.34,100.30,96.88,100.19,658298
2016-03-30,100.74,101.40,99.80,99.96,857916
2016-03-31,99.64,101.13,99.64,100.17,906890
