date,open,high,low,close,volume
2015-12-01,121.78,122.49,120.65,120.81,1189559
2015-12-02,120.80,121.93,120.44,120.62,948655
2015-12-03,121.04,121.20,118.99,120.30,899022
2015-12-04,120.69,123.29,120.69,123.14,669036
2015-12-07,123.04,124.00,122.97,123.67,736505
2015-12-08,123.04,124.26,122.61,123.48,970254
2015-12-09,123.04,124.44,121.70,122.59,556960
2015-12-10,122.67,123.50,121.73,122.01,636428
2015-12-11,120.76,122.07,120.26,120.58,576162
2015-12-14,120.65,121.25,118.97,120.17,1275747
2015-12-15,120.63,122.26,120.56,122.04,768503
2015-12-16,123.02,124.27,121.43,124.07,1513730
2015-12-17,124.07,124.95,122.61,123.64,1010641
2015-12-18,122.81,122.91,121.22,121.55,1479971
2015-12-21,122.15,123.19,122.03,123.00,804456
2015-12-22,122.28,123.27,121.41,122.97,1126865
2015-12-23,123.89,125.00,123.28,124.86,655361
2015-12-24,124.45,125.01,124.33,124.78,206133
2015-12-28,124.69,124.72,123.61,124.23,561986
2015-12-29,124.89,125.33,124.52,124.80,436353
2015-12-30,124.96,124.96,123.92,123.95,404498
2015-12-31,123.71,124.08,122.18,123.34,413870
2016-01-04,121.60,122.57,121.25,122.38,1183007
2016-01-05,122.17,123.69,121.87,123.30,1242610
2016-01-06,121.75,123.38,121.62,122.40,1050840
2016-01-07,121.24,121.66,119.93,120.31,1020673
2016-01-08,120.64,121.14,119.92,120.04,1316637
2016-01-11,120.60,121.25,119.60,120.74,822092
2016-01-12,121.60,122.16,120.25,121.67,883562
2016-01-13,122.00,122.18,119.06,119.16,926056
2016-01-14,119.22,120.90,118.80,120.30,700070
2016-01-15,118.98,118.98,117.61,118.26,1107907
2016-01-19,119.51,120.35,118.53,119.73,947155
2016-01-20,118.48,120.19,117.36,119.38,1149915
2016-01-21,119.38,119.87,117.92,119.26,994258
2016-01-22,120.38,122.97,119.95,122.89,1182414
2016-01-25,122.43,123.62,121.68,121.85,738925
2016-01-26,122.02,123.47,121.95,122.93,480381
2016-01-27,123.07,125.39,123.07,124.44,1173743
2016-01-28,125.10,127.62,124.91,126.29,1044137
2016-01-29,127.06,128.43,126.33,128.32,1024143
2016-02-01,127.89,129.69,127.48,129.13,824085
2016-02-02,127.85,129.45,127.32,128.33,763414
2016-02-03,128.74,130.00,127.50,129.37,996280
2016-02-04,128.61,129.35,125.10,125.93,1041027
2016-02-05,126.16,126.73,125.04,125.47,588785
2016-02-08,124.79,126.08,123.18,125.69,1059132
2016-02-09,125.39,128.12,124.94,127.35,956703
2016-02-10,127.35,128.93,126.72,127.82,688862
2016-02-11,126.25,127.24,125.06,126.15,1017172
2016-02-12,127.51,127.57,125.76,126.92,799661
2016-02-16,128.54,128.71,125.74,127.70,836152
2016-02-17,128.38,129.72,126.08,127.43,1511450
2016-02-18,127.50,128.34,125.78,127.53,1531216
2016-02-19,126.57,127.84,125.51,127.75,982172
2016-02-22,128.67,129.00,126.52,126.86,1274148
2016-02-23,123.50,125.52,121.79,123.85,2690023
2016-02-24,123.58,127.95,123.22,127.76,1457108
2016-02-25,128.50,129.83,128.24,129.57,859480
2016-02-26,129.82,130.00,126.94,127.67,762328
2016-02-29,127.39,128.55,126.85,127.57,1003508
2016-03-01,128.42,129.48,127.95,128.23,743913
2016-03-02,127.73,128.22,125.46,127.81,766095
2016-03-03,127.50,128.51,126.60,128.31,507804
2016-03-04,127.79,128.22,126.83,127.54,801567
2016-03-07,127.23,127.57,126.32,126.80,885937
2016-03-08,126.24,127.21,125.66,126.21,1520304
2016-03-09,126.90,127.68,126.01,127.07,1046669
2016-03-10,127.59,128.77,127.25,128.49,845694
2016-03-11,128.91,129.92,128.52,129.52,777213
2016-03-14,129.14,129.53,128.47,129.26,530963
2016-03-15,128.47,129.74,128.21,128.46,873909
2016-03-16,128.06,129.51,127.51,129.14,583710
2016-03-17,129.03,130.49,128.88,129.91,927387
