date,open,high,low,close,volume
2015-12-01,76.81,78.22,76.50,78.17,8172422
2015-12-02,77.39,78.20,75.62,75.81,9595025
2015-12-03,76.46,76.62,74.14,74.81,8354516
2015-12-04,73.83,75.06,73.16,74.71,8610943
2015-12-07,72.65,73.28,72.07,72.80,10591176
2015-12-08,71.22,72.99,69.70,71.50,8305165
2015-12-09,72.10,74.05,71.42,72.12,9344815
2015-12-10,71.79,73.23,71.40,71.48,7200947
2015-12-11,70.53,70.76,69.72,69.82,9453494
2015-12-14,69.38,70.53,69.11,70.02,11322642
2015-12-15,71.00,72.13,70.56,71.84,10511825
2015-12-16,71.50,72.30,70.77,71.22,7865611
2015-12-17,71.11,71.47,69.14,69.20,8278552
2015-12-18,69.04,69.17,67.33,67.34,15155644
2015-12-21,67.44,68.34,67.15,67.95,7861292
2015-12-22,68.42,69.77,68.17,69.49,7951029
2015-12-23,70.61,71.04,69.98,71.01,7757722
2015-12-24,70.90,71.21,70.37,70.53,2968765
2015-12-28,69.50,70.45,69.03,70.42,6616877
2015-12-29,71.68,71.85,69.90,70.51,6986989
2015-12-30,69.41,70.53,69.38,69.64,5744633
2015-12-31,69.31,70.38,69.00,69.75,5271122
2016-01-04,69.45,70.02,67.96,69.18,9160182
2016-01-05,69.34,69.84,68.09,69.50,6783696
2016-01-06,67.92,69.40,67.47,67.70,11923005
2016-01-07,66.23,67.76,65.80,66.19,12041043
2016-01-08,66.36,66.81,64.89,65.08,9657925
2016-01-11,65.19,65.47,63.79,64.83,8728881
2016-01-12,65.95,66.11,63.19,64.74,10189879
2016-01-13,65.60,66.35,63.51,63.95,12729906
2016-01-14,64.36,65.34,61.75,64.68,13814691
2016-01-15,62.06,63.83,61.71,63.01,14702276
2016-01-19,63.16,64.30,62.05,62.82,11463624
2016-01-20,61.40,62.27,59.60,61.06,16075418
2016-01-21,61.21,63.47,60.37,61.45,12999444
2016-01-22,64.52,66.25,62.97,65.20,19479252
2016-01-25,63.90,66.13,63.23,63.30,13873978
2016-01-26,64.39,65.77,63.42,65.33,13857456
2016-01-27,65.34,67.13,64.58,65.55,12628951
2016-01-28,68.23,69.60,67.24,69.51,16450730
2016-01-29,69.98,72.50,69.57,72.27,18255974
2016-02-01,71.12,71.67,70.04,71.46,12164877
2016-02-02,69.32,69.98,68.37,68.84,13286174
2016-02-03,70.03,70.86,67.64,70.83,12837120
2016-02-04,71.53,72.87,70.31,70.54,10892712
2016-02-05,69.74,70.07,68.09,68.81,16470457
2016-02-08,68.03,70.26,67.34,69.78,12547486
2016-02-09,68.91,69.71,67.00,67.80,11138333
2016-02-10,67.77,68.95,67.39,67.73,8327258
2016-02-11,66.30,69.45,66.10,68.83,12122912
2016-02-12,68.88,70.81,68.77,70.31,10759879
2016-02-16,71.35,72.24,70.39,71.75,9571848
2016-02-17,72.55,73.69,72.17,72.93,10132069
2016-02-18,73.73,73.73,72.32,72.68,8123729
2016-02-19,71.97,72.89,71.78,72.87,8344323
2016-02-22,73.82,74.63,73.58,74.37,7649921
2016-02-23,73.88,74.77,71.86,72.08,8201911
2016-02-24,70.89,72.32,70.40,72.21,7857744
2016-02-25,71.93,72.35,70.65,72.35,6358302
2016-02-26,73.12,73.61,72.20,72.47,6003375
2016-02-29,72.35,73.39,71.69,71.72,7726132
2016-03-01,72.46,74.06,72.28,74.01,8321033
2016-03-02,73.47,74.44,72.47,74.41,8584048
2016-03-03,74.04,74.97,73.78,74.85,7910542
2016-03-04,75.11,76.00,73.81,74.83,11415865
2016-03-07,74.31,76.16,73.25,76.16,9618511
2016-03-08,75.26,75.72,72.68,72.70,8727106
2016-03-09,73.75,73.93,72.60,72.75,6966573
2016-03-10,72.80,73.35,72.12,73.18,7058538
2016-03-11,73.90,75.14,73.31,75.00,8054479
2016-03-14,73.97,74.37,73.01,73.44,5949518
2016-03-15,72.48,73.25,71.94,73.23,6815385
2016-03-16,73.68,73.84,72.16,73.35,7188707
2016-03-17,74.11,75.00,73.54,74.54,7072133
2016-03-18,75.01,75.01,73.27,73.52,9549059
2016-03-21,72.37,75.04,72.18,74.89,7546126
2016-03-22,74.05,75.23,73.54,73.61,6230751
2016-03-23,73.04,73.52,72.63,72.96,5923607
2016-03-24,71.91,72.66,71.50,72.58,8185161
2016-03-28,72.89,73.03,71.98,72.80,8285384
2016-03-29,71.58,73.09,71.34,73.00,10486019
2016-03-30,73.67,74.62,73.27,74.41,8328685
2016-03-31,74.29,75.03,73.48,73.75,8608727
2016-04-01,72.37,73.20,71.76,72.12,21470821
2016-04-04,72.44,72.92,71.90,72.64,9265305
2016-04-05,72.01,73.15,71.96,72.66,9575246
2016-04-06,73.00,74.42,71.90,73.16,10080733
2016-04-07,72.51,72.94,71.69,72.01,7505759
2016-04-08,73.44,74.27,73.03,73.85,6129571
2016-04-11,74.36,74.91,73.87,73.88,7465100
2016-04-12,74.17,76.16,73.86,75.90,8227592
2016-04-13,75.98,77.55,75.70,77.37,8647454
2016-04-14,77.46,77.66,76.57,77.16,5349742
2016-04-15,77.16,77.16,75.95,76.26,6869867
2016-04-18,74.74,77.50,74.44,77.45,5947529
2016-04-19,77.99,79.66,77.85,79.64,10336586
2016-04-20,79.21,81.90,79.15,81.10,12106050
2016-04-21,80.88,81.96,80.16,80.27,8297538
2016-04-22,77.72,81.02,77.72,79.93,9933602
2016-04-25,79.56,79.80,77.96,78.77,6684424
2016-04-26,79.13,79.35,78.42,79.20,5452631
2016-04-27,79.78,81.18,79.60,80.60,7314119
2016-04-28,79.99,81.32,79.43,79.78,6757059
2016-04-29,79.99,81.27,79.05,80.34,8606612
2016-05-02,79.95,80.72,78.29,79.40,7388064
2016-05-03,78.33,78.43,76.49,77.23,8862674
2016-05-04,77.21,77.69,75.20,75.73,7860777
2016-05-05,76.76,76.91,74.93,75.40,7306938
2016-05-06,75.03,76.01,74.60,75.12,8083750
2016-05-09,73.49,74.29,72.34,72.77,10161656
2016-05-10,73.33,74.54,73.09,74.26,7381780
2016-05-11,74.01,74.85,73.47,73.81,5815821
2016-05-12,74.24,74.84,73.60,74.09,5058385
2016-05-13,73.56,74.30,72.42,72.43,6090515
2016-05-16,73.30,74.45,73.02,74.00,5417218
2016-05-17,74.24,75.24,74.10,74.88,7226272
2016-05-18,74.50,74.70,72.65,73.17,6077944
2016-05-19,72.57,74.36,72.00,74.20,8874796
2016-05-20,74.67,75.14,74.18,74.96,7389357
2016-05-23,75.52,75.66,74.38,75.01,6250975
2016-05-24,75.50,76.05,75.11,75.62,6503563
2016-05-25,76.00,78.00,75.92,77.91,7489838
2016-05-26,78.38,78.97,77.68,77.88,7932215
2016-05-27,77.08,77.25,76.38,77.17,5050268
2016-05-31,77.07,77.60,75.81,76.30,5779999
2016-06-01,75.41,76.34,74.91,75.86,5542882
2016-06-02,75.47,75.71,74.61,75.45,4827263
2016-06-03,75.70,76.10,74.86,75.63,4342753
2016-06-06,76.56,79.28,76.22,79.09,8019158
2016-06-07,79.45,80.37,79.28,80.10,8546417
2016-06-08,80.73,81.41,80.01,80.81,6979853
2016-06-09,79.47,80.12,79.31,79.96,5038113
2016-06-10,78.69,79.49,78.26,78.53,5585088
2016-06-13,78.01,78.94,77.57,77.64,5118888
2016-06-14,77.18,77.89,76.62,77.46,5361854
2016-06-15,77.18,77.89,76.73,76.85,5384763
2016-06-16,76.15,76.48,74.92,76.34,6033091
2016-06-17,76.88,77.79,76.22,77.50,6583912
2016-06-20,78.88,79.12,77.52,77.59,5316136
2016-06-21,77.50,78.97,77.18,78.52,5634786
2016-06-22,79.01,79.14,78.20,78.27,5274019
2016-06-23,78.99,79.59,78.69,79.59,4737942
2016-06-24,76.63,77.77,76.23,76.66,9681020
2016-06-27,75.41,75.70,74.53,75.07,7109499
2016-06-28,75.96,76.73,75.52,76.63,5563774
2016-06-29,77.53,78.89,77.40,77.83,5854512
2016-06-30,77.96,79.14,77.85,79.08,4944681
2016-07-01,79.14,79.91,79.01,79.52,4050434
2016-07-05,78.73,78.96,76.88,77.63,5656869
2016-07-06,77.43,78.11,76.83,78.06,4563734
2016-07-07,78.30,79.22,77.01,77.70,4922481
2016-07-08,78.32,78.97,78.12,78.74,4217398
2016-07-11,79.00,79.21,77.96,78.02,4702826
2016-07-12,79.14,80.16,78.69,79.65,6356720
2016-07-13,79.65,80.13,78.31,78.88,5328907
2016-07-14,79.77,79.93,78.98,79.10,3817559
2016-07-15,79.82,79.96,79.03,79.35,4741219
2016-07-18,78.81,79.71,78.48,79.70,4333637
