date,open,high,low,close,volume
2015-12-01,97.25,97.60,95.98,97.47,1261102
2015-12-02,97.25,98.03,96.91,97.42,1204612
2015-12-03,97.55,98.00,95.09,95.75,1454286
2015-12-04,96.14,98.38,95.73,98.33,1104816
2015-12-07,97.40,98.01,96.15,97.02,1100690
2015-12-08,96.32,96.74,95.55,95.84,1222239
2015-12-09,95.33,96.35,94.31,94.45,1425932
2015-12-10,94.60,95.51,94.20,95.06,906483
2015-12-11,93.73,94.42,92.58,92.67,2022173
2015-12-14,92.73,94.47,92.26,94.41,1518533
2015-12-15,95.38,95.76,94.57,95.12,1599707
2015-12-16,95.50,96.60,95.00,96.52,1704395
2015-12-17,96.86,96.92,95.18,95.32,1497704
2015-12-18,94.61,94.61,93.34,93.86,2471351
2015-12-21,94.41,95.19,94.03,95.16,837824
2015-12-22,95.65,96.27,94.32,95.90,748634
2015-12-23,96.25,97.99,95.98,97.98,760811
2015-12-24,97.87,97.98,97.08,97.49,344706
2015-12-28,97.30,97.70,96.52,97.47,612940
2015-12-29,98.00,100.25,97.63,100.00,1193807
2015-12-30,99.65,101.27,99.23,99.86,1132608
2015-12-31,99.46,100.00,98.57,98.58,700736
2016-01-04,96.56,96.64,93.63,94.80,2145330
2016-01-05,94.52,95.27,94.12,95.12,1049926
2016-01-06,93.96,95.14,93.64,94.08,840125
2016-01-07,92.61,92.72,89.69,91.12,1819548
2016-01-08,91.51,91.81,88.34,88.51,1451763
2016-01-11,89.12,89.25,87.50,88.47,1196124
2016-01-12,88.93,89.67,87.64,88.72,1386281
2016-01-13,88.88,89.30,83.81,84.37,1652819
2016-01-14,84.87,85.54,83.08,84.90,1707783
2016-01-15,83.10,83.54,81.59,83.22,1881784
2016-01-19,84.72,85.22,82.47,83.33,1513549
2016-01-20,81.82,83.59,79.64,82.51,1596822
2016-01-21,82.92,84.14,81.47,81.77,1171828
2016-01-22,83.46,85.55,83.14,85.50,1430709
2016-01-25,85.26,86.51,83.66,83.87,1312234
2016-01-26,83.98,85.29,83.46,84.36,901445
2016-01-27,84.24,85.26,82.76,83.51,960545
2016-01-28,84.27,84.45,82.01,82.38,1295115
2016-01-29,83.12,85.16,82.30,85.02,2116065
2016-02-01,84.17,85.75,83.52,84.14,1331002
2016-02-02,82.71,83.23,81.40,81.68,1373163
2016-02-03,82.11,82.15,78.55,80.77,1968144
2016-02-04,81.77,88.00,81.77,87.00,3206260
2016-02-05,86.90,86.90,84.94,85.76,3070474
2016-02-08,84.60,84.77,82.02,83.37,3406168
2016-02-09,82.58,84.64,82.22,83.59,2405342
2016-02-10,84.50,86.46,83.99,84.77,1741300
2016-02-11,82.77,84.00,81.95,82.26,1359725
2016-02-12,84.13,85.59,82.89,85.52,1267625
2016-02-16,87.27,87.99,86.35,87.32,1864028
2016-02-17,87.79,89.56,87.77,88.87,1599817
2016-02-18,88.49,88.88,86.76,87.82,1488543
2016-02-19,87.68,88.23,86.75,87.95,1057629
2016-02-22,89.16,90.00,88.68,89.45,1544940
2016-02-23,88.50,88.50,87.01,87.20,1219268
2016-02-24,86.12,88.64,85.36,88.46,1500804
2016-02-25,88.80,90.15,87.54,90.11,1744294
2016-02-26,90.00,90.70,89.11,89.30,1777922
2016-02-29,89.13,90.86,88.75,89.74,1922575
2016-03-01,90.50,92.65,90.25,92.26,1609317
2016-03-02,91.91,92.89,91.44,92.52,1548674
2016-03-03,92.05,94.46,91.72,94.32,1597863
2016-03-04,94.31,95.50,93.78,95.06,1099039
2016-03-07,94.12,94.69,93.53,94.14,1255761
2016-03-08,93.38,94.63,93.05,93.95,1433775
2016-03-09,94.52,94.58,92.77,93.25,897714
2016-03-10,93.46,94.33,92.03,92.91,1247772
2016-03-11,94.00,95.22,93.42,95.13,1252323
2016-03-14,94.41,94.94,93.76,93.84,1652615
2016-03-15,93.00,93.58,92.25,93.13,1222909
2016-03-16,92.73,94.77,92.46,94.60,1264508
2016-03-17,94.81,96.30,94.58,95.95,1624720
2016-03-18,96.17,97.95,95.96,97.79,2287006
2016-03-21,97.42,97.49,95.72,96.20,1044137
2016-03-22,95.25,97.24,95.07,97.20,1490601
2016-03-23,97.27,97.98,97.14,97.22,1671640
2016-03-24,96.30,96.78,95.93,96.39,1350129
