date,open,high,low,close,volume
2015-12-01,76.69,77.11,76.00,76.90,588196
2015-12-02,76.89,77.19,75.25,76.18,2246054
2015-12-03,76.19,76.92,73.48,73.53,744640
2015-12-04,73.51,74.88,73.20,74.24,715000
2015-12-07,74.49,76.74,74.02,76.47,1185242
2015-12-08,75.38,77.00,72.73,73.10,1588860
2015-12-09,72.97,73.61,71.66,72.08,1053675
2015-12-10,72.52,73.70,72.31,73.39,963199
2015-12-11,72.44,73.28,72.20,72.35,857227
2015-12-14,72.49,73.38,71.13,71.65,805257
2015-12-15,72.11,72.80,71.77,71.97,809639
2015-12-16,72.78,74.32,72.32,74.10,1107376
2015-12-17,74.37,74.69,73.57,73.57,669099
2015-12-18,73.29,73.53,70.96,71.03,2494135
2015-12-21,71.37,71.66,70.70,71.18,827970
2015-12-22,72.42,74.92,72.42,74.01,1263928
2015-12-23,74.76,76.91,74.44,76.83,925490
2015-12-24,76.83,77.36,76.41,76.61,258732
2015-12-28,76.57,76.82,75.42,76.39,700212
2015-12-29,77.06,77.85,76.10,77.73,510664
2015-12-30,78.01,78.77,76.89,76.95,404954
2015-12-31,76.82,76.82,75.32,75.34,588085
2016-01-04,74.11,74.98,73.39,74.37,870537
2016-01-05,74.32,75.01,73.43,74.29,739407
2016-01-06,73.37,75.10,73.25,74.41,696560
2016-01-07,73.00,74.22,72.32,72.50,500691
2016-01-08,72.64,72.87,70.45,70.55,598935
2016-01-11,70.82,71.55,68.94,69.63,659107
2016-01-12,70.12,70.54,68.90,69.62,924839
2016-01-13,69.76,70.19,66.97,67.00,705702
2016-01-14,67.16,68.32,66.21,67.92,783798
2016-01-15,66.26,67.42,65.77,67.33,714868
2016-01-19,67.90,68.36,66.53,67.08,700426
2016-01-20,66.18,68.57,65.18,67.87,1150283
2016-01-21,67.89,68.66,67.04,67.60,859782
2016-01-22,68.41,69.57,68.20,69.56,617385
2016-01-25,69.33,70.30,69.08,69.41,570957
2016-01-26,69.59,69.87,68.72,69.35,661236
2016-01-27,69.00,70.51,68.68,68.91,783078
2016-01-28,69.25,69.56,66.67,67.88,876381
2016-01-29,68.25,69.37,68.25,69.24,668028
2016-02-01,68.49,70.13,68.49,69.83,736774
2016-02-02,68.99,69.34,68.48,69.11,429276
2016-02-03,69.77,69.77,68.20,68.92,666790
2016-02-04,69.44,69.44,68.35,68.66,950930
2016-02-05,68.29,68.43,66.47,66.76,724437
2016-02-08,65.86,66.28,63.71,65.46,739874
2016-02-09,66.48,67.98,65.18,66.47,1532417
2016-02-10,67.02,67.36,64.09,64.20,1173792
2016-02-11,62.28,63.69,61.41,62.47,835134
2016-02-12,63.17,63.23,61.38,62.61,667282
2016-02-16,63.03,64.25,62.85,64.02,515315
2016-02-17,64.32,65.16,64.10,64.67,570643
2016-02-18,64.73,65.29,63.59,63.70,574964
2016-02-19,63.54,63.78,62.68,63.62,552696
2016-02-22,64.14,64.60,63.40,64.48,687986
2016-02-23,63.96,64.23,62.65,62.77,727788
2016-02-24,62.39,63.46,61.64,63.39,447353
2016-02-25,63.52,65.30,63.35,65.26,515959
2016-02-26,65.19,65.34,64.45,64.54,509961
2016-02-29,64.59,64.96,63.32,64.32,843142
2016-03-01,64.62,65.58,64.35,65.01,590220
2016-03-02,64.78,65.67,64.78,65.30,594574
2016-03-03,65.24,66.07,65.06,66.02,557674
2016-03-04,66.00,67.10,65.97,66.98,633916
2016-03-07,66.66,68.00,66.38,68.00,627479
2016-03-08,67.45,68.44,67.28,67.34,1000376
2016-03-09,67.32,67.54,67.13,67.37,782822
2016-03-10,67.36,68.01,66.19,66.40,903756
2016-03-11,66.91,68.64,66.65,68.54,881442
2016-03-14,68.18,68.74,67.10,67.67,683810
2016-03-15,67.07,67.46,66.65,66.77,659658
2016-03-16,66.38,67.36,66.38,66.92,450380
2016-03-17,66.69,67.02,66.03,66.29,616447
2016-03-18,66.43,67.80,66.21,67.50,1486858
2016-03-21,67.20,68.69,67.02,68.50,520863
2016-03-22,67.99,69.29,67.96,69.12,608014
2016-03-23,69.12,69.71,69.01,69.42,994706
2016-03-24,68.91,69.41,68.43,69.22,991550
2016-03-28,69.22,70.34,69.04,70.18,633423
2016-03-29,69.97,71.81,69.71,71.73,1134408
2016-03-30,72.00,72.78,71.56,71.74,664432
2016-03-31,71.87,72.28,70.74,71.05,699261
2016-04-01,70.86,72.27,70.49,72.25,634080
2016-04-04,72.24,72.51,70.33,70.52,686231
2016-04-05,69.83,69.83,68.49,69.20,797208
2016-04-06,69.01,70.25,68.67,70.20,834282
2016-04-07,69.61,69.98,69.33,69.72,442398
2016-04-08,70.14,70.40,69.74,70.17,311061
2016-04-11,70.32,70.88,69.97,70.14,516849
2016-04-12,70.06,71.02,69.53,70.95,548825
2016-04-13,71.42,72.00,70.77,71.82,544243
2016-04-14,71.77,71.88,71.19,71.54,1096029
2016-04-15,71.54,71.93,70.97,71.31,444444
2016-04-18,71.18,72.76,70.73,72.65,444257
2016-04-19,72.90,73.13,72.25,72.54,414646
2016-04-20,72.88,73.11,71.99,72.55,311650
2016-04-21,72.34,73.52,72.10,72.94,435839
2016-04-22,72.90,74.10,72.50,72.93,462249
2016-04-25,72.50,72.91,71.83,72.04,543743
2016-04-26,72.00,73.05,71.84,72.79,384928
2016-04-27,72.99,73.49,72.17,72.41,386443
2016-04-28,71.91,72.50,71.23,71.40,412262
2016-04-29,71.12,71.12,70.18,70.67,427107
2016-05-02,70.65,71.42,70.44,70.59,790414
2016-05-03,70.40,70.41,69.27,69.60,509153
2016-05-04,69.29,70.72,69.11,70.52,695147
2016-05-05,70.59,71.71,70.59,71.38,366215
2016-05-06,70.84,71.50,70.62,71.31,441306
2016-05-09,71.09,72.64,70.93,72.06,383931
2016-05-10,72.41,72.53,71.22,72.49,379534
2016-05-11,72.55,72.55,71.67,71.69,277105
2016-05-12,71.65,72.00,71.11,71.76,485102
2016-05-13,71.30,72.11,70.97,71.16,480922
2016-05-16,71.18,72.53,71.16,72.36,685114
2016-05-17,72.42,72.42,70.26,70.37,868521
2016-05-18,64.41,69.48,64.39,68.75,2430216
2016-05-19,68.38,70.06,68.21,70.00,1031774
2016-05-20,70.26,70.52,69.58,69.87,752872
2016-05-23,70.03,70.16,68.57,68.69,549679
2016-05-24,69.30,70.38,68.38,69.87,734223
2016-05-25,69.93,70.30,69.21,69.42,538794
2016-05-26,69.55,69.70,68.25,68.40,765671
2016-05-27,68.33,69.63,68.08,69.38,581075
2016-05-31,69.38,69.56,68.89,69.43,598463
2016-06-01,69.36,70.05,68.98,69.72,663674
2016-06-02,69.55,70.26,69.30,69.82,507990
2016-06-03,70.59,71.76,70.05,70.50,932528
2016-06-06,70.32,70.51,69.67,70.27,631212
2016-06-07,70.36,71.14,69.95,70.83,609625
2016-06-08,70.75,71.72,70.59,71.55,483059
2016-06-09,71.29,72.02,71.11,71.67,368957
2016-06-10,71.17,71.22,70.51,70.74,529410
2016-06-13,70.50,70.62,68.33,68.38,1283561
2016-06-14,68.06,68.45,67.28,67.75,714002
2016-06-15,67.93,67.93,67.02,67.15,831423
2016-06-16,66.70,67.06,65.92,66.60,1152267
2016-06-17,66.68,67.48,66.12,67.39,1384205
2016-06-20,68.30,68.78,67.65,67.66,1137167
2016-06-21,67.66,67.95,66.84,67.51,873248
2016-06-22,67.49,67.83,67.15,67.15,809328
2016-06-23,67.83,69.43,67.66,69.39,1406078
2016-06-24,67.31,67.31,64.89,65.44,9970708
2016-06-27,65.06,65.21,63.26,63.28,1711248
2016-06-28,63.65,65.05,63.43,65.02,1348148
2016-06-29,65.51,67.43,65.51,67.36,924183
2016-06-30,67.85,68.78,67.19,68.75,806181
2016-07-01,68.90,69.48,68.09,68.89,435828
2016-07-05,68.77,69.07,67.68,67.79,913415
2016-07-06,67.68,68.30,67.25,68.07,731173
2016-07-07,68.26,68.76,68.03,68.19,500410
2016-07-08,68.80,69.48,68.46,69.16,806500
2016-07-11,69.45,69.65,69.08,69.09,527510
2016-07-12,69.26,69.58,69.16,69.38,1152566
2016-07-13,69.88,69.90,68.97,69.03,372082
2016-07-14,69.54,69.57,68.79,69.03,691040
2016-07-15,69.32,69.67,68.49,68.80,463553
2016-07-18,68.69,68.95,68.42,68.82,553071
2016-07-19,68.63,68.65,68.24,68.48,472118
2016-07-20,68.56,69.41,68.30,69.09,753110
2016-07-21,68.90,69.12,68.09,68.27,501903
2016-07-22,68.62,69.43,68.26,69.41,529945
2016-07-25,69.20,69.55,68.12,68.24,675222
2016-07-26,68.12,69.06,68.06,69.02,456750
2016-07-27,68.70,70.60,68.70,70.28,811069
2016-07-28,70.28,70.56,69.50,70.33,348531
2016-07-29,70.30,71.58,70.30,70.95,966274
2016-08-01,70.95,72.11,70.71,71.41,627875
2016-08-02,71.17,71.70,70.66,70.76,437988
2016-08-03,70.77,70.91,70.15,70.64,587753
2016-08-04,70.79,70.98,70.26,70.64,383973
2016-08-05,70.90,72.47,70.79,72.47,634632
2016-08-08,72.59,73.00,72.42,72.58,866769
2016-08-09,73.36,74.45,72.54,72.64,651798
2016-08-10,72.31,72.35,71.05,71.40,619828
2016-08-11,71.28,71.90,71.10,71.57,460320
2016-08-12,71.30,71.68,70.58,71.23,302209
2016-08-15,71.40,71.86,71.38,71.69,257240
2016-08-16,71.53,71.89,71.06,71.10,500649
2016-08-17,71.11,71.11,70.30,70.39,344983
2016-08-18,70.29,71.01,70.07,71.00,276142
2016-08-19,70.60,70.83,70.31,70.83,320312
2016-08-22,70.65,70.68,70.00,70.36,358847
2016-08-23,70.50,70.77,70.07,70.09,373676
2016-08-24,69.81,70.07,68.96,69.21,533658
2016-08-25,68.76,69.72,68.34,69.60,384199
2016-08-26,69.44,70.44,69.05,70.14,504722
2016-08-29,70.36,71.11,70.19,70.56,248966
2016-08-30,70.66,71.08,70.55,70.98,318208
2016-08-31,70.84,71.19,70.44,70.68,321586
2016-09-01,70.65,70.98,69.72,70.11,310819
2016-09-02,70.40,71.00,70.22,71.00,474272
2016-09-06,71.01,71.72,70.58,71.24,508119
2016-09-07,71.00,71.88,71.00,71.44,478075
2016-09-08,71.44,71.50,70.90,71.15,384887
2016-09-09,70.42,70.91,70.12,70.49,717445
2016-09-12,70.09,71.47,70.02,71.36,497835
2016-09-13,70.91,71.27,69.62,70.02,432620
2016-09-14,70.09,70.63,69.39,70.00,657990
2016-09-15,69.76,70.62,69.76,70.50,480951
2016-09-16,70.37,71.69,70.08,71.27,843916
2016-09-19,71.78,72.43,71.58,71.75,389250
2016-09-20,72.32,73.30,72.00,72.82,563237
2016-09-21,73.30,73.85,72.30,73.67,604156
2016-09-22,74.00,74.63,73.73,73.90,406516
2016-09-23,74.01,74.06,73.01,73.12,338162
2016-09-26,72.93,73.34,72.73,73.02,484285
2016-09-27,73.08,73.33,72.70,73.12,368281
2016-09-28,73.23,73.67,72.49,73.16,420217
2016-09-29,73.07,73.44,72.03,72.63,530765
2016-09-30,72.55,73.70,72.52,73.10,622047
2016-10-03,73.00,73.06,72.04,72.23,422368
2016-10-04,72.03,72.97,71.26,71.54,502925
2016-10-05,71.75,72.55,71.56,72.18,513774
2016-10-06,71.79,72.26,71.45,71.99,579867
2016-10-07,72.04,72.04,70.44,71.27,609322
2016-10-10,71.70,72.42,71.55,72.19,369951
2016-10-11,72.05,72.05,69.68,69.85,420231
2016-10-12,70.19,70.24,69.50,69.79,343681
2016-10-13,69.15,70.13,68.64,69.80,622453
2016-10-14,70.12,70.49,69.53,69.56,306205
2016-10-17,69.45,69.56,68.79,69.01,498322
2016-10-18,69.96,70.01,69.26,69.29,211322
2016-10-19,69.38,69.38,68.83,69.00,429528
2016-10-20,68.65,69.29,68.56,69.15,343277
2016-10-21,68.65,68.70,68.13,68.37,441104
2016-10-24,69.12,69.12,67.86,68.12,570029
2016-10-25,68.17,68.69,67.76,68.34,605478
2016-10-26,67.96,68.19,67.59,67.92,517415
2016-10-27,67.82,68.04,66.61,66.92,526134
2016-10-28,66.74,67.53,66.60,66.92,593458
2016-10-31,66.84,67.28,66.18,66.82,583800
2016-11-01,67.16,67.29,65.78,66.36,553494
2016-11-02,65.31,67.74,65.18,65.66,875521
2016-11-03,65.43,66.20,64.37,64.40,847042
2016-11-04,64.31,65.57,63.80,65.34,714235
2016-11-07,66.00,66.79,65.90,66.70,706447
2016-11-08,66.49,66.99,66.00,66.34,472080
2016-11-09,65.95,66.34,64.75,66.19,780205
2016-11-10,66.69,66.79,65.43,65.97,507090
2016-11-11,65.76,66.06,64.76,64.81,757102
2016-11-14,65.18,66.17,64.74,65.35,736768
2016-11-15,65.40,67.13,65.19,66.91,392872
2016-11-16,66.42,67.34,65.98,66.51,479687
2016-11-17,66.52,66.76,66.17,66.41,472588
2016-11-18,66.31,66.64,65.59,66.22,381706
2016-11-21,66.17,66.75,65.52,66.69,698876
2016-11-22,66.73,66.88,65.71,66.24,688193
2016-11-23,65.80,66.81,65.80,66.80,276692
2016-11-25,67.01,67.50,66.89,67.08,102736
2016-11-28,67.07,67.16,66.24,66.87,321332
2016-11-29,66.65,67.07,66.25,66.89,358616
2016-11-30,66.50,67.24,65.61,65.61,450284
2016-12-01,65.44,66.07,64.37,64.65,513778
2016-12-02,64.76,65.91,64.46,65.05,535143
2016-12-05,65.53,66.10,65.22,65.50,496014
2016-12-06,65.72,66.26,65.29,66.21,309227
2016-12-07,66.33,67.32,65.74,67.01,536855
2016-12-08,67.28,67.80,66.82,67.46,404328
2016-12-09,67.38,67.53,66.89,67.20,413412
2016-12-12,66.85,68.00,66.64,67.98,799950
2016-12-13,68.24,69.62,68.17,69.13,521898
2016-12-14,69.16,70.14,68.32,68.82,902576
2016-12-15,68.77,69.87,68.14,69.50,1055711
2016-12-16,70.04,70.19,68.72,68.88,2146181
2016-12-19,68.78,69.87,68.66,68.91,487301
2016-12-20,68.91,69.30,68.70,69.08,403292
2016-12-21,69.06,69.29,68.15,68.35,396201
2016-12-22,68.46,69.19,68.07,69.05,490547
2016-12-23,68.98,69.78,68.75,69.09,282233
2016-12-27,69.21,69.89,68.81,68.87,294430
2016-12-28,68.81,68.81,67.72,67.76,347018
2016-12-29,67.80,68.21,67.24,67.54,383735
2016-12-30,67.55,67.82,67.22,67.39,427107
2017-01-03,67.61,68.22,67.09,68.22,517834
2017-01-04,68.54,68.61,67.75,68.36,522013
2017-01-05,68.41,68.66,67.95,68.30,293942
2017-01-06,68.50,68.98,68.11,68.49,438678
2017-01-09,68.55,69.34,68.23,69.04,367044
2017-01-10,68.86,69.89,68.57,69.45,336884
2017-01-11,69.54,69.76,68.87,69.16,476795
2017-01-12,68.56,68.70,67.64,68.50,383728
2017-01-13,68.79,69.46,68.51,69.26,237046
2017-01-17,68.78,69.81,68.57,69.79,277318
2017-01-18,70.00,70.17,69.52,70.06,407244
2017-01-19,70.08,70.51,69.46,69.74,360737
2017-01-20,69.74,70.10,68.68,68.78,344284
2017-01-23,68.69,69.58,68.35,68.99,223676
2017-01-24,68.86,70.14,68.53,70.04,437771
2017-01-25,70.10,70.66,70.06,70.58,257152
2017-01-26,70.28,70.66,70.00,70.17,232436
2017-01-27,70.41,70.82,69.96,70.27,355937
2017-01-30,69.98,70.15,69.28,70.03,322067
2017-01-31,70.00,71.03,69.84,70.83,466564
2017-02-01,71.37,71.88,70.97,71.68,660720
2017-02-02,71.62,71.72,70.97,71.45,409892
2017-02-03,71.76,72.25,71.36,72.17,283694
2017-02-06,71.68,72.35,71.19,71.19,606837
2017-02-07,67.00,67.98,65.41,66.32,2666315
2017-02-08,65.95,66.69,65.27,66.59,2172565
2017-02-09,66.66,67.18,66.36,67.14,1226168
2017-02-10,67.28,67.57,66.84,67.16,662637
2017-02-13,67.46,67.93,67.00,67.91,752594
2017-02-14,67.69,69.39,67.60,68.94,1269599
2017-02-15,68.78,69.20,68.42,68.72,496525
2017-02-16,68.86,68.88,68.01,68.44,442019
2017-02-17,68.36,68.79,67.88,68.55,674860
2017-02-21,68.58,69.94,68.49,69.81,788387
2017-02-22,69.73,70.10,69.06,69.38,357461
2017-02-23,69.63,69.73,68.91,69.41,321523
2017-02-24,68.18,70.26,68.18,70.25,415029
2017-02-27,70.15,70.77,70.06,70.35,502196
2017-02-28,70.11,70.66,69.65,70.13,458941
2017-03-01,70.63,71.28,70.33,71.15,667435
2017-03-02,71.07,71.11,70.59,70.66,251228
2017-03-03,70.62,70.90,69.82,70.07,449752
2017-03-06,69.52,69.68,69.06,69.46,490070
2017-03-07,69.22,69.24,68.78,68.91,338602
2017-03-08,69.02,69.38,68.49,68.66,305917
2017-03-09,68.87,68.94,68.37,68.78,378794
2017-03-10,69.18,69.28,68.20,68.57,521255
2017-03-13,68.54,68.96,68.01,68.90,480614
2017-03-14,68.60,68.81,67.88,68.42,462276
2017-03-15,68.65,69.42,68.39,69.37,595100
2017-03-16,69.63,69.63,68.42,68.57,592714
2017-03-17,68.50,69.05,68.43,68.72,1186680
2017-03-20,68.72,68.89,68.11,68.60,319987
2017-03-21,69.14,69.34,68.26,68.42,345375
2017-03-22,68.43,68.64,67.94,68.35,300971
2017-03-23,68.35,68.80,68.19,68.31,183923
2017-03-24,68.43,68.94,68.14,68.63,256368
2017-03-27,68.26,68.47,67.66,68.34,305378
2017-03-28,67.95,68.44,67.66,67.92,408002
2017-03-29,67.81,69.04,67.55,68.85,690669
2017-03-30,68.68,69.86,68.59,69.48,918143
2017-03-31,69.07,69.78,68.99,69.46,437667
2017-04-03,69.75,70.25,69.45,69.90,623818
2017-04-04,69.77,70.12,69.16,69.50,321711
2017-04-05,69.82,70.00,69.29,69.39,307347
2017-04-06,69.46,70.05,69.11,70.03,243940
2017-04-07,69.82,70.19,69.78,69.90,303881
2017-04-10,69.96,70.16,69.53,69.72,209073
2017-04-11,69.54,70.24,69.41,70.24,309172
2017-04-12,70.50,70.54,69.40,69.72,341642
2017-04-13,69.58,69.91,69.12,69.22,250354
2017-04-17,69.48,70.03,69.27,70.02,339825
2017-04-18,69.86,70.06,69.33,69.91,185627
2017-04-19,70.18,70.77,70.02,70.53,218517
2017-04-20,71.00,71.24,70.47,70.95,369897
2017-04-21,70.83,70.99,70.29,70.44,251099
2017-04-24,71.13,71.90,70.79,71.80,291937
2017-04-25,71.99,72.68,71.50,72.29,512554
2017-04-26,72.48,73.35,72.48,72.98,326988
2017-04-27,73.10,73.96,72.85,73.87,379139
2017-04-28,74.02,74.88,73.19,73.80,608924
2017-05-01,74.17,74.71,73.50,74.17,378492
2017-05-02,74.05,74.40,73.66,74.39,505845
2017-05-03,74.97,75.83,74.45,75.26,1151540
2017-05-04,75.42,75.68,74.88,75.25,407344
2017-05-05,75.65,75.82,75.12,75.71,584176
2017-05-08,75.73,75.73,74.98,75.30,651719
2017-05-09,75.08,77.50,75.08,75.92,930726
2017-05-10,75.88,76.52,75.40,76.38,667127
2017-05-11,76.04,76.04,74.80,75.19,606181
2017-05-12,74.88,75.34,74.67,75.00,378951
2017-05-15,74.40,75.57,74.40,75.12,304964
2017-05-16,75.36,75.54,74.80,75.26,355147
2017-05-17,74.43,74.81,74.14,74.15,489764
2017-05-18,74.08,74.89,73.85,74.62,415531
2017-05-19,75.11,75.83,74.94,75.58,397325
2017-05-22,75.65,76.29,75.65,75.85,309184
2017-05-23,76.02,76.49,75.88,76.28,416800
2017-05-24,76.06,76.86,76.06,76.67,360294
2017-05-25,76.81,77.49,76.52,77.37,430257
2017-05-26,77.04,77.38,76.83,77.10,377875
2017-05-30,76.95,77.26,76.47,77.07,232040
2017-05-31,77.58,77.91,77.20,77.56,344368
2017-06-01,78.00,79.35,77.78,79.26,618309
2017-06-02,79.50,80.60,79.27,79.45,687643
2017-06-05,79.43,80.23,78.94,79.06,501861
2017-06-06,78.65,79.68,78.65,78.95,469738
2017-06-07,79.10,79.40,78.86,79.02,353845
2017-06-08,78.93,80.24,78.69,80.10,437279
2017-06-09,80.16,80.72,79.22,79.78,344191
2017-06-12,79.64,80.04,78.78,79.44,486204
2017-06-13,79.71,80.90,79.68,80.46,483593
2017-06-14,80.61,81.31,80.61,80.90,472076
2017-06-15,80.44,81.09,80.08,80.88,446546
2017-06-16,80.69,82.04,80.69,81.88,735783
2017-06-19,82.27,82.82,81.96,82.45,375237
2017-06-20,82.56,82.90,81.22,81.35,371265
2017-06-21,81.45,82.72,81.45,81.84,450565
2017-06-22,81.60,82.50,81.35,81.89,372261
2017-06-23,82.06,83.48,81.80,82.51,6035153
2017-06-26,82.67,83.54,82.40,83.11,585133
2017-06-27,82.98,83.40,81.37,81.47,604716
2017-06-28,81.95,83.26,81.58,82.32,689757
2017-06-29,82.23,82.48,81.09,81.63,497049
2017-06-30,82.19,82.32,81.50,81.50,421402
2017-07-03,81.50,82.55,81.44,81.50,245508
2017-07-05,81.61,82.75,81.07,82.39,608276
2017-07-06,81.70,82.15,80.83,80.83,600093
2017-07-07,80.89,82.16,80.73,82.10,367789
2017-07-10,81.83,82.31,81.47,82.06,412238
2017-07-11,82.05,82.46,81.61,81.92,303051
2017-07-12,82.42,83.33,82.40,82.96,408042
2017-07-13,82.92,83.07,81.93,82.22,500646
2017-07-14,82.19,82.95,81.89,82.53,313011
2017-07-17,82.80,82.80,82.00,82.45,477107
2017-07-18,82.44,82.45,81.77,81.91,460353
2017-07-19,82.03,82.24,81.56,81.98,464369
2017-07-20,82.12,82.44,81.83,82.19,404487
2017-07-21,82.19,82.38,81.70,82.15,251329
2017-07-24,82.14,82.84,81.85,82.77,332348
2017-07-25,82.66,83.29,82.53,83.13,412772
2017-07-26,82.98,83.36,82.46,82.50,241064
2017-07-27,82.61,82.61,81.58,82.01,317721
2017-07-28,81.92,82.39,81.54,81.87,460007
2017-07-31,82.02,82.11,81.60,81.85,276635
2017-08-01,82.48,83.42,82.34,82.70,445916
2017-08-02,82.73,82.73,81.66,82.27,341181
2017-08-03,82.04,82.61,81.91,82.22,409826
2017-08-04,82.47,82.50,81.97,82.48,230687
2017-08-07,82.44,82.59,81.94,82.21,667193
2017-08-08,86.70,87.49,84.80,86.70,1220959
2017-08-09,86.08,86.73,85.80,86.23,622671
2017-08-10,86.00,86.14,84.52,84.64,322209
2017-08-11,84.42,85.60,84.42,84.94,358659
2017-08-14,85.73,86.75,85.36,85.68,529450
2017-08-15,85.70,86.20,85.55,85.98,363265
2017-08-16,85.72,86.78,85.69,86.58,376617
2017-08-17,86.33,87.20,86.22,86.23,369667
2017-08-18,86.00,86.58,85.12,85.13,392094
2017-08-21,85.09,85.27,84.73,84.98,271038
2017-08-22,84.93,86.47,84.90,86.26,347580
2017-08-23,85.89,86.11,85.11,85.12,262230
2017-08-24,85.26,85.31,84.87,85.00,271127
2017-08-25,84.96,85.21,84.63,84.91,423585
2017-08-28,85.10,85.45,84.61,85.22,660358
2017-08-29,84.83,85.76,84.67,85.46,330736
2017-08-30,85.44,86.11,85.21,86.00,320375
2017-08-31,86.26,87.19,86.17,87.16,314212
2017-09-01,87.17,87.24,86.65,86.88,363462
2017-09-05,86.67,87.26,86.06,87.09,468397
2017-09-06,87.25,87.27,86.55,86.99,409663
2017-09-07,87.07,87.16,86.66,87.00,298352
2017-09-08,86.91,87.52,86.70,87.05,531730
2017-09-11,87.71,88.11,87.17,87.48,397318
2017-09-12,87.63,87.63,86.91,87.42,256712
2017-09-13,87.22,87.31,86.81,87.09,431638
2017-09-14,86.86,87.36,86.49,86.80,318093
2017-09-15,86.80,86.96,86.26,86.64,390934
2017-09-18,86.90,87.23,86.48,86.73,288310
2017-09-19,86.83,87.19,86.27,86.90,495567
2017-09-20,87.03,87.29,86.54,87.08,448580
2017-09-21,87.09,87.18,86.48,86.76,391679
2017-09-22,86.71,87.30,86.70,87.04,405737
2017-09-25,87.00,87.00,86.49,86.50,323413
2017-09-26,86.82,87.01,86.63,86.78,450869
2017-09-27,87.07,87.73,86.52,87.61,445825
2017-09-28,88.08,88.08,87.28,87.66,286442
2017-09-29,87.67,88.43,87.31,88.40,454727
2017-10-02,88.70,88.92,87.98,88.80,381288
2017-10-03,89.04,89.67,88.81,89.64,438154
2017-10-04,89.61,90.76,89.39,90.32,457271
2017-10-05,90.30,91.18,90.06,91.02,438826
2017-10-06,90.91,91.15,90.32,90.51,271653
2017-10-09,90.37,90.51,89.63,89.91,216708
