date,open,high,low,close,volume
2015-12-01,36.15,36.62,35.67,36.51,4035635
2015-12-02,36.19,36.36,34.36,34.54,5145467
2015-12-03,34.76,34.91,33.47,33.77,4557994
2015-12-04,33.71,34.65,33.40,34.45,4357658
2015-12-07,34.35,35.23,34.05,35.10,3640685
2015-12-08,34.79,35.57,34.43,35.43,3800093
2015-12-09,35.17,36.48,35.05,35.72,3649644
2015-12-10,35.74,36.50,35.50,36.22,4904580
2015-12-11,35.63,36.56,34.41,35.98,5420086
2015-12-14,36.04,36.17,33.40,33.67,5003288
2015-12-15,33.91,35.02,33.75,34.25,4141550
2015-12-16,34.59,34.99,34.07,34.78,3919845
2015-12-17,34.92,35.00,33.45,33.92,4021828
2015-12-18,33.70,34.69,33.51,34.10,6627290
2015-12-21,34.29,34.98,34.15,34.70,2476171
2015-12-22,34.57,35.59,34.15,35.45,2926922
2015-12-23,35.65,37.25,35.46,36.62,3805539
2015-12-24,36.48,37.26,36.47,36.65,1818521
2015-12-28,36.72,37.18,36.26,36.74,2365984
2015-12-29,37.04,37.44,36.78,37.15,3351273
2015-12-30,37.00,37.94,37.00,37.18,2704088
2015-12-31,37.01,37.35,36.60,36.66,2391683
2016-01-04,36.03,36.43,35.11,36.27,4653163
2016-01-05,36.50,36.88,35.92,36.33,3092673
2016-01-06,35.65,35.92,34.33,34.75,4120910
2016-01-07,34.05,34.81,33.76,34.54,5974801
2016-01-08,34.38,34.53,32.16,32.54,9796683
2016-01-11,33.12,33.12,30.65,31.35,7835025
2016-01-12,31.72,31.94,30.41,31.57,6089973
2016-01-13,31.59,32.45,30.95,31.07,4733959
2016-01-14,31.25,32.43,30.45,32.11,5229934
2016-01-15,30.48,31.24,29.91,30.89,8660078
2016-01-19,31.46,31.73,29.39,29.83,5466911
2016-01-20,29.19,29.50,27.75,29.22,6750525
2016-01-21,29.45,29.47,27.41,27.56,10447097
2016-01-22,28.24,28.51,27.03,27.93,8350589
2016-01-25,27.61,27.69,26.35,26.40,6461757
2016-01-26,26.50,28.14,26.50,27.74,5956766
2016-01-27,27.40,27.92,26.73,26.97,4982523
2016-01-28,27.17,27.27,26.25,26.75,8695489
2016-01-29,29.02,30.15,28.05,29.05,12430968
2016-02-01,29.06,30.93,28.60,30.41,7997413
2016-02-02,29.82,30.79,28.27,28.61,6628916
2016-02-03,30.18,31.33,29.77,30.52,9232946
2016-02-04,30.57,33.62,30.56,32.19,11677257
2016-02-05,31.34,31.91,30.50,31.59,7819035
2016-02-08,30.91,31.29,29.68,30.36,4843070
2016-02-09,29.97,30.21,28.95,29.41,5722036
2016-02-10,29.73,30.76,29.66,30.19,5512398
2016-02-11,29.48,29.80,28.64,29.03,5989364
2016-02-12,29.51,29.93,28.51,29.88,4263013
2016-02-16,30.18,31.53,29.85,31.33,4966436
2016-02-17,31.51,32.40,31.42,31.97,5097286
2016-02-18,31.83,33.65,31.54,33.11,5549976
2016-02-19,32.44,32.73,31.02,31.34,4411569
2016-02-22,31.98,32.54,31.57,32.23,4554540
