date,open,high,low,close,volume
2015-12-01,97.34,97.86,96.46,96.79,1476537
2015-12-02,96.95,97.17,96.11,96.26,1221932
2015-12-03,96.26,96.56,92.43,92.58,2564865
2015-12-04,92.85,94.38,92.67,94.34,1388160
2015-12-07,94.37,94.79,93.55,94.14,1009212
2015-12-08,93.68,93.94,93.01,93.52,1044979
2015-12-09,93.04,93.93,92.16,92.32,1722930
2015-12-10,92.38,93.62,92.37,92.93,937149
2015-12-11,92.01,92.64,91.56,92.20,1325140
2015-12-14,90.30,92.00,90.30,91.41,2001592
2015-12-15,92.13,92.99,91.66,92.44,1707488
2015-12-16,93.06,94.12,92.50,93.93,1534660
2015-12-17,93.92,94.26,92.70,92.71,1735512
2015-12-18,92.24,92.29,91.26,91.26,2083937
2015-12-21,91.68,92.29,90.84,91.42,1192921
2015-12-22,91.94,92.87,91.12,92.73,952644
2015-12-23,93.27,94.19,92.86,94.12,956630
2015-12-24,94.07,94.88,94.00,94.36,466412
2015-12-28,93.85,94.22,93.64,93.95,861073
2015-12-29,94.35,95.18,93.72,94.81,926377
2015-12-30,94.72,95.11,94.07,94.25,1226184
2015-12-31,93.63,93.94,92.92,92.94,912855
2016-01-04,91.47,91.54,89.56,90.02,2090034
2016-01-05,90.12,91.02,89.98,90.89,1533752
2016-01-06,89.69,91.11,89.69,90.75,2083798
2016-01-07,89.53,90.08,88.01,88.44,2029986
2016-01-08,89.00,89.70,87.68,87.89,1577083
2016-01-11,88.15,88.47,86.68,87.53,1763076
2016-01-12,88.03,89.10,87.64,88.73,1536416
2016-01-13,89.57,91.75,88.80,89.31,3088662
2016-01-14,89.49,91.52,89.34,90.92,1982769
2016-01-15,89.15,91.29,88.73,91.11,2818337
2016-01-19,91.96,92.76,90.57,91.56,2683948
2016-01-20,90.41,91.72,88.57,91.00,1968109
2016-01-21,91.43,92.26,90.30,91.89,2072363
2016-01-22,92.59,93.95,92.43,93.91,1731128
2016-01-25,93.77,95.02,93.41,94.41,2697504
2016-01-26,94.50,96.16,94.01,96.02,2651926
2016-01-27,97.82,101.18,97.82,98.60,6550017
2016-01-28,98.93,99.11,96.52,97.31,3584877
2016-01-29,97.95,99.90,97.16,99.15,3150349
2016-02-01,96.79,99.60,96.56,99.17,2575792
2016-02-02,98.21,100.00,97.84,99.03,1836849
2016-02-03,99.91,99.99,97.49,99.09,2215419
2016-02-04,99.00,100.04,98.58,99.54,1594364
2016-02-05,99.04,99.42,96.49,96.91,2017970
