date,open,high,low,close,volume
2015-12-01,92.34,93.54,92.27,93.17,1193313
2015-12-02,93.00,93.33,92.37,92.75,1236158
2015-12-03,92.70,93.19,91.41,91.96,2261710
2015-12-04,92.00,95.51,91.99,95.14,2537943
2015-12-07,95.22,95.24,94.24,94.75,1278353
2015-12-08,94.28,94.81,92.75,94.59,2211793
2015-12-09,94.21,95.13,93.24,93.72,1132821
2015-12-10,93.60,94.17,93.00,93.39,1096639
2015-12-11,92.22,93.93,92.01,92.68,2142128
2015-12-14,92.55,93.15,90.93,91.91,1948849
2015-12-15,92.75,94.39,92.19,93.72,1955896
2015-12-16,94.00,94.55,92.56,94.16,1921985
2015-12-17,94.17,95.13,93.26,93.72,1042925
2015-12-18,93.28,93.62,92.50,92.55,1866971
2015-12-21,93.39,93.41,92.29,92.73,1240826
2015-12-22,93.07,93.51,92.19,93.14,1247852
2015-12-23,93.42,93.98,92.91,93.96,903216
2015-12-24,94.05,94.41,93.76,93.98,454798
2015-12-28,93.54,93.54,92.78,93.44,686891
2015-12-29,93.99,95.04,93.77,94.89,912541
2015-12-30,95.02,95.03,94.19,94.54,808057
2015-12-31,94.20,94.64,93.85,93.92,758752
2016-01-04,92.97,92.97,91.43,92.29,2293670
2016-01-05,92.54,93.10,91.58,92.64,1824336
2016-01-06,91.62,91.83,90.36,90.80,2187681
2016-01-07,89.92,91.52,89.80,90.35,2491306
2016-01-08,90.46,90.87,88.97,89.22,1675831
2016-01-11,89.42,90.12,87.86,88.47,1810572
2016-01-12,89.08,89.70,88.52,89.58,2248924
2016-01-13,89.67,89.95,87.41,87.59,2380222
2016-01-14,87.65,88.49,84.74,86.74,4253767
2016-01-15,85.15,86.29,83.83,86.03,3435217
2016-01-19,87.03,87.67,86.03,87.20,2154112
2016-01-20,86.41,86.99,85.31,86.27,3143795
2016-01-21,87.46,87.63,86.04,86.57,2463308
2016-01-22,87.91,90.10,87.86,88.90,1705378
2016-01-25,88.52,88.80,87.49,87.60,1399744
2016-01-26,87.77,88.74,86.93,87.76,2159199
2016-01-27,85.16,89.43,84.40,87.75,3755893
2016-01-28,88.14,89.56,87.80,88.45,2743924
2016-01-29,88.47,90.97,88.05,90.48,20928859
2016-02-01,90.50,92.41,90.08,91.91,4964341
2016-02-02,91.46,91.64,90.59,91.55,2531015
2016-02-03,91.84,91.90,88.94,89.97,2231749
2016-02-04,89.96,89.96,86.89,87.63,3073980
2016-02-05,87.33,87.73,86.08,86.95,2920671
2016-02-08,86.00,86.18,83.80,83.90,5427756
2016-02-09,83.63,85.30,83.03,83.87,3343821
2016-02-10,84.53,85.24,84.08,84.18,1869921
2016-02-11,82.77,84.19,80.78,83.63,2994735
2016-02-12,83.50,84.64,83.30,84.14,2057008
2016-02-16,85.28,85.29,83.46,84.66,2386940
2016-02-17,85.28,86.52,84.73,86.24,1963333
2016-02-18,86.00,86.10,84.66,84.73,2149315
2016-02-19,84.73,85.60,84.24,85.55,1383601
2016-02-22,85.69,86.99,85.60,86.83,1506875
2016-02-23,86.43,87.42,85.23,85.60,1699959
2016-02-24,85.14,86.26,84.64,86.14,1207129
2016-02-25,85.80,86.65,85.19,86.63,1068376
2016-02-26,86.61,86.88,85.03,85.19,1225486
2016-02-29,85.15,86.44,84.94,85.27,2842996
2016-03-01,86.09,86.97,85.59,86.54,1302814
2016-03-02,86.15,86.66,85.43,86.63,1487480
2016-03-03,86.40,88.54,86.12,88.54,1813652
2016-03-04,88.99,90.35,88.81,90.22,2077272
2016-03-07,89.95,90.65,89.01,89.33,1516703
2016-03-08,88.80,89.16,88.03,88.40,969068
2016-03-09,88.60,90.53,88.24,90.38,1395144
2016-03-10,90.78,91.92,90.33,91.81,1685642
2016-03-11,91.99,92.76,91.12,92.46,1976015
2016-03-14,92.17,92.70,90.33,92.50,1330551
2016-03-15,92.35,92.95,92.01,92.80,1090478
2016-03-16,92.25,93.38,91.90,93.19,1255682
2016-03-17,93.37,94.61,93.37,94.43,1163711
2016-03-18,94.43,94.49,93.12,93.46,2440920
2016-03-21,93.71,93.76,92.61,93.52,1128501
2016-03-22,93.56,94.92,93.08,94.83,1415246
2016-03-23,94.92,95.71,94.32,95.52,1711156
2016-03-24,94.63,95.32,94.56,95.31,1228668
2016-03-28,95.30,96.20,94.94,95.40,1005104
2016-03-29,95.05,96.12,94.88,96.11,1210115
2016-03-30,96.75,97.00,95.91,96.07,908642
2016-03-31,95.90,96.94,95.59,96.18,1530075
2016-04-01,95.46,97.03,95.29,96.95,1341046
2016-04-04,96.71,97.25,95.68,96.01,1400322
2016-04-05,95.12,95.25,93.55,93.98,1494479
2016-04-06,94.07,94.30,93.00,93.99,1651391
2016-04-07,92.91,93.25,91.88,92.30,1400636
2016-04-08,91.44,93.24,91.17,93.12,1827705
2016-04-11,93.40,93.89,92.75,92.85,972433
2016-04-12,92.73,93.37,92.35,92.87,1324196
2016-04-13,93.33,93.44,92.52,92.92,1001224
2016-04-14,92.84,96.41,92.46,95.73,2900578
2016-04-15,96.00,96.92,95.25,96.88,1807948
2016-04-18,96.48,96.93,96.00,96.68,941336
2016-04-19,97.15,98.27,96.70,97.75,1506017
2016-04-20,97.43,97.65,96.55,96.78,867808
2016-04-21,96.34,96.60,95.11,95.52,1218797
2016-04-22,95.10,95.75,94.10,95.63,1012805
2016-04-25,95.63,96.50,94.93,96.44,985601
2016-04-26,96.84,96.84,95.77,96.00,980280
2016-04-27,96.12,96.64,95.00,95.81,1176271
2016-04-28,95.02,95.97,94.94,95.67,1173226
2016-04-29,95.49,96.60,95.02,95.63,1375382
2016-05-02,95.56,97.14,95.35,96.77,2070083
2016-05-03,96.77,99.45,96.05,98.31,2822141
2016-05-04,97.77,98.88,96.80,98.17,1595713
2016-05-05,98.39,98.71,97.89,98.47,1024317
2016-05-06,98.41,98.53,97.34,98.30,683254
2016-05-09,98.38,99.49,98.27,99.13,992968
2016-05-10,99.34,100.28,98.85,99.94,1028972
2016-05-11,100.02,100.45,99.25,99.49,688327
2016-05-12,100.10,100.10,98.88,99.73,901611
2016-05-13,99.67,99.85,98.40,98.76,936589
2016-05-16,98.97,100.23,98.79,99.81,753427
