date,open,high,low,close,volume
2015-12-01,235.57,238.42,235.15,238.22,212693
2015-12-02,237.70,238.51,235.71,236.40,302930
2015-12-03,237.43,238.36,233.38,234.39,193746
2015-12-04,234.98,238.04,233.51,238.01,191680
2015-12-07,237.91,238.49,235.51,237.14,351313
2015-12-08,234.70,237.04,231.20,232.67,384130
2015-12-09,231.76,234.06,228.41,230.24,237676
2015-12-10,231.00,231.97,228.92,230.72,242316
2015-12-11,231.10,231.11,222.40,223.36,479197
2015-12-14,223.33,224.79,216.34,218.08,625144
2015-12-15,219.38,219.99,216.57,217.68,1058436
2015-12-16,217.79,222.41,213.95,221.34,867024
2015-12-17,221.63,223.00,218.83,219.68,517770
2015-12-18,219.25,220.92,218.00,219.90,562877
2015-12-21,221.40,226.64,220.33,226.03,449034
2015-12-22,227.03,227.68,223.33,226.17,277804
2015-12-23,226.95,228.16,226.13,227.53,268720
2015-12-24,227.25,227.97,225.99,226.79,85534
2015-12-28,226.37,226.37,223.46,225.22,227951
2015-12-29,226.12,228.87,226.12,228.37,166028
2015-12-30,228.36,229.29,227.14,227.88,179820
2015-12-31,226.76,229.31,226.76,228.45,239498
2016-01-04,228.20,230.87,224.12,229.86,838787
2016-01-05,230.35,232.42,226.30,227.59,641940
2016-01-06,227.31,230.11,224.92,230.10,613594
2016-01-07,226.48,229.51,226.48,227.28,862545
2016-01-08,228.86,229.51,221.12,221.49,717303
2016-01-11,223.89,230.64,222.83,228.55,778316
2016-01-12,230.15,231.43,226.82,229.31,407685
2016-01-13,230.10,230.58,221.00,221.08,611032
2016-01-14,221.26,227.57,218.26,226.55,813417
2016-01-15,221.90,222.81,213.12,218.26,1019712
2016-01-19,219.96,222.58,217.87,220.82,824660
2016-01-20,218.22,222.06,210.20,217.70,1276111
2016-01-21,218.26,219.99,215.00,216.46,673998
2016-01-22,219.16,223.06,218.48,222.83,461713
2016-01-25,223.09,223.24,219.85,220.13,389723
2016-01-26,220.88,226.10,220.51,225.50,466570
2016-01-27,223.82,223.82,219.29,221.14,696535
2016-01-28,221.73,224.03,218.31,219.29,679810
2016-01-29,220.97,224.73,219.31,224.73,715258
2016-02-01,223.48,230.00,221.75,228.69,446212
2016-02-02,226.33,226.33,220.20,220.63,598752
2016-02-03,221.90,223.98,217.73,223.49,518586
2016-02-04,222.68,227.59,222.28,227.35,385219
2016-02-05,227.09,227.35,220.06,221.47,566077
2016-02-08,217.97,220.84,211.11,214.63,1482787
2016-02-09,197.00,206.56,180.76,187.29,4434150
2016-02-10,189.18,200.35,189.18,192.91,2045216
2016-02-11,188.44,190.72,184.70,190.20,2048221
2016-02-12,192.54,196.16,190.55,195.10,1288633
2016-02-16,197.04,205.54,195.26,205.24,931336
2016-02-17,207.89,211.38,206.54,207.43,1021786
2016-02-18,209.28,210.63,207.72,208.84,552814
2016-02-19,208.00,209.75,205.19,207.41,550654
2016-02-22,210.56,212.45,208.75,209.66,593120
2016-02-23,209.22,212.68,208.00,211.53,392294
2016-02-24,209.30,215.26,207.48,214.26,516441
2016-02-25,215.11,218.60,213.12,215.25,428017
2016-02-26,215.05,218.48,214.71,217.25,324144
2016-02-29,216.75,219.17,213.56,213.58,941813
2016-03-01,215.16,217.60,212.69,216.31,641960
2016-03-02,216.33,218.47,213.29,218.31,637623
2016-03-03,218.61,222.20,216.15,219.63,404243
2016-03-04,221.31,223.19,219.14,222.68,765955
2016-03-07,220.18,222.44,220.08,222.16,703054
2016-03-08,221.60,221.78,218.24,218.28,407555
2016-03-09,219.00,221.59,218.29,219.96,327162
2016-03-10,220.80,221.10,215.69,218.39,425650
2016-03-11,219.42,221.43,218.52,221.17,457719
2016-03-14,219.60,220.65,217.36,218.87,526170
2016-03-15,217.35,219.79,216.57,219.09,344086
2016-03-16,218.76,221.77,218.15,220.00,221169
2016-03-17,219.14,230.00,218.50,226.80,1250516
2016-03-18,227.51,228.56,224.92,225.07,832274
2016-03-21,224.69,225.69,223.15,223.86,473160
2016-03-22,222.99,224.97,220.80,223.58,310463
2016-03-23,223.48,224.66,220.83,220.95,480772
2016-03-24,219.71,220.38,215.87,219.68,355123
2016-03-28,219.55,220.20,217.22,219.63,271548
2016-03-29,218.82,224.00,217.95,223.49,608629
2016-03-30,224.28,225.12,220.95,221.20,484458
2016-03-31,220.93,221.63,218.69,220.34,434261
2016-04-01,218.41,221.84,217.04,221.42,416392
2016-04-04,220.98,221.50,219.07,220.10,380259
2016-04-05,219.65,220.63,218.74,219.30,483640
2016-04-06,219.30,224.20,219.00,223.36,359037
2016-04-07,221.26,224.83,221.26,224.22,368326
2016-04-08,226.44,227.50,223.38,224.14,379262
2016-04-11,227.10,227.10,223.04,224.50,225814
2016-04-12,223.97,226.63,222.11,225.16,294473
2016-04-13,222.69,226.98,218.56,225.23,647351
2016-04-14,225.23,226.15,223.15,225.14,325190
2016-04-15,225.14,226.87,224.56,226.39,233723
2016-04-18,225.76,226.99,224.78,225.09,552291
2016-04-19,226.42,227.14,224.53,227.05,468975
2016-04-20,227.05,232.44,224.11,229.50,773487
2016-04-21,229.88,230.53,228.09,228.46,434411
2016-04-22,228.12,229.93,223.81,226.79,452062
2016-04-25,226.83,227.32,223.57,224.43,498525
2016-04-26,225.51,231.44,225.06,230.90,419785
2016-04-27,230.00,233.77,229.31,232.64,549302
2016-04-28,231.46,233.18,229.65,229.91,361222
2016-04-29,228.50,229.83,226.16,227.87,609366
2016-05-02,228.11,230.01,225.41,225.50,439482
