date,open,high,low,close,volume
2015-12-01,38.93,39.05,38.57,38.97,4368206
2015-12-02,39.02,39.09,38.41,38.49,3951797
2015-12-03,38.63,38.77,37.76,37.88,3684185
2015-12-04,38.08,39.06,37.85,38.95,4514167
2015-12-07,39.26,39.28,38.37,38.70,3541928
2015-12-08,38.35,38.53,37.78,37.90,4050673
2015-12-09,37.72,38.04,37.01,37.24,4243835
2015-12-10,37.22,38.08,37.05,37.56,3531480
2015-12-11,37.03,37.27,36.57,36.81,4464622
2015-12-14,36.98,37.33,36.49,36.91,4717861
2015-12-15,37.37,38.03,37.37,37.68,6770269
2015-12-16,38.02,38.40,37.52,38.33,5641842
2015-12-17,38.53,38.61,37.82,37.83,3780086
2015-12-18,37.61,37.74,37.17,37.23,16250045
2015-12-21,37.64,37.72,36.84,37.28,3874686
2015-12-22,37.54,37.67,36.83,37.64,4046186
2015-12-23,37.84,38.28,37.66,38.24,2932699
2015-12-24,38.17,38.45,38.06,38.27,980433
2015-12-28,38.05,38.15,37.60,38.09,2081824
2015-12-29,38.35,38.62,38.19,38.54,2049548
2015-12-30,38.47,38.53,38.10,38.17,1583007
2015-12-31,37.92,38.21,37.74,37.81,2910334
2016-01-04,36.92,37.03,36.28,36.65,5873178
2016-01-05,36.61,36.94,36.36,36.66,3584373
2016-01-06,36.06,36.59,35.86,36.15,4228345
2016-01-07,35.38,35.77,34.88,35.12,4703780
2016-01-08,35.42,35.44,34.29,34.36,5000134
2016-01-11,34.65,34.84,34.29,34.68,6162268
2016-01-12,35.10,35.18,34.37,34.90,4747619
2016-01-13,35.14,35.24,33.61,33.72,4729155
2016-01-14,33.84,34.25,33.40,34.02,4497207
2016-01-15,32.90,33.36,32.73,33.14,6748064
2016-01-19,33.70,33.70,32.58,32.92,5833539
2016-01-20,32.15,33.29,31.78,32.86,13020916
2016-01-21,32.67,32.76,31.71,31.78,9970441
2016-01-22,32.19,32.51,31.55,31.95,6485339
2016-01-25,31.80,31.88,31.07,31.11,7275255
2016-01-26,31.22,31.59,30.99,31.47,6050497
2016-01-27,31.43,32.37,31.31,31.65,5436382
2016-01-28,31.86,32.28,31.72,31.91,8450685
2016-01-29,32.16,32.69,32.01,32.66,6853299
2016-02-01,32.53,32.63,32.05,32.29,4601442
2016-02-02,31.80,31.84,31.40,31.58,5332935
2016-02-03,31.72,31.89,30.72,31.78,6803624
2016-02-04,31.70,32.25,31.68,32.16,7160837
2016-02-05,32.17,32.54,31.87,32.06,7104506
2016-02-08,31.57,31.61,30.89,31.33,6119030
2016-02-09,30.79,31.78,30.74,31.60,6286417
2016-02-10,31.67,31.95,31.24,31.27,5833529
