date,open,high,low,close,volume
2015-12-01,32.00,32.20,31.36,31.57,4625839
2015-12-02,31.09,31.56,30.77,30.88,4059666
2015-12-03,31.00,31.02,29.66,29.87,6689315
2015-12-04,29.87,30.72,29.71,30.58,5403422
2015-12-07,30.45,31.14,30.07,31.07,4113986
2015-12-08,30.81,31.36,30.61,31.22,4637483
2015-12-09,30.78,31.64,30.21,30.51,4905040
2015-12-10,30.52,31.26,30.07,31.12,3980874
2015-12-11,30.77,30.99,30.28,30.38,3293086
2015-12-14,31.02,31.28,30.30,31.09,6159678
2015-12-15,32.00,32.60,31.81,32.34,7203051
2015-12-16,32.43,33.44,32.41,33.33,6851497
2015-12-17,33.44,33.45,32.52,32.64,5771228
2015-12-18,32.33,32.64,31.62,31.99,7343111
2015-12-21,32.12,32.72,31.87,32.70,4689012
2015-12-22,32.78,33.19,32.61,33.03,4475684
2015-12-23,33.30,33.45,32.39,33.28,3865855
2015-12-24,33.08,33.22,32.55,32.65,2726385
2015-12-28,32.59,33.05,32.39,32.62,2685376
2015-12-29,32.85,33.23,32.83,33.00,3379168
2015-12-30,32.96,33.02,32.61,32.67,1398371
2015-12-31,32.61,32.90,32.49,32.73,2582004
2016-01-04,32.35,33.66,32.08,33.64,6508924
2016-01-05,33.82,34.19,33.31,33.97,5592071
2016-01-06,33.22,33.47,32.37,32.79,4493520
2016-01-07,32.10,33.27,32.10,32.89,5203320
2016-01-08,33.01,33.25,31.87,31.95,4760117
2016-01-11,31.98,32.89,31.98,32.77,4162228
2016-01-12,33.21,33.47,31.84,32.59,3719223
2016-01-13,32.73,32.95,31.39,31.52,4696605
2016-01-14,31.59,32.15,30.49,31.76,4181103
2016-01-15,30.88,31.64,30.36,31.43,5791939
2016-01-19,31.68,32.15,30.79,31.16,4374221
2016-01-20,30.78,31.61,30.06,31.46,8553320
2016-01-21,31.58,32.96,31.42,32.47,4915339
2016-01-22,33.16,33.44,31.88,32.43,5163665
2016-01-25,32.06,32.17,30.18,30.35,10746989
2016-01-26,32.77,33.96,32.10,33.33,16559215
2016-01-27,33.35,35.27,33.27,34.19,11580957
2016-01-28,34.76,35.89,34.53,35.82,8617115
2016-01-29,36.20,37.07,36.02,37.05,12055584
2016-02-01,36.80,37.49,36.50,37.21,5929180
2016-02-02,37.32,37.77,36.73,37.15,5020262
2016-02-03,37.35,37.52,35.34,36.42,9979625
