date,open,high,low,close,volume
2015-12-01,76.60,77.05,76.02,76.49,1326429
2015-12-02,76.50,76.59,75.30,75.54,1157318
2015-12-03,75.74,75.93,74.64,75.17,2346935
2015-12-04,75.30,76.26,75.14,76.03,2197406
2015-12-07,75.86,76.07,74.69,75.16,1592090
2015-12-08,74.59,74.68,73.94,74.11,1901595
2015-12-09,73.75,74.47,72.75,73.17,1131327
2015-12-10,73.13,74.13,72.94,73.34,1653174
2015-12-11,72.33,72.48,70.47,70.80,2173192
2015-12-14,70.20,71.00,68.76,70.04,1985454
2015-12-15,70.89,71.65,70.89,71.37,2105470
2015-12-16,72.14,72.41,70.97,72.13,2699172
2015-12-17,72.14,72.49,70.90,71.01,1564600
2015-12-18,70.48,70.98,69.81,69.91,2562401
2015-12-21,70.52,70.75,70.02,70.39,1612031
2015-12-22,70.63,70.98,70.19,70.91,1809897
2015-12-23,71.00,73.00,70.92,72.75,1583146
2015-12-24,72.48,72.96,72.18,72.45,431884
2015-12-28,72.25,72.83,71.97,72.72,1010988
2015-12-29,72.73,73.64,72.73,73.10,1021078
2015-12-30,72.93,73.39,72.04,72.09,1080980
2015-12-31,72.05,72.49,71.49,71.49,1052924
2016-01-04,69.93,70.21,69.17,70.19,2353503
2016-01-05,70.39,70.81,69.50,70.48,1403665
2016-01-06,69.14,69.41,68.62,68.90,1752252
2016-01-07,67.51,68.76,66.67,67.06,2238119
2016-01-08,67.46,67.65,65.28,65.36,2142527
2016-01-11,65.70,65.96,64.34,65.01,2061249
2016-01-12,65.73,66.82,65.16,66.71,2915662
2016-01-13,66.97,67.76,64.70,64.87,2297061
2016-01-14,65.15,66.16,64.35,65.58,2277262
2016-01-15,63.88,65.49,63.57,64.95,2669717
2016-01-19,65.95,66.54,65.07,65.56,2025228
2016-01-20,64.40,65.77,63.75,65.09,2598145
2016-01-21,65.33,67.26,65.11,65.56,2112296
2016-01-22,66.77,67.44,66.28,67.43,1650778
2016-01-25,67.08,67.34,65.29,65.41,1640791
2016-01-26,65.77,67.65,65.44,66.65,1533266
2016-01-27,66.67,67.57,65.50,66.23,2231968
2016-01-28,68.25,70.80,68.01,68.42,2984743
2016-01-29,68.51,71.16,68.44,70.95,2843953
2016-02-01,70.44,70.60,69.40,70.16,2375405
2016-02-02,68.92,69.46,67.79,68.05,2628803
2016-02-03,68.46,69.07,66.40,68.64,2326248
2016-02-04,68.41,69.82,68.40,69.78,3472632
2016-02-05,69.40,69.91,68.36,68.64,2616542
2016-02-08,67.98,67.98,64.26,65.97,4241923
2016-02-09,65.20,67.15,64.81,66.49,2326340
2016-02-10,67.46,68.35,66.55,66.59,1509487
2016-02-11,64.71,66.20,64.65,65.48,2095186
2016-02-12,66.87,67.56,65.98,67.55,1368653
2016-02-16,68.50,68.81,67.74,68.47,1546007
2016-02-17,69.26,70.70,68.52,70.26,1858171
2016-02-18,70.52,70.55,69.00,69.43,1569199
