date,open,high,low,close,volume
2015-12-01,167.82,168.95,163.78,165.83,1111290
2015-12-02,165.83,166.20,162.58,163.52,1224473
2015-12-03,164.41,165.36,161.00,163.19,2097385
2015-12-04,174.50,185.73,173.87,184.08,5251611
2015-12-07,184.64,186.27,183.22,184.24,1615776
2015-12-08,182.25,185.49,181.95,185.08,875984
2015-12-09,184.56,186.65,183.67,184.06,785753
2015-12-10,183.61,185.81,182.93,183.11,843438
2015-12-11,179.69,183.79,179.01,182.47,709387
2015-12-14,183.05,187.22,183.05,185.54,1078620
2015-12-15,186.18,187.47,184.46,185.42,853862
2015-12-16,185.43,188.00,185.43,187.27,793336
2015-12-17,188.00,188.48,184.76,185.43,778326
2015-12-18,184.95,185.67,184.03,184.94,2640749
2015-12-21,186.46,187.29,184.82,186.49,804107
2015-12-22,187.06,187.19,184.94,186.12,574288
2015-12-23,186.84,186.84,184.78,186.27,391073
2015-12-24,185.93,186.70,184.53,184.93,253117
2015-12-28,184.73,186.32,183.94,184.77,510566
2015-12-29,186.29,187.69,185.02,185.31,458074
2015-12-30,185.61,186.25,184.70,185.61,357854
2015-12-31,184.61,185.99,183.83,185.00,633765
2016-01-04,182.67,184.60,180.46,181.81,1196625
2016-01-05,182.57,183.88,180.73,182.67,567952
2016-01-06,180.39,183.27,179.13,183.21,870706
2016-01-07,179.80,186.49,179.80,182.98,1034469
2016-01-08,184.80,184.80,181.65,182.17,847551
2016-01-11,182.64,183.93,179.86,182.00,560657
2016-01-12,182.81,185.98,182.75,185.62,675419
2016-01-13,186.00,186.00,178.50,179.09,877918
2016-01-14,179.09,180.37,173.86,177.88,1606655
2016-01-15,173.20,174.49,168.40,170.45,1658360
2016-01-19,171.98,177.95,170.39,175.31,1041246
2016-01-20,173.30,175.96,168.53,174.26,1557148
2016-01-21,174.50,180.58,173.10,176.50,1213337
2016-01-22,177.95,180.16,175.55,179.73,1041381
2016-01-25,178.50,179.78,175.25,175.66,873665
2016-01-26,176.58,179.95,175.67,179.13,815474
2016-01-27,178.83,179.56,172.90,173.93,812806
2016-01-28,175.83,175.84,171.29,174.34,763730
2016-01-29,175.34,181.30,174.88,181.17,1054480
2016-02-01,179.92,182.01,177.76,180.57,748074
2016-02-02,179.74,180.72,176.46,177.03,643310
2016-02-03,180.50,181.43,171.25,173.46,1069201
2016-02-04,173.55,173.55,167.50,168.88,1295530
2016-02-05,168.75,169.48,155.81,159.71,2367486
2016-02-08,156.76,156.85,152.75,155.34,1885527
2016-02-09,152.00,155.91,148.60,151.98,1785503
2016-02-10,152.79,156.12,151.83,153.84,1439537
2016-02-11,152.54,154.66,150.10,153.31,1200733
2016-02-12,156.24,158.64,154.28,158.49,1066781
2016-02-16,160.61,161.89,157.60,159.02,971400
2016-02-17,160.51,162.89,158.16,158.92,1443793
2016-02-18,155.33,155.95,147.25,154.55,3673523
2016-02-19,153.16,153.38,146.77,150.07,2825554
2016-02-22,151.00,156.87,150.43,156.27,1571990
2016-02-23,156.63,161.46,156.30,159.17,1924192
2016-02-24,156.52,161.23,156.00,160.75,1247979
2016-02-25,161.52,164.27,160.88,164.25,1408134
2016-02-26,165.57,166.97,162.54,164.75,1205134
2016-02-29,165.00,168.50,164.00,165.19,1183070
2016-03-01,165.86,168.65,164.20,168.41,1053590
2016-03-02,168.21,168.86,165.71,168.32,776315
2016-03-03,167.41,171.19,166.00,169.38,1124432
2016-03-04,169.96,170.05,167.58,168.97,628748
2016-03-07,168.57,168.89,163.05,164.64,1238029
2016-03-08,164.34,165.48,162.47,162.96,1651951
2016-03-09,164.70,165.97,158.21,159.01,2445401
2016-03-10,159.56,164.32,158.50,163.39,3753301
2016-03-11,186.24,192.06,184.10,191.62,6130719
2016-03-14,189.52,191.91,188.84,190.02,1700095
2016-03-15,189.02,191.01,187.65,187.87,1185158
2016-03-16,187.10,191.00,186.60,190.02,936721
2016-03-17,189.44,190.68,187.46,188.01,1029297
2016-03-18,188.32,192.38,187.90,191.39,1096111
2016-03-21,190.88,193.78,190.21,192.35,1037799
2016-03-22,190.44,192.50,189.46,191.65,881850
2016-03-23,191.22,193.07,190.77,191.57,527300
2016-03-24,190.98,192.71,190.62,191.76,621177
2016-03-28,191.84,193.60,190.74,191.91,475792
2016-03-29,192.55,193.93,191.53,193.37,541890
2016-03-30,194.87,195.00,192.33,194.11,613695
2016-03-31,193.87,194.94,192.62,193.74,737320
2016-04-01,192.62,195.61,192.10,194.18,507177
2016-04-04,194.68,194.84,191.37,193.12,583739
2016-04-05,192.27,195.02,192.01,193.75,765272
2016-04-06,193.91,196.60,193.42,194.67,657665
2016-04-07,194.12,195.04,191.85,194.12,866982
2016-04-08,201.94,203.75,197.81,200.51,3611916
2016-04-11,201.51,204.62,200.63,202.10,1598833
2016-04-12,203.50,205.11,201.64,203.94,1190993
2016-04-13,205.44,207.75,205.03,207.42,1116392
2016-04-14,207.72,207.72,204.66,205.67,1365074
2016-04-15,206.34,206.34,202.31,204.06,11411000
2016-04-18,203.93,207.05,203.24,206.91,1112765
2016-04-19,206.20,206.57,203.09,204.04,1162031
2016-04-20,203.98,205.12,202.91,204.42,883403
2016-04-21,204.62,207.67,204.39,205.86,855314
2016-04-22,205.42,206.48,202.69,205.39,995261
2016-04-25,205.08,207.83,203.95,207.37,959953
2016-04-26,207.04,208.22,205.36,208.13,1126817
2016-04-27,207.32,212.92,207.32,212.52,1388255
2016-04-28,211.51,211.97,206.58,206.99,891509
2016-04-29,206.46,208.54,205.25,208.28,826387
2016-05-02,208.29,210.77,207.54,210.72,667043
2016-05-03,208.40,210.34,206.74,209.91,901037
2016-05-04,209.05,211.01,208.71,209.97,543602
2016-05-05,209.78,209.78,204.46,206.21,844002
2016-05-06,205.20,208.93,204.05,208.68,774132
2016-05-09,206.00,210.25,204.60,208.46,800551
2016-05-10,209.25,209.25,205.79,208.27,854348
2016-05-11,207.01,207.70,202.28,202.85,951983
2016-05-12,203.70,208.41,203.00,207.43,761781
2016-05-13,207.03,207.54,203.29,205.20,633440
2016-05-16,204.85,209.09,204.39,208.13,482645
2016-05-17,207.21,208.24,203.28,204.44,875452
2016-05-18,204.45,208.31,203.18,206.45,1032977
2016-05-19,205.00,208.63,205.00,207.89,523352
