date,open,high,low,close,volume
2015-12-01,44.14,44.42,43.89,44.31,4922591
2015-12-02,44.36,44.45,43.69,43.77,6301185
2015-12-03,43.97,43.97,43.05,43.20,5560591
2015-12-04,43.46,44.42,43.37,44.34,8421409
2015-12-07,44.14,44.37,43.77,44.11,5735979
2015-12-08,43.83,44.02,43.36,43.55,6751084
2015-12-09,43.24,43.81,42.72,43.01,6741534
2015-12-10,43.08,43.59,42.79,43.18,6256658
2015-12-11,42.51,42.77,41.94,42.22,6531871
2015-12-14,42.30,42.56,41.84,42.43,7422786
2015-12-15,42.99,43.84,42.92,43.67,6971644
2015-12-16,43.93,44.49,43.41,44.36,10016787
2015-12-17,44.52,44.58,43.83,43.83,6896672
2015-12-18,43.54,43.58,42.35,42.36,14642813
2015-12-21,42.66,42.98,42.16,42.59,5610549
2015-12-22,42.91,42.92,42.17,42.70,5041046
2015-12-23,43.09,43.49,42.87,43.48,4846404
2015-12-24,43.38,43.59,43.35,43.42,2170105
2015-12-28,43.24,43.35,42.74,43.05,5828472
2015-12-29,43.15,43.61,43.14,43.52,4912032
2015-12-30,43.37,43.51,42.97,43.01,4750541
2015-12-31,42.79,43.14,42.65,42.67,4483847
2016-01-04,41.75,41.82,41.11,41.48,9258086
2016-01-05,41.47,41.72,41.19,41.68,7654605
2016-01-06,41.04,41.57,40.81,41.05,6779586
2016-01-07,40.31,40.67,39.89,40.27,9960132
2016-01-08,40.64,40.71,39.62,39.70,8475157
2016-01-11,40.01,40.11,39.48,39.86,6668815
2016-01-12,40.40,40.66,39.69,40.62,9915545
2016-01-13,40.92,41.04,38.95,39.01,11910704
2016-01-14,39.60,40.21,39.11,39.93,13490271
2016-01-15,38.01,39.44,37.97,39.05,14534031
2016-01-19,39.47,39.87,38.75,39.13,11311862
2016-01-20,38.30,39.33,38.26,38.87,13476324
2016-01-21,38.94,39.45,38.49,38.52,12508913
2016-01-22,39.30,39.63,39.03,39.37,8942958
2016-01-25,39.29,39.35,38.23,38.29,10258716
2016-01-26,38.44,39.27,38.29,39.02,7658990
2016-01-27,39.12,39.99,38.83,39.18,7619430
2016-01-28,39.51,39.80,39.00,39.22,8983639
2016-01-29,39.31,40.08,39.20,40.06,11718784
2016-02-01,39.89,40.02,39.55,39.80,6244406
2016-02-02,39.27,39.27,38.59,38.75,6836133
2016-02-03,38.93,39.34,37.98,39.28,10534196
2016-02-04,39.28,40.20,39.17,40.11,9291036
2016-02-05,40.22,40.55,39.94,40.09,10218340
2016-02-08,39.67,40.04,38.97,39.53,13886412
2016-02-09,38.84,39.71,38.52,39.40,12758714
2016-02-10,39.94,40.29,39.02,39.04,9332038
2016-02-11,38.00,38.08,37.07,37.45,12719921
2016-02-12,38.24,39.15,38.00,39.10,12455611
2016-02-16,39.65,40.52,39.28,40.19,11232956
2016-02-17,40.61,40.71,40.07,40.12,7864971
2016-02-18,40.09,40.14,39.31,39.49,7672176
2016-02-19,39.30,39.73,39.06,39.46,11053911
2016-02-22,40.09,40.39,40.00,40.23,8175973
2016-02-23,39.95,40.08,38.82,38.87,9226426
2016-02-24,38.27,38.54,37.48,38.44,9220359
2016-02-25,38.62,39.14,38.47,39.14,6336151
2016-02-26,39.49,39.77,39.09,39.29,7204790
2016-02-29,39.25,39.31,38.51,38.52,7400572
2016-03-01,38.69,39.90,38.69,39.90,6569534
2016-03-02,39.99,40.53,39.84,40.53,7465456
2016-03-03,40.48,40.78,40.22,40.77,5694844
2016-03-04,40.91,41.21,40.61,41.03,6128147
2016-03-07,40.65,40.93,40.49,40.77,4293553
2016-03-08,40.22,40.38,39.74,39.85,6094436
2016-03-09,40.14,40.14,39.62,39.76,5476659
2016-03-10,39.94,40.19,39.08,39.51,7442915
2016-03-11,39.93,40.49,39.61,40.46,7774774
2016-03-14,40.48,40.59,39.97,40.49,6349534
2016-03-15,40.14,40.84,40.07,40.79,7049639
2016-03-16,40.63,41.12,40.37,40.54,6002202
2016-03-17,40.38,40.78,40.05,40.69,6841303
2016-03-18,41.00,41.42,40.86,41.32,10079789
2016-03-21,41.23,41.49,41.06,41.38,5207062
2016-03-22,41.02,41.54,40.81,41.32,5769881
2016-03-23,41.20,41.53,41.06,41.19,6761849
2016-03-24,40.73,40.84,40.46,40.78,6330961
2016-03-28,40.84,40.96,40.52,40.69,4147041
2016-03-29,40.31,40.47,39.79,40.39,5840699
2016-03-30,40.61,41.21,40.54,40.99,6293156
2016-03-31,40.86,41.03,40.47,40.59,6578993
2016-04-01,40.31,40.77,40.00,40.70,5213751
2016-04-04,40.68,40.85,40.42,40.68,4685269
2016-04-05,40.25,40.41,39.84,40.05,6223931
2016-04-06,39.90,40.13,39.57,40.09,5286783
2016-04-07,39.75,39.81,38.83,39.10,8354565
2016-04-08,39.48,39.85,39.27,39.38,4990502
2016-04-11,39.58,40.04,39.41,39.53,7321261
2016-04-12,39.74,40.35,39.55,40.26,7661603
2016-04-13,40.77,41.42,40.67,41.10,10469435
2016-04-14,41.00,41.65,40.92,41.28,9317494
2016-04-15,41.45,41.56,40.95,41.10,7052583
2016-04-18,41.03,41.30,40.84,41.21,7569607
2016-04-19,41.47,41.92,41.39,41.91,11916778
2016-04-20,41.96,42.94,41.79,42.73,9576223
2016-04-21,42.65,42.80,42.40,42.56,10082593
2016-04-22,42.70,43.43,42.61,43.30,9262160
2016-04-25,43.03,43.18,42.76,43.05,8605617
2016-04-26,43.08,43.49,42.91,43.37,7899819
2016-04-27,43.38,43.94,43.26,43.53,9686585
2016-04-28,43.04,43.56,42.93,43.13,6689551
2016-04-29,42.83,43.08,42.47,42.69,10576006
2016-05-02,43.02,43.16,42.04,42.97,8953539
2016-05-03,42.33,42.55,42.00,42.50,6581863
2016-05-04,42.04,42.28,41.39,41.72,8835908
2016-05-05,41.82,42.00,41.54,41.65,5947649
2016-05-06,41.41,41.81,41.36,41.78,5306419
2016-05-09,41.61,42.00,41.48,41.54,4297081
2016-05-10,41.74,42.16,41.66,42.06,6413012
2016-05-11,41.90,42.38,41.87,41.87,5832825
2016-05-12,42.12,42.31,41.70,41.94,7285084
2016-05-13,41.79,42.11,41.23,41.43,6980887
2016-05-16,41.24,41.96,41.12,41.69,16503664
2016-05-17,41.38,41.43,40.57,40.72,14339273
2016-05-18,40.75,41.77,40.70,41.62,12625288
2016-05-19,41.40,41.70,41.02,41.52,9545359
2016-05-20,41.73,42.20,41.63,41.74,5781658
2016-05-23,41.75,41.87,41.41,41.66,6422564
2016-05-24,42.01,42.48,41.86,42.28,5611925
2016-05-25,42.58,43.23,42.52,42.96,7807950
2016-05-26,42.91,43.05,42.59,42.67,4371977
2016-05-27,42.78,42.95,42.63,42.95,3905390
2016-05-31,43.16,43.20,42.65,42.82,6605756
2016-06-01,42.45,43.06,42.33,43.00,5170828
2016-06-02,42.88,43.09,42.70,43.06,4216540
2016-06-03,42.28,42.51,41.77,42.37,11486247
2016-06-06,42.45,43.15,42.31,42.88,7748628
2016-06-07,42.94,43.00,42.66,42.66,7263993
2016-06-08,42.64,43.01,42.63,42.81,5018131
2016-06-09,42.46,42.58,42.03,42.54,5936909
2016-06-10,42.03,42.22,41.87,41.96,7329345
2016-06-13,41.71,42.12,41.67,41.68,6693116
2016-06-14,41.53,41.77,40.95,41.19,8448408
2016-06-15,41.25,41.62,40.98,41.02,7863875
2016-06-16,40.65,41.08,40.34,41.06,6459216
2016-06-17,41.06,41.32,40.79,41.11,8413002
2016-06-20,41.75,42.00,41.16,41.22,5766545
2016-06-21,41.48,41.51,41.09,41.37,4447771
2016-06-22,41.35,41.87,41.32,41.35,4500228
2016-06-23,41.92,42.24,41.88,42.23,7393729
2016-06-24,40.22,41.12,39.83,39.86,13367472
2016-06-27,39.23,39.26,38.49,38.69,13020329
2016-06-28,39.09,39.22,38.48,39.08,10107472
2016-06-29,39.59,39.75,39.14,39.68,6242017
2016-06-30,39.97,40.34,39.59,40.33,8768282
2016-07-01,40.15,40.26,39.91,40.06,4684419
2016-07-05,39.67,39.78,38.90,39.06,5955852
2016-07-06,38.73,39.32,38.63,39.20,6257319
2016-07-07,39.16,39.62,39.02,39.23,5510582
2016-07-08,39.84,40.26,39.84,40.09,6015603
2016-07-11,40.40,40.52,40.24,40.30,4417223
2016-07-12,40.56,40.86,40.53,40.67,6378092
2016-07-13,40.75,40.90,40.47,40.63,6239897
2016-07-14,41.35,41.51,41.17,41.25,12183364
2016-07-15,42.40,42.50,41.44,41.89,9964732
2016-07-18,41.73,42.09,41.73,41.88,8616254
2016-07-19,41.71,42.04,41.60,41.97,6774574
2016-07-20,42.10,42.16,41.90,41.97,4924347
2016-07-21,41.97,42.18,41.83,41.88,5160261
2016-07-22,41.98,42.24,41.83,42.19,5021510
2016-07-25,42.10,42.18,41.79,41.97,4752829
2016-07-26,41.82,42.15,41.77,41.97,4879463
2016-07-27,41.96,42.20,41.87,42.01,5483498
2016-07-28,41.88,42.20,41.70,42.08,3934941
2016-07-29,41.92,42.34,41.92,42.17,5907631
2016-08-01,42.15,42.22,41.61,41.68,5488901
2016-08-02,41.51,41.68,41.12,41.43,5858271
2016-08-03,41.55,42.25,41.47,42.13,6723229
2016-08-04,42.03,42.26,41.96,42.03,4167689
2016-08-05,42.63,42.97,42.37,42.97,7568899
2016-08-08,42.99,43.15,42.86,42.94,4461190
2016-08-09,42.94,43.05,42.73,42.83,3698294
2016-08-10,42.94,42.99,42.44,42.50,3746842
2016-08-11,42.66,42.92,42.42,42.82,6211571
2016-08-12,42.48,42.77,42.39,42.73,4349232
2016-08-15,42.77,43.04,42.77,42.98,5279100
2016-08-16,42.74,43.13,42.72,43.02,4833035
2016-08-17,43.08,43.38,43.02,43.22,6347953
2016-08-18,43.11,43.29,43.04,43.22,4652549
2016-08-19,43.16,43.41,43.01,43.35,3977552
2016-08-22,43.20,43.40,43.16,43.37,3386637
2016-08-23,43.45,43.66,43.43,43.44,4161843
2016-08-24,43.50,43.66,43.16,43.24,8589783
2016-08-25,43.28,43.55,43.25,43.40,5771985
2016-08-26,43.45,43.63,43.19,43.40,6590665
2016-08-29,43.51,44.11,43.51,43.84,7241274
2016-08-30,43.82,44.10,43.78,44.08,5560605
2016-08-31,44.10,44.23,43.75,44.15,6994746
