date,open,high,low,close,volume
2015-12-01,131.00,132.81,128.04,130.36,1185824
2015-12-02,130.63,132.56,129.60,130.41,930544
2015-12-03,130.26,130.26,120.46,122.06,1770307
2015-12-04,122.82,125.87,122.58,125.17,1658058
2015-12-07,125.35,125.79,121.36,121.79,1510327
2015-12-08,121.02,123.78,120.01,123.29,1374874
2015-12-09,122.55,123.13,119.40,120.63,1555460
2015-12-10,119.55,123.12,119.51,121.87,1309317
2015-12-11,120.20,122.03,117.23,117.64,2205686
2015-12-14,117.61,118.40,113.73,115.70,2283410
2015-12-15,117.04,118.39,115.84,117.28,3948162
2015-12-16,118.27,119.38,113.77,118.53,2808216
2015-12-17,118.31,119.57,116.44,117.94,1220256
2015-12-18,117.17,119.31,116.48,116.51,2367492
2015-12-21,117.43,120.85,116.40,120.56,1237357
2015-12-22,121.09,122.97,120.08,122.74,1525939
2015-12-23,123.92,124.22,121.95,123.80,1162987
2015-12-24,124.38,125.40,124.20,124.84,367523
2015-12-28,123.99,124.74,122.72,123.95,677837
2015-12-29,124.97,129.18,124.32,127.87,1168555
2015-12-30,127.68,127.95,125.93,126.40,658753
2015-12-31,125.55,127.60,124.91,125.83,797339
2016-01-04,123.03,123.87,121.03,122.89,2217601
2016-01-05,123.89,124.96,121.90,123.45,1300116
2016-01-06,120.80,123.17,119.51,122.23,1692442
2016-01-07,119.01,119.82,113.85,114.96,2362559
2016-01-08,115.62,117.11,110.55,110.71,1823007
2016-01-11,109.88,109.94,101.49,103.95,3230724
2016-01-12,104.95,108.71,98.87,103.64,3253546
2016-01-13,104.30,105.50,95.68,96.37,5709229
2016-01-14,97.44,103.95,94.68,101.91,3688585
2016-01-15,98.15,100.13,95.09,97.91,3222211
2016-01-19,100.54,101.46,92.57,94.99,2779826
2016-01-20,93.33,98.58,89.97,96.99,4089325
2016-01-21,97.06,98.84,94.84,95.07,2881794
2016-01-22,97.00,97.81,93.65,94.71,2572854
2016-01-25,94.24,95.17,92.01,92.12,2665424
2016-01-26,92.70,93.43,90.47,92.20,2561816
