date,open,high,low,close,volume
2015-12-01,84.43,84.69,83.36,83.99,2978776
2015-12-02,84.04,84.10,83.03,83.31,2771744
2015-12-03,83.59,84.19,81.75,81.94,4316056
2015-12-04,82.02,84.73,82.00,84.62,4702652
2015-12-07,84.46,85.13,83.93,84.87,5867049
2015-12-08,84.26,84.89,83.44,83.66,5106051
2015-12-09,83.05,84.00,82.36,83.34,4238554
2015-12-10,83.43,84.02,82.75,83.42,2692669
2015-12-11,82.08,82.89,81.03,81.71,4209063
2015-12-14,81.80,82.89,81.15,82.56,4180727
2015-12-15,83.40,83.96,82.04,82.11,4488949
2015-12-16,82.93,84.96,82.46,84.71,4816421
2015-12-17,85.11,85.32,83.29,83.34,3797594
2015-12-18,82.73,83.44,82.14,82.51,8529876
2015-12-21,83.01,85.02,82.71,84.89,4895823
2015-12-22,85.01,86.34,84.23,86.01,4993105
2015-12-23,86.31,86.50,85.71,86.05,3559111
2015-12-24,86.36,86.95,85.93,86.46,1366994
2015-12-28,85.99,86.41,85.42,85.84,2133441
2015-12-29,86.41,87.05,86.22,86.82,3570549
2015-12-30,86.82,87.00,86.34,86.39,2184620
2015-12-31,85.92,86.04,84.78,85.16,2528739
2016-01-04,83.70,83.77,82.12,83.05,6347619
2016-01-05,82.79,83.08,80.83,80.87,7603141
2016-01-06,80.54,81.26,79.43,79.63,11659237
2016-01-07,82.40,82.40,79.03,81.17,11361954
2016-01-08,81.88,83.00,80.92,81.05,9767884
2016-01-11,81.77,82.35,79.86,81.02,5354945
2016-01-12,81.58,81.98,80.81,81.82,4143791
2016-01-13,81.83,82.19,79.62,79.93,5080484
2016-01-14,80.00,82.74,79.78,81.87,5895150
2016-01-15,79.48,80.75,78.95,79.93,7606711
2016-01-19,80.98,81.64,79.86,80.70,6292106
2016-01-20,79.20,80.22,77.00,79.45,5386636
2016-01-21,79.45,79.92,78.53,78.98,4449293
2016-01-22,80.63,81.09,79.61,80.84,3449158
2016-01-25,80.62,80.94,78.56,78.71,3405804
2016-01-26,78.80,79.80,78.80,79.44,3559399
2016-01-27,79.98,80.46,77.97,78.45,3473999
2016-01-28,78.85,78.93,76.62,77.61,4436198
2016-01-29,78.58,79.74,77.14,79.72,4906632
2016-02-01,78.89,80.71,78.32,80.07,4964054
2016-02-02,79.09,79.29,77.71,78.00,4252659
2016-02-03,78.43,78.70,76.05,76.81,4465353
2016-02-04,76.76,77.33,75.11,77.19,5420906
2016-02-05,76.59,77.39,74.79,75.20,6224201
2016-02-08,74.18,74.18,71.50,72.91,8962588
2016-02-09,72.55,75.69,72.14,74.93,7227357
2016-02-10,75.66,77.50,75.00,76.01,4141462
2016-02-11,74.85,76.12,73.88,75.53,5069260
2016-02-12,76.59,77.11,75.84,77.08,4213487
2016-02-16,78.20,78.20,76.17,76.55,4814972
2016-02-17,77.19,78.24,76.63,78.16,4256222
2016-02-18,77.50,77.99,76.44,76.55,4059932
2016-02-19,76.44,77.59,75.95,77.57,4079248
2016-02-22,78.40,78.88,77.75,78.80,3348878
2016-02-23,78.47,78.94,77.69,78.73,3835688
2016-02-24,78.05,79.43,77.91,79.43,3593852
2016-02-25,79.48,79.94,78.56,79.92,3355783
2016-02-26,80.00,80.05,78.87,79.57,4507330
2016-02-29,79.35,79.93,78.79,78.94,3231341
2016-03-01,79.92,80.55,79.52,80.35,4244448
2016-03-02,80.30,80.49,78.63,79.46,4137664
2016-03-03,79.36,79.97,78.33,79.92,2542703
2016-03-04,80.00,80.09,79.04,79.45,2118954
2016-03-07,78.88,80.03,78.61,79.15,3588454
2016-03-08,78.94,81.45,78.71,80.39,3978436
2016-03-09,80.94,83.10,80.63,81.60,5018378
2016-03-10,81.60,81.85,79.47,80.66,3582172
2016-03-11,81.44,81.58,80.82,81.41,2545602
2016-03-14,81.12,81.86,81.00,81.52,1874276
2016-03-15,80.91,81.82,80.90,81.32,1974838
2016-03-16,81.21,82.22,80.94,82.10,3235866
2016-03-17,81.41,83.44,81.41,83.30,3833618
2016-03-18,83.73,84.58,83.06,83.94,9460311
2016-03-21,83.86,84.06,83.49,83.55,2602083
2016-03-22,83.16,83.33,82.26,82.80,2787412
2016-03-23,82.82,83.05,82.08,82.34,2114083
2016-03-24,82.24,82.34,81.72,82.33,1946972
2016-03-28,82.33,83.22,82.06,82.79,1737975
2016-03-29,82.92,83.06,81.94,83.02,2819755
2016-03-30,83.50,83.86,83.03,83.63,2811276
2016-03-31,83.83,84.47,83.70,84.24,3820377
2016-04-01,84.24,86.84,84.02,86.70,6502507
2016-04-04,86.64,86.79,84.82,86.31,5114558
2016-04-05,85.77,86.00,82.55,83.36,9434206
2016-04-06,83.34,85.10,83.12,83.69,8017035
2016-04-07,83.38,83.54,81.20,81.30,5653162
2016-04-08,81.56,82.06,81.18,81.37,4172098
2016-04-11,81.72,82.14,81.02,81.15,3099899
2016-04-12,81.26,81.70,80.91,81.31,3624049
2016-04-13,81.95,82.00,80.82,81.08,5257250
2016-04-14,80.99,81.36,80.75,81.26,4038885
2016-04-15,81.77,81.83,81.12,81.44,3245253
2016-04-18,81.18,81.47,80.86,81.25,4129156
2016-04-19,81.27,81.96,80.70,81.84,5385711
2016-04-20,82.09,82.18,81.07,81.13,3067059
2016-04-21,80.82,81.49,80.52,80.56,3222036
2016-04-22,80.54,81.11,79.72,80.14,3764041
2016-04-25,80.02,80.40,79.71,80.39,2961687
2016-04-26,80.82,81.40,80.37,81.31,3400854
2016-04-27,81.47,81.97,81.05,81.56,3584176
2016-04-28,81.11,81.38,80.16,80.34,2876939
2016-04-29,79.58,79.76,78.28,79.28,5421171
2016-05-02,79.10,80.79,79.02,80.56,3250295
2016-05-03,79.86,81.92,79.66,81.46,5294031
2016-05-04,81.04,81.72,80.84,81.49,3480723
2016-05-05,81.34,81.80,81.01,81.46,2531034
2016-05-06,78.89,79.50,78.24,79.43,11411582
2016-05-09,79.50,81.31,79.40,80.89,6226850
2016-05-10,81.02,81.25,80.65,80.92,3197490
2016-05-11,80.95,80.95,79.42,80.23,5918029
2016-05-12,80.37,80.57,79.68,79.87,3066850
2016-05-13,79.59,80.04,78.55,78.61,4062829
2016-05-16,78.41,79.23,78.01,78.87,5209229
2016-05-17,77.69,77.99,76.47,76.48,7683309
2016-05-18,76.49,77.02,75.85,76.54,5884752
2016-05-19,76.02,76.98,75.73,76.21,3014951
2016-05-20,76.34,77.53,76.30,77.22,6194618
2016-05-23,77.02,77.26,76.40,76.53,3624658
2016-05-24,76.72,77.65,76.71,77.15,4689505
2016-05-25,77.31,77.92,77.20,77.63,4090900
2016-05-26,77.46,77.53,76.74,76.78,3719578
2016-05-27,77.09,77.33,76.55,77.00,3003682
