date,open,high,low,close,volume
2015-12-01,54.05,54.57,53.60,53.92,1980562
2015-12-02,53.55,53.84,53.38,53.51,1695193
2015-12-03,53.52,53.67,51.63,51.84,3822643
2015-12-04,52.01,52.70,52.01,52.66,4596959
2015-12-07,52.46,52.67,51.80,52.10,2420299
2015-12-08,51.85,52.63,51.70,52.53,2426797
2015-12-09,52.30,52.63,51.65,51.89,1916866
2015-12-10,51.97,52.40,51.74,52.02,1450725
2015-12-11,51.63,51.84,51.17,51.34,2142472
2015-12-14,51.49,51.88,51.08,51.83,3198769
2015-12-15,52.10,53.42,52.10,53.34,3434395
2015-12-16,53.70,54.24,53.16,53.93,2270058
2015-12-17,53.91,54.10,53.27,53.28,3179052
2015-12-18,53.00,53.09,52.39,52.73,4070392
2015-12-21,52.98,53.26,52.49,52.81,1383768
2015-12-22,52.99,53.40,52.52,53.20,1412275
2015-12-23,53.41,53.74,53.29,53.66,1229881
2015-12-24,53.47,53.62,53.20,53.43,529545
2015-12-28,53.40,53.97,53.34,53.91,986043
2015-12-29,54.02,54.44,54.02,54.35,849444
2015-12-30,54.33,54.48,53.92,53.98,825101
2015-12-31,53.83,53.97,53.35,53.37,1055230
2016-01-04,52.60,52.61,52.00,52.45,2067396
2016-01-05,52.42,52.70,52.23,52.65,2401418
2016-01-06,52.17,53.32,52.12,53.30,3277358
2016-01-07,52.58,53.05,52.42,52.67,3309867
2016-01-08,52.69,53.15,52.23,52.35,2617432
2016-01-11,52.35,53.04,52.25,52.86,2127954
2016-01-12,52.97,53.32,52.66,53.20,2299865
2016-01-13,53.19,53.35,52.00,52.26,2445120
2016-01-14,52.44,53.01,51.94,52.78,2786809
2016-01-15,51.92,52.11,51.05,51.52,3406123
2016-01-19,51.99,52.73,51.84,52.62,2156708
2016-01-20,51.96,52.37,50.36,51.92,4118908
2016-01-21,51.90,52.58,51.63,51.98,2414133
2016-01-22,52.53,53.14,52.29,52.98,2244625
2016-01-25,52.92,52.92,52.09,52.24,1748218
2016-01-26,52.19,52.57,51.98,52.29,1990944
2016-01-27,52.13,52.49,51.46,51.89,2885379
2016-01-28,52.00,52.38,51.64,52.07,1451335
2016-01-29,52.31,53.07,52.18,52.95,3446877
2016-02-01,52.69,53.47,52.39,53.26,1742271
2016-02-02,52.70,52.96,51.75,52.12,2484266
2016-02-03,52.47,53.27,51.79,53.08,2225955
2016-02-04,52.92,53.55,52.73,53.19,1682741
2016-02-05,52.93,53.19,52.28,52.57,2150925
2016-02-08,52.23,52.88,51.68,52.70,1916762
2016-02-09,52.23,53.58,52.20,53.28,2733927
2016-02-10,53.49,54.20,53.37,53.52,1686566
2016-02-11,52.57,53.15,52.23,52.96,3381086
2016-02-12,53.24,54.23,53.05,53.98,2460211
2016-02-16,54.72,54.87,54.03,54.79,2901636
2016-02-17,54.87,55.25,54.58,54.90,2775420
2016-02-18,54.80,55.58,54.34,55.31,3123256
2016-02-19,55.25,55.72,54.86,55.50,3046064
2016-02-22,55.76,56.25,55.64,56.18,2600547
2016-02-23,56.18,56.80,56.14,56.30,1801017
2016-02-24,56.04,56.26,55.11,56.09,2669624
2016-02-25,56.25,56.50,55.97,56.17,2458241
2016-02-26,56.48,56.50,55.97,56.04,2227978
2016-02-29,56.11,56.17,55.50,55.85,2960942
2016-03-01,56.19,57.18,56.06,57.05,2357602
2016-03-02,56.85,57.09,56.52,57.08,2188601
2016-03-03,56.72,57.31,56.38,57.27,1773033
2016-03-04,57.25,57.49,56.91,57.15,2129760
2016-03-07,56.97,57.09,56.64,56.95,1444051
2016-03-08,56.75,57.61,56.40,57.32,3068247
2016-03-09,57.44,57.96,57.44,57.66,1745702
2016-03-10,57.78,57.97,57.18,57.67,2180397
