date,open,high,low,close,volume
2015-12-01,55.83,56.36,55.79,56.36,312743
2015-12-02,56.44,56.87,56.21,56.62,576854
2015-12-03,56.80,57.14,55.79,56.00,673625
2015-12-04,56.08,56.98,56.08,56.96,307156
2015-12-07,56.89,57.02,56.10,56.32,463013
2015-12-08,56.09,56.28,55.49,55.62,458213
2015-12-09,55.44,55.81,54.59,54.65,298340
2015-12-10,54.65,54.89,54.30,54.57,360639
2015-12-11,53.92,54.51,53.73,53.94,242116
2015-12-14,53.86,54.58,53.81,54.40,508333
2015-12-15,54.67,54.92,54.10,54.22,443850
2015-12-16,54.62,54.86,53.71,54.33,391930
2015-12-17,54.29,54.62,53.65,53.69,342108
2015-12-18,53.49,53.58,52.58,52.72,1492224
2015-12-21,53.01,53.26,52.36,52.99,469365
2015-12-22,53.12,53.63,52.65,53.38,452667
2015-12-23,53.62,53.77,53.29,53.71,398015
2015-12-24,54.08,55.58,54.01,55.37,495826
2015-12-28,55.30,55.47,54.94,55.43,498733
2015-12-29,55.65,56.15,55.37,56.11,356776
2015-12-30,55.91,56.31,55.73,55.82,268736
2015-12-31,55.62,55.62,54.75,54.75,1388477
2016-01-04,54.16,54.16,52.94,53.30,742014
2016-01-05,53.27,53.87,53.12,53.76,583765
2016-01-06,53.10,53.49,52.76,53.08,412308
2016-01-07,52.18,53.03,52.07,52.18,1276509
2016-01-08,52.40,52.64,51.92,52.01,726028
2016-01-11,52.12,52.39,51.07,51.32,658221
2016-01-12,51.63,51.73,50.53,50.87,941520
2016-01-13,51.09,51.25,49.50,49.62,830174
2016-01-14,49.62,50.75,49.62,50.38,511492
2016-01-15,49.72,49.72,48.33,49.24,1015388
2016-01-19,49.70,49.70,48.98,49.19,552932
2016-01-20,48.53,48.90,47.54,48.41,629781
2016-01-21,49.14,49.20,48.33,48.40,638159
2016-01-22,49.03,49.37,48.67,49.19,473175
2016-01-25,49.06,49.17,47.91,47.95,741455
2016-01-26,48.13,48.90,47.99,48.58,370552
2016-01-27,48.55,49.12,48.15,48.34,376590
2016-01-28,48.77,48.87,48.32,48.81,530680
2016-01-29,49.02,50.15,48.88,50.15,878923
2016-02-01,49.96,50.60,49.59,50.27,536463
2016-02-02,49.86,49.93,49.14,49.28,789130
2016-02-03,48.04,50.71,48.04,50.51,1193689
2016-02-04,50.35,50.95,49.99,50.52,644205
2016-02-05,50.43,51.19,50.43,51.11,690059
2016-02-08,50.65,51.29,50.19,51.18,772228
2016-02-09,50.72,51.66,50.72,51.39,456537
2016-02-10,51.55,52.02,51.27,51.31,491986
2016-02-11,50.35,50.77,50.15,50.36,809590
2016-02-12,50.67,51.74,50.67,51.39,436282
2016-02-16,51.93,52.09,51.31,51.81,571621
2016-02-17,51.99,52.07,51.63,51.83,398132
2016-02-18,51.88,52.24,51.48,52.17,468205
2016-02-19,51.90,52.43,51.84,52.00,460559
2016-02-22,52.32,52.50,51.95,52.13,228987
2016-02-23,52.03,52.20,51.57,51.66,260539
2016-02-24,51.34,51.75,51.03,51.65,287431
2016-02-25,51.78,52.20,51.78,52.04,231601
2016-02-26,52.27,52.34,51.80,52.20,503842
2016-02-29,52.16,52.28,51.50,51.50,506343
2016-03-01,51.83,52.61,51.64,52.48,474621
2016-03-02,52.30,53.04,52.22,53.02,378130
2016-03-03,53.05,53.27,52.88,53.20,262560
2016-03-04,53.14,53.25,52.76,53.02,387128
2016-03-07,52.78,52.96,52.34,52.76,349260
2016-03-08,52.53,52.55,52.20,52.50,319375
2016-03-09,52.77,52.77,52.10,52.20,259236
2016-03-10,52.29,52.60,51.68,52.23,256575
2016-03-11,52.50,53.43,52.30,53.38,281249
2016-03-14,53.36,53.70,53.14,53.55,413868
2016-03-15,53.19,53.82,53.09,53.64,318726
2016-03-16,53.51,53.64,53.17,53.32,334189
2016-03-17,53.40,54.69,53.26,54.50,575281
2016-03-18,54.42,54.98,54.16,54.75,748006
