date,open,high,low,close,volume
2015-12-01,35.80,36.01,35.71,35.97,4161478
2015-12-02,35.85,35.93,35.18,35.22,3471061
2015-12-03,34.98,35.08,34.33,34.42,7790774
2015-12-04,34.54,35.12,34.50,34.97,5090697
2015-12-07,34.94,35.28,34.88,35.27,4847799
2015-12-08,35.14,35.42,35.00,35.21,4830860
2015-12-09,35.07,35.53,34.90,35.28,3295321
2015-12-10,35.19,35.23,34.66,34.79,5652183
2015-12-11,34.60,35.14,34.47,34.94,4247295
2015-12-14,34.95,35.35,34.83,35.29,3822255
2015-12-15,35.47,35.79,35.35,35.57,3306839
2015-12-16,35.67,36.50,35.65,36.42,4072440
2015-12-17,36.42,36.72,36.18,36.40,2868963
2015-12-18,36.12,36.33,35.34,35.60,6339827
2015-12-21,35.79,35.91,35.18,35.41,4141744
2015-12-22,35.24,35.48,34.81,35.33,3459542
2015-12-23,35.45,35.92,35.45,35.85,3101784
2015-12-24,35.81,35.88,35.59,35.74,1577344
2015-12-28,35.64,36.19,35.57,36.14,3689755
2015-12-29,36.30,36.47,36.06,36.22,1921136
2015-12-30,36.30,36.50,36.19,36.40,1392167
2015-12-31,36.35,36.38,35.63,35.91,2330406
2016-01-04,35.61,35.87,35.39,35.70,2819292
2016-01-05,35.68,36.14,35.19,36.06,2141228
2016-01-06,35.85,36.60,35.74,36.44,5191872
2016-01-07,36.10,36.66,36.05,36.58,5212230
2016-01-08,36.58,36.75,36.08,36.18,3005505
2016-01-11,36.23,36.61,36.21,36.47,3885497
2016-01-12,36.61,36.70,35.87,36.33,3354193
2016-01-13,36.30,36.68,36.05,36.11,4818019
2016-01-14,36.17,36.93,36.15,36.71,3671440
2016-01-15,36.23,36.73,35.99,36.50,3878549
2016-01-19,36.73,37.35,36.57,37.21,5422532
2016-01-20,37.10,37.24,36.11,36.62,5464385
2016-01-21,36.65,37.06,35.91,36.13,5359249
2016-01-22,36.31,36.67,36.01,36.63,4552541
2016-01-25,36.65,36.76,36.30,36.53,2377038
2016-01-26,36.65,37.09,36.40,36.77,2709050
2016-01-27,36.69,37.17,36.38,36.68,3760319
2016-01-28,36.36,37.84,36.10,37.57,3168006
2016-01-29,37.54,38.26,37.50,38.22,5407345
2016-02-01,38.09,38.74,37.90,38.56,6105036
2016-02-02,38.33,38.99,38.29,38.98,5013504
2016-02-03,38.88,39.43,36.25,39.25,8312260
2016-02-04,39.13,39.50,38.82,39.07,5492676
2016-02-05,38.92,39.63,38.47,39.53,5090738
2016-02-08,39.51,40.21,38.87,39.25,7091229
2016-02-09,39.24,39.74,39.03,39.62,4267762
2016-02-10,39.50,39.77,38.78,39.35,4688901
2016-02-11,39.29,39.46,38.87,38.99,4570967
2016-02-12,39.04,39.30,38.46,38.82,4062011
2016-02-16,38.92,38.92,38.43,38.83,3158875
2016-02-17,38.94,38.95,38.50,38.94,4160120
2016-02-18,39.02,39.82,38.90,39.64,3784971
2016-02-19,39.72,39.72,39.22,39.33,4361583
2016-02-22,39.48,39.76,39.27,39.67,2395782
2016-02-23,39.54,39.90,39.36,39.83,2925474
2016-02-24,39.86,40.30,39.58,39.91,2831971
2016-02-25,39.95,40.42,39.81,40.20,2922511
2016-02-26,39.97,40.10,39.14,39.27,5065164
2016-02-29,39.21,39.92,39.21,39.54,5545005
2016-03-01,39.67,39.90,39.04,39.46,4788686
2016-03-02,39.24,39.63,38.26,39.59,5011039
2016-03-03,39.53,39.63,39.04,39.60,3127794
2016-03-04,39.35,40.08,39.08,39.94,5231675
2016-03-07,39.89,40.21,39.75,40.06,4126050
2016-03-08,40.20,40.68,39.93,40.66,4230941
2016-03-09,40.64,40.94,40.52,40.72,3557762
2016-03-10,40.68,40.87,40.33,40.74,3408249
2016-03-11,40.50,40.76,40.29,40.38,3199701
2016-03-14,40.37,40.56,40.16,40.42,3367908
2016-03-15,40.29,40.79,40.29,40.50,2464908
2016-03-16,40.38,41.04,40.09,40.92,2344377
2016-03-17,41.00,41.59,40.72,41.50,3099067
2016-03-18,41.52,41.61,41.06,41.06,4853373
2016-03-21,40.99,41.27,40.59,41.05,2337376
2016-03-22,41.05,41.20,40.76,40.77,2427005
2016-03-23,40.79,41.28,40.58,41.12,2566302
2016-03-24,41.12,41.39,40.94,41.23,2178394
2016-03-28,41.34,41.60,41.05,41.16,1512926
2016-03-29,41.26,41.69,41.11,41.66,2830437
2016-03-30,41.63,41.70,41.32,41.56,2078179
2016-03-31,41.61,41.85,41.49,41.82,3219233
2016-04-01,41.69,42.02,41.54,41.94,2847145
2016-04-04,42.01,42.04,41.42,41.86,2278297
2016-04-05,41.68,41.85,40.86,40.95,4397790
2016-04-06,40.87,40.92,40.52,40.85,3211611
2016-04-07,40.73,41.07,40.62,40.79,3338646
2016-04-08,40.90,41.23,40.88,41.01,2103895
2016-04-11,41.03,41.23,40.75,40.80,2266128
2016-04-12,40.82,41.06,40.64,40.99,3158671
2016-04-13,41.08,41.13,40.37,40.69,2578489
2016-04-14,40.57,40.78,40.46,40.58,2091802
2016-04-15,40.67,40.96,40.55,40.83,2820011
2016-04-18,40.84,41.14,40.60,41.14,2090697
2016-04-19,41.21,41.27,40.81,41.16,2767842
2016-04-20,41.25,41.41,39.72,39.73,5000821
2016-04-21,39.69,39.72,38.43,38.61,8398313
2016-04-22,38.80,39.09,38.77,39.05,5038916
2016-04-25,38.95,39.19,38.81,39.15,3237260
2016-04-26,39.20,39.36,39.06,39.19,3357558
2016-04-27,39.31,39.98,39.22,39.71,4432137
2016-04-28,39.36,39.95,39.16,39.94,3170444
2016-04-29,39.67,40.10,39.35,40.03,3865674
2016-05-02,40.24,40.74,40.11,40.51,2990552
2016-05-03,40.39,40.73,40.30,40.55,2500826
2016-05-04,40.45,41.27,40.45,41.01,3372453
2016-05-05,40.90,41.30,40.64,40.84,3005216
2016-05-06,40.83,40.83,40.17,40.46,3652432
2016-05-09,40.50,41.31,40.48,41.16,4033529
2016-05-10,41.31,41.56,41.02,41.36,3160188
2016-05-11,41.44,41.58,41.10,41.38,2399600
2016-05-12,41.36,41.98,41.19,41.85,3815231
2016-05-13,41.81,41.87,41.38,41.71,2721750
2016-05-16,41.59,41.75,41.38,41.75,2729214
2016-05-17,41.61,41.70,40.64,40.86,3252254
2016-05-18,40.61,41.03,39.94,40.09,3696289
2016-05-19,39.95,40.52,39.69,40.51,2560169
2016-05-20,40.68,40.71,40.18,40.47,2967494
2016-05-23,40.56,40.63,40.04,40.06,2247647
2016-05-24,40.10,40.61,40.06,40.56,2358249
2016-05-25,40.45,40.53,40.17,40.37,2779655
2016-05-26,40.41,40.94,40.33,40.89,2465550
2016-05-27,40.96,41.07,40.69,40.92,2136464
2016-05-31,40.91,41.41,40.75,41.37,4784379
2016-06-01,41.32,41.57,41.25,41.56,2542327
2016-06-02,41.42,41.49,40.98,41.40,2222718
2016-06-03,41.75,42.40,41.75,42.19,2656754
2016-06-06,42.18,42.38,41.81,42.05,2238913
2016-06-07,42.08,42.29,41.91,42.01,2169386
2016-06-08,41.96,42.19,41.84,42.17,2247632
2016-06-09,42.17,42.75,42.17,42.70,3039348
2016-06-10,42.69,42.90,42.57,42.75,2901010
2016-06-13,42.85,42.98,42.60,42.71,3138766
2016-06-14,42.42,42.80,42.11,42.79,3141384
2016-06-15,42.80,42.89,42.17,42.34,3114003
2016-06-16,42.56,42.96,42.38,42.83,4006575
2016-06-17,42.79,42.95,42.38,42.85,3972622
2016-06-20,42.88,42.95,42.27,42.75,3008956
2016-06-21,42.73,43.11,42.55,42.84,2302394
2016-06-22,42.91,42.98,42.63,42.67,2360981
2016-06-23,42.71,42.75,42.44,42.70,2629631
2016-06-24,42.34,43.67,42.25,43.30,7318164
2016-06-27,43.20,43.89,43.12,43.72,5578895
2016-06-28,43.68,43.81,43.12,43.75,2746060
2016-06-29,43.97,44.11,43.62,43.85,2583720
2016-06-30,43.93,44.78,43.78,44.78,3547349
2016-07-01,45.00,45.03,44.26,44.78,2224978
2016-07-05,44.78,45.31,44.78,45.27,3443832
2016-07-06,45.17,45.42,44.90,45.33,3546275
2016-07-07,45.16,45.23,44.23,44.32,4183846
2016-07-08,44.24,44.61,43.68,44.59,4825907
2016-07-11,44.45,44.47,43.92,44.41,3225942
2016-07-12,44.16,44.24,43.49,43.50,4200995
2016-07-13,43.72,44.08,43.69,43.95,3601622
2016-07-14,43.62,43.84,43.44,43.61,3825393
2016-07-15,43.67,43.97,43.54,43.75,3380609
2016-07-18,43.75,44.06,43.70,43.85,2836503
2016-07-19,43.86,43.94,43.64,43.79,2378104
2016-07-20,43.83,43.91,43.49,43.61,2532121
2016-07-21,43.47,43.91,43.33,43.88,3168748
2016-07-22,43.84,44.41,43.72,44.32,3188523
2016-07-25,44.33,44.38,44.03,44.24,1873345
2016-07-26,44.36,44.36,43.59,43.79,2785189
2016-07-27,43.66,43.80,43.10,43.50,2855475
2016-07-28,43.50,43.87,43.36,43.76,2179848
2016-07-29,43.74,44.16,43.74,43.98,2885575
2016-08-01,43.85,44.12,43.78,43.94,3177785
2016-08-02,43.87,43.90,43.46,43.72,3651722
2016-08-03,43.52,43.72,42.99,43.16,3286674
2016-08-04,43.16,43.67,43.16,43.31,2909989
2016-08-05,43.21,43.22,42.56,42.67,3237964
2016-08-08,42.77,43.02,42.43,42.57,2566908
2016-08-09,42.57,42.85,42.44,42.65,2920849
2016-08-10,42.74,42.84,42.56,42.69,1531939
2016-08-11,42.69,42.79,42.52,42.71,2961259
2016-08-12,42.76,43.09,42.76,42.80,1907294
2016-08-15,42.86,42.94,42.09,42.12,2156160
2016-08-16,42.02,42.04,41.58,41.64,3580696
2016-08-17,41.55,42.44,41.29,42.33,5176596
2016-08-18,42.24,42.97,42.24,42.96,3466162
2016-08-19,42.76,42.89,42.18,42.42,2610764
2016-08-22,42.54,42.76,42.44,42.58,1812561
2016-08-23,42.72,42.88,42.17,42.19,2587860
2016-08-24,42.11,42.26,41.80,42.20,2079729
2016-08-25,42.25,42.47,42.09,42.28,1808018
2016-08-26,42.27,42.55,41.33,41.39,2924662
2016-08-29,41.52,41.86,41.52,41.70,2026116
2016-08-30,41.69,41.91,41.16,41.19,2684441
2016-08-31,41.24,41.38,41.07,41.36,2802652
2016-09-01,41.33,41.47,41.11,41.27,2721379
2016-09-02,41.32,41.83,41.21,41.71,2625193
2016-09-06,41.99,42.32,41.77,42.20,2576641
2016-09-07,42.19,42.46,41.84,42.38,3514026
2016-09-08,42.27,42.61,42.14,42.37,2908225
2016-09-09,42.02,42.02,40.77,40.78,4166625
