date,open,high,low,close,volume
2015-12-01,37.37,37.76,37.32,37.64,756867
2015-12-02,37.45,37.58,36.87,36.95,616671
2015-12-03,37.04,37.19,36.43,36.74,735292
2015-12-04,36.78,37.69,36.78,37.65,1247317
2015-12-07,37.42,37.56,36.78,36.91,638814
2015-12-08,36.47,36.65,36.20,36.28,785464
2015-12-09,36.10,36.80,35.93,36.26,1154646
2015-12-10,36.14,36.97,36.14,36.70,1188618
2015-12-11,36.20,36.77,36.13,36.22,1499770
2015-12-14,36.27,36.66,36.19,36.64,1344429
2015-12-15,37.02,37.07,36.65,36.70,1389536
2015-12-16,36.93,37.63,36.80,37.46,1227014
2015-12-17,37.42,37.62,36.45,36.46,1178513
2015-12-18,36.26,36.31,35.81,35.84,1973727
2015-12-21,36.13,36.31,35.88,36.14,662317
2015-12-22,36.31,36.53,36.03,36.50,805686
2015-12-23,36.73,37.28,36.66,37.13,667422
2015-12-24,37.08,37.26,36.96,37.07,294202
2015-12-28,36.97,36.99,36.67,36.94,630069
2015-12-29,37.20,37.46,36.98,37.10,780513
2015-12-30,37.10,37.22,36.85,36.87,439532
2015-12-31,36.67,36.84,36.45,36.50,635138
2016-01-04,35.92,36.19,35.60,36.08,1353443
2016-01-05,36.06,36.20,35.51,36.07,1075373
2016-01-06,36.43,36.61,35.22,35.62,1866048
2016-01-07,35.17,35.27,34.49,34.70,1555388
2016-01-08,34.87,35.03,34.28,34.37,1471489
2016-01-11,34.51,34.57,33.69,34.08,852949
2016-01-12,34.35,34.55,33.86,34.27,780966
2016-01-13,34.39,34.51,33.32,33.38,1228521
2016-01-14,33.50,33.77,33.11,33.57,1482437
2016-01-15,32.73,33.10,32.61,32.98,1260300
2016-01-19,33.47,33.53,32.61,32.96,1068523
2016-01-20,32.44,33.10,31.67,32.80,1489179
2016-01-21,32.97,33.57,32.65,33.23,1444163
2016-01-22,33.79,34.12,33.47,34.03,827544
2016-01-25,33.91,33.99,33.51,33.74,1133922
2016-01-26,33.99,34.67,33.79,34.55,1841178
2016-01-27,34.54,35.86,34.38,34.89,1987584
2016-01-28,35.23,35.36,34.74,34.95,1523839
2016-01-29,35.14,35.95,35.05,35.95,1827038
2016-02-01,35.64,35.93,35.11,35.62,1269192
2016-02-02,35.08,35.14,34.57,34.86,1239668
