date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,42.577,,,,,,,,,,
2015-12-15,42.388,,,,,,,,,,
2015-12-16,42.404999999999994,,,,,42.55916666666667,,,,,
2015-12-17,42.583,,,,,42.785448717948725,,,,,
2015-12-18,42.569,,,,,42.8492258382643,,,,,
2015-12-21,42.55800000000001,,,,,42.85088340160825,,43.774069319640574,,,
2015-12-22,42.604,,,,,42.90459364751467,,46.29821748561731,,,
2015-12-23,42.731,,,,,43.05004077866626,,50.84175084175086,,,
2015-12-24,42.928,,,,,43.14695758194837,,49.65838811481033,,,
2015-12-28,43.16,,,,,43.28434872318709,,52.195859563335986,,,
2015-12-29,43.392,42.984500000000004,,,,43.412910458081384,,52.76563574593317,,,
2015-12-30,43.598,42.992999999999995,,,,43.503231926068864,,51.768891840938586,,,
2015-12-31,43.621,43.013,,,,43.46119624513519,,45.79150341303222,,,
2016-01-04,43.521,43.05200000000001,,,,43.394858361268234,,44.3588317737343,,,
2016-01-05,43.555,43.062,,,,43.41718784415004,,48.76119262581531,,,
2016-01-06,43.650999999999996,43.104499999999994,,,,43.47915894505004,,51.051034305894895,,,
2016-01-07,43.715999999999994,43.16,,,,43.53621141504234,43.12153846153846,51.30214440983472,0.41467295350388156,,
2016-01-08,43.682,43.2065,,,,43.532178889651206,43.150313390313386,48.27924638785646,0.3818654993378203,,
2016-01-11,43.666,43.297000000000004,,,,43.53030521432025,43.177697583623505,48.375595739581385,0.3526076306967454,,
2016-01-12,43.6,43.38,,,,43.50718133519406,43.19268294779954,47.05401601357847,0.3144983873945222,,
2016-01-13,43.501999999999995,43.447,,,,43.45069189901036,43.1887805072218,44.79477635341117,0.2619113917885585,,
2016-01-14,43.473,43.5355,,,,43.49058545300876,43.22738935853871,50.83273278556734,0.26319609447005377,,
2016-01-15,43.501,43.56099999999999,,,,43.493572306392025,43.248323480128434,48.81527094542545,0.245248826263591,,
2016-01-19,43.543,43.532,,,,43.486868874639406,43.26326248160041,48.19726844204084,0.22360639303899887,,
2016-01-20,43.422,43.4885,,,,43.30888904777181,43.19413192740778,38.41953685689978,0.11475712036402541,0.2858182552064663,-0.1710611348424409
2016-01-21,43.253,43.452000000000005,,,,43.12752150196076,43.115307340192395,36.97694534271368,0.01221416176836243,0.23109743651884554,-0.2188832747504831
2016-01-22,43.163,43.439499999999995,,,,43.100210501659106,43.10306235203,45.939642132834464,-0.0028518503708951926,0.1843075791408974,-0.1871594295117926
2016-01-25,43.07899999999999,43.3805,,,,43.03402427063463,43.07098365928704,43.65657951338281,-0.03695938865240578,0.14005418558223676,-0.17701357423464253
2016-01-26,43.003,43.334500000000006,,,,42.991866690536995,43.04794783267319,44.60945254290582,-0.05608114213619331,0.10082712003855074,-0.15690826217474405
2016-01-27,42.985,43.2925,,,,43.02388719968515,43.05921095617888,49.13820286488975,-0.03532375649373165,0.07359694473209427,-0.10892070122582592
2016-01-28,43.056000000000004,43.279,,,,43.15098147665666,43.11778792238785,54.992478681041604,0.033193554268812875,0.06551626663943799,-0.03232271237062512
2016-01-29,43.177,43.325,,,,43.42313817255564,43.25128511332208,62.619889867816404,0.17185305923355543,0.08678362515826149,0.08506943407529394
2016-02-01,43.392,43.4465,,,,43.767270761393235,43.42970843826119,66.80919911974209,0.3375623231320475,0.1369393647530187,0.20062295837902877
2016-02-02,43.685,43.614,,,,44.16922910579427,43.64824855394554,70.29725828631894,0.52098055184873,0.213747602172161,0.30723294967656906
2016-02-03,44.185,43.8035,,,,44.65550155105669,43.920970883282905,74.15643237290158,0.7345306677737824,0.31790421529248525,0.41662645248129715
2016-02-04,44.62500000000001,43.93900000000001,,,,44.9438859278172,44.114232299336024,66.33974578365039,0.8296536284811751,0.4202540979302232,0.40939953055095185
2016-02-05,44.979,44.071000000000005,,,,45.18174963122994,44.2902150919778,65.96533844385115,0.8915345392521417,0.514510186194607,0.3770243530575347
2016-02-08,45.329,44.204,,,,45.33378814950226,44.429458418497966,62.906606093728854,0.9043297310042959,0.5924740951565448,0.3118556358477511
2016-02-09,45.661,44.332,,,,45.44858997265575,44.55172075786849,62.0353573119044,0.8968692147872659,0.6533531190826891,0.24351609570457677
2016-02-10,45.961,44.473,,,,45.564191515324104,44.6738155165449,62.77563832071115,0.8903759987792057,0.7007576950219925,0.18961830375721322
2016-02-11,46.113,44.5845,43.728,,,45.53431589758193,44.72538473754157,54.8141941375762,0.8089311600403661,0.7223923880256673,0.08653877201469884
2016-02-12,46.146,44.661500000000004,43.756400000000006,,,45.490574990261635,44.764245127353306,53.75276893586276,0.7263298629083295,0.7231798830021998,0.0031499799061296407
2016-02-16,46.138,44.765,43.811400000000006,,,45.504332684067535,44.82467141421602,56.26108218491373,0.6796612698515148,0.7144761603720629,-0.03481489052054809
2016-02-17,46.031,44.858,43.872600000000006,,,45.47443534805714,44.86062167982965,53.695034796910214,0.6138136682274933,0.6943436619431489,-0.08052999371565561
2016-02-18,45.926,45.0555,43.931400000000004,,,45.59836837143297,44.96576081465708,60.64046570574559,0.6326075567758878,0.6819964409096967,-0.04938888413380893
2016-02-19,45.833,45.229,43.98400000000001,,,45.598619391212516,45.01274149505286,54.47213190157806,0.5858778961596585,0.662772731959689,-0.07689483580003054
2016-02-22,45.807,45.393,44.0538,,,45.695754869487516,45.10290879171561,58.6670024421263,0.5928460777719025,0.6487874011221317,-0.05594132335022928
2016-02-23,45.842,45.5855,44.132600000000004,,,45.822561812643286,45.20787851084779,60.472443632753325,0.6146833017954947,0.6419665812568043,-0.027283279461309595
2016-02-24,45.982000000000006,45.8215,44.248000000000005,,,46.07755230300586,45.37618380634055,65.79832765340561,0.7013684966653102,0.6538469643385054,0.04752153232680478
2016-02-25,46.175,46.068,44.37620000000001,,,46.3933134871588,45.58017019105606,68.85793664770848,0.8131432961027372,0.6857062306913518,0.12743706541138533
2016-02-26,46.287,46.2,44.47,,,46.408188335288216,45.647564991718575,55.393390734974304,0.760623343569641,0.7006896532670097,0.05993369030263129
