date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,2.336,,,,,,,,,,
2015-12-15,2.338,,,,,,,,,,
2015-12-16,2.3649999999999998,,,,,2.355,,,,,
2015-12-17,2.398,,,,,2.3865384615384615,,,,,
2015-12-18,2.415,,,,,2.3963017751479287,,,,,
2015-12-21,2.4330000000000003,,,,,2.416870732817478,,60.21505376344086,,,
2015-12-22,2.471,,,,,2.47119831238402,,68.86731391585761,,,
2015-12-23,2.5189999999999997,,,,,2.5263985720172477,,70.58934198767696,,,
2015-12-24,2.566,,,,,2.586952637860748,,73.00167060238002,,,
2015-12-28,2.63,,,,,2.6504983858821713,,74.96717387364873,,,
2015-12-29,2.696,2.516,,,,2.704267864977222,,74.96717387364873,,,
2015-12-30,2.758,2.548,,,,2.7466881934422647,,73.41748065663663,,,
2015-12-31,2.7909999999999995,2.5780000000000003,,,,2.765659240604993,,65.40884647990063,,,
2016-01-04,2.8120000000000003,2.6049999999999995,,,,2.766327049742687,,59.09752542642442,,,
2016-01-05,2.842,2.6285,,,,2.76381519593612,,57.89433455475128,,,
2016-01-06,2.839,2.636,,,,2.7232282427151784,,45.44050139409899,,,
2016-01-07,2.789,2.63,,,,2.653500820758997,2.5561538461538458,37.45731710018826,0.09734697460515118,,
2016-01-08,2.72,2.6195,,,,2.574500694488382,2.5253276353276353,33.83866779031855,0.04917305916074666,,
2016-01-11,2.662,2.614,,,,2.5384236645670923,2.511599662340403,42.967288735252964,0.02682400222668946,,
2016-01-12,2.601,2.6155,,,,2.5155892546336935,2.5025922799448175,45.01001070394443,0.012996974688876062,,
2016-01-13,2.526,2.6109999999999998,,,,2.474729369305433,2.483881740689646,40.6227150414616,-0.009152371384212987,,
2016-01-14,2.449,2.6035,,,,2.434001774027674,2.4635942043422645,39.43983814456043,-0.02959243031459069,,
2016-01-15,2.3649999999999998,2.5780000000000003,,,,2.371847654946493,2.4314761151317263,34.56259760053882,-0.05962846018523349,,
2016-01-19,2.283,2.5475000000000003,,,,2.3069480157239552,2.395811217714561,32.63118919156666,-0.08886320199060593,,
2016-01-20,2.1879999999999997,2.5149999999999997,,,,2.2289560133048854,2.3516770534394085,29.322508759431173,-0.12272104013452312,-0.013735165925300318,-0.1089858742092228
2016-01-21,2.147,2.493,,,,2.2075781651041337,2.3322935679994523,41.64249118401086,-0.12471540289531857,-0.035931213319303976,-0.0887841895760146
2016-01-22,2.122,2.4555,,,,2.178719985857344,2.309160711110604,39.8373780134693,-0.13044072525326023,-0.054833115706095226,-0.075607609547165
2016-01-25,2.12,2.42,,,,2.169686141879291,2.2951488065838923,43.598724174499324,-0.12546266470460132,-0.06895902550579644,-0.056503639198804884
2016-01-26,2.093,2.3775,,,,2.1543498123594,2.2784711172073076,42.17879904196304,-0.12412130484790751,-0.07999148137421866,-0.04412982347368885
2016-01-27,2.0669999999999997,2.334,,,,2.1506036873810306,2.2674732566734326,44.51408644071815,-0.116869569292402,-0.08736709895785533,-0.02950247033454667
2016-01-28,2.05,2.288,,,,2.1397415816301026,2.2535863487716967,42.9570765094309,-0.11384476714159408,-0.09266263259460308,-0.021182134546991
2016-01-29,2.0490000000000004,2.249,,,,2.1490121075331636,2.249616989603423,47.68645421986435,-0.1006048820702592,-0.09425108248973432,-0.0063537995805248715
2016-02-01,2.06,2.2125,,,,2.1476256294511384,2.241497212595762,45.64854941167698,-0.09387158314462374,-0.09417518262071221,0.0003035994760884758
2016-02-02,2.064,2.1734999999999998,,,,2.123375532612502,2.2228677894405204,40.93830530028842,-0.09949225682801854,-0.09523859746217349,-0.0042536593658450556
2016-02-03,2.091,2.1395,,,,2.1151639122105785,2.2115442494819635,44.24276941400197,-0.09638033727138495,-0.09546694542401579,-0.0009133918473691605
2016-02-04,2.091,2.119,,,,2.1112925411012586,2.202540971742559,45.070193007840025,-0.09124843064130017,-0.09462324246747267,0.003374811826172497
2016-02-05,2.087,2.1045,,,,2.091093688624142,2.1860564553171837,41.428731568177625,-0.09496276669304171,-0.09469114731258649,-0.0002716193804552236
2016-02-08,2.068,2.094,,,,2.066310044220428,2.167089310478874,39.852556385835996,-0.10077926625844613,-0.09590877110175842,-0.004870495156687707
2016-02-09,2.0509999999999997,2.072,,,,2.040723883571131,2.1473049171100684,38.896358613097824,-0.10658103353893722,-0.09804322358919419,-0.008537809949743028
2016-02-10,2.022,2.0445,,,,2.0098432860986497,2.12454158991673,36.98504324115166,-0.11469830381808022,-0.1013742396349714,-0.013324064183108816
2016-02-11,2.0,2.025,2.3216,,,1.9867904728527037,2.104945916589565,38.07732960670346,-0.11815544373686127,-0.10473048045534938,-0.013424963281511881
2016-02-12,1.9629999999999999,2.006,2.3114,,,1.9626688616445953,2.0845795523977455,37.0401788524633,-0.1219106907531502,-0.10816652251490955,-0.01374416823824065
2016-02-16,1.932,1.996,2.3026,,,1.9422582675454267,2.0657218077756903,37.0401788524633,-0.12346354023026351,-0.11122592605798035,-0.012237614172283168
2016-02-17,1.923,1.9934999999999998,2.296,,,1.935756995615361,2.0534461183108244,41.362314344368315,-0.11768912269546328,-0.11251856538547694,-0.0051705573099863344
2016-02-18,1.907,1.9989999999999999,2.2885999999999997,,,1.9317943809053055,2.04282047991743,41.975138181508925,-0.11102609901212457,-0.11222007211080648,0.0011939730986819108
2016-02-19,1.889,1.9900000000000002,2.2798,,,1.9284413992275662,2.032981925849472,41.975138181508925,-0.10454052662190594,-0.11068416301302637,0.006143636391120436
2016-02-22,1.892,1.9895,2.2721999999999998,,,1.9409888762694791,2.0312795609717336,48.247866190858346,-0.09029068470225443,-0.106605467350872,0.016314782648617562
2016-02-23,1.8959999999999997,1.982,2.2646,,,1.9454521260741746,2.0267403342330867,46.10103596515007,-0.08128820815891213,-0.10154201551248002,0.020253807353567882
2016-02-24,1.908,1.9795000000000003,2.256,,,1.9569210297550708,2.026241050215821,49.1470403260187,-0.06932002046075025,-0.09509761650213407,0.025777596041383813
