date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,94.784,,,,,,,,,,
2015-12-15,94.883,,,,,,,,,,
2015-12-16,95.122,,,,,95.12083333333334,,,,,
2015-12-17,95.081,,,,,94.83608974358975,,,,,
2015-12-18,94.515,,,,,94.24438362919133,,,,,
2015-12-21,93.921,,,,,93.71447845546959,,36.582694414019684,,,
2015-12-22,93.518,,,,,93.30763561616656,,37.57671255597939,,,
2015-12-23,93.271,,,,,93.06953782906402,,40.158149661195246,,,
2015-12-24,93.09299999999999,,,,,92.91268585536187,,41.25766106240785,,,
2015-12-28,92.963,,,,,92.77227264684467,,41.11738714607117,,,
2015-12-29,92.939,93.8615,,,,92.93653839348396,,48.10927649440715,,,
2015-12-30,92.624,93.7535,,,,93.02937864064027,,47.12670831568225,,,
2015-12-31,92.15299999999999,93.6375,,,,92.90332038823408,,42.9396637955268,,,
2016-01-04,91.89699999999999,93.489,,,,92.56588648235191,,38.75733058022849,,,
2016-01-05,91.924,93.21950000000001,,,,92.3649808696824,,41.025524551745534,,,
2016-01-06,91.832,92.8765,,,,91.98267612050049,,37.29337648507735,,,
2016-01-07,91.58200000000001,92.55,,,,91.45764902503886,93.20769230769231,34.12020697759701,-1.7500432826534507,,
2016-01-08,91.10799999999999,92.1895,,,,90.77493379041749,92.74934472934473,30.78276114901368,-1.9744109389272353,,
2016-01-11,90.544,91.8185,,,,90.10340551496864,92.27976363828216,29.55743383510621,-2.17635812331352,,
2016-01-12,90.059,91.511,,,,89.6490354357427,91.89978114655756,33.039597394174464,-2.2507457108148543,,
2016-01-13,89.26599999999999,91.10249999999999,,,,89.0737992148592,91.45609365421997,30.333684501438952,-2.382294439360763,,
2016-01-14,88.651,90.6375,,,,88.81475318180395,91.15490153168516,36.96895021754399,-2.340148349881204,,
2016-01-15,88.039,90.09599999999999,,,,88.39556038460334,90.77972364044922,33.91350517532253,-2.384163255845877,,
2016-01-19,87.566,89.7315,,,,88.02393571004899,90.4241885559715,33.660000778580496,-2.400252845922509,,
2016-01-20,86.934,89.429,,,,87.54948406234915,90.01795236664027,31.279349076452675,-2.4684683042911217,-2.236320583445615,-0.23214772084550672
2016-01-21,86.408,89.12,,,,87.09879420660313,89.61810404318544,30.563073588755188,-2.519309836582309,-2.292918434072954,-0.2263914025093552
2016-01-22,86.192,88.887,,,,86.99282586712573,89.3804667066532,38.9804903705512,-2.3876408395274638,-2.311862915163856,-0.07577792436360786
2016-01-25,86.064,88.586,,,,86.80008342602947,89.11080250616037,37.1644619238282,-2.3107190801308946,-2.3116341481572635,0.0009150680263689814
2016-01-26,86.026,88.285,,,,86.68160905279417,88.88259491311146,38.50000622741313,-2.2009858603172887,-2.2895044905892687,0.08851863027198004
2016-01-27,85.902,87.98049999999999,,,,86.56289996774892,88.66240269732543,38.13877306761472,-2.099502729576514,-2.251504138386718,0.15200140881020374
2016-01-28,85.92,87.59299999999999,,,,86.49014612655678,88.4718543493754,39.06238221430316,-1.9817082228186251,-2.1975449552730995,0.21583673245447432
2016-01-29,85.964,87.3075,,,,86.69627749170188,88.424309582755,47.259731797254645,-1.728032091053123,-2.103642382429104,0.3756102913759811
2016-02-01,86.113,87.076,,,,86.83223480067082,88.36176813218056,46.29610714473588,-1.5295333315097395,-1.9888205722452312,0.45928724073549176
2016-02-02,86.13499999999999,86.8505,,,,86.73496790825992,88.20163715942644,41.29118056860725,-1.4666692511665218,-1.8843903080294893,0.41772105686296745
2016-02-03,86.41499999999999,86.6745,,,,86.88958823006608,88.16744181428375,48.04166279453866,-1.2778535842176666,-1.7630829632671248,0.4852293790494582
2016-02-04,86.848,86.628,,,,87.20657465620975,88.22540908729977,52.648612712037085,-1.0188344310900135,-1.6142332568317026,0.5953988257416891
2016-02-05,87.494,86.84299999999999,,,,88.07787086294671,88.56945285861089,63.83583109508637,-0.49158199566417693,-1.3897030045981975,0.8981210089340206
2016-02-08,88.218,87.14099999999999,,,,88.83204457633953,88.89616005426934,64.0922024379177,-0.06411547792981764,-1.1245854992645217,1.060470021334704
2016-02-09,88.903,87.4645,,,,89.45480694921037,89.19125930950865,63.650444433086896,0.2635476397017129,-0.8469588714712748,1.1105065111729877
2016-02-10,89.595,87.7485,,,,89.97406741856261,89.46079565695246,63.41508775935505,0.5132717616101559,-0.5749127448549887,1.0881845064651445
2016-02-11,90.255,88.0875,90.6328,,,90.39190320032222,89.69999597865967,62.71581778361922,0.6919072216625466,-0.32154875155148166,1.0134559732140282
2016-02-12,90.852,88.408,90.59479999999999,,,90.91622578488803,90.00369998024044,65.92414511014715,0.9125258046475864,-0.07473384031166802,0.9872596449592543
2016-02-16,91.50899999999999,88.811,90.58720000000001,,,91.41372951028987,90.31083331503744,66.89158109834815,1.102896195252427,0.160792166801151,0.942104028451276
2016-02-17,92.38900000000001,89.262,90.6136,,,91.96546343178373,90.65817899540504,69.18003998466006,1.3072844363786942,0.3900906207166597,0.9171938156620345
2016-02-18,93.072,89.7435,90.57199999999999,,,92.36616136535547,90.94794351426393,66.66950589595689,1.4182178510915406,0.5957160667916359,0.8225017842999047
2016-02-19,93.535,90.19149999999999,90.5088,,,92.55290577068538,91.14291066135549,61.16591418955033,1.4099951093298984,0.7585718752992885,0.6514232340306099
2016-02-22,93.625,90.5595,90.4822,,,92.74015103673379,91.33750987162544,61.81737433297582,1.4026411651083492,0.8873857332611007,0.5152554318472485
2016-02-23,93.734,90.976,90.479,,,92.9447431849286,91.53991654780134,62.876330536791144,1.4048266371272575,0.9908739140343321,0.4139527230929254
2016-02-24,93.91199999999999,91.4075,90.4956,,,93.20862884878574,91.77103384055678,64.93596226986074,1.4375950082289535,1.0802181328732563,0.3573768753556972
2016-02-25,94.16,91.8775,90.5358,,,93.53191671820332,92.03317948199702,67.10147683098086,1.4987372362062956,1.1639219535398642,0.33481528266643146
2016-02-26,94.467,92.361,90.5694,,,93.87469876155666,92.30924026110836,68.54961177905133,1.565458500448301,1.2442292629215517,0.32122923752674937
