date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,35.948,,,,,,,,,,
2015-12-15,35.734,,,,,,,,,,
2015-12-16,35.674,,,,,35.94416666666667,,,,,
2015-12-17,35.614,,,,,35.857371794871796,,,,,
2015-12-18,35.342,,,,,35.563929980276136,,,,,
2015-12-21,35.096000000000004,,,,,35.31101767561827,,27.939464493597242,,,
2015-12-22,34.916999999999994,,,,,35.15547649475392,,31.21634327720318,,,
2015-12-23,34.870999999999995,,,,,35.111557034022546,,35.92328753698111,,,
2015-12-24,34.827,,,,,35.05439441340369,,35.32948199731332,,,
2015-12-28,34.843,,,,,35.00448758057235,,35.281170279077045,,,
2015-12-29,34.887,35.417500000000004,,,,35.02379718356122,,38.881424060597695,,,
2015-12-30,34.794,35.263999999999996,,,,34.96475146301334,,36.22309472826159,,,
2015-12-31,34.624,35.149,,,,34.90555893024206,,35.89943099490644,,,
2016-01-04,34.495000000000005,35.0545,,,,34.78008832558943,,33.28383110596312,,,
2016-01-05,34.539,34.9405,,,,34.72007473703721,,36.34190006795352,,,
2016-01-06,34.438,34.767,,,,34.44160170056995,,29.224934483314584,,,
2016-01-07,34.115,34.516,,,,33.922893746636106,35.00115384615385,23.154016504218376,-1.0782600995177418,,
2016-01-08,33.7,34.2855,,,,33.430140862538245,34.68403133903134,22.208947120816546,-1.2538904764930976,,
2016-01-11,33.235,34.031,,,,32.91627303753236,34.34373272132532,20.580580594171664,-1.4274596837929536,,
2016-01-12,32.795,33.819,,,,32.518384877912,34.04641918641233,22.89976495568402,-1.528034308500331,,
2016-01-13,32.190999999999995,33.539,,,,31.990941050540922,33.679277024455864,19.69903747102626,-1.688335973914942,,
2016-01-14,31.674,33.234,,,,31.603103965842315,33.36747872634802,23.239827793664517,-1.764374760505703,,
2016-01-15,31.110000000000003,32.867,,,,31.193395663405035,33.03951733921113,21.79625622628673,-1.8461216758060957,,
2016-01-19,30.557,32.525999999999996,,,,30.78825786903503,32.7077012400103,20.79870738330267,-1.919443370975273,,
2016-01-20,29.919,32.229,,,,30.36083358149118,32.35972337037991,19.413782552977366,-1.9988897888887323,-1.6116455709327633,-0.387244217955969
2016-01-21,29.463,31.950499999999998,,,,30.051474568954074,32.062706824425845,22.834475410387157,-2.0112322554717714,-1.6915629078405652,-0.31966934763120625
2016-01-22,29.231,31.673000000000002,,,,29.85124771219191,31.817321133727635,26.772627793160666,-1.9660734215357252,-1.7464650105795974,-0.21960841095612782
2016-01-25,28.889,31.2945,,,,29.458748064162386,31.482704753451515,22.324787099293957,-2.023956689289129,-1.801963346321504,-0.22199334296762507
2016-01-26,28.679999999999996,30.9575,,,,29.23432528506048,31.224726623566216,28.500354072972115,-1.9904013385057375,-1.8396509447583507,-0.15075039374738686
2016-01-27,28.421,30.607999999999997,,,,29.004429087358865,30.966598725524275,27.62192183262718,-1.9621696381654097,-1.8641546834397626,-0.09801495472564703
2016-01-28,28.222,30.2065,,,,28.711439996995963,30.68018400511507,25.53553744743769,-1.9687440081191063,-1.8850725483756314,-0.0836714597434749
2016-01-29,28.071999999999996,29.873,,,,28.59737230515043,30.479429634365808,32.94974635627702,-1.8820573292153782,-1.8844695045435809,0.0024121753282027036
2016-02-01,27.931,29.5205,,,,28.433161181281136,30.260953365153526,31.254819867318048,-1.8277921838723898,-1.8731340404093428,0.045341856536952996
2016-02-02,27.703999999999997,29.1305,,,,28.10344407646865,29.96680867143845,27.034286019379778,-1.8633645949697986,-1.8711801513214341,0.007815556351635555
2016-02-03,27.470999999999997,28.695000000000004,,,,27.730606526242706,29.649267288368936,25.22939859606217,-1.9186607621262297,-1.8806762734823934,-0.0379844886438363
2016-02-04,27.272000000000002,28.3675,,,,27.519743983743826,29.405617859600866,30.77752206140174,-1.8858738758570404,-1.8817157939573228,-0.004158081899717558
2016-02-05,26.884000000000004,28.057500000000005,,,,27.112091063167853,29.069646166297098,26.191486393620835,-1.9575551031292449,-1.8968836557917073,-0.0606714473375376
2016-02-08,26.49,27.6895,,,,26.534846284218954,28.646709413238053,22.52794780540232,-2.111863129019099,-1.9398795504371857,-0.17198357858191327
2016-02-09,26.022,27.351,,,,26.040254548185267,28.25213834559079,22.438411235008417,-2.211883797405523,-1.9942803998308531,-0.21760339757467007
2016-02-10,25.649,27.035000000000004,,,,25.727907694618303,27.937905875547028,27.771298626519354,-2.209998180928725,-2.0374239560504277,-0.17257422487829732
2016-02-11,25.291999999999998,26.756999999999998,31.308000000000003,,,25.38976804929241,27.61139432921021,26.410871512264563,-2.2216262799177997,-2.0742644208239023,-0.14736185909389743
2016-02-12,24.929,26.5005,31.040599999999998,,,25.228265272478193,27.369068823342786,32.42653767700024,-2.140803550864593,-2.087572246832041,-0.053231304032552273
2016-02-16,24.607999999999997,26.2695,30.7894,,,25.088532153635395,27.143211873465543,32.35620497440368,-2.0546797198301476,-2.080993741431662,0.026314021601514526
2016-02-17,24.563,26.133499999999998,30.586600000000004,,,25.204142591537643,27.046677660616243,42.55416984812318,-1.8425350690786004,-2.03330200696105,0.19076693788244947
2016-02-18,24.52,25.9955,30.3582,,,25.211197577454932,26.913590426496523,40.03139015851524,-1.7023928490415905,-1.967120175377158,0.2647273263355676
2016-02-19,24.39,25.831,30.131800000000002,,,25.187936411692636,26.776287431941224,39.224925021156395,-1.588351020248588,-1.8913663443514444,0.30301532410285636
2016-02-22,24.482,25.683,29.9258,,,25.280561579124537,26.70322910364928,43.90112445382753,-1.4226675245247442,-1.7976265803861045,0.37495905586136025
2016-02-23,24.726,25.607999999999997,29.7352,,,25.360475182336145,26.636323244119705,43.96472938960183,-1.2758480617835595,-1.6932708766655957,0.41742281488203625
2016-02-24,24.921,25.4715,29.537,,,25.3465559235152,26.53511411492565,41.29253088049472,-1.1885581914104506,-1.5923283396145667,0.40377014820411605
2016-02-25,25.091,25.37,29.3598,,,25.402470396820554,26.473994550857086,44.31831654085523,-1.0715241540365312,-1.4881675024989598,0.41664334846242856
