date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2019-06-03,,,,,,,,,,,
2019-06-04,,,,,,,,,,,
2019-06-05,,,,,,,,,,,
2019-06-06,,,,,,,,,,,
2019-06-07,,,,,,,,,,,
2019-06-10,,,,,,,,,,,
2019-06-11,,,,,,,,,,,
2019-06-12,,,,,,,,,,,
2019-06-13,,,,,,,,,,,
2019-06-14,25.927,,,,,,,,,,
2019-06-17,26.040999999999997,,,,,,,,,,
2019-06-18,25.996,,,,,26.043333333333333,,,,,
2019-06-19,25.910000000000004,,,,,26.213589743589743,,,,,
2019-06-20,25.936,,,,,26.35919132149901,,,,,
2019-06-21,26.026,,,,,26.490084964345318,,63.30376940133037,,,
2019-06-24,26.296,,,,,26.72391804675373,,66.50319165498988,,,
2019-06-25,26.568,,,,,26.869469116483927,,63.951238612937765,,,
2019-06-26,26.987000000000002,,,,,27.237243098563322,,69.78958403089644,,,
2019-06-27,27.447000000000003,,,,,27.596128775707427,,70.78311764107113,,,
2019-06-28,27.885,26.906,,,,27.899801271752438,,70.78311764107112,,,
2019-07-01,28.258,27.1495,,,,28.173677999175137,,71.17325879621788,,,
2019-07-02,28.427,27.2115,,,,28.29926599930204,,65.28430971717158,,,
2019-07-03,28.592000000000002,27.250999999999998,,,,28.37630199940942,,63.72083241073635,,,
2019-07-05,28.74,27.338,,,,28.4168709225772,,62.36631706751654,,,
2019-07-08,28.796000000000003,27.411,,,,28.317352319103783,,55.46254795010369,,,
2019-07-09,28.694,27.494999999999997,,,,28.113144270010892,27.268846153846155,50.10710379371168,0.8442981161647367,,
2019-07-10,28.576999999999998,27.5725,,,,27.864968228470754,27.211894586894587,47.034554404790924,0.6530736415761673,,
2019-07-11,28.294,27.640499999999996,,,,27.6442038856291,27.15397646934684,46.59498707121,0.4902274162822593,,
2019-07-12,28.096999999999998,27.772,,,,27.637403287840005,27.187015249395223,54.28519000774194,0.4503880384447818,,
2019-07-15,27.948,27.916500000000003,,,,27.705495089710773,27.253162267958537,57.01961571988729,0.4523328217522362,,
2019-07-16,27.766,28.012,,,,27.72926507590912,27.298113211072717,55.384444842248755,0.43115186483640144,,
2019-07-17,27.555,27.991000000000003,,,,27.59860891038464,27.267141862104367,48.6865823746529,0.33146704828027396,,
2019-07-18,27.339999999999996,27.966,,,,27.45266907801777,27.221427650096636,47.24257818615279,0.2312414279211339,,
2019-07-19,27.214999999999996,27.9775,,,,27.44302768139965,27.23391449083022,52.15898811625099,0.209113190569429,0.45481039620304664,-0.24569720563361763
2019-07-22,27.214,28.005000000000003,,,,27.491792653492013,27.272883787805757,54.44488360984293,0.2189088656862559,0.40763009009968854,-0.18872122441343264
2019-07-23,27.326999999999998,28.0105,,,,27.588439937570165,27.335633136857183,56.61689503945586,0.2528068007129818,0.3766654322223472,-0.12385863150936544
2019-07-24,27.508999999999997,28.043,,,,27.70098763948245,27.40854920079369,57.820108231828215,0.29243843868875885,0.3598200335156296,-0.06738159482687073
2019-07-25,27.668,27.981,,,,27.750066464177458,27.453841852586752,55.340730024176466,0.2962246115907057,0.3471009491306448,-0.05087633753993914
2019-07-26,27.756,27.926500000000004,,,,27.86236393122708,27.529853567209955,58.29387634880038,0.33251036401712497,0.3441828321079409,-0.011672468090815902
2019-07-29,27.826,27.887,,,,28.0035387110383,27.622457006675884,60.144873070832176,0.3810817043624155,0.35156260655883587,0.02951909780357964
2019-07-30,27.952999999999996,27.859500000000004,,,,28.176840447801638,27.734126858033225,62.24988965430336,0.44271358976841313,0.3697928032007513,0.07292078656766182
2019-07-31,28.214999999999996,27.885,,,,28.380403455832152,27.86493227595669,64.39104843865972,0.5154711798754619,0.3989284785356934,0.11654270133976846
2019-08-01,28.675,28.0075,,,,28.82187984724259,28.11567803329323,72.37266201997842,0.7062018139493631,0.46038314561842736,0.24581866833093574
2019-08-02,29.082000000000004,28.148500000000002,,,,29.227744486128348,28.36340558638262,73.15040339899464,0.8643388997457286,0.5411742964438876,0.32316460330184105
2019-08-05,29.296,28.255000000000003,,,,29.33116841133937,28.47722739479872,59.70441835401099,0.8539410165406487,0.6037276404632398,0.2502133760774089
2019-08-06,29.488999999999997,28.407999999999998,,,,29.441757886517927,28.593729069258075,60.457073525031525,0.848028817259852,0.6525878758225623,0.19544094143728974
2019-08-07,29.720999999999997,28.615,,,,29.62610282705363,28.74530469375748,63.35630763256022,0.8807981332961496,0.6982299273172797,0.1825682059788699
2019-08-08,30.080000000000002,28.874000000000002,,,,29.931317776737686,28.95750434607174,67.56659234112433,0.9738134306659454,0.7533466279870129,0.22046680267893248
2019-08-09,30.395,29.075499999999998,,,,30.192653503393426,29.155466987103466,67.64912791466105,1.0371865162899603,0.8101146056476024,0.22707191064235788
2019-08-12,30.471000000000004,29.148500000000002,28.0114,,,30.092245272102133,29.18395091398469,52.58857356918823,0.9082943581174412,0.8297505561415702,0.07854380197587096
2019-08-13,30.518,29.235499999999995,28.107200000000002,,,30.016515230240266,29.21476936480064,52.91266868063282,0.8017458654396243,0.824149618001181,-0.02240375256155669
2019-08-14,30.402000000000005,29.3085,28.119,,,29.7585898102033,29.149971634074667,45.82793223696213,0.6086181761286333,0.7810433296266716,-0.17242515349803822
2019-08-15,30.119,29.397,28.127200000000002,,,29.55265291632587,29.095899661180248,46.31938932819172,0.45675325514562104,0.7161853147304615,-0.2594320595848405
2019-08-16,29.996999999999996,29.539499999999997,28.194000000000003,,,29.658398621506507,29.180647834426154,56.08113310059094,0.47775078708035323,0.6684984092004399,-0.19074762212008667
2019-08-19,30.064,29.68,28.2792,,,29.798644987428585,29.283562809653844,57.58716608418635,0.5150821777747403,0.6378151629153,-0.12273298514055975
2019-08-20,30.085,29.787,28.378200000000003,,,29.86962268167034,29.355891490420227,55.656394654326185,0.5137311912501126,0.6129983685822625,-0.09926717733214996
2019-08-21,30.079,29.9,28.4908,,,29.9789114998749,29.446566194833544,57.249764649233505,0.5323453050413569,0.5968677558740815,-0.06452245083272456
2019-08-22,29.946999999999996,30.0135,28.5952,,,30.026771269124914,29.50904277299402,55.310116698472775,0.5177284961308928,0.5810399039254437,-0.06331140779455091
2019-08-23,29.689,30.041999999999994,28.676800000000004,,,29.87649876618262,29.475039604624094,47.84563139905412,0.40145916155852746,0.5451237554520605,-0.14366459389353303
2019-08-26,29.637,30.053999999999995,28.753400000000003,,,29.744729725231448,29.44133296724453,47.67798376582511,0.303396757986917,0.4967783559590318,-0.1933815979721148
2019-08-27,29.55,30.034,28.809,,,29.588617459811225,29.38864163633753,46.00004980195083,0.19997582347369658,0.4374178494619648,-0.23744202598826825
2019-08-28,29.633,30.017500000000002,28.8464,,,29.524214773686424,29.372445959571788,48.936399522210536,0.15176881411463583,0.3802880423924991,-0.22851922827786325
2019-08-29,29.762,29.940499999999997,28.897599999999997,,,29.552797116196203,29.397449962566473,52.360212266205366,0.15534715362973017,0.3352998646399453,-0.17995271101021515
2019-08-30,29.669999999999998,29.833499999999997,28.9408,,,29.51698217524294,29.39171292830229,49.76497032797266,0.12526924694065045,0.2932937411000864,-0.16802449415943593
2019-09-03,29.436,29.75,28.961199999999998,,,29.318984917513255,29.305660118798418,43.304604607299176,0.013324798714837272,0.23729995262303658,-0.2239751539081993
2019-09-04,29.253000000000004,29.669,28.9696,,,29.1822180071266,29.240796406294834,44.72258192966736,-0.058578399168233375,0.17812428226478258,-0.23670268143301595
2019-09-05,29.040999999999997,29.560000000000002,28.9854,,,29.07110754449174,29.182959635458182,44.945012312397424,-0.111852090966444,0.12012900761853726,-0.23198109858498125
2019-09-06,28.851000000000006,29.399,28.968000000000004,,,28.966321768416087,29.1242218846835,44.49510806408476,-0.15790011626741318,0.06452318284134717,-0.22242329910876035
2019-09-09,28.821000000000005,29.255000000000003,28.951600000000003,,,28.933041496352075,29.096501745077315,47.41068972240013,-0.16346024872524012,0.018926496528029718,-0.18238674525326984
2019-09-10,28.775000000000006,29.206,28.931400000000004,,,28.875650496913295,29.05676087507159,46.03623779001031,-0.18111037815829434,-0.021080878409235095,-0.16002949974905925
2019-09-11,28.829,29.189500000000002,28.9232,,,28.936319651234328,29.072556365807028,51.67419541465141,-0.13623671457269992,-0.04411204564192806,-0.09212466893077187
2019-09-12,28.901999999999997,29.267500000000002,28.941399999999998,,,29.084578166429047,29.13384848685836,56.06089302024704,-0.049270320429311454,-0.04514370059940474,-0.004126619829906711
2019-09-13,28.943,29.352500000000003,28.9678,,,29.24387383313227,29.206896747091072,57.51132900506567,0.03697708604119754,-0.02871954327128429,0.06569662931248182
2019-09-16,28.951000000000004,29.3105,28.983,,,29.267893243419614,29.221200691750994,51.517595569792775,0.0466925516686203,-0.013637124283303374,0.06032967595192367
2019-09-17,29.026,29.231,29.007199999999997,,,29.223601975201213,29.203333973843513,48.351969138318765,0.02026800135769946,-0.006856099155102808,0.02712410051280227
2019-09-18,29.098000000000003,29.1755,29.0504,,,29.212278594401027,29.199383309114364,49.69926423740867,0.012895285286663949,-0.002905822266749457,0.015801107553413407
2019-09-19,29.166000000000004,29.103499999999997,29.1032,,,29.201158810647023,29.194984545476263,49.61727108229859,0.006174265170759696,-0.0010898047792476263,0.0072640699500073225
2019-09-20,29.219,29.035000000000004,29.153,,,29.15790360900902,29.17461531988543,47.75082320466587,-0.01671171087641099,-0.0042141859986802995,-0.01249752487773069
2019-09-23,29.232,29.026500000000006,29.178600000000003,,,29.115149207623016,29.152791962856877,47.401683889838374,-0.03764275523386118,-0.010899899845716477,-0.026742855388144703
2019-09-24,29.2,28.9875,29.181800000000003,,,28.980510867988706,29.085177743385998,42.097930687384995,-0.10466687539729236,-0.029653294956031653,-0.0750135804412607
2019-09-25,29.093,28.961000000000002,29.1886,,,28.86043227291352,29.0196090216537,41.783259805483524,-0.15917674874017962,-0.055557985712861246,-0.10361876302731837
2019-09-26,28.867,28.884499999999996,29.2038,,,28.672673461696057,28.917415760790462,37.55137032212741,-0.2447422990944048,-0.09339484838916996,-0.15134745070523486
2019-09-27,28.635,28.789000000000005,29.226799999999997,,,28.538416006050507,28.834644222954132,39.43868338321666,-0.296228216903625,-0.13396152209206097,-0.16226669481156403
2019-09-30,28.494999999999997,28.723000000000003,29.238999999999997,,,28.455582774350432,28.772818724957528,41.806196909905196,-0.3172359506070954,-0.17061640779506787,-0.14661954281202755
