date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,79.588,,,,,,,,,,
2015-12-15,79.433,,,,,,,,,,
2015-12-16,79.654,,,,,79.65750000000001,,,,,
2015-12-17,79.822,,,,,79.7025,,,,,
2015-12-18,79.65700000000001,,,,,79.57596153846153,,,,,
2015-12-21,79.405,,,,,79.43504437869822,,42.23938223938224,,,
2015-12-22,79.251,,,,,79.3804221665908,,44.18871606497159,,,
2015-12-23,79.23100000000001,,,,,79.4772802948076,,48.345707666093254,,,
2015-12-24,79.327,,,,,79.53923717252951,,47.80964234193096,,,
2015-12-28,79.56,,,,,79.7116622229096,,51.29891092954295,,,
2015-12-29,79.857,79.7225,,,,79.97756034246196,,54.56985370537989,,,
2015-12-30,80.099,79.76599999999999,,,,80.21793567439089,,54.987260771106364,,,
2015-12-31,80.029,79.84150000000001,,,,80.21363787833074,,48.50771015463996,,,
2016-01-04,79.94800000000001,79.88499999999999,,,,80.04846282012602,,44.15004216879965,,,
2016-01-05,80.05499999999999,79.856,,,,80.03331469395278,,48.02874885884753,,,
2016-01-06,80.148,79.77650000000001,,,,79.96511243334466,,46.48361485868181,,,
2016-01-07,80.112,79.6815,,,,79.77355667436856,79.75307692307692,42.89235979611548,0.020479751291645698,,
2016-01-08,79.949,79.59,,,,79.55916333985033,79.6513675213675,41.54161265570232,-0.09220418151717524,,
2016-01-11,79.876,79.60150000000002,,,,79.4962151337195,79.6142291864514,45.711269315783014,-0.11801405273189403,,
2016-01-12,79.77000000000001,79.66499999999999,,,,79.51218203622419,79.61317517264018,48.043645551876295,-0.10099313641599394,,
2016-01-13,79.651,79.75399999999999,,,,79.6256924921897,79.66034738207425,51.29839611300968,-0.03465488988454979,,
2016-01-14,79.62899999999999,79.864,,,,79.88635518569897,79.78328461303171,56.16630282665698,0.1030705726672636,,
2016-01-15,79.664,79.84649999999999,,,,79.98691592636068,79.839337604659,52.07969533955354,0.14757832170168683,,
2016-01-19,79.973,79.9605,,,,80.33200578384366,80.01642370801758,59.03446164034448,0.3155820758260717,,
2016-01-20,79.997,80.026,,,,80.3101587401754,80.0292812111274,49.66451140949201,0.28087752904799856,0.05796910999833926,0.2229084190496593
2016-01-21,79.963,80.0555,,,,80.14705739553303,79.97155667696981,46.03845320962238,0.1755007185632138,0.08147543171131418,0.09402528685189963
2016-01-22,80.224,80.16799999999999,,,,80.32904856545102,80.07218210830538,54.0355262101018,0.25686645714563383,0.11655363679817812,0.1403128203474557
2016-01-25,80.462,80.2055,,,,80.39534878615086,80.12313158176424,51.7712394009582,0.2722172043866209,0.1476863503158667,0.1245308540707542
2016-01-26,80.717,80.29650000000001,,,,80.59606435751226,80.2399366497817,55.11181839209348,0.3561277077305647,0.1893746217988063,0.1667530859317584
2016-01-27,80.957,80.3635,,,,80.81205445635652,80.37031171276084,56.15559582096929,0.44174274359568244,0.23984824615818154,0.2018944974375009
2016-01-28,81.25699999999999,80.454,,,,81.18712300153244,80.58362195626005,60.29807984121377,0.6035010452723952,0.3125788059810243,0.29092223929137095
2016-01-29,81.626,80.6275,,,,81.7752579243736,80.9115018113519,65.27315189289148,0.863756113021708,0.42281426738916106,0.4409418456325469
2016-02-01,82.103,80.8835,,,,82.3190643975469,81.23731649199249,66.05400558632974,1.0817479055544084,0.5546009950222105,0.5271469105321979
2016-02-02,82.502,81.2375,,,,82.91920833638584,81.6064041592523,68.37682074806945,1.312804177133529,0.7062416314444743,0.6065625456890548
2016-02-03,83.19200000000001,81.59450000000001,,,,83.56086859232647,82.01259644375213,70.4580853574061,1.5482721485743411,0.8746477348704477,0.6736244137038935
2016-02-04,83.928,81.94550000000001,,,,84.02996573196855,82.35314485532605,67.80653435293826,1.6768208766424948,1.0350823632248571,0.6417385134176377
2016-02-05,84.44,82.33200000000001,,,,84.40227869628107,82.65661560678338,66.90272591830026,1.7456630894976968,1.1771985084794252,0.5684645810182716
2016-02-08,84.986,82.724,,,,84.68192812762244,82.92057000628091,65.55012126132192,1.7613581213415301,1.2940304310518462,0.4673276902896839
2016-02-09,85.501,83.109,,,,85.01547764644975,83.21163889470455,67.48901744983995,1.8038387517452037,1.3959920951905178,0.4078466565546859
2016-02-10,85.88000000000001,83.4185,,,,85.13463493161133,83.40262860620791,61.24338992716541,1.7320063254034181,1.4631949412330978,0.26881138417032036
2016-02-11,85.96300000000001,83.61,81.2632,,,84.97238340367113,83.45280426500733,52.760786491577086,1.5195791386638007,1.4744717807192385,0.04510735794456222
2016-02-12,85.834,83.73,81.3242,,,84.77970903387556,83.47259654167345,51.154421632421055,1.3071124922021085,1.4409999230158124,-0.1338874308137039
2016-02-16,85.757,83.93,81.4414,,,84.74283072097164,83.55166346451246,54.54890234305228,1.191167256459181,1.3910333897044862,-0.1998661332453051
2016-02-17,85.55699999999999,84.02950000000001,81.5604,,,84.66239522543754,83.60116987454857,53.00096743253282,1.0612253508889609,1.3250717819413813,-0.26384643105242045
2016-02-18,85.36200000000001,84.277,81.6526,,,84.73587288306253,83.71515729124869,56.796784569112155,1.0207155918138398,1.264200543915873,-0.24348495210203325
2016-02-19,85.173,84.5505,81.7234,,,84.73343090105291,83.78959008448953,54.62770508708632,0.9438408165633803,1.2001285984453745,-0.2562877818819942
2016-02-22,85.067,84.7535,81.8188,,,84.83444153166016,83.90813896711994,57.42124493949643,0.9263025645402223,1.1453633916643442,-0.2190608271241219
2016-02-23,85.021,85.0035,81.9298,,,84.97683514217398,84.04531385844439,58.925254547118975,0.9315212837295945,1.1025949700773943,-0.17107368634779974
2016-02-24,84.94200000000001,85.2215,82.07260000000001,,,85.14347588953183,84.19454986892998,60.15423241749921,0.9489260206018457,1.0718611801822846,-0.12293515958043888
2016-02-25,85.06,85.47,82.2454,,,85.42447959883462,84.40013876752776,63.702011447708905,1.0243408313068585,1.0623571104071994,-0.03801627910034089
2016-02-26,85.08099999999999,85.522,82.3618,,,85.24994427593698,84.39198034030349,49.67436593727293,0.8579639356334923,1.021478475452458,-0.1635145398189657
