date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2017-04-03,,,,,,,,,,,
2017-04-04,,,,,,,,,,,
2017-04-05,,,,,,,,,,,
2017-04-06,,,,,,,,,,,
2017-04-07,,,,,,,,,,,
2017-04-10,,,,,,,,,,,
2017-04-11,,,,,,,,,,,
2017-04-12,,,,,,,,,,,
2017-04-13,,,,,,,,,,,
2017-04-17,73.83200000000001,,,,,,,,,,
2017-04-18,74.576,,,,,,,,,,
2017-04-19,75.161,,,,,74.08,,,,,
2017-04-20,75.531,,,,,74.29692307692306,,,,,
2017-04-21,75.695,,,,,74.60816568047336,,,,,
2017-04-24,75.67699999999999,,,,,74.77460172963131,,74.68112244897958,,,
2017-04-25,75.819,,,,,74.98312454045727,,75.42380952380951,,,
2017-04-26,76.005,,,,,75.16110538038691,,75.44144130953602,,,
2017-04-27,75.97999999999999,,,,,75.27170455263509,,73.95580657662438,,,
2017-04-28,75.863,,,,,75.28221154453738,,70.83576933730254,,,
2017-05-01,75.803,74.8175,,,,75.45417899922393,,73.22376634157034,,,
2017-05-02,75.962,75.26899999999999,,,,75.68892069165102,,74.45623253890184,,,
2017-05-03,76.164,75.6625,,,,75.93216366216625,,75.07401079433988,,,
2017-05-04,76.371,75.951,,,,76.18260002183297,,75.70674037833616,,,
2017-05-05,76.578,76.1365,,,,76.52220001847405,,77.46953106393218,,,
2017-05-08,76.85,76.2635,,,,76.81263078486266,,77.51187631999298,,,
2017-05-09,77.137,76.478,,,,77.14914912565303,75.53692307692307,78.77896715409665,1.6122260487299513,,
2017-05-10,77.48400000000001,76.74449999999999,,,,77.52774156786025,75.83863247863248,80.03169908591258,1.6891090892277703,,
2017-05-11,77.838,76.909,,,,77.8188582497279,76.10391896169673,78.47771548484381,1.714939288031161,,
2017-05-12,78.26599999999999,77.0645,,,,78.095956980539,76.36436940897846,78.94124580560126,1.7315875715605387,,
2017-05-15,78.679,77.24100000000001,,,,78.47042513737915,76.67293463794303,80.95148184903928,1.7974904994361225,,
2017-05-16,79.03999999999999,77.501,,,,78.79651357778235,76.96308762772503,81.07972564113795,1.8334259500573182,,
2017-05-17,79.191,77.6775,,,,78.7939730273543,77.09767372937503,66.52862867526005,1.696299297979266,,
2017-05-18,79.247,77.809,,,,78.69028486929979,77.17340160127317,62.148713955140614,1.5168832680266178,,
2017-05-19,79.215,77.8965,,,,78.59485642786905,77.23981629747516,61.81668683407136,1.3550401303938884,1.6607779048269593,-0.30573777443307093
2017-05-22,79.22200000000001,78.036,,,,78.57718620819688,77.33168175692144,63.536942631157785,1.245504451275437,1.5777232141166548,-0.3322187628412179
2017-05-23,79.149,78.143,,,,78.5299267915512,77.40118681196431,61.996288223790046,1.1287399795868964,1.4879265672107034,-0.35918658762380695
2017-05-24,78.98299999999999,78.2335,,,,78.44070728515871,77.4418396407077,59.62374814069816,0.9988676444510105,1.3901147826587648,-0.39124713820775425
2017-05-25,78.905,78.3715,,,,78.4713677028266,77.53059225991454,62.91896160079552,0.9407754429120558,1.300246914709423,-0.35947147179736727
