date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,54.102,,,,,,,,,,
2015-12-15,53.315,,,,,,,,,,
2015-12-16,52.801,,,,,53.6325,,,,,
2015-12-17,52.251999999999995,,,,,53.09365384615384,,,,,
2015-12-18,51.621,,,,,52.57770710059172,,,,,
2015-12-21,51.221000000000004,,,,,52.29036754665453,,21.874999999999986,,,
2015-12-22,51.102000000000004,,,,,52.21646484716922,,28.067737286390766,,,
2015-12-23,51.163,,,,,52.380085639912416,,35.433370294552475,,,
2015-12-24,51.274,,,,,52.51391861838743,,35.35380729490578,,,
2015-12-28,51.446000000000005,,,,,52.52562344632783,,33.568012011391716,,,
2015-12-29,51.71600000000001,52.909000000000006,,,,52.61091214689278,,36.14679621715363,,,
2015-12-30,51.916999999999994,52.616,,,,52.60769489352466,,34.696335264843924,,,
2015-12-31,51.922000000000004,52.3615,,,,52.52035721759779,,33.09124087521302,,,
2016-01-04,52.13099999999999,52.1915,,,,52.47414841489044,,34.164662977003516,,,
2016-01-05,52.342,51.981500000000004,,,,52.378125581830375,,32.992946433417316,,,
2016-01-06,52.363,51.791999999999994,,,,52.15379856924108,,30.190238323821006,,,
2016-01-07,52.154999999999994,51.628499999999995,,,,51.780906481665525,52.5973076923077,27.02653445754494,-0.8164012106421765,,
2016-01-08,51.74400000000001,51.4535,,,,51.37922856140929,52.343433048433056,25.663607035743894,-0.964204487023764,,
2016-01-11,51.334,51.303999999999995,,,,51.036270321192475,52.106882452252826,25.61392662454051,-1.0706121310603507,,
2016-01-12,51.07,51.258,,,,50.869151810239785,51.94711338171558,31.339501665560647,-1.0779615714757966,,
2016-01-13,50.605000000000004,51.1605,,,,50.49389768558751,51.68658646455146,27.0752889459702,-1.192688778963948,,
2016-01-14,50.178,51.0475,,,,50.15945188780482,51.4372096893995,26.79118809865571,-1.2777578015946816,,
2016-01-15,49.760000000000005,50.840999999999994,,,,49.80569005891177,51.17223119388843,25.582292705728563,-1.3665411349766572,,
2016-01-19,49.346999999999994,50.739,,,,49.541737742156116,50.943917772118915,27.3475249454751,-1.4021800299627998,,
2016-01-20,48.913,50.6275,,,,49.22916270490133,50.6895534927027,25.692456224839432,-1.4603907878013729,-1.1809708815001718,-0.27941990630120106
2016-01-21,48.599000000000004,50.48100000000001,,,,49.00621459645497,50.47403101176176,27.88057412297944,-1.4678164153067925,-1.238339988261496,-0.22947642704529647
2016-01-22,48.477,50.316,,,,48.92987388930805,50.328547233112744,33.57576341805084,-1.3986733438046954,-1.270406659370136,-0.12826668443455946
2016-01-25,48.287,50.0155,,,,48.67450867556835,50.1019881788081,29.33771685426413,-1.427479503239752,-1.3018212281440593,-0.12565827509569272
2016-01-26,48.274,49.804,,,,48.72766118701937,50.021840906303794,40.71164050061929,-1.294179719284422,-1.300292926372132,0.006113207087709904
2016-01-27,48.223,49.646499999999996,,,,48.83725177363178,49.97874157991092,43.07966407907567,-1.1414898062791394,-1.2685323023535333,0.12704249607439388
2016-01-28,48.399,49.501999999999995,,,,49.04536688538073,49.99439035176937,47.13981280053984,-0.9490234663886383,-1.2046305351605544,0.2556070687719161
2016-01-29,48.618,49.398,,,,49.27069505686062,50.032583659045706,48.817344368077464,-0.7618886021850884,-1.1160821485654613,0.3541935463803729
2016-02-01,48.854,49.307,,,,49.41674197118976,50.046466350968245,47.35077765510321,-0.6297243797784873,-1.0188105948080666,0.3890862150295793
2016-02-02,48.94500000000001,49.146,,,,49.35262782177595,49.96895032497059,41.67816903078231,-0.6163225031946453,-0.9383129764853824,0.32199047329073704
2016-02-03,49.442,49.1775,,,,49.83376200304119,50.1549540046024,57.367399062777835,-0.3211920015612151,-0.814888781500549,0.4936967799393339
2016-02-04,50.1,49.34949999999999,,,,50.53010631026562,50.46643889315037,63.136754985386844,0.06366741711525492,-0.6391775417773882,0.7028449588926431
2016-02-05,50.714999999999996,49.596000000000004,,,,51.16547457022475,50.77707304921331,63.97455986887351,0.38840152101144554,-0.43366172921962143,0.822063250231067
2016-02-08,51.499,49.893,,,,51.77232463634402,51.09803060112343,65.25033997894022,0.6742940352205835,-0.21207057633158047,0.886364611552164
2016-02-09,52.044999999999995,50.159499999999994,,,,52.188890076906475,51.34854685289206,61.94305317074971,0.8403432240144113,-0.001587816262382108,0.8419310402767934
2016-02-10,52.471000000000004,50.346999999999994,,,,52.42136852661317,51.52272856749265,58.0218496348291,0.8986399591205227,0.17845773881419888,0.7201822203063238
2016-02-11,52.762,50.5805,51.5168,,,52.52577336867269,51.639563488419114,55.1307566379562,0.8862098802535741,0.3200081671020739,0.5662017131515001
2016-02-12,53.13099999999999,50.8745,51.4318,,,52.7833466965692,51.82922545223992,59.14953129160469,0.9541212443292792,0.446830782547515,0.5072904617817642
2016-02-16,53.590999999999994,51.222500000000004,51.385600000000004,,,53.09667797402009,52.05076430762956,61.255898982415005,1.0459136663905326,0.5666473593161185,0.4792663070744141
2016-02-17,54.291999999999994,51.618500000000004,51.3934,,,53.54488136263239,52.344041025582925,64.98753894019653,1.2008403370494634,0.6934859548627875,0.5073543821866758
2016-02-18,54.664,52.053,51.3964,,,53.953361152996635,52.629667616280486,65.55793258983695,1.3236935367161493,0.8195274712334599,0.5041660654826894
2016-02-19,54.82899999999999,52.4645,51.422399999999996,,,54.26976712945869,52.88006260766712,64.4275937829737,1.3897045217915718,0.9335628813450823,0.4561416404464895
2016-02-22,55.13100000000001,52.923,51.516000000000005,,,54.794418340311196,53.23561352561771,69.41860192394816,1.558804814693488,1.0586112680147635,0.5001935466787246
2016-02-23,55.275,53.387,51.593599999999995,,,55.06450782641717,53.481123634831214,62.979559188870475,1.5833841915859566,1.1635658527290023,0.4198183388569543
2016-02-24,55.50699999999999,53.775999999999996,51.686800000000005,,,55.33150662235299,53.72696632854742,63.7800196839334,1.6045402938055702,1.2517607409443159,0.3527795528612543
2016-02-25,55.864999999999995,54.16799999999999,51.815,,,55.63127483429868,53.99015400791428,65.33004061369286,1.6411208263844017,1.329632758032333,0.31148806835206866
