date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,37.035000000000004,,,,,,,,,,
2015-12-15,36.799,,,,,,,,,,
2015-12-16,36.695,,,,,36.858333333333334,,,,,
2015-12-17,36.53,,,,,36.65243589743589,,,,,
2015-12-18,36.291999999999994,,,,,36.438214990138064,,,,,
2015-12-21,36.066,,,,,36.30156653011682,,34.45040214477211,,,
2015-12-22,35.928,,,,,36.29517167932962,,40.54433221099889,,,
2015-12-23,35.879,,,,,36.38514526712506,,45.324450207743446,,,
2015-12-24,35.864999999999995,,,,,36.476661379875054,,46.07747379494911,,,
2015-12-28,36.016999999999996,,,,,36.55255962912504,,46.00923283987585,,,
2015-12-29,36.263,36.649,,,,36.661396609259654,,48.39606529166667,,,
2015-12-30,36.443,36.620999999999995,,,,36.76118174629663,,48.816202964862995,,,
2015-12-31,36.516,36.6055,,,,36.82407686225099,,47.64648176459148,,,
2016-01-04,36.644,36.587,,,,36.82037272959699,,44.60450782839958,,,
2016-01-05,36.812,36.552,,,,36.838776925043604,,46.00911881677174,,,
2016-01-06,36.85,36.458,,,,36.69896509042151,,38.43712058336031,,,
2016-01-07,36.714,36.321,,,,36.42220123035666,36.61653846153846,32.55326876749642,-0.19433723118179813,,
2016-01-08,36.381,36.129999999999995,,,,35.9803241179941,36.38938746438747,26.769265138678364,-0.40906334639336706,,
2016-01-11,36.003,35.934,,,,35.55258194599501,36.153136541099514,25.504056429512772,-0.600554595104505,,
2016-01-12,35.621,35.819,,,,35.18295395430347,35.93068198249955,25.31994736747413,-0.7477280281960788,,
2016-01-13,35.141000000000005,35.702,,,,34.764037961333706,35.67359442824032,22.866741693275642,-0.909556466906615,,
2016-01-14,34.727000000000004,35.584999999999994,,,,34.51880135189775,35.48814298911141,30.345263384845495,-0.9693416372136596,,
2016-01-15,34.262,35.388999999999996,,,,34.21129345160579,35.26828054547353,27.697638166858212,-1.0569870938677397,,
2016-01-19,33.811,35.227500000000006,,,,33.91570984366644,35.04766717173475,26.806381176444518,-1.1319573280683102,,
2016-01-20,33.352,35.082,,,,33.674831406179294,34.84783997382848,27.462123398172324,-1.173008567649184,-0.7991704771756952,-0.3738380904734887
2016-01-21,33.071999999999996,34.961,,,,33.59101118984402,34.7205925683597,35.546300405656766,-1.129581378515681,-0.8652526574436924,-0.26432872107198857
2016-01-22,32.966,34.839999999999996,,,,33.62931716063725,34.65536348922195,41.89431650171594,-1.0260463285846981,-0.8974113916718937,-0.12863493691280448
2016-01-25,32.931,34.656,,,,33.56326836669306,34.54755878631662,38.238400606884895,-0.9842904196235622,-0.9147871972622275,-0.06950322236133477
2016-01-26,32.995000000000005,34.499,,,,33.6058424641249,34.49514702436724,43.54401585396821,-0.8893045602423442,-0.9096906698582509,0.0203861096159067
2016-01-27,33.05500000000001,34.338,,,,33.62802054656722,34.43995094848819,42.9848001621538,-0.8119304019209679,-0.8901386162707943,0.07820821434982639
2016-01-28,33.197,34.169,,,,33.66678661632611,34.39847310045203,44.10150024490512,-0.7316864841259232,-0.8584481898418201,0.12676170571589696
2016-01-29,33.398,34.0625,,,,33.89958867535286,34.456363981900026,53.83822847053703,-0.5567753065471663,-0.7981136131828894,0.2413383066357231
2016-02-01,33.655,33.9585,,,,34.082728879144724,34.503299983240765,53.148014444039,-0.4205711040960409,-0.7226051113655197,0.3020340072694788
2016-02-02,33.839,33.825,,,,34.09000135927631,34.47564813263034,46.32574539580187,-0.38564677335403275,-0.6552134437632224,0.2695666704091897
2016-02-03,34.026,33.68900000000001,,,,34.110001150156876,34.456711233916984,47.012452557062105,-0.34671008376010803,-0.5935127717625995,0.2468026880024915
2016-02-04,34.227000000000004,33.6495,,,,34.2684625116712,34.5073252165898,53.554044601244925,-0.23886270491859563,-0.5225827583937988,0.2837200534752031
2016-02-05,34.312,33.638999999999996,,,,34.333314432952555,34.52085668202759,50.284034292145435,-0.1875422490750367,-0.45557465653004636,0.26803240745500967
2016-02-08,34.42700000000001,33.679,,,,34.335881443267546,34.50820063150703,47.90401829034438,-0.17231918823948433,-0.398923562871934,0.22660437463244965
2016-02-09,34.438,33.7165,,,,34.27651506738023,34.46685243658058,45.19385823646962,-0.19033736920034983,-0.35720632413761716,0.16686895493726733
2016-02-10,34.51,33.782500000000006,,,,34.306281980090965,34.46708558942646,49.216176463249646,-0.16080360933549542,-0.3179257811771928,0.15712217184169736
2016-02-11,34.506,33.8515,35.2284,,,34.234546290846204,34.4206348050245,44.915241950710836,-0.18608851417829442,-0.29155832777741314,0.10546981359911872
2016-02-12,34.424,33.911,35.1582,,,34.25384686148525,34.416143337985645,48.88573598948383,-0.16229647650039425,-0.2657059575220094,0.10340948102161512
2016-02-16,34.438,34.0465,35.1132,,,34.4040242674106,34.47642901665338,54.76099166670316,-0.07240474924277862,-0.22704571586616323,0.1546409666233846
2016-02-17,35.131,34.485,35.191,,,35.428020533962815,34.96410094134572,75.2725324567494,0.4639195926170956,-0.08885265416951148,0.5527722467866071
2016-02-18,35.786,34.906,35.2536,,,36.24986352873777,35.39416753828308,73.48763365401685,0.8556959904546915,0.10005707475532911,0.7556389156993624
2016-02-19,36.269,35.248000000000005,35.2968,,,36.822192216624266,35.73311809100285,68.65144300160348,1.0890741256214156,0.29786048492854644,0.7912136406928691
2016-02-22,36.898,35.605000000000004,35.3636,,,37.46185495252822,36.12177601018782,71.2260160436517,1.3400789423403978,0.5063041764109167,0.8337747659294811
2016-02-23,37.537,35.982,35.431,,,37.96618495983157,36.46386667609984,69.75990093481732,1.5023182837317322,0.7055069978750799,0.7968112858566523
2016-02-24,38.202,36.32,35.500600000000006,,,38.37138727370364,36.77024692231467,68.86935381865769,1.6011403513889704,0.884633668577858,0.7165066828111124
2016-02-25,38.786,36.648,35.5978,,,38.66963538544154,37.032450853995066,66.96241482685562,1.6371845314464721,1.035143841151581,0.6020406902948912
2016-02-26,39.442,36.974000000000004,35.7098,,,38.93584532614284,37.281898938884325,67.26534860826497,1.6539463872585145,1.1589043503729677,0.4950420368855468
