date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,123.13699999999999,,,,,,,,,,
2015-12-15,122.88,,,,,,,,,,
2015-12-16,122.66399999999999,,,,,123.01166666666667,,,,,
2015-12-17,122.732,,,,,122.80679487179488,,,,,
2015-12-18,122.434,,,,,122.64574950690337,,,,,
2015-12-21,122.41099999999999,,,,,122.9279418904567,,47.98464491362766,,,
2015-12-22,122.33500000000001,,,,,123.1451815996172,,47.63998827323367,,,
2015-12-23,122.51199999999999,,,,,123.37669212275301,,48.521700570921816,,,
2015-12-24,122.723,,,,,123.58027795002178,,48.67183348283941,,,
2015-12-28,123.046,,,,,123.70638903463382,,47.77159537033087,,,
2015-12-29,123.598,123.36749999999999,,,,123.93617533699785,,50.40588342715102,,,
2015-12-30,123.742,123.31099999999999,,,,123.97522528515202,,47.17107652779975,,,
2015-12-31,123.90400000000002,123.28399999999999,,,,123.9236521643594,,45.46017796819985,,,
2016-01-04,124.025,123.3785,,,,123.76462875445796,,43.161248088952135,,,
2016-01-05,124.049,123.24150000000002,,,,123.49314740761828,,40.54122631121214,,,
2016-01-06,123.68500000000002,123.048,,,,123.08497088336932,,37.35813727890588,,,
2016-01-07,123.10999999999999,122.7225,,,,122.3934369013125,123.0576923076923,32.09443984524742,-0.6642554063798087,,
2016-01-08,122.27000000000001,122.391,,,,121.44829276264903,122.55341880341881,27.72004781702678,-1.1051260407697754,,
2016-01-11,121.36200000000001,122.04249999999999,,,,120.5516323376261,122.03983222538778,26.66624549860208,-1.4881998877616809,,
2016-01-12,120.434,121.74000000000001,,,,119.71599659337593,121.52725206054424,25.827066898584278,-1.8112554671683085,,
2016-01-13,119.09099999999998,121.34450000000001,,,,118.4935355790104,120.80449264865209,21.047822982999264,-2.310957069641688,,
2016-01-14,117.84100000000001,120.7915,,,,117.44683779762418,120.12934504504824,20.948131224314565,-2.6825072474240557,,
2016-01-15,116.58399999999999,120.244,,,,116.46578582875892,119.45828244911874,20.15152026571718,-2.992496620359816,,
2016-01-19,115.28800000000001,119.65649999999998,,,,115.46028031664217,118.75248374918402,18.740358713148296,-3.2922034325418537,,
2016-01-20,114.05700000000002,119.053,,,,114.5725448833126,118.08118865665188,18.447473869985572,-3.508643773339273,-2.2061827717095843,-1.3024610016296885
2016-01-21,112.873,118.279,,,,113.7152302858799,117.4085080154184,17.596029624233154,-3.693277729538508,-2.5036017632753693,-1.1896759662631387
2016-01-22,112.30999999999999,117.71,,,,113.59904101112915,117.0789889031652,35.88567103345498,-3.4799478920360514,-2.6988709890275056,-0.7810769030085458
2016-01-25,111.78399999999999,117.027,,,,113.19765008634005,116.62795268811591,32.072034593786526,-3.430302601775864,-2.8451573115771778,-0.5851452901986862
2016-01-26,111.492,116.42699999999999,,,,113.12108853459543,116.33699322973695,38.21034125445244,-3.2159046951415178,-2.919306788290046,-0.2965979068514719
2016-01-27,111.26199999999999,115.848,,,,113.07476722158076,116.07647521271939,38.62945295765764,-3.0017079911386304,-2.935787028859763,-0.06592096227886746
2016-01-28,111.06400000000001,115.07750000000001,,,,112.56941841826064,115.61081038214758,32.61404924018136,-3.0413919638869373,-2.956908015865198,-0.08448394802173942
2016-01-29,111.13,114.4855,,,,112.53566173852823,115.36926887235887,40.97683103547845,-2.8336071338306397,-2.9322478394582863,0.0986407056276466
2016-02-01,111.25,113.917,,,,112.49479070183158,115.13969340033229,40.806401676646665,-2.644902698500715,-2.874778811266772,0.2298761127660569
2016-02-02,111.18999999999998,113.23899999999999,,,,112.00789982462672,114.70934574104842,35.038776820364674,-2.7014459164217044,-2.8401122322977588,0.13866631587605438
2016-02-03,111.106,112.58149999999998,,,,111.52206908237645,114.27532013060039,34.18913590239892,-2.7532510482239445,-2.822739995482996,0.06948894725905141
2016-02-04,111.03900000000002,111.95600000000002,,,,111.03098153124161,113.83492604685222,33.24853416730663,-2.8039445156106098,-2.818980899508519,0.015036383897909289
2016-02-05,110.35999999999999,111.335,,,,110.28313821874289,113.26715374708539,29.60503764356544,-2.9840155283424963,-2.8519878252753146,-0.1320277030671817
2016-02-08,109.35499999999999,110.56949999999999,,,,108.84573233893629,112.35403124730128,23.025592248023315,-3.508298908364992,-2.98325004189325,-0.5250488664717419
2016-02-09,108.338,109.915,,,,107.87408120986916,111.62632522898267,28.246509619259697,-3.7522440191135047,-3.137048837337301,-0.6151951817762038
2016-02-10,107.51500000000001,109.3885,,,,107.36883794681236,111.10511595276172,34.44989333897398,-3.7362780059493588,-3.2568946710597126,-0.47938333488964613
2016-02-11,106.676,108.86999999999998,116.7132,,,106.4505551857643,110.38621847477937,30.108904105343612,-3.935663289015068,-3.392648394650784,-0.5430148943642839
2016-02-12,105.74300000000001,108.4365,116.26720000000002,,,105.92277746487748,109.84057266183275,34.614879058548894,-3.917795196955268,-3.497677755111681,-0.4201174418435869
2016-02-16,104.96600000000001,108.10799999999999,115.87360000000001,,,105.7038886241271,109.44497468688218,38.51491057240149,-3.7410860627550733,-3.5463594166403594,-0.1947266461147139
2016-02-17,104.61299999999999,107.90150000000001,115.5696,,,105.71867498964602,109.17497656192793,41.79879226133861,-3.456301572281916,-3.528347847768671,0.07204627548675502
2016-02-18,104.59099999999998,107.84850000000002,115.2474,,,106.16657114508509,109.13460792771104,48.27533381276971,-2.9680367826259584,-3.4162856347401287,0.4482488521141703
2016-02-19,104.63,107.8345,114.9276,,,106.55940635353353,109.10389622936208,48.47171397455477,-2.544489875828546,-3.2419264829578123,0.6974366071292661
2016-02-22,105.07000000000001,107.71499999999999,114.63699999999999,,,107.17642076068222,109.2124965086686,52.46667047875753,-2.0360757479863736,-3.000756335963525,0.9646805879771514
2016-02-23,105.91600000000001,107.63550000000001,114.3674,,,107.51850987442342,109.22638565617463,49.835183434125945,-1.7078757817512127,-2.742180225121063,1.0343044433698503
2016-02-24,106.681,107.5095,114.1192,,,107.9279698937429,109.29702375571725,51.57878340345041,-1.3690538619743506,-2.4675549524917204,1.0985010905173698
