date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,43.106,,,,,,,,,,
2015-12-15,42.775,,,,,,,,,,
2015-12-16,42.596999999999994,,,,,42.99583333333334,,,,,
2015-12-17,42.425,,,,,42.8149358974359,,,,,
2015-12-18,42.209,,,,,42.61725345167653,,,,,
2015-12-21,42.101,,,,,42.52844522834168,,39.46564885496184,,,
2015-12-22,42.138999999999996,,,,,42.590222885519886,,43.59268986649158,,,
2015-12-23,42.22,,,,,42.88557321082452,,50.0971864341143,,,
2015-12-24,42.376,,,,,43.1124081014669,,49.51344529536393,,,
2015-12-28,42.662,,,,,43.26742223970276,,48.53890102919904,,,
2015-12-29,43.058,43.082,,,,43.43858804897926,,49.69406708983363,,,
2015-12-30,43.308,43.0415,,,,43.523420656828606,,47.95515894628928,,,
2015-12-31,43.352,42.9745,,,,43.57212517116267,,47.270034671121365,,,
2016-01-04,43.510000000000005,42.9675,,,,43.545644375599174,,45.22878987889318,,,
2016-01-05,43.760999999999996,42.985,,,,43.62169908704546,,48.698934203094346,,,
2016-01-06,43.826,42.963499999999996,,,,43.47836076596154,,42.571820973128965,,,
2016-01-07,43.411,42.775,,,,42.755536032736686,43.01461538461538,30.57372211741503,-0.2590793518786967,,
2016-01-08,42.861000000000004,42.540499999999994,,,,42.17929972000796,42.717977207977206,31.791490048256136,-0.5386774879692453,,
2016-01-11,42.324,42.35,,,,41.688638224622125,42.44183074812704,31.739355502071078,-0.7531925235049144,,
2016-01-12,41.803,42.2325,,,,41.26115542083411,42.180213655673185,31.516716954513697,-0.9190582348390777,,
2016-01-13,41.062,42.06,,,,40.60097766378271,41.794271903401096,26.637101023995655,-1.193294239618389,,
2016-01-14,40.408,41.858000000000004,,,,40.1162118693546,41.472473984630646,29.54372298630352,-1.3562621152760457,,
2016-01-15,39.896,41.623999999999995,,,,39.90141004330005,41.26858702280616,36.69076446675002,-1.3671769795061124,,
2016-01-19,39.399,41.4545,,,,39.67503926740773,41.05832131741311,35.797784489020586,-1.383282050005377,,
2016-01-20,38.716,41.2385,,,,39.29580245703731,40.77326047908622,32.24260449832778,-1.477458022048907,-1.027497889405196,-0.44996013264371104
2016-01-21,38.211,41.0185,,,,39.04106361749311,40.541167110265015,34.70402144784984,-1.5001034927719061,-1.122019010078538,-0.37808448269336803
2016-01-22,38.236000000000004,40.8235,,,,39.03936152249417,40.42922880580094,42.034451599686555,-1.3898672833067707,-1.1755886647241847,-0.214278618582586
2016-01-25,38.245999999999995,40.5535,,,,39.05022898057199,40.33150815351939,42.43500586436637,-1.2812791729474,-1.196726766368828,-0.0845524065785721
2016-01-26,38.434,40.379000000000005,,,,39.330193752791686,40.37139643844388,50.533591115373554,-1.0412026856521948,-1.1656219502255014,0.12441926457330665
2016-01-27,38.702000000000005,40.2525,,,,39.6778562523622,40.46166336892952,53.420606103359916,-0.7838071165673242,-1.089258983493866,0.3054518669265418
2016-01-28,39.284,40.173,,,,40.15664759815263,40.63413274900882,57.83732947345293,-0.4774851508561895,-0.9669042169663307,0.4894190661101412
2016-01-29,40.049,40.2285,,,,40.917163352283,40.964937730563726,64.76378479407772,-0.04777437828072806,-0.7830782492292102,0.7353038709484822
2016-02-01,40.64,40.268,,,,41.48836899039331,41.236423824596045,62.51355092833164,0.25194516579726667,-0.5760735662239149,0.8280187320211816
2016-02-02,41.017,40.208,,,,41.59785068417895,41.30779983758893,52.3801490921664,0.29005084659002023,-0.4028486836611279,0.6928995302511481
2016-02-03,41.552,40.134,,,,41.74587365584373,41.400555405174934,53.58064614327629,0.3453182506687966,-0.25321529679514304,0.5985335474639397
2016-02-04,42.056,40.1335,,,,41.88958540109854,41.49532907886568,53.99696205249416,0.394256322232863,-0.12372097298954184,0.5179772952224049
2016-02-05,42.351,40.2935,,,,41.90349533939107,41.53123062857934,51.11697497611715,0.3722647108117343,-0.02452383622928661,0.3967885470410209
2016-02-08,42.493,40.3695,,,,41.69218836410014,41.45706539683272,45.68173808245592,0.2351229672674222,0.02740552447005516,0.20771744279736706
2016-02-09,42.364000000000004,40.399,,,,41.36723630808473,41.31802351558585,42.49373642414358,0.04921279249887789,0.031766978075819706,0.017445814423058183
2016-02-10,42.218,40.46,,,,41.176892260687076,41.2300217736906,44.89156305869391,-0.053129513003526085,0.01478767985995055,-0.06791719286347664
2016-02-11,41.964000000000006,40.624,41.694799999999994,,,41.03429345135061,41.15742756823204,45.426237916399515,-0.12313411688143105,-0.012796679488325772,-0.11033743739310528
2016-02-12,41.863,40.956,41.680600000000005,,,41.50440215114283,41.374655155770405,59.1009820980585,0.12974699537242174,0.015712055483823727,0.114034939888598
2016-02-16,41.982,41.311,41.693400000000004,,,42.168340281736235,41.70393995904667,63.534214078817,0.46440032268956344,0.10544970892497169,0.35895061376459175
2016-02-17,42.394000000000005,41.7055,41.748999999999995,,,42.807057161469125,42.04587033245062,64.7243357487406,0.7611868290185058,0.2365971329436785,0.5245896960748273
2016-02-18,42.74,42.146,41.79559999999999,,,43.301356059704645,42.34025030782465,63.38759859921442,0.9611057518799981,0.3814988567309424,0.5796068951490557
2016-02-19,43.05800000000001,42.557,41.8504,,,43.69499358898086,42.60097250724505,62.64450282117657,1.0940210817358107,0.5240033017319161,0.5700177800038946
2016-02-22,43.611000000000004,42.981,41.949600000000004,,,44.281917652214574,42.964604173375044,66.94769630991661,1.3173134788395302,0.682665337153439,0.6346481416860912
2016-02-23,44.281,43.387,42.0202,,,44.7354687826431,43.28055941979171,65.56736650898276,1.4549093628513958,0.8371141422930304,0.6177952205583654
2016-02-24,45.015,43.689499999999995,42.1026,,,45.07155050839032,43.550147610918245,63.99419471475934,1.521402897472072,0.9739718933288388,0.5474310041432331
2016-02-25,45.745999999999995,43.982000000000006,42.2262,,,45.43592735325334,43.8382848249243,65.48994929394385,1.5976425283290396,1.098706020328879,0.49893650800016065
2016-02-26,46.513,44.2385,42.3762,,,45.81809237582975,44.14063409715213,66.85856554227499,1.6774582786776193,1.214456471998627,0.46300180667899227
