date,sma_10,sma_20,sma_50,sma_100,sma_200,ema_12,ema_26,rsi_14,macd,macd_signal,macd_hist
2015-12-01,,,,,,,,,,,
2015-12-02,,,,,,,,,,,
2015-12-03,,,,,,,,,,,
2015-12-04,,,,,,,,,,,
2015-12-07,,,,,,,,,,,
2015-12-08,,,,,,,,,,,
2015-12-09,,,,,,,,,,,
2015-12-10,,,,,,,,,,,
2015-12-11,,,,,,,,,,,
2015-12-14,24.935,,,,,,,,,,
2015-12-15,24.866,,,,,,,,,,
2015-12-16,24.894,,,,,24.97666666666666,,,,,
2015-12-17,24.895,,,,,24.97564102564102,,,,,
2015-12-18,24.849,,,,,24.93015779092702,,,,,
2015-12-21,24.821,,,,,24.908595053861323,,37.730061349693216,,,
2015-12-22,24.842000000000002,,,,,24.925734276344194,,42.12719298245613,,,
2015-12-23,24.89,,,,,24.938698233829705,,41.98836505481204,,,
2015-12-24,24.919,,,,,24.932744659394366,,40.41079350537481,,,
2015-12-28,24.939,,,,,24.927707019487542,,40.4107935053748,,,
2015-12-29,24.981,24.958,,,,24.964982862643307,,46.168350363437355,,,
2015-12-30,24.969,24.9175,,,,24.93652396069818,,40.13595544611122,,,
2015-12-31,24.878999999999998,24.886499999999998,,,,24.880135659052307,,37.309124498285136,,,
2016-01-04,24.779,24.837,,,,24.740114788428876,,30.66389241866733,,,
2016-01-05,24.701999999999998,24.7755,,,,24.612404820978277,,30.0867864292687,,,
2016-01-06,24.6,24.710500000000003,,,,24.482804079289313,,28.728167408103985,,,
2016-01-07,24.409,24.6255,,,,24.27160345170634,24.741153846153843,23.370352226253303,-0.46955039444750213,,
2016-01-08,24.189,24.539499999999997,,,,24.046741382213057,24.598105413105408,21.415268618469042,-0.5513640308923513,,
2016-01-11,23.976999999999997,24.448,,,,23.851858092641816,24.46343093806056,21.22405748621466,-0.6115728454187455,,
2016-01-12,23.8,24.3695,,,,23.74080300146615,24.364658275982002,29.16988390731305,-0.6238552745158508,,
2016-01-13,23.491,24.235999999999997,,,,23.485294847394435,24.195424329612965,22.000473629333058,-0.7101294822185302,,
2016-01-14,23.264,24.1165,,,,23.335249486256828,24.07057808297497,29.62845556422637,-0.7353285967181407,,
2016-01-15,23.057,23.968,,,,23.20674956529424,23.954238965717565,29.55606523787,-0.7474894004233263,,
2016-01-19,22.898000000000003,23.8385,,,,23.07955732447974,23.837628671960708,28.651409297995187,-0.7580713474809677,,
2016-01-20,22.662,23.682,,,,22.84424081302132,23.668174696259914,23.33193105722229,-0.8239338832385954,-0.6701439172615566,-0.15378996597703876
2016-01-21,22.428,23.514000000000003,,,,22.62666530332573,23.50238397801844,22.67641214384308,-0.8757186746927097,-0.7112588687477873,-0.16445980594492238
2016-01-22,22.329,23.369,,,,22.548716795121774,23.39998516483189,34.13523974835617,-0.851268369710116,-0.739260768940253,-0.11200760076986294
2016-01-25,22.229000000000003,23.209,,,,22.43506805741073,23.282208485955454,31.851457048615273,-0.8471404285447228,-0.760836700861147,-0.08630372768357586
2016-01-26,22.186,23.0815,,,,22.421980663962927,23.21315600551431,39.45081454908579,-0.7911753415513836,-0.7669044289991944,-0.02427091255218916
2016-01-27,22.073,22.9365,,,,22.357060561814784,23.123292597698438,36.60187884559377,-0.7662320358836539,-0.7667699503760863,0.0005379144924324564
2016-01-28,22.038999999999998,22.764999999999997,,,,22.262128167689433,23.020826479350404,34.60280879267215,-0.7586983116609716,-0.7651556226330634,0.00645731097209179
2016-01-29,22.058,22.660999999999998,,,,22.329493064967984,22.997061554954076,46.27127421628826,-0.6675684899860919,-0.7456381961036691,0.07806970611757724
2016-02-01,22.054000000000002,22.555500000000002,,,,22.34957105497291,22.95727921755007,44.15040433332378,-0.6077081625771612,-0.7180521893983676,0.11034402682120636
2016-02-02,21.981,22.4395,,,,22.241944738823232,22.86044371995377,37.84554016526956,-0.6184989811305392,-0.6981415477448019,0.07964256661426261
2016-02-03,21.984,22.323,,,,22.14010708669658,22.765596036994232,37.349154164648034,-0.6254889502976511,-0.6836110282553718,0.05812207795772073
2016-02-04,21.976999999999997,22.202499999999997,,,,22.020090611820187,22.661477812031695,35.761591143704564,-0.6413872002115077,-0.6751662626465991,0.03377906243509132
2016-02-05,21.770999999999997,22.05,,,,21.718538210001697,22.4687757518812,28.147813033651147,-0.7502375418795033,-0.69018051849318,-0.06005702338632335
2016-02-08,21.529,21.878999999999998,,,,21.360301562309125,22.240718288778886,25.173154268189364,-0.8804167264697611,-0.7282277600884962,-0.1521889663812649
2016-02-09,21.229999999999997,21.708,,,,21.052562860415414,22.02733174886934,25.045523979052888,-0.9747688884539265,-0.7775359857615822,-0.19723290269234428
2016-02-10,20.979,21.526,,,,20.812168574197656,21.839381248953092,26.77798928951782,-1.027212674755436,-0.827471323560353,-0.19974135119508296
2016-02-11,20.75,21.3945,23.2392,,,20.602604178167248,21.662390045326937,26.574457289013566,-1.0597858671596896,-0.8739342322802204,-0.1858516348794692
2016-02-12,20.421,21.2395,23.1156,,,20.419126612295365,21.495546338265683,26.3587010191457,-1.076419725970318,-0.9144313310182399,-0.16198839495207817
2016-02-16,20.189999999999998,21.122,23.0148,,,20.37772251809608,21.395876239134893,36.611976849586696,-1.0181537210388143,-0.9351758090223549,-0.08297791201645943
2016-02-17,20.057,21.019,22.921999999999997,,,20.368842130696684,21.31618170290268,38.72275371573548,-0.9473395722059941,-0.9376085616590828,-0.009731010546911278
2016-02-18,19.857,20.920499999999997,22.8108,,,20.247481802897195,21.18757565083581,33.494297525637876,-0.9400938479386163,-0.9381056189149896,-0.0019882290236267197
2016-02-19,19.725,20.851,22.7102,,,20.215561525528397,21.102570047070195,39.007389715772064,-0.887008521541798,-0.9278861994403513,0.040877677898553344
2016-02-22,19.778,20.7745,22.625799999999998,,,20.273167444677874,21.064601895435366,44.88983164604656,-0.7914344507574924,-0.9005958497037796,0.10916139894628718
2016-02-23,19.872999999999998,20.701,22.541999999999998,,,20.283449376265892,21.010927680958673,42.86608451122027,-0.7274783046927809,-0.8659723407015799,0.13849403600879906
2016-02-24,20.029,20.6295,22.468199999999996,,,20.381380241455755,21.004192297183955,48.64999339014055,-0.6228120557282004,-0.8173402837069041,0.19452822797870373
2016-02-25,20.15,20.564500000000002,22.3882,,,20.430398665847175,20.98165953442959,46.718062236482844,-0.5512608685824141,-0.7641244006820063,0.2128635320995922
